"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Boulder City","15,219","22","2","","4","1","15","179","52","105","22","2"
"Carlin","2,457","16","1","","0","1","14","32","8","18","6","0"
"Elko","19,748","89","7","","20","12","50","978","276","607","95","0"
"Fallon","8,411","23","0","","2","0","21","365","63","285","17","1"
"Henderson","268,237","367","8","","45","160","154","5,358","1,405","3,416","537","22"
"Las Vegas Metropolitan Police Department","1,500,455","11,374","97","","705","4,072","6,500","47,968","14,785","26,548","6,635","257"
"Lovelock","1,898","19","0","","4","1","14","52","26","20","6","0"
"Mesquite","16,321","11","2","","0","0","9","250","52","178","20","2"
"North Las Vegas","225,632","1,806","7","","85","463","1,251","5,969","2,050","2,936","983","7"
"Reno","232,561","1,154","14","","68","305","767","7,180","1,411","4,901","868","18"
"Sparks","92,768","271","2","","43","70","156","2,522","559","1,710","253","13"
"West Wendover","4,540","23","0","","2","6","15","137","38","79","20","0"
"Winnemucca","7,827","17","0","","0","2","15","156","48","97","11","1"
"Yerington","2,997","4","0","","3","1","0","80","26","51","3","0"
