"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alexandria","1,604","0","0","0","","0","0","10","2","8","0","0"
"Alstead","1,938","0","0","0","","0","0","4","1","3","0","0"
"Alton","5,290","9","0","4","","1","4","97","26","66","5","0"
"Amherst","11,274","7","0","2","","0","5","290","25","264","1","1"
"Antrim","2,631","8","0","4","","1","3","53","9","43","1","0"
"Ashland","2,056","5","0","1","","1","3","62","8","48","6","0"
"Atkinson","6,812","1","0","0","","0","1","20","11","9","0","0"
"Auburn","5,132","2","0","0","","0","2","72","32","39","1","1"
"Barnstead","4,616","5","0","1","","0","4","53","20","30","3","0"
"Barrington","8,728","1","0","0","","0","1","92","24","66","2","0"
"Bartlett","2,762","3","0","0","","0","3","49","17","31","1","0"
"Bedford","21,645","12","0","5","","4","3","335","42","290","3","2"
"Belmont","7,329","25","2","5","","4","14","224","53","156","15","1"
"Bennington","1,466","2","0","1","","0","1","50","7","35","8","0"
"Berlin","9,652","22","0","10","","4","8","137","36","94","7","4"
"Bethlehem","2,527","1","0","1","","0","0","24","6","16","2","0"
"Boscawen","3,960","7","0","2","","1","4","60","19","38","3","0"
"Bow","7,633","6","0","2","","1","3","93","30","60","3","0"
"Brentwood","4,620","2","0","0","","0","2","45","10","33","2","0"
"Bristol","3,037","8","0","3","","0","5","90","30","55","5","1"
"Campton","3,302","16","0","6","","1","9","68","16","48","4","0"
"Candia","3,929","6","0","1","","0","5","46","13","33","0","1"
"Canterbury","2,374","1","0","0","","0","1","19","2","17","0","0"
"Carroll","750","1","0","0","","0","1","56","11","45","0","0"
"Center Harbor","1,099","1","0","0","","0","1","22","3","18","1","0"
"Charlestown","4,974","4","0","2","","0","2","25","8","15","2","0"
"Chester","4,875","6","0","1","","2","3","60","19","38","3","0"
"Claremont","12,990","41","0","13","","8","20","437","67","350","20","2"
"Colebrook","2,221","8","0","2","","1","5","60","14","45","1","0"
"Concord","42,615","103","0","33","","15","55","1,024","166","844","14","9"
"Conway","10,056","38","0","13","","7","18","432","57","367","8","1"
"Dalton","936","2","0","0","","0","2","14","8","6","0","0"
"Danville","4,490","0","0","0","","0","0","35","9","26","0","0"
"Deerfield","4,362","3","0","1","","0","2","51","7","39","5","0"
"Deering","1,908","3","0","0","","0","3","18","3","14","1","0"
"Derry","33,296","57","0","22","","5","30","697","135","535","27","13"
"Dover","30,287","49","0","22","","6","21","564","77","475","12","2"
"Dublin","1,580","0","0","0","","0","0","11","4","7","0","0"
"Dunbarton","2,797","3","0","1","","0","2","30","9","20","1","0"
"Durham","15,311","27","0","10","","0","17","117","11","103","3","6"
"Effingham","1,461","4","0","0","","0","4","17","2","14","1","0"
"Enfield","4,546","15","0","8","","1","6","38","7","30","1","0"
"Epping","6,633","7","0","5","","2","0","225","18","199","8","2"
"Epsom","4,620","2","0","2","","0","0","67","16","49","2","0"
"Exeter","14,487","22","1","8","","3","10","126","13","112","1","0"
"Farmington","6,799","22","0","7","","5","10","186","47","132","7","3"
"Franconia","1,104","1","0","0","","0","1","20","4","14","2","0"
"Freedom","1,483","1","0","1","","0","0","7","3","3","1","0"
"Fremont","4,363","1","0","0","","0","1","18","8","9","1","0"
"Gilford","7,147","8","0","2","","1","5","180","25","146","9","0"
"Gilmanton","3,784","2","0","0","","0","2","48","28","17","3","1"
"Goffstown","17,721","13","0","1","","5","7","354","58","289","7","0"
"Gorham","2,725","6","0","3","","2","1","65","7","58","0","1"
"Grantham","2,943","2","0","0","","0","2","20","4","16","0","0"
"Greenland","3,690","4","0","1","","0","3","36","7","28","1","0"
"Hampstead","8,568","6","0","1","","0","5","89","31","53","5","0"
"Hampton","15,067","30","1","7","","7","15","329","48","266","15","1"
"Hampton Falls","2,294","5","0","1","","2","2","32","12","19","1","0"
"Hancock","1,647","1","0","0","","0","1","7","0","7","0","0"
"Hanover","11,195","19","0","14","","1","4","175","17","157","1","2"
"Haverhill","4,641","14","0","6","","3","5","115","29","83","3","0"
"Henniker","4,838","6","0","1","","0","5","45","10","34","1","3"
"Hillsborough","5,995","13","0","2","","0","11","105","12","91","2","0"
"Hinsdale","3,996","5","1","1","","2","1","115","16","96","3","0"
"Hooksett","13,582","21","0","7","","6","8","436","72","357","7","2"
"Hopkinton","5,599","10","0","0","","0","10","57","7","48","2","0"
"Hudson","24,591","41","0","10","","8","23","374","66","299","9","4"
"Jaffrey","5,417","13","0","1","","2","10","63","15","46","2","1"
"Keene","23,236","70","1","13","","23","33","1,006","106","883","17","6"
"Kingston","6,075","2","0","2","","0","0","58","13","36","9","0"
"Laconia","16,109","71","2","10","","19","40","609","112","478","19","8"
"Lancaster","3,373","6","1","4","","0","1","79","10","63","6","1"
"Lebanon","13,598","48","0","19","","6","23","463","46","409","8","7"
"Lee","4,345","8","0","2","","1","5","27","10","16","1","1"
"Lincoln","1,651","1","0","1","","0","0","76","13","60","3","0"
"Lisbon","1,579","1","0","0","","0","1","12","5","7","0","0"
"Litchfield","8,344","6","0","1","","0","5","56","24","29","3","1"
"Londonderry","24,338","32","0","6","","11","15","301","59","228","14","2"
"Loudon","5,337","3","0","3","","0","0","131","22","100","9","2"
"Madison","2,513","0","0","0","","0","0","44","11","30","3","0"
"Manchester","110,411","747","4","91","","295","357","4,194","894","3,141","159","45"
"Marlborough","2,054","0","0","0","","0","0","32","13","18","1","0"
"Meredith","6,305","3","1","1","","1","0","175","48","122","5","0"
"Merrimack","25,553","6","0","1","","3","2","229","28","193","8","0"
"Middleton","1,778","6","0","0","","1","5","28","8","19","1","1"
"Milford","15,162","24","0","10","","2","12","275","25","241","9","6"
"Milton","4,603","16","0","5","","0","11","102","24","70","8","1"
"Mont Vernon","2,427","2","0","1","","0","1","16","7","8","1","0"
"Moultonborough","4,022","7","0","4","","0","3","70","15","52","3","0"
"Nashua","87,052","182","6","32","","61","83","2,248","323","1,857","68","9"
"New Boston","5,384","5","0","4","","0","1","29","5","23","1","1"
"Newbury","2,110","0","0","0","","0","0","14","3","10","1","0"
"New Durham","2,652","2","0","2","","0","0","61","6","52","3","0"
"Newfields","1,691","0","0","0","","0","0","22","4","18","0","0"
"New Hampton","2,195","1","0","1","","0","0","46","3","42","1","0"
"Newington","755","3","0","0","","3","0","278","3","272","3","0"
"New Ipswich","5,134","2","0","0","","0","2","66","18","47","1","3"
"New London","4,409","0","0","0","","0","0","28","9","18","1","0"
"Newport","6,380","16","0","6","","0","10","210","28","175","7","0"
"Newton","4,747","9","0","1","","1","7","54","9","45","0","1"
"Northfield","4,829","8","0","0","","0","8","119","18","98","3","0"
"North Hampton","4,359","4","0","1","","1","2","42","11","30","1","0"
"Northumberland","2,210","9","0","4","","0","5","47","12","34","1","0"
"Northwood","4,295","9","0","8","","1","0","62","18","44","0","0"
"Nottingham","4,895","4","0","0","","0","4","52","23","26","3","0"
"Orford","1,233","0","0","0","","0","0","5","3","2","0","0"
"Ossipee","4,296","13","0","0","","0","13","106","5","98","3","0"
"Pelham","13,034","20","0","5","","1","14","151","27","117","7","0"
"Pembroke","7,126","15","0","9","","0","6","77","12","58","7","1"
"Peterborough","6,383","6","0","2","","1","3","109","21","84","4","4"
"Plaistow","7,620","5","0","0","","2","3","182","16","151","15","0"
"Plymouth","7,041","15","0","5","","1","9","195","15","172","8","23"
"Portsmouth","21,453","50","0","14","","15","21","567","51","496","20","3"
"Raymond","10,256","17","0","5","","3","9","146","24","111","11","0"
"Rindge","5,998","8","0","4","","0","4","121","7","113","1","0"
"Rochester","29,849","105","0","25","","20","60","1,287","159","1,104","24","11"
"Rollinsford","2,517","2","0","0","","1","1","46","4","41","1","0"
"Rye","5,297","3","0","3","","0","0","57","4","53","0","0"
"Salem","28,882","48","0","4","","14","30","865","65","765","35","2"
"Sanbornton","2,970","1","0","0","","0","1","58","11","47","0","0"
"Sandown","6,183","1","0","1","","0","0","32","11","17","4","2"
"Sandwich","1,316","0","0","0","","0","0","28","5","23","0","0"
"Seabrook","8,805","31","0","3","","7","21","269","25","233","11","0"
"Somersworth","11,751","47","1","14","","11","21","469","53","410","6","4"
"South Hampton","818","0","0","0","","0","0","8","3","5","0","0"
"Strafford","4,021","5","0","0","","0","5","26","6","20","0","1"
"Stratham","7,337","2","0","1","","0","1","58","3","55","0","0"
"Sugar Hill","564","1","0","1","","0","0","3","2","1","0","0"
"Sunapee","3,330","6","0","3","","0","3","18","3","15","0","0"
"Thornton","2,482","0","0","0","","0","0","25","5","17","3","0"
"Tilton","3,623","10","0","4","","5","1","222","29","188","5","0"
"Troy","2,139","1","0","0","","0","1","24","6","18","0","0"
"Wakefield","5,018","5","0","3","","0","2","94","33","58","3","0"
"Warner","2,843","6","0","0","","0","6","31","4","26","1","0"
"Washington","1,109","1","0","0","","0","1","13","6","7","0","0"
"Waterville Valley","246","0","0","0","","0","0","43","7","34","2","0"
"Weare","8,901","15","0","4","","0","11","62","14","44","4","1"
"Webster","1,877","0","0","0","","0","0","32","7","25","0","0"
"Wilton","3,670","3","0","1","","0","2","65","10","50","5","0"
"Winchester","4,302","7","0","2","","0","5","105","25","77","3","0"
"Windham","14,092","15","0","2","","3","10","120","33","82","5","2"
"Wolfeboro","6,236","7","0","5","","0","2","94","10","82","2","0"
"Woodstock","1,354","1","0","0","","0","1","39","4","32","3","3"
