"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Alamogordo","31,788","80","1","","3","6","70","800","110","664","26","3"
"Albuquerque","558,165","4,325","37","","439","1,046","2,803","30,531","7,297","20,229","3,005","83"
"Artesia","11,376","144","0","","6","4","134","437","104","303","30","1"
"Aztec","6,654","26","0","","3","0","23","175","40","123","12","4"
"Bloomfield","7,918","64","1","","17","0","46","156","34","116","6","0"
"Bosque Farms","3,882","19","0","","0","1","18","83","15","61","7","0"
"Carrizozo","981","3","0","","0","0","3","12","2","9","1","0"
"Cimarron","965","7","0","","0","0","7","18","9","9","0","1"
"Clayton","2,889","0","0","","0","0","0","34","28","5","1","0"
"Clovis","39,521","269","1","","29","24","215","2,027","495","1,443","89","13"
"Deming","14,770","148","2","","14","10","122","671","216","432","23","7"
"Dexter","1,274","1","0","","0","0","1","13","2","7","4","0"
"Estancia","1,625","2","0","","0","0","2","20","2","17","1","0"
"Eunice","3,019","6","0","","0","0","6","84","41","38","5","1"
"Farmington","45,820","291","3","","49","43","196","1,674","297","1,285","92","12"
"Gallup","22,192","463","5","","37","65","356","2,287","372","1,790","125","2"
"Grants","9,233","53","1","","4","5","43","262","129","104","29","4"
"Hobbs","35,318","298","3","","41","20","234","1,601","335","1,157","109","3"
"Jal","2,114","11","0","","0","0","11","39","13","17","9","0"
"Las Cruces","102,007","332","6","","27","74","225","4,349","724","3,454","171","6"
"Las Vegas","13,458","116","3","","10","13","90","352","116","223","13","4"
"Logan","996","3","0","","0","0","3","20","8","10","2","0"
"Loving","1,410","1","0","","0","0","1","18","4","14","0","0"
"Moriarty","1,855","3","0","","1","1","1","84","30","51","3",""
"Peralta","3,636","24","0","","0","2","22","94","30","53","11","0"
"Questa","1,757","2","0","","0","0","2","23","12","10","1","0"
"Raton","6,521","11","0","","0","2","9","230","123","97","10","0"
"Red River","475","2","0","","0","0","2","7","4","2","1","0"
"Santa Rosa","2,786","23","0","","0","0","23","90","12","78","0","0"
"San Ysidro","195","0","0","","0","0","0","2","1","1","0","0"
"Socorro","8,861","74","0","","0","4","70","451","127","308","16","0"
"Sunland Park","14,939","10","0","","4","5","1","163","50","96","17","1"
"Taos","5,666","66","0","","3","7","56","492","146","336","10","0"
"Taos Ski Valley","69","1","0","","0","0","1","5","2","3","0","0"
"Truth or Consequences","6,385","17","0","","2","2","13","235","58","167","10","2"
"Tucumcari","5,149","26","0","","3","5","18","235","95","136","4","0"
