"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","6,760","23","3","","2","6","12","304","52","244","8","1"
"Albemarle","15,946","70","1","","3","13","53","876","274","568","34","7"
"Apex","41,356","36","0","","5","7","24","535","104","414","17","2"
"Archdale","11,524","8","0","","0","2","6","297","79","198","20","3"
"Asheboro","25,665","82","1","","8","39","34","1,642","400","1,197","45","4"
"Atlantic Beach","1,491","15","0","","0","2","13","121","42","77","2","0"
"Aulander","857","1","0","","0","0","1","21","16","5","0","0"
"Ayden","5,065","27","0","","3","3","21","207","46","152","9","0"
"Banner Elk","1,117","2","0","","0","0","2","24","7","17","0","0"
"Beaufort","4,107","16","0","","0","3","13","169","59","104","6","0"
"Belhaven","1,624","2","0","","0","1","1","35","18","17","0","0"
"Benson","3,452","30","0","","2","7","21","199","47","139","13","1"
"Bethel","1,625","5","1","","0","1","3","47","1","44","2","1"
"Beulaville","1,346","8","1","","0","0","7","60","13","47","0","0"
"Biltmore Forest","1,393","0","0","","0","0","0","13","4","9","0","0"
"Biscoe","1,694","3","0","","1","1","1","225","16","204","5","0"
"Black Mountain","8,012","7","0","","0","4","3","118","28","85","5","0"
"Blowing Rock","1,234","0","0","","0","0","0","40","10","29","1","0"
"Boiling Spring Lakes","5,546","10","0","","0","1","9","98","33","63","2","0"
"Boone","17,998","40","0","","5","8","27","302","61","232","9","0"
"Brevard","7,536","10","0","","1","0","9","283","63","210","10","1"
"Bunn","350","2","0","","0","0","2","22","2","20","0","0"
"Burgaw","4,005","9","0","","1","3","5","116","18","95","3","0"
"Burlington","51,401","362","0","","16","100","246","2,635","546","1,977","112","4"
"Butner","7,661","20","0","","1","4","15","228","62","154","12","6"
"Canton","4,164","23","0","","1","3","19","262","55","183","24","1"
"Cape Carteret","1,928","0","0","","0","0","0","20","3","16","1","0"
"Carolina Beach","5,937","11","0","","1","0","10","256","67","181","8","0"
"Carrboro","20,709","53","0","","2","16","35","574","175","378","21","2"
"Carthage","2,321","4","0","","1","0","3","107","33","67","7","0"
"Cary","148,905","102","1","","11","35","55","2,075","392","1,623","60","4"
"Catawba","605","2","0","","0","0","2","13","6","7","0","0"
"Chadbourn","1,835","27","2","","0","5","20","228","99","123","6","0"
"Chapel Hill","58,744","71","1","","11","23","36","1,279","388","837","54","2"
"Charlotte-Mecklenburg","837,638","5,093","59","","230","1,805","2,999","30,569","6,439","22,274","1,856","213"
"Cherryville","5,818","18","0","","1","2","15","187","41","140","6","0"
"Claremont","1,355","7","0","","0","0","7","33","13","20","0","0"
"Clayton","17,315","28","0","","3","5","20","413","103","299","11","1"
"Cleveland","870","2","0","","1","0","1","24","4","15","5","0"
"Clinton","8,774","62","0","","4","16","42","500","121","356","23","3"
"Coats","2,318","4","0","","1","0","3","96","28","64","4","0"
"Columbus","983","2","0","","0","1","1","27","3","24","0","0"
"Concord","82,899","122","7","","9","50","56","2,549","414","2,033","102","6"
"Cornelius","26,683","42","0","","4","10","28","477","102","361","14","0"
"Creedmoor","4,254","10","0","","2","3","5","85","27","58","0","0"
"Davidson","11,657","11","0","","0","3","8","90","25","63","2","0"
"Dobson","1,586","6","0","","1","0","5","46","7","36","3","1"
"Drexel","1,863","0","0","","0","0","0","23","4","16","3","0"
"Duck","375","1","0","","0","0","1","37","13","23","1","0"
"Eden","15,282","57","1","","2","18","36","630","151","443","36","2"
"Edenton","4,994","39","0","","3","9","27","231","66","159","6","5"
"Elizabeth City","18,395","109","2","","6","25","76","723","241","456","26","0"
"Elon","9,627","2","0","","0","1","1","85","27","55","3","0"
"Emerald Isle","3,669","12","0","","0","0","12","240","104","133","3","2"
"Enfield","2,485","18","0","","2","1","15","120","44","71","5","0"
"Erwin","4,620","9","0","","0","2","7","145","49","93","3","0"
"Fairmont","2,714","22","2","","0","8","12","205","77","121","7","0"
"Farmville","4,767","35","0","","2","4","29","148","43","98","7","0"
"Fayetteville","202,524","1,170","25","","65","586","494","12,261","3,279","8,351","631","49"
"Fletcher","7,320","7","0","","0","3","4","147","52","87","8","0"
"Forest City","7,394","20","0","","3","7","10","585","121","431","33","1"
"Franklin","3,894","16","0","","0","2","14","298","61","227","10","1"
"Franklinton","2,060","7","0","","0","0","7","96","18","72","6","3"
"Garner","27,021","52","2","","2","24","24","1,178","169","963","46","1"
"Garysburg","1,012","8","0","","0","2","6","33","13","19","1","0"
"Gastonia","73,049","510","6","","22","150","332","3,866","752","2,873","241","19"
"Gibsonville","6,632","3","1","","0","1","1","114","60","50","4","2"
"Goldsboro","37,230","283","5","","3","67","208","2,344","571","1,670","103","2"
"Graham","14,270","75","0","","5","21","49","580","166","383","31","3"
"Granite Falls","4,647","9","0","","0","2","7","290","39","245","6","2"
"Greensboro","279,343","1,449","27","","70","496","856","11,537","2,972","8,063","502","112"
"Greenville","88,018","555","7","","20","175","353","3,862","1,157","2,573","132","10"
"Hamlet","6,625","49","1","","1","9","38","321","123","191","7","2"
"Havelock","20,765","44","1","","6","6","31","505","147","348","10","0"
"Haw River","2,344","9","0","","0","1","8","50","19","30","1","0"
"Henderson","15,309","214","4","","5","82","123","1,441","331","1,059","51","7"
"Hendersonville","13,342","53","0","","3","18","32","850","112","691","47","0"
"Hertford","2,175","18","0","","2","7","9","80","28","44","8","2"
"Hickory","40,109","167","3","","8","64","92","2,208","467","1,590","151","11"
"Highlands","923","2","0","","0","0","2","63","22","40","1","1"
"High Point","107,261","556","2","","30","178","346","4,489","1,206","2,970","313","23"
"Holly Ridge","1,654","4","0","","0","0","4","59","26","32","1","1"
"Holly Springs","27,557","23","0","","0","4","19","318","58","254","6","0"
"Hope Mills","15,699","74","0","","1","29","44","1,042","214","804","24","3"
"Hudson","3,720","3","0","","0","0","3","128","27","95","6","0"
"Huntersville","50,162","49","0","","4","12","33","940","179","733","28","3"
"Indian Beach","114","0","0","","0","0","0","12","1","9","2","0"
"Kannapolis","44,150","87","4","","8","25","50","917","290","564","63","7"
"Kenansville","885","5","0","","1","0","4","28","6","21","1","0"
"Kernersville","23,553","86","0","","6","19","61","1,014","165","797","52","10"
"Kill Devil Hills","6,869","42","0","","3","2","37","318","139","172","7","2"
"King","6,860","13","0","","0","0","13","282","56","222","4","2"
"Kinston","21,619","273","3","","7","66","197","1,504","351","1,089","64","11"
"Kitty Hawk","3,348","3","0","","2","0","1","135","22","110","3","0"
"Knightdale","13,153","19","3","","1","7","8","466","64","396","6","2"
"Lake Lure","1,190","0","0","","0","0","0","27","15","12","0","0"
"Laurel Park","2,243","1","0","","0","1","0","24","0","24","0","0"
"Laurinburg","15,740","212","1","","10","31","170","950","500","424","26","5"
"Leland","15,535","24","0","","1","8","15","392","181","199","12","0"
"Lexington","18,939","85","1","","5","33","46","636","214","393","29","3"
"Liberty","2,672","4","0","","0","0","4","17","3","13","1","0"
"Lincolnton","10,686","52","0","","5","8","39","532","71","449","12","1"
"Long View","4,867","25","2","","2","4","17","259","93","148","18","0"
"Louisburg","3,426","11","0","","1","5","5","102","28","70","4","1"
"Lumberton","21,828","383","3","","8","127","245","3,053","737","2,196","120","3"
"Madison","2,214","3","0","","0","1","2","100","26","74","0","0"
"Maiden","3,340","8","0","","2","1","5","99","29","68","2","0"
"Manteo","1,353","7","0","","0","1","6","69","13","55","1","0"
"Marion","7,945","30","0","","0","4","26","656","217","421","18","0"
"Mars Hill","2,061","3","0","","1","2","0","60","20","35","5","0"
"Matthews","29,178","58","1","","3","21","33","823","87","702","34","5"
"Mayodan","2,471","11","1","","0","0","10","259","22","236","1","0"
"Mebane","13,129","45","0","","2","12","31","713","121","577","15","0"
"Mint Hill","24,350","45","0","","0","25","20","406","116","274","16","5"
"Mocksville","5,097","11","0","","2","5","4","222","44","176","2","0"
"Monroe","33,895","204","1","","6","72","125","1,771","390","1,304","77","7"
"Mooresville","33,676","77","2","","3","16","56","1,399","193","1,153","53","3"
"Morehead City","9,159","57","1","","1","6","49","528","69","449","10","5"
"Morganton","16,852","47","0","","6","21","20","491","126","347","18","0"
"Morrisville","21,229","12","0","","0","7","5","420","70","335","15","0"
"Mount Airy","10,450","40","0","","3","7","30","523","138","359","26","1"
"Mount Holly","13,814","36","1","","0","9","26","258","62","186","10","1"
"Mount Olive","4,672","44","0","","1","8","35","311","88","209","14","2"
"Murfreesboro","2,807","7","2","","0","2","3","73","21","51","1","0"
"Murphy","1,592","13","0","","1","3","9","123","35","82","6","0"
"New Bern","30,514","120","0","","7","43","70","1,567","525","992","50","2"
"Newland","683","2","2","","0","0","0","26","3","21","2","0"
"Newport","4,778","8","0","","0","3","5","121","33","83","5","1"
"Newton","12,980","53","0","","2","11","40","441","143","286","12","1"
"North Topsail Beach","735","2","2","","0","0","0","75","25","48","2","0"
"North Wilkesboro","4,256","20","1","","1","3","15","238","41","190","7","0"
"Oak Island","7,064","27","0","","3","1","23","253","73","177","3","1"
"Oxford","8,607","86","1","","1","27","57","574","235","321","18","4"
"Pilot Mountain","1,477","4","0","","0","0","4","121","20","98","3","0"
"Pinebluff","1,382","0","0","","0","0","0","16","7","9","0","0"
"Pinehurst","15,100","8","0","","0","2","6","125","3","119","3","0"
"Pine Knoll Shores","1,344","0","0","","0","0","0","30","13","16","1","0"
"Pineville","8,027","31","0","","0","10","21","1,061","104","923","34","2"
"Pittsboro","3,933","16","0","","0","5","11","92","17","74","1","0"
"Raeford","4,894","29","0","","2","3","24","257","47","203","7","0"
"Raleigh","428,993","1,683","12","","79","605","987","13,140","3,157","9,278","705","54"
"Ramseur","1,703","11","0","","0","5","6","84","35","45","4","0"
"Randleman","4,144","10","0","","2","2","6","438","54","378","6","0"
"Red Springs","3,469","27","0","","0","15","12","328","150","158","20","8"
"Reidsville","14,286","53","0","","2","14","37","918","211","675","32","3"
"Richlands","1,643","6","0","","0","1","5","34","12","21","1","0"
"Rich Square","926","7","1","","1","0","5","48","28","19","1","0"
"River Bend","3,175","0","0","","0","0","0","38","16","22","0","0"
"Roanoke Rapids","15,686","92","2","","12","23","55","989","239","727","23","4"
"Rockingham","9,480","37","0","","5","23","9","954","209","729","16","10"
"Rockwell","2,112","2","0","","0","1","1","59","8","50","1","0"
"Rocky Mount","57,021","599","4","","16","154","425","3,282","992","2,179","111","10"
"Rolesville","4,424","4","0","","0","1","3","94","35","58","1","0"
"Rose Hill","1,687","8","0","","0","2","6","45","21","22","2","0"
"Rowland","1,052","4","0","","0","2","2","46","23","22","1","1"
"Roxboro","8,310","76","0","","5","16","55","485","93","385","7","1"
"Rutherfordton","4,206","0","0","","0","0","0","140","0","139","1","0"
"Salisbury","33,626","262","5","","9","78","170","1,837","475","1,236","126","4"
"Scotland Neck","2,021","12","1","","0","0","11","71","28","42","1","0"
"Selma","6,217","38","0","","2","10","26","290","100","180","10","3"
"Shallotte","3,837","20","0","","0","4","16","210","78","123","9","1"
"Shelby","20,261","125","1","","10","33","81","678","193","454","31","3"
"Siler City","8,243","27","0","","3","4","20","325","74","241","10","0"
