"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Belfield","856","0","0","0","","0","0","18","3","14","1","0"
"Beulah","3,149","4","0","0","","0","4","28","5","20","3","0"
"Bismarck","65,850","194","1","26","","15","152","1,730","334","1,289","107","6"
"Bowman","1,687","1","1","0","","0","0","22","2","18","2","0"
"Burlington","1,054","1","0","0","","0","1","6","0","5","1","0"
"Carrington","2,108","1","0","0","","1","0","8","2","5","1","0"
"Cavalier","1,268","1","0","1","","0","0","22","5","16","1","0"
"Devils Lake","7,260","23","0","6","","3","14","327","48","263","16","1"
"Dickinson","20,347","76","0","3","","2","71","571","56","468","47","1"
"Ellendale","1,388","1","0","0","","0","1","11","4","7","0","0"
"Fargo","111,101","446","3","71","","58","314","3,209","701","2,342","166","13"
"Fessenden","486","0","0","0","","0","0","0","0","0","0","1"
"Grafton","4,326","17","0","2","","0","15","97","7","86","4","0"
"Grand Forks","53,625","144","0","30","","25","89","1,343","191","1,084","68","3"
"Harvey","1,827","0","0","0","","0","0","18","2","11","5","0"
"Jamestown","15,286","42","0","22","","1","19","362","73","269","20","2"
"Kenmare","1,050","1","0","0","","0","1","1","0","0","1","0"
"Killdeer","841","0","0","0","","0","0","5","0","4","1","0"
"Lamoure","895","1","0","0","","0","1","7","1","6","0","1"
"Lincoln","2,898","3","0","1","","0","2","20","1","18","1","0"
"Lisbon","2,149","2","0","0","","0","2","22","4","18","0","0"
"Mandan","19,168","57","0","17","","5","35","620","72","501","47","3"
"Medora","139","0","0","0","","0","0","0","0","0","0","0"
"Minot","44,635","122","0","14","","18","90","997","181","708","108","12"
"Napoleon","757","0","0","0","","0","0","11","5","6","0","0"
"New Town","2,362","7","0","1","","1","5","19","5","11","3","2"
"Northwood","918","0","0","0","","0","0","7","2","4","1","0"
"Oakes","1,840","2","0","1","","0","1","2","0","2","0","1"
"Powers Lake","314","0","0","0","","0","0","10","1","8","1","0"
"Rolla","1,333","2","0","0","","0","2","17","3","11","3","0"
"Rugby","2,972","6","0","2","","0","4","40","13","27","0","0"
"Sherwood","254","0","0","0","","0","0","0","0","0","0","0"
"Stanley","1,949","1","0","0","","0","1","11","1","3","7","0"
"Steele","708","0","0","0","","0","0","6","4","2","0","0"
"Surrey","1,042","1","0","0","","0","1","4","1","3","0","0"
"Thompson","1,002","0","0","0","","0","0","4","0","4","0","0"
"Tioga","1,247","6","0","1","","0","5","22","2","14","6","0"
"Valley City","6,580","14","0","1","","1","12","164","42","113","9","1"
"Wahpeton","7,812","7","0","1","","2","4","158","10","140","8","4"
"Watford City","2,793","12","0","3","","1","8","101","16","65","20","0"
"West Fargo","28,018","44","0","10","","3","31","530","147","336","47","2"
"Williston","19,949","87","1","21","","8","57","959","78","678","203","7"
"Wishek","974","0","0","0","","0","0","1","1","0","0","0"
