"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Ada","5,755","7","0","2","","0","5","76","21","55","0","2"
"Akron","198,405","1,570","23","160","","528","859","9,649","3,096","5,922","631","85"
"Albany","877","0","0","0","","0","0","22","3","19","0","0"
"Alliance","22,144","83","1","14","","12","56","978","237","719","22","4"
"Amberley Village","3,585","1","0","","1","0","0","60","15","39","6","0"
"Amelia","4,870","1","0","0","","1","0","32","6","25","1","1"
"American Township","12,318","2","0","0","","1","1","147","12","130","5","0"
"Amherst","12,040","9","0","0","","8","1","219","39","177","3","2"
"Arcanum","2,098","0","0","0","","0","0","33","8","23","2","0"
"Ashland","20,306","14","0","10","","3","1","519","80","433","6","6"
"Ashville","4,118","1","0","0","","1","0","40","7","32","1","0"
"Athens","23,721","17","0","3","","3","11","406","49","353","4","0"
"Aurora","15,457","9","0","","1","3","5","158","24","129","5","1"
"Austintown","36,192","53","0","9","","14","30","951","197","727","27","1"
"Bainbridge Township","11,454","3","0","0","","2","1","267","12","254","1","1"
"Barberton","26,245","87","6","10","","22","49","966","196","746","24","8"
"Batavia","1,633","2","0","0","","2","0","65","14","51","0","0"
"Bath Township, Summit County","9,724","2","0","0","","0","2","144","15","127","2","0"
"Bazetta Township","5,793","1","0","1","","0","0","119","33","80","6","0"
"Beavercreek","45,971","12","0","6","","5","1","1,142","121","988","33","2"
"Beaver Township","6,606","5","0","2","","1","2","133","35","94","4","0"
"Bedford","12,858","31","0","","7","11","13","396","36","315","45","0"
"Bellaire","4,202","3","0","1","","0","2","36","3","32","1","0"
"Bellbrook","7,061","2","0","1","","1","0","93","9","83","1","0"
"Bellefontaine","13,147","45","0","10","","12","23","582","81","492","9","1"
"Belpre","6,429","5","0","0","","1","4","79","31","44","4","0"
"Berea","18,939","18","0","3","","4","11","248","46","189","13","0"
"Bethel","2,737","4","0","0","","0","4","95","11","83","1","3"
"Beverly","1,302","1","1","0","","0","0","25","4","21","0","0"
"Bexley","13,316","20","0","0","","13","7","362","111","239","12","0"
"Blanchester","4,230","1","0","0","","1","0","58","7","48","3","0"
"Blendon Township","7,960","13","0","1","","9","3","179","37","129","13","2"
"Blue Ash","12,105","7","0","1","","2","4","389","46","334","9","0"
"Bluffton","4,000","1","0","","0","0","1","53","13","40","0","0"
"Bowling Green","31,844","49","0","22","","10","17","781","78","692","11","0"
"Brecksville","13,499","1","0","0","","1","0","64","17","47","0","0"
"Brewster","2,163","0","0","0","","0","0","13","4","9","0","0"
"Bridgeport","1,800","0","0","0","","0","0","15","1","14","0","0"
"Brimfield Township","10,291","22","0","","13","4","5","281","43","232","6","0"
"Broadview Heights","19,277","11","0","0","","0","11","0","0","0","0","0"
"Brooklyn","10,985","20","0","","0","14","6","709","85","556","68","0"
"Brookville","5,867","2","0","","0","1","1","101","30","64","7","0"
"Brunswick","34,402","16","1","1","","5","9","288","33","238","17","1"
"Brunswick Hills Township","10,078","0","0","0","","0","0","87","25","58","4","0"
"Bryan","8,512","1","0","0","","1","0","23","3","20","0","0"
"Burton","1,459","0","0","","0","0","0","1","0","1","0","0"
"Cambridge","10,534","37","0","","7","13","17","548","147","380","21","4"
"Canal Fulton","5,486","1","0","0","","0","1","80","10","68","2","1"
"Canfield","7,411","2","0","1","","0","1","74","12","60","2","0"
"Canton","72,598","673","11","","72","357","233","4,253","1,218","2,597","438","11"
"Cardington","2,046","1","0","0","","0","1","78","24","52","2","1"
"Celina","10,392","11","0","4","","3","4","373","38","324","11","6"
"Centerville","23,954","19","0","","6","2","11","435","73","344","18","5"
"Chagrin Falls","4,069","1","0","","0","1","0","53","9","42","2","0"
"Champion Township","9,480","3","0","2","","1","0","265","62","191","12","0"
"Chardon","5,172","6","0","","0","0","6","103","4","99","0","0"
"Chillicothe","21,679","73","0","8","","29","36","1,943","393","1,517","33","2"
"Cincinnati","296,491","2,826","70","199","","1,610","947","17,231","5,467","10,488","1,276","246"
"Circleville","13,491","23","0","12","","4","7","828","151","618","59","1"
"Clayton","13,211","5","0","0","","5","0","210","63","126","21","0"
"Clearcreek Township","14,642","4","0","1","","0","3","81","25","55","1","0"
"Cleveland","389,181","5,751","55","417","","3,490","1,789","23,168","8,259","10,784","4,125","317"
"Cleveland Heights","46,309","144","1","","5","94","44","1,556","254","1,226","76","4"
"Clinton Township","4,072","25","1","0","","18","6","186","37","139","10","0"
"Coalton","469","2","1","0","","1","0","46","7","38","1",""
"Coitsville Township","1,369","1","0","0","","1","0","29","12","15","2","0"
"Colerain Township","58,578","87","4","5","","47","31","1,777","314","1,417","46","8"
"Columbiana","6,315","4","0","0","","0","4","110","14","94","2","0"
"Commercial Point","1,587","0","0","0","","0","0","18","8","10","0","0"
"Conneaut","12,895","10","0","0","","3","7","284","94","185","5","1"
"Cortland","7,023","4","0","1","","2","1","80","16","64","0","1"
"Covington","2,596","1","0","0","","0","1","34","3","31","0","1"
"Crestline","4,487","5","0","1","","2","2","78","24","52","2","0"
"Cuyahoga Falls","49,133","69","0","13","","23","33","1,287","184","1,068","35","7"
"Danville","1,021","0","0","0","","0","0","32","7","24","1","0"
"Dayton","141,167","1,230","28","107","","518","577","7,655","2,613","4,427","615","127"
"Deer Park","5,695","8","0","","1","0","7","89","17","69","3",""
"Defiance","16,790","31","1","11","","3","16","473","86","385","2","3"
"Delaware","36,260","53","0","","17","15","21","928","172","719","37","11"
"Delhi Township","29,471","17","0","3","","7","7","672","119","536","17","1"
"Delphos","7,097","1","0","","1","0","0","178","29","145","4",""
"Delta","3,078","1","0","0","","1","0","33","8","24","1","0"
"Dover","12,787","14","0","6","","0","8","58","10","45","3","0"
"Dublin","43,387","10","0","","1","8","1","560","100","452","8","1"
"Eastlake","18,423","16","0","","1","9","6","432","49","371","12","0"
"East Palestine","4,631","6","0","2","","2","2","117","34","81","2","2"
"Eaton","8,307","12","0","6","","2","4","369","72","281","16","0"
"Englewood","13,455","15","0","2","","7","6","442","60","368","14","0"
"Evendale","2,762","8","0","","1","0","7","364","10","348","6","0"
"Fairborn","32,820","62","3","14","","23","22","925","211","690","24","3"
"Fairfax","1,692","1","0","0","","1","0","239","8","230","1","0"
"Fairfield","42,677","120","1","12","","37","70","1,100","174","880","46","8"
"Fairfield Township","21,781","25","0","2","","9","14","942","116","814","12","2"
"Fairport Harbor","3,097","10","0","","1","1","8","132","44","82","6","1"
"Findlay","41,660","75","1","12","","18","44","1,452","221","1,204","27","3"
"Forest Park","18,672","30","0","2","","27","1","468","87","350","31","1"
"Fort Recovery","1,422","0","0","0","","0","0","11","7","4","0","0"
"Franklin Township","9,639","5","0","0","","2","3","108","22","84","2","0"
"Fredericktown","2,469","0","0","0","","0","0","51","9","41","1","0"
"Fremont","16,515","42","0","","1","14","27","959","155","787","17","1"
"Gahanna","34,011","23","1","7","","8","7","714","136","563","15","5"
"Galion","10,202","22","0","3","","8","11","589","173","406","10","0"
"Gallipolis","3,634","4","0","0","","1","3","341","31","306","4","1"
"Gates Mills","2,256","0","0","","0","0","0","17","1","15","1","0"
"Georgetown","4,458","3","0","2","","0","1","117","20","96","1","0"
"Germantown","5,520","1","0","0","","0","1","42","7","34","1","0"
"German Township, Clark County","7,006","3","0","0","","3","0","132","26","106","0","0"
"German Township, Montgomery County","2,893","0","0","0","","0","0","49","18","31","0","0"
"Girard","9,771","35","0","1","","3","31","271","80","181","10","1"
"Goshen Township, Mahoning County","3,178","8","0","0","","0","8","110","30","73","7","0"
"Grafton","5,716","4","0","1","","0","3","17","7","9","1","0"
"Grandview Heights","7,052","8","1","0","","5","2","135","30","99","6","1"
"Greenfield","4,538","4","0","2","","0","2","204","39","159","6","0"
"Greenhills","3,591","1","0","0","","0","1","36","9","27","0","0"
"Greenville","13,064","34","0","","6","13","15","551","174","362","15","5"
"Grove City","37,208","40","1","5","","29","5","1,270","149","1,075","46","4"
"Groveport","5,598","3","0","0","","1","2","165","29","127","9","0"
"Hamilton","62,268","378","6","","52","189","131","3,925","1,036","2,687","202","39"
"Hamilton Township, Warren County","21,701","4","0","1","","0","3","212","36","171","5","0"
"Harrison","10,157","3","0","","1","1","1","245","23","217","5","1"
"Hartville","2,944","0","0","0","","0","0","51","13","36","2","0"
"Heath","10,410","20","0","10","","1","9","599","66","511","22","4"
"Hebron","2,354","1","0","1","","0","0","33","6","27","0","0"
"Highland Heights","8,277","6","0","","1","3","2","100","7","89","4","0"
"Hilliard","31,352","26","1","","8","8","9","719","127","565","27","5"
"Hillsboro","6,495","9","0","4","","2","3","310","35","269","6","0"
"Hinckley Township","7,777","2","0","2","","0","0","64","23","40","1","1"
"Holland","1,758","8","0","0","","5","3","257","9","246","2","0"
"Howland Township","17,084","22","0","2","","2","18","519","128","373","18","0"
"Hubbard","7,758","5","0","1","","1","3","136","36","93","7","1"
"Hubbard Township","5,559","7","0","0","","1","6","145","58","83","4","0"
"Huber Heights","38,118","61","2","10","","32","17","1,376","212","1,118","46","10"
"Hudson","22,340","3","0","0","","2","1","132","13","114","5","2"
"Hunting Valley","710","0","0","","0","0","0","0","0","0","0","0"
"Independence","7,140","4","0","1","","1","2","155","16","139","0","0"
"Indian Hill","5,789","2","0","0","","0","2","52","14","38","0","0"
"Jackson","6,314","7","0","2","","2","3","244","17","218","9","2"
"Jackson Center","1,450","0","0","0","","0","0","23","8","12","3","0"
"Jackson Township, Montgomery County","3,686","0","0","0","","0","0","28","11","15","2","0"
"Jackson Township, Stark County","40,436","43","0","9","","13","21","1,360","158","1,179","23","2"
"Johnstown","4,862","3","0","1","","1","1","89","3","86","0","0"
"Kent","30,121","56","0","5","","26","25","661","134","511","16","4"
"Kenton","8,171","13","1","2","","3","7","348","75","271","2","0"
"Kettering","55,907","53","1","24","","15","13","1,287","337","890","60","0"
"Kirtland","6,851","0","0","0","","0","0","36","2","32","2","0"
"Kirtland Hills","643","0","0","0","","0","0","2","0","2","0","0"
"Lawrence Township","8,217","9","0","4","","0","5","82","33","43","6","0"
"Lebanon","20,480","20","0","7","","7","6","407","45","348","14","0"
"Liberty Township","11,885","21","0","6","","9","6","178","67","104","7","0"
"Lima","38,214","366","3","","42","78","243","1,932","582","1,255","95","26"
"Lithopolis","1,203","0","0","0","","0","0","6","1","5","0","0"
"Lockland","3,426","21","0","3","","11","7","160","44","98","18","0"
"Lodi","2,778","1","0","","0","0","1","53","3","48","2",""
"Logan","7,153","7","1","1","","5","0","337","48","279","10","0"
"London","9,867","16","0","3","","4","9","252","69","179","4","1"
"Lorain","63,582","304","6","30","","161","107","2,791","928","1,784","79","36"
"Loudonville","2,616","0","0","0","","0","0","42","7","34","1","0"
"Louisville","9,143","6","0","0","","2","4","184","59","119","6","0"
"Loveland","12,236","7","1","4","","0","2","126","18","107","1","1"
"Lowellville","1,129","0","0","0","","0","0","14","6","8","0","0"
"Lyndhurst","13,769","5","0","2","","0","3","0","0","0","0","0"
"Madeira","8,837","0","0","0","","0","0","32","8","23","1","1"
