"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Achille","501","0","0","0","","0","0","0","0","0","0","0"
"Ada","17,170","184","0","","14","4","166","935","277","607","51","5"
"Allen","937","0","0","0","","0","0","1","0","1","0","0"
"Altus","19,634","50","0","5","","10","35","774","267","486","21","3"
"Alva","4,901","3","0","1","","0","2","90","28","55","7","2"
"Anadarko","6,843","26","0","3","","3","20","259","83","164","12","5"
"Antlers","2,335","9","0","1","","0","8","72","28","37","7","0"
"Apache","1,447","2","0","0","","0","2","25","11","13","1","0"
"Ardmore","24,793","370","0","","24","30","316","1,681","366","1,238","77","4"
"Arkoma","1,945","3","0","0","","0","3","4","1","1","2","0"
"Atoka","3,098","11","0","1","","2","8","113","35","70","8","2"
"Bartlesville","36,389","87","2","","11","13","61","868","232","596","40","7"
"Beaver","1,492","4","0","0","","0","4","19","6","13","0","0"
"Beggs","1,255","3","0","1","","0","2","27","10","16","1","1"
"Bethany","19,529","57","0","","7","19","31","610","186","358","66","3"
"Bixby","23,122","25","0","5","","3","17","187","56","111","20","0"
"Blackwell","6,952","31","1","4","","2","24","134","57","74","3","3"
"Blanchard","8,016","10","0","2","","0","8","126","43","81","2","0"
"Boise City","1,203","0","0","0","","0","0","10","5","4","1","0"
"Boley","1,188","0","0","0","","0","0","0","0","0","0","0"
"Bristow","4,239","18","0","2","","0","16","194","63","116","15","2"
"Broken Arrow","102,956","147","0","","40","32","75","2,034","409","1,490","135","9"
"Broken Bow","4,155","32","0","","3","1","28","205","69","130","6","2"
"Caddo","1,027","1","0","0","","0","1","6","1","4","1","0"
"Calera","2,205","0","0","0","","0","0","17","4","12","1","0"
"Caney","201","0","0","0","","0","0","6","2","4","0","0"
"Canton","614","0","0","0","","0","0","16","13","3","0","0"
"Carnegie","1,720","6","0","0","","0","6","4","4","0","0","0"
"Carney","644","2","0","0","","0","2","16","7","9","0","2"
"Cashion","812","1","0","0","","0","1","2","0","2","0","0"
"Catoosa","7,168","50","0","","4","2","44","161","38","92","31","0"
"Chandler","3,093","10","1","3","","1","5","94","21","69","4","0"
"Checotah","3,393","3","0","0","","0","3","83","4","70","9","0"
"Chelsea","1,967","1","0","1","","0","0","28","7","19","2","0"
"Cherokee","1,501","4","0","1","","0","3","17","8","8","1","0"
"Chickasha","16,201","152","0","","14","10","128","534","166","333","35","3"
"Choctaw","11,768","17","1","2","","0","14","236","93","127","16","0"
"Chouteau","2,111","6","0","2","","0","4","61","11","46","4","1"
"Claremore","18,953","35","0","","8","3","24","506","79","405","22","1"
"Clayton","786","0","0","0","","0","0","1","0","1","0","0"
"Cleveland","3,224","10","0","3","","0","7","82","20","58","4","1"
"Clinton","9,423","31","0","7","","1","23","202","49","132","21","6"
"Coalgate","1,981","1","0","0","","0","1","2","1","1","0","0"
"Colbert","1,161","0","0","0","","0","0","12","3","9","0","0"
"Collinsville","5,952","4","0","3","","0","1","52","16","33","3","1"
"Comanche","1,645","2","0","0","","0","2","35","15","19","1","1"
"Cordell","2,903","3","0","1","","0","2","51","19","28","4","0"
"Coweta","9,559","13","0","3","","0","10","189","29","145","15","2"
"Crescent","1,483","0","0","0","","0","0","27","18","9","0","0"
"Cushing","7,860","16","0","2","","2","12","194","46","141","7","1"
"Davenport","804","2","0","0","","0","2","13","4","7","2","0"
"Davis","2,736","5","0","2","","0","3","103","39","56","8","0"
"Del City","21,959","126","0","","14","19","93","1,175","300","794","81","3"
"Depew","480","3","0","0","","0","3","6","5","0","1","0"
"Dewar","882","1","0","1","","0","0","6","3","3","0","0"
"Dewey","3,508","0","0","0","","0","0","7","1","6","0","0"
"Dibble","826","0","0","0","","0","0","1","1","0","0","0"
"Drumright","2,909","4","0","0","","0","4","41","7","29","5","0"
"Duncan","23,234","78","1","12","","19","46","1,189","308","836","45","5"
"Durant","16,585","168","0","","10","10","148","1,175","277","859","39","4"
"Edmond","85,974","87","0","","15","15","57","1,595","309","1,230","56","1"
"Elgin","2,617","0","0","0","","0","0","5","1","4","0","0"
"Elk City","12,463","30","0","0","","3","27","345","76","240","29","1"
"El Reno","17,743","45","0","","9","4","32","438","115","307","16","7"
"Enid","49,965","228","3","","24","16","185","2,294","557","1,647","90","6"
"Eufaula","2,919","7","0","1","","4","2","120","32","79","9","2"
"Fairfax","1,373","6","0","0","","0","6","18","11","6","1","0"
"Fairview","2,653","3","0","1","","0","2","58","17","38","3","0"
"Fletcher","1,194","0","0","0","","0","0","4","0","4","0","0"
"Forest Park","1,044","0","0","0","","0","0","12","4","7","1","0"
"Fort Gibson","4,123","4","0","3","","0","1","62","17","38","7","0"
"Frederick","3,825","18","0","0","","1","17","105","32","70","3","3"
"Geary","1,289","7","0","0","","0","7","45","18","26","1","1"
"Glenpool","11,588","69","0","","9","4","56","248","45","196","7","0"
"Goodwell","1,339","1","0","0","","0","1","24","15","8","1","0"
"Grove","6,684","33","1","","1","0","31","212","30","176","6","1"
"Guthrie","10,752","27","0","2","","3","22","314","70","228","16","3"
"Guymon","12,066","36","0","","1","3","32","214","49","157","8","1"
"Haileyville","785","1","0","0","","0","1","2","2","0","0","0"
"Harrah","5,498","10","0","2","","0","8","166","52","92","22","0"
"Hartshorne","2,041","3","0","0","","1","2","57","13","39","5","0"
"Haskell","1,989","2","1","0","","0","1","6","2","3","1","0"
"Healdton","2,786","9","0","2","","0","7","69","28","34","7","1"
"Heavener","3,377","9","0","3","","2","4","66","18","45","3","1"
"Hennessey","2,127","1","0","0","","0","1","34","5","28","1","0"
"Henryetta","5,814","10","0","1","","2","7","119","41","70","8","0"
"Hinton","3,216","0","0","0","","0","0","17","4","10","3","0"
"Hobart","3,678","5","0","2","","1","2","133","65","62","6","2"
"Holdenville","5,763","7","1","2","","0","4","46","16","20","10","2"
"Hollis","2,045","2","0","1","","0","1","110","59","51","0","1"
"Hominy","3,558","14","0","1","","1","12","81","31","44","6","0"
"Hooker","2,016","0","0","0","","0","0","17","4","11","2","0"
"Howe","797","1","0","0","","0","1","3","0","3","0","0"
"Hugo","5,304","3","0","0","","0","3","19","9","9","1","0"
"Hulbert","604","0","0","0","","0","0","3","1","2","0","0"
"Hydro","967","2","0","0","","0","2","27","8","18","1","0"
"Idabel","7,015","33","0","","5","0","28","364","103","250","11","0"
"Jay","2,480","1","0","","0","1","0","66","8","56","2","0"
"Jones","2,834","8","0","2","","0","6","34","11","22","1","0"
"Kiefer","1,848","1","0","0","","0","1","21","8","10","3","0"
"Kingfisher","4,644","2","0","1","","0","1","86","13","70","3","0"
"Kingston","1,615","0","0","0","","0","0","2","1","1","0","0"
"Krebs","1,983","2","0","1","","1","0","70","20","42","8","1"
"Lahoma","620","0","0","0","","0","0","6","2","4","0","0"
"Lamont","417","0","0","0","","0","0","1","0","1","0","0"
"Lawton","98,548","919","13","","80","168","658","5,027","1,485","3,313","229","33"
"Lexington","2,209","3","0","1","","0","2","45","10","32","3","3"
"Lindsay","2,788","25","0","1","","2","22","113","49","59","5","2"
"Locust Grove","1,416","1","0","0","","0","1","2","0","0","2","0"
"Lone Grove","5,163","4","0","1","","0","3","115","26","82","7","1"
"Luther","1,396","0","0","0","","0","0","11","6","4","1","0"
"Madill","3,809","0","0","0","","0","0","92","9","81","2","0"
"Mangum","2,897","6","0","5","","0","1","53","21","30","2","0"
"Mannford","3,089","3","0","","1","0","2","34","3","30","1","1"
"Marietta","2,661","11","0","4","","0","7","74","20","49","5","1"
"Marlow","4,618","8","0","0","","0","8","159","48","103","8","1"
"Maysville","1,214","2","0","0","","0","2","17","8","6","3","0"
"McAlester","18,277","89","1","8","","16","64","932","241","629","62","4"
"McCurtain","526","0","0","0","","0","0","1","0","1","0","0"
"McLoud","4,110","17","0","1","","0","16","69","15","40","14","0"
"Medicine Park","423","0","0","0","","0","0","0","0","0","0","0"
"Meeker","1,144","6","0","2","","0","4","31","5","23","3","1"
"Miami","13,794","59","1","4","","2","52","395","108","273","14","11"
"Midwest City","56,590","359","2","","48","48","261","2,926","707","1,958","261","10"
"Minco","1,649","5","0","1","","0","4","16","6","10","0","0"
"Moore","58,628","72","1","","7","23","41","1,887","393","1,361","133","4"
"Mooreland","1,225","1","0","0","","0","1","12","7","4","1","0"
"Morris","1,457","8","0","2","","1","5","6","4","1","1","0"
"Mountain View","780","1","0","0","","0","1","0","0","0","0","0"
"Muldrow","3,313","3","0","0","","0","3","61","20","34","7","1"
"Muskogee","38,884","309","2","19","","33","255","1,752","584","1,083","85","13"
"Mustang","18,895","39","0","","2","0","37","440","67","357","16","3"
"Newcastle","8,479","8","0","1","","2","5","329","83","210","36","0"
"Newkirk","2,267","3","0","1","","0","2","27","8","18","1","0"
"Nichols Hills","3,836","2","0","0","","0","2","85","17","61","7","0"
"Nicoma Park","2,458","2","0","0","","0","2","54","17","31","6","0"
"Ninnekah","1,023","0","0","0","","0","0","7","2","4","1","0"
"Noble","6,702","7","0","1","","3","3","193","45","132","16","1"
"Norman","116,970","178","4","","56","46","72","2,941","612","2,161","168","14"
"North Enid","886","0","0","0","","0","0","3","3","0","0","0"
"Nowata","3,761","18","0","","1","0","17","56","16","37","3","1"
"Oilton","1,020","4","0","0","","0","4","9","5","3","1","0"
"Okemah","3,331","4","0","0","","1","3","150","35","112","3","1"
"Oklahoma City","605,034","4,998","62","","450","1,191","3,295","32,479","8,016","20,387","4,076","130"
"Okmulgee","12,345","45","0","","6","4","35","578","96","455","27","5"
"Oologah","1,188","0","0","0","","0","0","14","3","11","0","0"
"Owasso","31,973","56","0","4","","4","48","687","97","540","50","1"
"Pauls Valley","6,080","23","0","4","","1","18","253","49","196","8","1"
"Pawhuska","3,567","17","0","1","","1","15","73","21","46","6","1"
"Pawnee","2,163","3","0","","1","0","2","29","22","7","0","0"
"Perkins","2,854","7","0","1","","2","4","54","14","37","3","0"
"Perry","5,079","7","0","2","","0","5","93","34","56","3","0"
"Piedmont","6,384","6","0","0","","0","6","57","10","41","6","1"
"Pocola","4,011","1","0","0","","0","1","30","9","18","3","0"
"Ponca City","24,858","128","0","","25","17","86","1,284","268","973","43","5"
"Porum","721","4","0","0","","0","4","7","2","2","3","0"
"Poteau","8,529","39","0","2","","0","37","543","146","379","18","2"
"Prague","2,396","10","0","0","","0","10","83","33","44","6","0"
"Pryor","9,496","87","0","","10","3","74","291","95","171","25","0"
"Purcell","5,965","23","0","4","","2","17","345","78","246","21","4"
"Ringling","1,019","6","0","1","","0","5","23","8","14","1","0"
"Roland","3,277","1","0","0","","0","1","77","26","48","3","1"
"Rush Springs","1,238","1","0","1","","0","0","3","1","2","0","0"
"Sallisaw","8,586","29","0","3","","3","23","309","50","247","12","1"
"Sand Springs","19,180","20","0","","5","10","5","696","100","561","35","2"
"Sapulpa","20,857","39","0","5","","4","30","559","119","396","44","1"
"Sawyer","320","0","0","0","","0","0","6","1","5","0","0"
"Sayre","4,556","6","0","0","","1","5","49","18","26","5","2"
"Seiling","850","1","0","0","","0","1","23","5","18","0","0"
