"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Albany","51,645","40","0","","8","27","5","2,019","252","1,625","142","6"
"Amity","1,624","1","0","1","","0","0","26","1","25","0","1"
"Ashland","20,455","33","0","5","","7","21","674","76","585","13","10"
"Astoria","9,543","33","0","","3","1","29","445","89","324","32","3"
"Athena","1,144","1","0","1","","0","0","25","5","19","1","0"
"Aumsville","3,738","6","0","0","","1","5","82","20","59","3","0"
"Baker City","9,660","27","0","","1","2","24","370","68","293","9","5"
"Bandon","3,039","1","0","","0","1","0","88","24","59","5","1"
"Banks","1,862","4","0","","0","0","4","26","5","17","4","1"
"Beaverton","93,551","124","1","","20","22","81","1,471","175","1,213","83","15"
"Bend","79,926","182","1","21","","22","138","2,267","267","1,913","87","39"
"Black Butte","","0","0","0","","0","0","5","0","5","0","0"
"Boardman","3,369","8","0","3","","0","5","84","22","58","4","0"
"Brookings","6,313","2","0","","0","1","1","55","6","43","6","0"
"Burns","2,706","1","0","","0","0","1","66","19","43","4","0"
"Canby","16,031","13","0","","4","2","7","298","60","229","9","3"
"Cannon Beach","1,692","1","0","","0","0","1","38","1","35","2","0"
"Carlton","2,022","4","0","3","","0","1","18","3","15","0","0"
"Central Point","17,485","33","0","5","","4","24","601","47","530","24","6"
"Clatskanie","1,726","0","0","","0","0","0","51","19","28","4","0"
"Coburg","1,043","0","0","","0","0","0","15","5","9","1","0"
"Columbia City","1,938","0","0","0","","0","0","11","0","10","1","0"
"Condon","722","0","0","","0","0","0","2","0","2","0","0"
"Coos Bay","15,816","60","1","","3","6","50","965","166","745","54","3"
"Coquille","3,826","0","0","","0","0","0","67","12","51","4","0"
"Cornelius","12,231","18","0","","4","9","5","351","66","271","14","1"
"Corvallis","55,218","64","0","10","","16","38","1,587","195","1,354","38","8"
"Cottage Grove","9,795","18","1","","0","5","12","509","52","436","21","0"
"Dallas","14,803","41","0","6","","4","31","315","51","254","10","2"
"Eagle Point","8,669","24","0","4","","8","12","344","43","294","7","0"
"Enterprise","1,870","2","0","","1","0","1","21","10","11","0","0"
"Estacada","2,919","3","0","","0","0","3","108","30","74","4","0"
"Eugene","158,499","402","0","68","","195","139","7,920","1,539","5,773","608","55"
"Fairview","9,225","14","1","","4","2","7","248","24","193","31","4"
"Florence","8,489","6","0","","2","1","3","372","54","308","10","2"
"Forest Grove","22,239","76","0","","12","12","52","613","85","499","29","2"
"Gaston","665","1","0","","0","0","1","29","8","20","1","0"
"Gearhart","1,485","0","0","","0","0","0","6","4","2","0","0"
"Gervais","2,573","10","0","0","","1","9","59","10","34","15","2"
"Gladstone","11,699","23","1","","5","1","16","298","44","220","34","3"
"Gold Beach","2,239","0","0","","0","0","0","75","6","67","2","0"
"Grants Pass","34,865","110","1","11","","35","63","2,557","477","1,844","236","18"
"Gresham","109,965","611","5","","52","275","279","4,553","920","3,123","510","26"
"Hermiston","17,214","18","0","","6","9","3","575","96","404","75","1"
"Hillsboro","96,313","141","0","","29","55","57","2,160","311","1,723","126","9"
"Hines","1,508","0","0","","0","0","0","23","10","13","0","2"
"Hubbard","3,203","4","0","0","","0","4","28","1","26","1","1"
"Independence","8,661","11","0","1","","0","10","247","37","205","5","2"
"Jacksonville","2,813","3","0","1","","0","2","25","4","20","1","0"
"John Day","1,702","1","0","","0","0","1","32","5","25","2","0"
"Junction City","5,605","3","0","","0","1","2","87","13","65","9","0"
"Keizer","37,018","61","0","8","","7","46","907","112","745","50","7"
"King City","3,389","4","0","","0","1","3","56","12","41","3","1"
"Klamath Falls","21,043","76","2","","11","24","39","917","149","690","78","8"
"La Grande","13,034","28","0","4","","0","24","404","80","315","9","1"
"Lake Oswego","37,428","22","0","","6","5","11","615","111","480","24","13"
"Lakeview","2,252","10","0","","1","1","8","31","7","18","6","0"
"Lebanon","15,810","30","0","2","","11","17","701","117","530","54","5"
"Lincoln City","7,976","34","0","1","","10","23","388","107","270","11","5"
"Malin","791","1","0","","0","0","1","1","1","0","0","0"
"Manzanita","607","0","0","0","","0","0","11","2","8","1","0"
"McMinnville","32,642","68","1","17","","15","35","955","147","776","32","12"
"Medford","76,949","483","1","37","","99","346","4,813","575","4,075","163","53"
"Milton-Freewater","7,126","7","0","","3","0","4","316","51","244","21","9"
"Milwaukie","20,480","30","0","","5","5","20","574","78","434","62","3"
"Molalla","8,282","11","0","","2","2","7","268","52","207","9","3"
"Monmouth","9,792","13","0","1","","1","11","231","30","196","5","1"
"Mount Angel","3,405","8","0","1","","1","6","60","8","49","3","0"
"Newberg-Dundee","25,647","22","0","8","","1","13","379","48","306","25","3"
"Newport","10,029","46","0","9","","3","34","602","90","497","15","1"
"North Bend","9,605","7","0","","3","0","4","510","84","407","19","4"
"North Plains","2,033","2","0","","1","0","1","32","5","24","3","0"
"Ontario","11,069","65","1","","7","12","45","832","118","692","22","3"
"Oregon City","33,025","33","1","","8","6","18","1,008","126","827","55","0"
"Pendleton","16,902","54","0","15","","13","26","801","102","655","44","1"
"Philomath","4,598","2","0","","0","1","1","70","11","56","3","0"
"Phoenix","4,600","9","0","2","","3","4","112","16","89","7","0"
"Pilot Rock","1,518","0","0","0","","0","0","27","0","26","1","0"
"Portland","609,136","2,941","14","","234","917","1,776","29,633","4,128","22,216","3,289","168"
"Prineville","9,161","24","0","","1","1","22","295","45","249","1","2"
"Rainier","1,887","2","0","","0","1","1","43","6","33","4","0"
"Redmond","27,153","87","0","11","","15","61","1,067","157","867","43","11"
"Rockaway Beach","1,313","2","0","0","","0","2","48","20","28","0","0"
"Rogue River","2,173","2","0","0","","0","2","45","7","33","5","0"
"Salem","158,234","520","7","47","","138","328","6,782","983","5,143","656","42"
"Scappoose","6,677","11","0","","0","1","10","82","14","66","2","1"
"Seaside","6,475","8","0","","2","4","2","554","74","465","15","1"
"Sherwood","18,932","8","0","","2","2","4","301","31","260","10","3"
"Silverton","9,380","10","1","2","","3","4","207","28","173","6","3"
"Springfield","60,024","98","2","14","","32","50","3,198","478","2,450","270","25"
"Stanfield","2,058","2","0","1","","0","1","29","6","19","4","0"
"Stayton","7,733","23","0","3","","5","15","337","46","278","13","1"
"St. Helens","12,917","9","0","","5","2","2","353","46","291","16","3"
"Sunriver","","2","0","0","","0","2","80","16","60","4","0"
"Sweet Home","9,035","10","0","","1","4","5","501","82","398","21","0"
"Talent","6,191","7","0","2","","0","5","131","12","115","4","1"
"The Dalles","13,831","14","0","","1","6","7","692","141","513","38","4"
"Tigard","50,311","57","0","","14","23","20","1,626","173","1,384","69","10"
"Tillamook","4,932","10","0","1","","4","5","177","23","142","12","2"
"Toledo","3,461","16","1","2","","2","11","145","37","103","5","0"
"Troutdale","16,566","22","0","","3","9","10","509","64","396","49","5"
"Tualatin","26,925","24","0","","7","9","8","783","88","658","37","3"
"Turner","1,896","1","1","0","","0","0","24","7","15","2","0"
"Umatilla","7,040","13","0","2","","0","11","107","25","70","12","1"
"Warrenton","5,146","0","0","","0","0","0","167","25","134","8","0"
"West Linn","25,744","6","0","","3","0","3","279","36","234","9","2"
"Wilsonville","20,819","17","0","","6","6","5","461","51","374","36","2"
"Woodburn","24,263","82","1","7","","28","46","733","100","586","47","7"
"Yamhill","1,040","0","0","0","","0","0","16","3","13","0","0"
