"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Abington Township, Lackawanna County","1,750","1","0","0","","0","1","14","4","10","0","0"
"Abington Township, Montgomery County","55,559","63","0","5","","28","30","1,146","169","952","25","4"
"Adamstown","1,845","0","0","0","","0","0","20","4","12","4","0"
"Adams Township, Butler County","12,582","8","0","0","","0","8","63","11","51","1","0"
"Adams Township, Cambria County","5,868","0","0","0","","0","0","25","9","16","0","0"
"Akron","3,918","6","0","0","","0","6","28","9","18","1","1"
"Alburtis","2,390","1","0","0","","1","0","15","0","15","0","0"
"Aldan","4,150","2","0","1","","1","0","87","4","82","1","0"
"Aleppo Township","1,918","0","0","0","","0","0","7","0","7","0","0"
"Aliquippa","9,323","49","1","1","","8","39","136","43","83","10","0"
"Allegheny Township, Blair County","6,726","29","0","0","","0","29","144","11","130","3","0"
"Allegheny Township, Westmoreland County","8,332","4","0","0","","2","2","100","10","90","0","0"
"Allentown","119,277","628","12","64","","329","223","4,324","1,263","2,724","337","10"
"Altoona","46,103","131","2","25","","29","75","1,035","259","733","43","9"
"Ambler","6,514","12","0","0","","6","6","92","5","84","3","1"
"Ambridge","6,963","86","0","0","","13","73","251","58","187","6","1"
"Amity Township","12,744","3","0","0","","1","2","121","25","87","9","5"
"Annville Township","4,852","5","0","0","","0","5","70","9","60","1","0"
"Armagh Township","3,854","2","0","1","","0","1","9","2","7","0","0"
"Arnold","5,076","31","0","2","","16","13","61","21","31","9","1"
"Ashland","2,778","4","0","0","","0","4","57","16","40","1","2"
"Ashville","223","0","0","0","","0","0","0","0","0","0","0"
"Aspinwall","2,796","0","0","0","","0","0","46","9","37","0","0"
"Aston Township","16,873","7","0","0","","5","2","257","31","216","10","3"
"Athens","3,356","4","0","2","","0","2","72","2","69","1","1"
"Avalon","4,692","28","0","0","","0","28","105","19","80","6","0"
"Avis","1,521","2","0","1","","0","1","5","2","3","0","0"
"Avondale","1,431","0","0","0","","0","0","3","1","2","0","0"
"Avonmore Boro","992","0","0","0","","0","0","0","0","0","0","0"
"Baldwin Borough","19,810","22","0","2","","6","14","143","29","110","4","0"
"Bally","1,107","0","0","0","","0","0","0","0","0","0","0"
"Bangor","5,241","25","0","0","","0","25","123","19","102","2","0"
"Beallsville","459","0","0","0","","0","0","0","0","0","0","0"
"Beaver Falls","8,720","51","1","2","","17","31","407","32","364","11","1"
"Beaver Meadows","853","1","0","0","","0","1","8","1","7","0","0"
"Bedford","2,778","10","0","0","","0","10","36","6","29","1","0"
"Bell Acres","1,404","0","0","0","","0","0","2","0","2","0","0"
"Bellevue","8,347","27","0","1","","8","18","245","59","181","5","0"
"Bellwood","1,809","0","0","0","","0","0","34","2","32","0","0"
"Ben Avon","1,773","2","0","0","","0","2","36","1","35","0","0"
"Ben Avon Heights","374","0","0","0","","0","0","7","0","7","0","0"
"Bensalem Township","60,516","106","0","27","","58","21","2,026","198","1,738","90","13"
"Benton Area","1,936","0","0","0","","0","0","20","4","16","0","0"
"Berlin","2,065","5","0","0","","0","5","7","0","7","0","0"
"Bern Township","6,877","9","0","1","","0","8","63","7","54","2","0"
"Bernville","955","0","0","0","","0","0","2","0","2","0","0"
"Berwick","10,326","33","0","1","","3","29","401","106","284","11","1"
"Bessemer","1,082","0","0","0","","0","0","0","0","0","0","0"
"Bethel Park","32,392","19","0","1","","2","16","256","33","216","7","0"
"Bethel Township, Armstrong County","1,187","0","0","0","","0","0","0","0","0","0","0"
"Bethel Township, Berks County","4,125","5","0","0","","0","5","21","2","18","1","0"
"Bethel Township, Delaware County","9,102","19","1","0","","0","18","113","21","91","1","1"
"Bethlehem","75,135","183","4","27","","74","78","2,010","365","1,601","44","7"
"Bethlehem Township","23,873","22","0","0","","5","17","477","51","417","9","0"
"Biglerville4","1,206","0","0","0","","0","0","12","0","11","1","0"
"Birdsboro","5,162","6","0","2","","2","2","62","8","52","2","0"
"Birmingham Township","4,241","1","0","0","","1","0","22","2","19","1","0"
"Blair Township","4,573","1","0","0","","0","1","33","6","25","2","0"
"Blakely","6,545","2","0","0","","0","2","96","17","74","5","0"
"Blawnox","1,433","7","0","0","","0","7","11","5","6","0","0"
"Bloomsburg Town","14,563","41","0","9","","3","29","231","56","173","2","0"
"Blossburg","1,554","1","0","0","","0","1","9","3","6","0","0"
"Bonneauville","1,805","1","0","0","","0","1","7","0","5","2","0"
"Boswell","1,255","0","0","0","","0","0","0","0","0","0","0"
"Brackenridge","3,249","2","0","0","","0","2","72","8","60","4","0"
"Braddock Hills","1,876","4","0","2","","0","2","28","3","25","0","0"
"Bradford","8,660","89","0","4","","0","85","320","41","269","10","0"
"Bradford Township","4,834","12","0","2","","1","9","49","5","39","5","0"
"Brecknock Township, Berks County","4,614","1","0","0","","0","1","20","10","9","1","0"
"Brentwood","9,613","28","0","0","","6","22","239","22","201","16","0"
"Briar Creek Township","3,020","1","0","0","","0","1","70","15","53","2","0"
"Bridgeport","4,574","4","0","0","","0","4","127","23","101","3","0"
"Bridgeville","5,140","5","0","0","","0","5","69","11","57","1","0"
"Bridgewater","702","8","0","0","","1","7","31","9","21","1","0"
"Bristol","9,674","28","0","1","","17","10","310","55","246","9","2"
"Bristol Township","54,456","84","2","6","","58","18","1,464","247","1,127","90","9"
"Brockway","2,048","10","0","0","","1","9","51","3","48","0","0"
"Brookhaven","8,049","16","0","1","","9","6","167","18","143","6","1"
"Brookville","3,878","5","0","2","","0","3","81","2","79","0","1"
"Brownsville","2,309","10","0","0","","8","2","45","8","34","3","0"
"Bryn Athyn","1,402","0","0","0","","0","0","10","2","8","0","0"
"Buckingham Township","20,396","2","0","1","","0","1","97","13","82","2","0"
"Buffalo Township","7,314","11","0","0","","1","10","36","8","28","0","0"
"Buffalo Valley Regional","12,144","7","0","0","","1","6","81","17","64","0","0"
"Burgettstown","1,374","4","0","3","","0","1","29","11","17","1","1"
"Butler Township, Butler County","17,095","15","0","2","","4","9","361","24","329","8","0"
"Butler Township, Luzerne County","9,427","34","0","1","","0","33","152","35","116","1","0"
"Butler Township, Schuylkill County","5,850","0","0","0","","0","0","22","10","11","1","0"
"Caernarvon Township, Berks County","4,030","18","0","0","","0","18","89","12","73","4","0"
"California","7,267","21","0","3","","7","11","107","18","87","2","2"
"Callery","389","0","0","0","","0","0","0","0","0","0","0"
"Caln Township","14,090","71","1","1","","4","65","329","24","295","10","0"
"Cambria Township","6,025","1","0","0","","0","1","85","6","76","3","0"
"Cambridge Springs","2,383","1","0","0","","1","0","6","0","6","0","0"
"Canton","1,998","2","0","0","","0","2","33","7","24","2","0"
"Carbondale","8,869","11","0","1","","4","6","131","42","77","12","0"
"Carrolltown","836","1","0","0","","0","1","14","5","9","0","0"
"Carroll Township, Washington County","5,621","8","0","0","","0","8","57","8","47","2","0"
"Carroll Township, York County","6,074","3","1","0","","0","2","67","15","50","2","0"
"Carroll Valley4","3,896","2","0","1","","1","0","71","17","54","0","0"
"Castle Shannon","8,301","8","0","0","","1","7","71","12","59","0","0"
"Catasauqua","6,510","2","0","0","","0","2","103","15","78","10","0"
"Catawissa","1,527","4","0","2","","1","1","17","7","10","0","0"
"Cecil Township","11,683","5","0","0","","0","5","67","15","52","0","0"
"Center Township","11,775","25","0","0","","3","22","435","30","404","1","0"
"Centerville","3,236","2","0","0","","0","2","24","10","13","1","3"
"Central Berks Regional","9,493","13","0","2","","4","7","150","35","105","10","3"
"Chalfont","4,066","0","0","0","","0","0","19","1","18","0","0"
"Chambersburg","20,381","86","0","3","","46","37","810","127","660","23","1"
"Charleroi Regional","6,756","51","0","3","","11","37","350","74","265","11","5"
"Chartiers Township","7,938","5","0","1","","0","4","91","16","73","2","0"
"Cheltenham Township","36,903","88","1","1","","64","22","939","186","723","30","1"
"Cherry Tree","355","0","0","0","","0","0","0","0","0","0","0"
"Chester","34,037","731","22","29","","236","444","1,181","354","697","130","21"
"Chester Township","4,132","55","1","2","","6","46","133","53","71","9","1"
"Chippewa Township","8,152","3","0","0","","2","1","249","18","228","3","0"
"Christiana","1,172","1","0","0","","0","1","25","9","15","1","0"
"Churchill","3,007","11","0","0","","0","11","35","9","24","2","0"
"Clarion","5,117","5","0","1","","2","2","68","8","54","6","1"
"Clarks Summit","6,588","7","0","0","","0","7","38","9","29","0","0"
"Clearfield","6,108","26","0","2","","4","20","233","17","212","4","1"
"Cleona","2,119","2","0","0","","2","0","20","3","17","0","0"
"Clifton Heights","6,654","68","0","2","","11","55","170","22","141","7","3"
"Coaldale","2,238","0","0","0","","0","0","3","3","0","0","0"
"Coal Township","10,417","21","0","1","","0","20","304","50","245","9","2"
"Coatesville","13,144","140","0","0","","62","78","360","76","225","59","9"
"Cochranton","1,114","1","0","0","","1","0","3","3","0","0","0"
"Collegeville","5,161","1","0","0","","0","1","65","7","58","0","0"
"Collier Township","7,543","6","0","1","","0","5","201","18","181","2","0"
"Colonial Regional","19,575","7","0","2","","4","1","530","61","463","6","0"
"Columbia","10,375","24","1","2","","8","13","225","60","154","11","3"
"Conemaugh Township, Cambria County","1,966","3","0","0","","0","3","3","0","2","1","0"
"Conemaugh Township, Somerset County","7,175","4","0","1","","1","2","45","18","27","0","0"
"Conewago Township, Adams County","7,099","6","0","4","","1","1","89","6","82","1","0"
"Conewango Township","3,495","12","0","1","","1","10","122","10","111","1","0"
"Conneaut Lake Regional","3,538","0","0","0","","0","0","43","8","33","2","1"
"Connellsville","7,567","26","0","4","","14","8","357","85","260","12","0"
"Conoy Township","3,391","2","0","0","","1","1","28","14","14","0","0"
"Conshohocken","7,875","14","0","0","","3","11","160","15","139","6","0"
"Conway","2,164","3","0","0","","1","2","14","5","9","0","1"
"Conyngham","1,907","0","0","0","","0","0","7","2","5","0","0"
"Conyngham Township, Columbia County","754","4","0","0","","0","4","3","0","3","0","0"
"Coopersburg","2,406","4","0","0","","1","3","19","2","16","1","0"
"Coplay","3,228","1","0","0","","0","1","69","12","55","2","0"
"Coraopolis","5,661","43","1","1","","4","37","128","12","112","4","0"
"Cornwall","4,188","1","0","0","","0","1","4","1","3","0","0"
"Corry","6,546","33","0","1","","1","31","308","59","247","2","2"
"Coudersport","2,554","0","0","0","","0","0","10","1","9","0","0"
"Courtdale","735","3","0","0","","1","2","7","2","4","1","0"
"Covington Township","2,330","1","0","0","","0","1","40","11","28","1","0"
"Cranberry Township","29,062","17","0","3","","4","10","430","18","409","3","1"
"Crescent Township","2,643","7","0","0","","0","7","39","14","24","1","0"
"Cresson","1,668","3","0","0","","1","2","18","2","16","0","0"
"Cresson Township","4,278","2","0","1","","1","0","13","4","9","0","0"
"Croyle Township","2,304","0","0","0","","0","0","16","1","14","1","0"
"Cumberland Township, Adams County","6,169","3","0","0","","0","3","52","15","33","4","0"
"Cumberland Township, Greene County","6,493","18","0","0","","1","17","173","17","148","8","2"
"Cumru Township","15,222","17","0","1","","11","5","240","45","182","13","2"
"Curwensville","2,499","17","0","0","","1","16","49","7","41","1","0"
