"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Abbeville","5,163","40","1","1","","3","35","215","72","135","8","1"
"Aiken","29,965","96","1","8","","32","55","1,479","215","1,206","58","4"
"Allendale","3,272","49","2","3","","5","39","150","79","64","7","1"
"Anderson","26,812","278","2","21","","43","212","2,417","510","1,767","140","10"
"Andrews","2,823","26","1","3","","8","14","193","51","134","8","0"
"Aynor","613","1","0","0","","0","1","7","0","6","1","0"
"Bamberg","3,556","23","0","3","","2","18","134","28","101","5","0"
"Barnwell","4,657","45","2","2","","12","29","365","124","237","4","1"
"Batesburg-Leesville","5,408","50","0","7","","5","38","265","52","200","13","2"
"Beaufort","12,918","153","0","6","","28","119","804","126","659","19","1"
"Belton","4,222","33","1","7","","3","22","219","46","152","21","1"
"Bennettsville","8,809","115","1","5","","11","98","454","95","354","5","4"
"Bishopville","3,336","58","1","3","","4","50","242","43","185","14","0"
"Blacksburg","1,866","10","0","1","","3","6","95","12","79","4","0"
"Blackville","2,344","16","1","0","","1","14","89","25","56","8","0"
"Bluffton","13,047","49","0","2","","13","34","379","61","300","18","4"
"Burnettown","2,734","10","0","0","","0","10","34","7","23","4","0"
"Camden","6,923","97","0","6","","15","76","463","92","356","15","1"
"Central","5,153","7","0","2","","2","3","179","29","141","9","1"
"Chapin","1,506","9","0","0","","0","9","36","6","29","1","0"
"Charleston","127,206","231","7","29","","72","123","3,192","305","2,725","162","2"
"Cheraw","5,767","51","1","1","","11","38","365","49","305","11","0"
"Chesnee","886","10","0","0","","2","8","57","17","39","1","0"
"Chester","5,489","69","0","3","","10","56","369","95","262","12","1"
"Chesterfield","1,446","7","0","0","","1","6","50","8","42","0","0"
"Clemson","14,136","21","0","3","","9","9","494","141","303","50","1"
"Clinton","8,479","53","1","6","","7","39","443","84","346","13","0"
"Clover","5,342","148","0","1","","1","146","150","43","101","6","0"
"Columbia","132,240","952","8","58","","331","555","7,989","1,398","5,800","791","9"
"Conway","19,121","113","3","11","","19","80","880","111","727","42","2"
"Cottageville","746","0","0","0","","0","0","14","4","9","1","0"
"Coward","752","0","0","0","","0","0","19","7","11","1","0"
"Cowpens","2,209","5","0","2","","2","1","60","12","44","4","0"
"Darlington","6,200","48","0","3","","6","39","459","50","396","13","2"
"Denmark","3,475","24","3","1","","9","11","193","72","108","13","2"
"Dillon","6,627","107","0","17","","15","75","844","162","651","31","4"
"Due West","1,237","0","0","0","","0","0","10","1","8","1","0"
"Duncan","3,253","4","0","1","","0","3","82","11","66","5","0"
"Easley","20,115","75","1","4","","10","60","1,291","165","1,066","60","1"
"Edgefield","4,670","11","0","0","","0","11","47","12","31","4","0"
"Edisto Beach","411","0","0","0","","0","0","66","7","58","1","1"
"Ehrhardt","538","5","0","0","","1","4","34","11","23","0","0"
"Elgin","1,350","15","0","2","","7","6","80","13","63","4","0"
"Estill","1,996","31","2","2","","7","20","97","45","51","1","1"
"Florence","37,611","293","2","29","","69","193","2,936","456","2,376","104","6"
"Folly Beach","2,702","16","0","1","","1","14","148","27","114","7","1"
"Forest Acres","10,516","72","0","5","","17","50","603","133","446","24","0"
"Fort Lawn","871","3","0","0","","1","2","32","7","24","1","0"
"Fort Mill","11,530","23","3","3","","2","15","202","30","170","2","0"
"Fountain Inn","7,975","41","1","3","","2","35","145","28","108","9","1"
"Gaffney","12,675","66","1","12","","13","40","377","75","275","27","2"
"Gaston","1,662","5","0","1","","2","2","89","13","67","9","0"
"Georgetown","9,072","111","1","6","","20","84","514","101","395","18","2"
"Goose Creek","39,425","85","1","8","","14","62","962","189","724","49","4"
"Great Falls","1,936","10","0","3","","0","7","116","24","87","5","0"
"Greenville","61,185","455","3","35","","118","299","3,261","666","2,384","211","6"
"Greenwood","23,334","300","9","29","","31","231","1,493","336","1,127","30","7"
"Greer","26,955","125","0","17","","19","89","768","140","578","50","2"
"Hampton","2,740","10","0","1","","3","6","162","52","104","6","0"
"Hanahan","19,538","32","0","2","","10","20","442","70","342","30","0"
"Hardeeville","4,064","36","0","5","","8","23","246","51","179","16","0"
"Harleyville","696","8","0","0","","0","8","49","24","22","3","0"
"Hartsville","7,877","87","2","6","","18","61","792","120","639","33","1"
"Hemingway","442","5","0","0","","2","3","31","9","22","0","0"
"Holly Hill","1,259","16","0","0","","8","8","129","22","95","12","0"
"Honea Path","3,613","12","2","2","","2","6","156","53","95","8","3"
"Inman","2,392","10","0","2","","3","5","70","18","50","2","0"
"Irmo","11,616","53","0","0","","5","48","340","70","256","14","1"
"Isle of Palms","4,283","2","0","0","","0","2","140","28","107","5","0"
"Jackson","1,738","0","0","0","","0","0","42","21","19","2","0"
"Johnsonville","1,498","3","0","0","","2","1","29","8","20","1","0"
"Johnston","2,286","21","1","5","","2","13","69","20","44","5","0"
"Kingstree","3,239","41","0","4","","11","26","299","59","224","16","0"
"Lake City","6,726","68","0","9","","10","49","589","149","420","20","1"
"Lake View","792","4","0","0","","3","1","42","7","35","0","0"
"Lamar","978","5","0","1","","1","3","36","7","28","1","0"
"Lancaster","8,824","109","2","5","","18","84","619","153","453","13","3"
"Landrum","2,433","6","0","1","","1","4","64","13","49","2","0"
"Latta","1,349","37","0","0","","4","33","97","16","76","5","2"
"Laurens","9,068","90","0","7","","16","67","601","72","515","14","1"
"Lexington","19,547","45","0","3","","3","39","697","60","624","13","2"
"Liberty","3,255","9","0","1","","1","7","125","37","79","9","0"
"Loris","2,486","19","0","2","","2","15","144","24","116","4","1"
"Lyman","3,318","3","0","1","","0","2","143","17","126","0","0"
"Lynchburg","355","3","0","0","","1","2","19","6","13","0","0"
"Manning","4,034","58","0","0","","9","49","413","62","335","16","0"
"Marion","6,813","91","2","8","","22","59","595","168","401","26","1"
"Mauldin","24,099","40","0","10","","8","22","410","75","302","33","3"
"McBee","857","1","0","0","","0","1","35","13","22","0","0"
"McColl","2,086","19","0","0","","3","16","61","20","40","1","0"
"McCormick","2,720","9","0","1","","2","6","78","19","52","7","0"
"Moncks Corner","8,913","38","12","1","","6","19","542","92","415","35","0"
"Mount Pleasant","73,198","117","0","11","","16","90","1,428","169","1,195","64","7"
"Mullins","4,574","64","0","1","","12","51","447","185","252","10","4"
"Myrtle Beach","28,663","475","2","49","","186","238","4,575","608","3,497","470","18"
"Newberry","10,246","68","0","3","","6","59","493","84","401","8","0"
"New Ellenton","2,094","8","0","1","","3","4","83","37","44","2","0"
"Nichols","362","1","0","0","","0","1","17","8","9","0","0"
"North","753","2","0","0","","2","0","37","13","24","0","0"
"North Augusta","22,033","41","1","8","","18","14","829","102","701","26","4"
"North Charleston","103,324","693","13","56","","196","428","5,804","892","4,409","503","21"
"North Myrtle Beach","14,672","120","0","14","","20","86","1,568","279","1,153","136","4"
"Orangeburg","13,826","99","1","5","","30","63","855","207","598","50","1"
"Pacolet","2,279","9","0","2","","1","6","116","37","73","6","0"
"Pageland","2,716","26","0","2","","5","19","169","27","133","9","0"
"Pelion","689","5","0","1","","1","3","31","2","28","1","0"
"Pickens","3,148","13","0","3","","1","9","210","33","163","14","0"
"Port Royal","11,446","14","0","3","","5","6","294","74","207","13","0"
"Prosperity","1,185","1","0","1","","0","0","25","5","20","0","0"
"Ridgeland","4,072","15","3","1","","8","3","150","35","108","7","1"
"Rock Hill","68,617","372","4","49","","78","241","2,583","396","2,066","121","12"
"Salley","412","0","0","0","","0","0","5","2","1","2","1"
"Saluda","3,565","22","0","1","","2","19","86","20","63","3","0"
"Santee","952","13","0","2","","5","6","134","30","96","8","0"
"Scranton","903","0","0","0","","0","0","15","1","14","0","0"
"Seneca","8,096","60","0","11","","6","43","261","55","195","11","0"
"Spartanburg","37,522","527","3","24","","130","370","2,668","490","2,060","118","13"
"Springdale","2,698","9","0","1","","2","6","125","14","95","16","1"
"St. George","2,139","15","1","0","","3","11","131","18","104","9","0"
"St. Matthews","1,971","13","0","1","","2","10","77","17","51","9","1"
"Sullivans Island","1,858","2","0","0","","0","2","57","9","47","1","0"
"Summerton","972","10","5","0","","0","5","52","16","34","2","0"
"Summerville","45,210","104","0","13","","26","65","1,543","217","1,239","87","2"
"Sumter","40,928","387","2","13","","72","300","2,014","637","1,249","128","18"
"Surfside Beach","4,061","19","0","2","","4","13","260","68","174","18","2"
"Swansea","858","16","0","1","","1","14","51","16","32","3","0"
"Tega Cay","8,028","2","0","0","","0","2","126","10","115","1","0"
"Travelers Rest","4,803","9","0","0","","1","8","309","19","280","10","1"
"Turbeville","816","2","1","0","","0","1","28","7","20","1","0"
"Union","8,124","77","0","3","","11","63","373","95","272","6","1"
"Wagener","812","2","0","1","","1","0","46","18","24","4","0"
"Walhalla","4,243","23","0","3","","1","19","103","33","66","4","0"
"Walterboro","5,281","46","1","5","","11","29","548","63","471","14","1"
"Ware Shoals","2,162","25","0","7","","6","12","160","42","108","10","1"
"Wellford","2,427","3","0","0","","0","3","30","8","17","5","0"
"West Columbia","15,715","111","1","12","","23","75","771","106","625","40","1"
"Westminster","2,433","12","0","1","","1","10","103","17","81","5","1"
"West Pelzer","883","2","0","0","","0","2","124","11","106","7","0"
"West Union","292","2","0","2","","0","0","42","6","34","2","0"
"Whitmire","1,439","6","1","0","","0","5","50","12","37","1","1"
"Williamston","4,008","23","0","2","","1","20","181","31","140","10","0"
"Williston","3,067","16","0","0","","2","14","112","39","67","6","0"
"Winnsboro","3,428","14","0","4","","2","8","209","22","181","6","0"
"Woodruff","4,122","25","0","1","","3","21","97","18","74","5","0"
"York","7,927","63","0","12","","6","45","341","50","280","11","2"
