"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","26,999","74","0","14","","4","56","641","143","482","16","3"
"Avon","581","0","0","0","","0","0","0","0","0","0","0"
"Belle Fourche","5,676","14","0","9","","0","5","88","20","65","3","1"
"Beresford","2,049","3","0","1","","1","1","13","2","8","3","0"
"Box Elder","9,079","30","0","10","","0","20","182","77","96","9","2"
"Brandon","9,393","1","0","0","","0","1","42","5","37","0","0"
"Brookings","22,741","9","0","1","","0","8","77","9","62","6","0"
"Burke","605","0","0","0","","0","0","0","0","0","0","0"
"Canton","3,268","2","0","0","","0","2","19","4","14","1","0"
"Centerville","887","0","0","0","","0","0","5","3","2","0","0"
"Chamberlain","2,405","18","0","2","","0","16","95","15","76","4","0"
"Clark","1,045","2","0","0","","0","2","8","5","3","0","0"
"Deadwood","1,260","1","0","0","","1","0","44","2","39","3","0"
"Eagle Butte","1,363","0","0","0","","0","0","8","4","3","1","1"
"Estelline","757","0","0","0","","0","0","3","1","2","0","0"
"Faith","420","0","0","0","","0","0","0","0","0","0","0"
"Flandreau","2,311","12","0","2","","0","10","29","5","22","2","0"
"Freeman","1,260","0","0","0","","0","0","1","0","0","1","0"
"Gettysburg","1,180","0","0","0","","0","0","4","0","3","1","0"
"Hermosa","395","0","0","0","","0","0","0","0","0","0","0"
"Hot Springs","3,541","7","0","3","","0","4","22","2","14","6","0"
"Hoven","409","0","0","0","","0","0","0","0","0","0","0"
"Huron","12,956","55","0","17","","1","37","332","44","277","11","1"
"Irene","419","0","0","0","","0","0","0","0","0","0","0"
"Jefferson","547","0","0","0","","0","0","0","0","0","0","0"
"Kadoka","695","0","0","0","","0","0","2","0","2","0","0"
"Kimball","707","0","0","0","","0","0","3","2","1","0","0"
"Lead","3,076","4","0","0","","0","4","48","1","44","3","0"
"Lennox","2,229","2","0","0","","0","2","9","0","8","1","0"
"Leola","449","0","0","0","","0","0","0","0","0","0","0"
"Madison","6,904","4","0","0","","0","4","64","13","49","2","0"
"Martin","1,071","13","0","2","","0","11","27","5","20","2","1"
"Menno","587","0","0","0","","0","0","1","1","0","0","0"
"Miller","1,460","0","0","0","","0","0","12","4","7","1","0"
"Mitchell","15,555","63","0","9","","2","52","479","62","395","22","4"
"Mobridge","3,478","6","0","0","","0","6","55","3","50","2","1"
"North Sioux City","2,550","0","0","0","","0","0","42","4","37","1","0"
"Parkston","1,471","0","0","0","","0","0","4","1","2","1","0"
"Philip","782","0","0","0","","0","0","0","0","0","0","0"
"Pierre","13,996","31","0","13","","2","16","412","43","357","12","0"
"Rapid City","70,406","398","2","63","","48","285","2,629","578","1,902","149","18"
"Rosholt","427","0","0","0","","0","0","0","0","0","0","0"
"Scotland","832","0","0","0","","0","0","0","0","0","0","0"
"Selby","640","0","0","0","","0","0","6","2","4","0","0"
"Sioux Falls","161,754","636","3","138","","67","428","4,930","870","3,796","264","27"
"Sisseton","2,505","19","0","2","","2","15","46","11","32","3","0"
"Spearfish","10,778","8","0","4","","0","4","231","48","170","13","1"
"Springfield","1,979","0","0","0","","0","0","0","0","0","0","0"
"Sturgis","6,652","10","0","4","","0","6","172","26","137","9","1"
"Summerset","1,923","1","0","0","","0","1","0","0","0","0","0"
"Tea","4,459","3","0","0","","0","3","78","9","63","6","0"
"Tripp","625","0","0","0","","0","0","0","0","0","0","0"
"Tyndall","1,054","0","0","0","","0","0","0","0","0","0","0"
"Vermillion","10,892","31","0","5","","0","26","224","20","202","2","0"
"Viborg","773","0","0","0","","0","0","1","1","0","0","0"
"Wagner","1,575","2","0","0","","0","2","39","0","38","1","0"
"Watertown","21,900","59","1","16","","3","39","583","108","445","30","1"
"Whitewood","934","0","0","0","","0","0","0","0","0","0","0"
"Winner","2,821","6","0","2","","0","4","16","2","12","2","0"
"Worthing","927","0","0","0","","0","0","0","0","0","0","0"
"Yankton","14,561","48","0","20","","2","26","387","57","315","15","0"
