"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adamsville","2,235","4","0","1","","0","3","56","13","40","3","0"
"Alamo","2,461","10","0","2","","1","7","71","15","53","3","0"
"Alcoa","8,605","61","2","4","","12","43","445","73","350","22","2"
"Alexandria","975","2","0","0","","0","2","12","2","9","1","0"
"Algood","3,517","13","0","2","","0","11","144","20","122","2","2"
"Ardmore","1,206","7","0","1","","0","6","24","3","19","2","0"
"Ashland City","4,637","20","0","4","","2","14","200","27","163","10","0"
"Athens","13,504","161","0","13","","20","128","1,105","215","840","50","2"
"Atoka","8,821","11","0","2","","0","9","124","28","93","3","1"
"Baileyton","430","2","0","0","","1","1","13","0","13","0","0"
"Baneberry","501","0","0","0","","0","0","1","1","0","0","0"
"Bartlett","56,360","106","0","13","","13","80","1,111","168","887","56","1"
"Baxter","1,389","3","0","0","","0","3","52","11","40","1","0"
"Bean Station","2,972","16","2","0","","4","10","112","24","82","6","0"
"Belle Meade","2,999","1","0","0","","1","0","36","18","17","1","0"
"Bells","2,451","18","0","1","","2","15","53","14","37","2","0"
"Benton","1,330","2","0","1","","0","1","36","2","32","2","0"
"Berry Hill","551","3","0","0","","0","3","42","5","36","1","0"
"Big Sandy","549","2","0","0","","0","2","2","0","2","0","0"
"Blaine","1,860","0","0","0","","0","0","12","6","6","0","0"
"Bluff City","1,748","5","0","0","","0","5","51","12","38","1","0"
"Bolivar","5,231","35","1","0","","2","32","263","54","195","14","0"
"Bradford","1,030","5","0","0","","0","5","12","4","8","0","0"
"Brentwood","39,635","20","1","3","","4","12","446","65","370","11","0"
"Brighton","2,960","10","0","0","","0","10","39","9","26","4","0"
"Bristol","26,660","96","1","10","","8","77","1,124","186","888","50","4"
"Brownsville","9,886","143","1","5","","10","127","446","137","302","7","2"
"Bruceton","1,454","1","0","0","","0","1","24","7","15","2","1"
"Burns","1,469","3","0","2","","1","0","39","6","32","1","0"
"Calhoun","493","0","0","0","","0","0","11","2","7","2","0"
"Camden","3,634","5","0","0","","1","4","132","37","93","2","0"
"Carthage","2,271","6","0","0","","1","5","46","14","29","3","0"
"Caryville","2,270","10","0","0","","3","7","55","11","38","6","2"
"Celina","1,494","1","0","0","","0","1","37","6","30","1","0"
"Centerville","3,531","9","0","0","","2","7","70","21","48","1","0"
"Chapel Hill","1,450","6","0","0","","0","6","20","3","14","3","0"
"Charleston","664","1","0","0","","0","1","17","6","11","0","0"
"Chattanooga","172,286","1,692","18","64","","385","1,225","11,468","2,317","8,165","986","14"
"Church Hill","6,727","16","0","2","","1","13","117","23","92","2","0"
"Clarksburg","389","0","0","0","","0","0","2","0","2","0","0"
"Clarksville","145,599","748","6","84","","115","543","4,141","1,020","2,965","156","28"
"Cleveland","42,735","339","1","27","","32","279","2,440","414","1,912","114","8"
"Clifton","2,697","1","0","0","","0","1","8","6","2","0","0"
"Clinton","9,881","39","0","1","","8","30","327","35","280","12","1"
"Collegedale","9,468","16","0","0","","2","14","157","23","131","3","0"
"Collinwood","995","0","0","0","","0","0","5","0","5","0","1"
"Columbia","34,952","276","0","14","","38","224","1,435","302","1,084","49","8"
"Cookeville","31,174","143","0","16","","24","103","1,595","293","1,237","65","2"
"Coopertown","4,310","2","0","0","","0","2","45","16","25","4","1"
"Copperhill","340","0","0","0","","0","0","2","1","1","0","0"
"Cornersville","1,194","2","0","0","","0","2","15","5","9","1","0"
"Covington","9,076","114","0","8","","11","95","578","120","420","38","1"
"Cowan","1,705","5","0","0","","0","5","26","7","19","0","1"
"Cross Plains","1,724","5","0","0","","0","5","40","9","26","5","0"
"Crossville","11,199","142","0","11","","13","118","1,182","261","858","63","0"
"Crump","1,417","3","0","1","","0","2","33","11","20","2","0"
"Cumberland City","306","3","0","0","","0","3","13","8","5","0","0"
"Dandridge","2,862","5","0","1","","1","3","69","15","50","4","2"
"Dayton","7,351","16","0","1","","3","12","271","51","207","13","0"
"Decatur","1,570","3","0","0","","2","1","49","0","44","5","0"
"Decaturville","862","2","0","0","","0","2","14","5","8","1","0"
"Decherd","2,451","6","0","1","","0","5","61","10","48","3","0"
"Dickson","14,920","55","1","6","","8","40","808","120","657","31","0"
"Dover","1,420","3","0","0","","0","3","18","2","15","1","0"
"Dresden","2,954","4","0","0","","0","4","65","15","47","3","0"
"Dunlap","5,005","24","0","1","","3","20","219","30","173","16","0"
"Dyer","2,300","24","0","1","","0","23","43","9","32","2","0"
"Dyersburg","17,013","264","1","9","","34","220","1,228","265","932","31","10"
"Eagleville","620","0","0","0","","0","0","1","1","0","0","0"
"East Ridge","21,386","152","2","9","","36","105","1,151","240","804","107","6"
"Elizabethton","14,220","42","1","0","","3","38","690","85","584","21","0"
"Elkton","569","0","0","0","","0","0","0","0","0","0","0"
"Englewood","1,533","4","0","0","","0","4","23","4","16","3","0"
"Erin","1,323","10","0","1","","0","9","21","4","13","4","0"
"Erwin","6,038","38","3","2","","1","32","72","7","63","2","0"
"Estill Springs","2,017","10","0","2","","1","7","40","5","31","4","0"
"Ethridge","469","6","0","0","","0","6","22","4","15","3","0"
"Etowah","3,489","16","0","0","","2","14","136","32","99","5","2"
"Fairview","8,059","13","0","3","","1","9","102","18","76","8","2"
"Fayetteville","7,155","50","0","3","","10","37","414","65","334","15","1"
"Franklin","67,465","117","0","19","","20","78","988","90","873","25","3"
"Friendship","672","3","0","0","","0","3","6","1","5","0","0"
"Gadsden","468","5","0","0","","0","5","12","4","8","0","0"
"Gainesboro","946","1","0","0","","0","1","21","4","17","0","0"
"Gallatin","31,961","127","2","9","","7","109","629","72","531","26","2"
"Gallaway","668","4","0","0","","0","4","11","7","2","2","0"
"Gates","644","1","0","0","","0","1","10","7","2","1","0"
"Gatlinburg","4,074","32","0","3","","7","22","331","95","224","12","1"
"Germantown","39,631","38","1","2","","3","32","526","80","441","5","2"
"Gibson","384","0","0","0","","0","0","7","0","6","1","0"
"Gleason","1,419","1","0","0","","0","1","18","5","12","1","0"
"Goodlettsville","16,570","89","0","2","","26","61","745","98","626","21","1"
"Gordonsville","1,198","2","0","0","","0","2","32","10","20","2","0"
"Grand Junction","312","2","0","0","","1","1","5","0","4","1","0"
"Graysville","1,512","4","0","0","","1","3","10","6","3","1","0"
"Greenbrier","6,586","19","0","1","","2","16","108","26","79","3","2"
"Greeneville","15,015","70","0","7","","9","54","715","122","549","44","0"
"Greenfield","2,151","3","0","0","","0","3","15","3","11","1","0"
"Halls","2,223","14","0","0","","3","11","40","17","20","3","0"
"Harriman","6,240","40","0","2","","8","30","339","88","228","23","2"
"Henderson","6,396","24","0","1","","2","21","157","60","93","4","1"
"Hendersonville","53,617","91","1","3","","5","82","756","94","645","17","3"
"Henning","935","9","0","0","","1","8","55","24","30","1","0"
"Henry","463","0","0","0","","0","0","15","6","9","0","0"
"Hohenwald","3,659","20","1","1","","3","15","146","21","122","3","0"
"Hollow Rock","707","5","0","0","","0","5","8","2","5","1","0"
"Hornbeak","417","0","0","0","","0","0","3","3","0","0","0"
"Humboldt","8,458","131","3","10","","13","105","353","71","272","10","5"
"Huntingdon","3,967","8","1","0","","1","6","139","22","117","0","0"
"Huntland","850","5","0","0","","0","5","6","0","5","1","0"
"Jacksboro","2,002","4","0","0","","0","4","238","11","224","3","0"
"Jackson","67,371","925","11","40","","151","723","3,455","815","2,484","156","23"
"Jamestown","1,952","8","0","0","","0","8","106","12","92","2","0"
"Jasper","3,277","8","0","0","","0","8","81","23","54","4","1"
"Jefferson City","8,213","30","0","3","","1","26","347","42","293","12","2"
"Jellico","2,309","3","0","1","","0","2","79","16","59","4","0"
"Johnson City","64,928","297","2","23","","50","222","2,572","399","2,097","76","5"
"Jonesborough","5,163","8","0","0","","0","8","77","14","62","1","0"
"Kenton","1,251","1","0","0","","0","1","16","3","13","0","0"
"Kimball","1,405","3","0","0","","0","3","147","4","132","11","0"
"Kingsport","51,496","267","0","16","","31","220","2,657","381","2,151","125","10"
"Kingston","5,850","17","0","5","","4","8","109","27","78","4","2"
"Knoxville","183,249","1,541","18","139","","415","969","11,438","2,275","8,424","739","21"
"Lafayette","4,756","14","0","1","","0","13","123","29","92","2","1"
"La Follette","7,256","52","0","7","","10","35","568","159","389","20","2"
"Lake City","1,777","11","0","0","","3","8","124","24","89","11","3"
"Lawrenceburg","10,445","99","0","8","","3","88","606","143","445","18","2"
"Lebanon","28,208","200","2","7","","19","172","1,005","149","815","41","4"
"Lenoir City","8,945","30","0","2","","8","20","420","103","297","20","0"
"Lewisburg","11,242","83","2","4","","4","73","288","62","220","6","2"
"Lexington","7,844","88","0","4","","5","79","407","81","308","18","0"
"Livingston","4,082","15","0","0","","0","15","89","11","75","3","0"
"Lookout Mountain","1,866","0","0","0","","0","0","22","7","15","0","0"
"Loretto","1,727","2","0","0","","0","2","23","8","15","0","0"
"Loudon","5,710","5","0","1","","2","2","47","4","40","3","0"
"Madisonville","4,784","26","0","3","","3","20","268","34","214","20","1"
"Manchester","10,258","58","0","5","","5","48","558","81","451","26","2"
"Martin","11,404","23","0","1","","6","16","315","48","265","2","1"
"Maryville","28,009","61","0","8","","7","46","734","142","569","23","1"
"Mason","1,611","19","0","0","","1","18","43","9","19","15","1"
"Maury City","678","6","0","1","","0","5","12","2","9","1","0"
"Maynardville","2,382","4","0","0","","1","3","125","37","83","5","0"
"McEwen","1,696","2","0","0","","0","2","18","3","14","1","0"
"McKenzie","5,406","21","0","5","","1","15","250","89","152","9","0"
"Medina","3,920","4","0","0","","1","3","25","6","18","1","0"
"Memphis","657,691","10,894","124","437","","3,133","7,200","39,804","11,825","25,295","2,684","366"
"Middleton","686","3","0","0","","0","3","7","3","4","0","0"
"Milan","7,789","42","0","3","","3","36","267","63","199","5","1"
"Millersville","6,596","13","0","2","","0","11","68","17","48","3","0"
"Millington","10,500","92","0","9","","16","67","502","102","376","24","2"
"Minor Hill","528","1","0","0","","0","1","1","0","1","0","0"
"Monteagle","1,172","4","0","0","","0","4","11","3","8","0","0"
"Monterey","2,829","4","0","0","","1","3","38","8","26","4","1"
"Morristown","29,300","162","2","11","","25","124","1,583","134","1,375","74","5"
"Moscow","547","6","0","0","","0","6","13","3","9","1","1"
"Mountain City","2,504","4","0","1","","0","3","63","9","50","4","0"
"Mount Carmel","5,422","7","0","0","","0","7","67","13","50","4","0"
"Mount Juliet","27,542","48","0","12","","5","31","459","61","379","19","0"
"Mount Pleasant","4,583","59","0","0","","3","56","123","37","83","3","0"
"Munford","6,036","14","0","5","","1","8","150","35","114","1","1"
"Murfreesboro","115,587","705","4","54","","130","517","4,051","742","3,131","178","9"
"Nashville","635,673","6,612","35","437","","1,611","4,529","24,460","5,613","17,650","1,197","91"
"Newbern","3,332","26","0","0","","0","26","92","24","67","1","0"
"New Johnsonville","1,899","5","0","0","","0","5","26","4","21","1","0"
"New Market","1,362","0","0","0","","0","0","12","1","8","3","0"
"Newport","6,912","58","0","6","","6","46","607","92","488","27","0"
