"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"American Fork/Cedar Hills","37,544","26","1","","3","6","16","817","106","674","37","1"
"Big Water","471","2","0","","2","0","0","7","2","5","0","0"
"Blanding","3,543","18","0","","1","0","17","79","14","63","2","0"
"Bluffdale","8,100","10","0","4","","0","6","113","33","67","13","0"
"Bountiful3","42,976","61","0","23","","14","24","","","706","94","1"
"Brian Head","84","0","0","","0","0","0","25","4","21","0","0"
"Brigham City","18,217","58","1","27","","1","29","626","155","448","23","2"
"Cedar City","29,180","78","3","","21","3","51","677","120","529","28","0"
"Centerfield","1,373","0","0","","0","0","0","5","0","5","0","0"
"Centerville","16,488","19","0","16","","1","2","488","29","436","23","1"
"Clearfield","30,433","39","0","12","","4","23","630","99","495","36","1"
"Clinton","20,903","13","0","4","","0","9","308","36","253","19","0"
"Cottonwood Heights","34,208","37","0","","7","5","25","882","147","673","62","1"
"Draper","44,680","36","0","8","","7","21","1,089","193","837","59","3"
"East Carbon","1,269","1","0","","0","0","1","28","12","16","0","0"
"Enoch","6,049","18","0","","0","0","18","61","15","45","1","2"
"Ephraim","6,145","1","0","","0","0","1","112","15","94","3","0"
"Fairview","1,253","2","0","","0","0","2","10","2","5","3","0"
"Farmington","21,582","13","0","5","","0","8","416","39","353","24","3"
"Fountain Green","1,078","1","0","","1","0","0","15","0","13","2","0"
"Grantsville","9,530","15","0","7","","0","8","158","49","79","30","4"
"Harrisville","5,870","6","0","","0","1","5","270","39","220","11","0"
"Helper","2,185","4","0","2","","0","2","70","24","42","4","1"
"Hurricane3","14,558","14","0","3","","2","9","","","163","8","0"
"Kamas","1,926","2","0","","1","0","1","16","1","15","0","0"
"Kanab","4,438","6","0","0","","0","6","62","10","49","3","2"
"Kaysville","28,575","11","0","3","","4","4","258","54","189","15","1"
"La Verkin","4,174","14","1","","3","1","9","94","23","70","1","0"
"Layton","69,044","95","2","41","","13","39","1,712","198","1,447","67","6"
"Lehi","52,432","32","0","","9","4","19","763","147","561","55","0"
"Lindon","10,550","7","0","5","","0","2","325","34","283","8","0"
"Logan","49,049","35","0","20","","0","15","860","138","700","22","3"
"Lone Peak","26,669","2","0","","0","1","1","277","55","208","14","1"
"Mapleton","8,583","2","0","","2","0","0","103","8","92","3","0"
"Moab","5,096","19","0","6","","0","13","228","25","187","16","2"
"Monticello","1,980","1","0","","0","0","1","25","7","16","2","0"
"Moroni","1,430","0","0","","0","0","0","14","6","5","3","0"
"Mount Pleasant","3,282","5","0","","4","0","1","80","22","54","4","0"
"Naples","1,928","0","0","0","","0","0","29","7","20","2","1"
"Nephi","5,452","6","0","","1","0","5","155","25","120","10","0"
"North Ogden","17,915","9","0","8","","0","1","212","26","179","7","0"
"North Park","13,042","1","0","","1","0","0","189","28","151","10","0"
"North Salt Lake","16,815","33","0","8","","8","17","442","63","327","52","1"
"Ogden","84,045","416","2","78","","111","225","4,005","578","3,153","274","15"
"Orem","91,438","33","2","","13","7","11","2,079","192","1,789","98","0"
"Park City","7,957","31","0","","6","2","23","325","31","275","19","0"
"Parowan","2,837","5","0","","1","0","4","38","14","21","3","0"
"Payson","19,120","9","0","","1","0","8","477","71","384","22","0"
"Perry","4,471","13","0","1","","0","12","82","10","71","1","0"
"Pleasant Grove","34,796","16","0","2","","3","11","418","58","336","24","3"
"Pleasant View","8,446","2","0","","1","1","0","121","34","78","9","0"
"Price","8,589","27","1","12","","1","13","409","55","346","8","0"
"Provo","116,937","160","1","82","","21","56","2,810","329","2,373","108","7"
"Richfield","7,509","7","0","","4","1","2","238","31","201","6","0"
"Riverdale","8,595","11","0","1","","2","8","538","34","480","24","2"
"Roosevelt","6,404","63","0","43","","0","20","277","23","223","31","0"
"Roy","37,810","40","1","18","","9","12","765","111","625","29","2"
"Salem","6,867","3","1","","1","0","1","85","21","64","0","0"
"Salina","2,492","5","0","","2","0","3","91","17","72","2","1"
"Salt Lake City","190,246","1,475","7","204","","422","842","13,461","2,068","9,517","1,876","34"
"Sandy","89,943","134","1","27","","30","76","2,942","576","2,173","193","3"
"Santaquin/Genola","11,224","3","0","","0","0","3","133","14","113","6","0"
"Saratoga Springs","22,301","12","0","5","","0","7","201","24","172","5","0"
"Smithfield","10,140","7","0","","1","0","6","53","21","29","3","0"
"South Jordan","57,593","28","0","8","","5","15","1,241","185","993","63","1"
"South Ogden","16,792","24","0","9","","3","12","337","78","242","17","0"
"South Salt Lake","24,595","204","2","41","","45","116","1,666","213","1,138","315","5"
"Spanish Fork","36,690","10","1","2","","2","5","474","87","375","12","1"
"Springdale","552","3","0","","0","0","3","30","6","24","0","0"
"Springville","30,940","33","0","","6","4","23","682","68","595","19","1"
"St. George","76,427","133","1","39","","11","82","1,728","475","1,184","69","3"
"Stockton","614","0","0","","0","0","0","0","0","0","0","0"
"Sunset","5,137","4","0","2","","0","2","132","17","112","3","0"
"Syracuse","25,337","6","0","3","","0","3","248","33","205","10","0"
"Tooele","32,241","72","0","25","","12","35","1,337","261","999","77","7"
"Tremonton","7,824","28","0","9","","1","18","216","29","179","8","3"
"Vernal","10,099","33","0","8","","2","23","434","48","378","8","2"
"Washington","21,616","18","0","9","","1","8","512","85","410","17","0"
"West Bountiful","5,345","17","0","13","","0","4","139","18","109","12","0"
"West Valley","133,373","703","4","102","","156","441","6,560","1,132","4,447","981","12"
"Willard","1,737","2","0","0","","0","2","34","4","27","3","0"
"Woods Cross","10,343","33","0","23","","1","9","271","46","189","36","1"
