"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Barre Town","7,932","2","0","0","","0","2","162","51","107","4","0"
"Bennington","15,492","31","0","4","","2","25","477","128","327","22","4"
"Berlin","2,867","13","0","1","","1","11","143","13","125","5","0"
"Bradford","2,777","1","0","0","","1","0","64","8","55","1","0"
"Brattleboro","11,784","36","0","4","","7","25","606","98","490","18","0"
"Brighton","1,199","0","0","0","","0","0","12","1","10","1","0"
"Bristol","3,871","2","0","0","","0","2","35","4","31","0","0"
"Castleton","4,649","9","0","1","","0","8","49","8","38","3","0"
"Colchester","17,288","14","0","1","","2","11","354","75","279","0","0"
"Dover","1,110","1","0","0","","0","1","87","15","71","1","0"
"Essex","20,199","19","1","1","","8","9","481","111","361","9","2"
"Fair Haven","2,681","2","0","0","","0","2","64","9","54","1","0"
"Hardwick","2,957","8","0","0","","0","8","102","28","73","1","2"
"Hartford","9,804","18","1","3","","3","11","160","37","116","7","0"
"Hinesburg","4,475","1","0","0","","0","1","53","8","41","4","0"
"Milton","10,577","6","0","1","","0","5","178","25","153","0","3"
"Morristown","5,369","1","0","0","","1","0","101","16","85","0","0"
"Newport","4,513","15","0","8","","1","6","132","38","91","3","0"
"Northfield","6,175","6","0","0","","0","6","63","16","47","0","1"
"Norwich","3,387","0","0","0","","0","0","51","18","29","4","0"
"Randolph","4,757","1","0","0","","0","1","79","22","53","4","1"
"Richmond","4,094","0","0","0","","0","0","63","23","39","1","0"
"Rutland","16,137","63","0","5","","6","52","1,011","199","788","24","0"
"Shelburne","7,551","2","0","0","","0","2","98","23","73","2","0"
"Springfield","9,259","20","0","1","","4","15","295","59","224","12","1"
"St. Johnsbury","7,590","15","0","0","","0","15","148","40","97","11","2"
"Stowe","4,413","2","0","1","","0","1","94","8","85","1","0"
"Swanton","6,440","3","0","0","","1","2","82","18","60","4","0"
"Vergennes","2,580","3","0","0","","0","3","46","7","38","1","0"
"Waterbury","5,112","3","0","1","","0","2","22","2","20","0","0"
"Weathersfield","2,806","1","0","0","","0","1","46","16","28","2","0"
"Williston","9,042","5","0","1","","0","4","280","22","253","5","2"
"Wilmington","1,846","3","0","0","","0","3","36","11","24","1","0"
"Windsor","3,483","8","0","0","","1","7","40","13","23","4","0"
"Woodstock","3,003","0","0","0","","0","0","25","3","22","0","0"
