"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Abingdon","8,186","10","0","3","","1","6","233","20","198","15","4"
"Alexandria","148,519","258","5","21","","118","114","2,967","249","2,427","291","13"
"Altavista","3,486","8","0","0","","2","6","56","4","52","0","0"
"Amherst","2,223","2","0","2","","0","0","27","6","19","2","0"
"Appalachia","1,728","12","0","2","","2","8","77","25","51","1","0"
"Ashland","7,310","26","0","1","","8","17","246","14","221","11","1"
"Bedford","5,894","12","0","4","","3","5","237","26","199","12","0"
"Berryville","4,290","5","0","2","","1","2","80","7","72","1","0"
"Big Stone Gap","5,568","17","0","5","","0","12","203","21","176","6","2"
"Blacksburg","42,603","31","0","7","","4","20","523","91","417","15","8"
"Blackstone","3,574","14","0","1","","6","7","129","14","114","1","1"
"Bloxom","390","0","0","0","","0","0","1","1","0","0","0"
"Bowling Green","1,130","0","0","0","","0","0","0","0","0","0","0"
"Boykins","554","0","0","0","","0","0","10","1","8","1","0"
"Bridgewater","5,817","4","0","1","","0","3","48","10","37","1","0"
"Bristol","17,641","59","0","6","","7","46","543","61","462","20","5"
"Broadway","3,766","0","0","0","","0","0","9","4","5","0","0"
"Brookneal","1,121","1","0","0","","0","1","15","3","12","0","0"
"Buena Vista","6,747","9","1","3","","0","5","58","1","56","1","1"
"Burkeville","424","1","0","0","","0","1","9","0","8","1","0"
"Cape Charles","996","0","0","0","","0","0","14","2","11","1","1"
"Charlottesville","44,187","211","1","20","","63","127","1,471","200","1,218","53","5"
"Chase City","2,328","9","0","1","","2","6","62","7","55","0","0"
"Chatham","1,494","0","0","0","","0","0","9","0","9","0","0"
"Chesapeake","230,577","737","9","48","","155","525","6,188","1,076","4,832","280","23"
"Chilhowie","1,750","0","0","0","","0","0","36","4","30","2","0"
"Chincoteague","2,949","2","0","0","","0","2","45","9","35","1","1"
"Christiansburg","21,581","30","1","13","","3","13","545","53","478","14","2"
"Clarksville","1,129","3","0","0","","0","3","20","2","16","2","0"
"Clifton Forge","3,876","8","0","2","","0","6","50","9","37","4","0"
"Clintwood","1,374","2","0","0","","0","2","25","3","21","1","0"
"Coeburn","2,117","3","0","0","","0","3","105","23","79","3","1"
"Colonial Beach","3,554","8","0","3","","1","4","88","20","57","11","0"
"Colonial Heights","17,553","43","1","14","","13","15","748","49","681","18","1"
"Covington","5,725","7","1","0","","0","6","105","18","85","2","1"
"Crewe","2,295","3","0","0","","0","3","63","19","42","2","0"
"Culpeper","16,703","38","0","4","","10","24","548","28","500","20","0"
"Damascus","815","2","0","1","","0","1","20","3","17","0","0"
"Danville","43,133","150","5","20","","60","65","2,036","444","1,508","84","13"
"Dayton","1,558","0","0","0","","0","0","12","3","9","0","0"
"Dublin","2,512","2","0","2","","0","0","46","5","36","5","0"
"Dumfries","5,194","0","0","0","","0","0","113","21","81","11","0"
"Edinburg","1,058","0","0","0","","0","0","17","3","14","0","0"
"Elkton","2,776","0","0","0","","0","0","31","4","24","3","0"
"Emporia","5,693","24","0","2","","6","16","235","44","187","4","2"
"Exmore","1,446","6","0","1","","0","5","34","10","22","2","1"
"Fairfax City","23,801","26","0","3","","11","12","396","27","346","23","0"
"Falls Church","13,517","24","1","4","","9","10","215","14","194","7","0"
"Farmville","8,142","15","0","1","","6","8","271","15","253","3","1"
"Franklin","8,520","35","0","11","","12","12","446","97","337","12","2"
"Fredericksburg","28,411","114","1","3","","29","81","1,134","66","1,036","32","0"
"Front Royal","14,730","30","0","19","","7","4","501","40","436","25","0"
"Galax","6,870","12","0","0","","1","11","275","22","249","4","1"
"Gate City","1,996","4","0","1","","1","2","37","7","28","2","0"
"Glasgow","1,138","1","0","0","","0","1","9","2","7","0","0"
"Glen Lyn","112","1","0","0","","0","1","9","1","7","1","0"
"Gordonsville","1,539","1","0","0","","1","0","19","0","18","1","0"
"Gretna","1,245","1","0","0","","0","1","10","5","4","1","1"
"Grottoes","2,723","0","0","0","","0","0","22","3","19","0","0"
"Grundy","1,008","0","0","0","","0","0","9","0","8","1","0"
"Halifax","1,301","1","0","0","","0","1","4","0","4","0","0"
"Hampton","136,949","292","22","21","","120","129","4,473","722","3,525","226","23"
"Harrisonburg","51,767","106","1","18","","16","71","1,367","206","1,126","35","1"
"Haymarket","1,949","0","0","0","","0","0","23","0","23","0","0"
"Haysi","490","0","0","0","","0","0","10","1","9","0","0"
"Herndon","24,561","51","0","8","","18","25","366","27","331","8","0"
"Hillsville","2,702","10","0","3","","2","5","82","6","69","7","0"
"Honaker","1,416","4","0","0","","0","4","2","0","2","0","0"
"Hopewell","22,305","100","3","4","","35","58","785","232","504","49","0"
"Hurt","1,281","0","0","0","","0","0","2","0","2","0","0"
"Independence","924","1","0","0","","1","0","5","0","5","0","0"
"Jonesville","1,030","0","0","0","","0","0","13","0","13","0","0"
"Kenbridge","1,231","6","0","2","","0","4","13","4","9","0","0"
"Kilmarnock","1,464","3","0","2","","1","0","35","2","33","0","0"
"La Crosse","600","0","0","0","","0","0","2","1","1","0","0"
"Lawrenceville","1,259","2","0","2","","0","0","27","8","17","2","0"
"Lebanon","3,384","3","0","1","","0","2","110","11","95","4","0"
"Leesburg","46,951","74","1","18","","7","48","865","48","803","14","4"
"Lexington","6,995","4","0","1","","1","2","62","6","54","2","0"
"Louisa","1,571","2","0","0","","1","1","50","4","45","1","0"
"Luray","4,862","3","0","2","","1","0","103","13","85","5","0"
"Lynchburg","77,757","330","1","36","","73","220","1,974","349","1,538","87","6"
"Manassas","41,512","122","0","23","","38","61","839","94","696","49","7"
"Manassas Park","16,332","15","0","6","","3","6","203","23","166","14","2"
"Marion","5,838","25","0","4","","4","17","207","20","180","7","0"
"Martinsville","13,771","56","0","2","","20","34","500","65","408","27","2"
"Middleburg","739","0","0","0","","0","0","10","2","8","0","0"
"Middletown","1,307","4","0","1","","0","3","16","5","10","1","2"
"Mount Jackson","2,024","3","0","2","","0","1","31","8","23","0","0"
"Narrows","1,976","4","0","2","","0","2","4","0","4","0","0"
"New Market","2,185","0","0","0","","0","0","21","3","17","1","0"
"Newport News","181,074","795","15","56","","246","478","5,582","991","4,247","344","64"
"Norfolk","247,303","1,418","28","134","","414","842","10,812","2,039","8,006","767","43"
"Norton","4,108","11","0","6","","2","3","192","23","165","4","0"
"Occoquan","987","0","0","0","","0","0","0","0","0","0","0"
"Onancock","1,263","0","0","0","","0","0","30","4","26","0","0"
"Onley","519","0","0","0","","0","0","7","1","5","1","0"
"Orange","4,841","8","0","3","","1","4","112","11","98","3","0"
"Parksley","848","0","0","0","","0","0","19","0","19","0","1"
"Pearisburg","2,699","4","0","3","","0","1","85","4","79","2","0"
"Pembroke","1,097","0","0","0","","0","0","48","6","42","0","1"
"Pennington Gap","1,864","5","0","1","","0","4","49","8","41","0","1"
"Petersburg","31,847","163","7","9","","56","91","1,103","345","671","87","3"
"Pocahontas","390","1","0","1","","0","0","0","0","0","0","0"
"Poquoson","12,108","17","0","2","","0","15","135","14","117","4","2"
"Portsmouth","97,018","590","12","47","","177","354","5,355","1,535","3,615","205","5"
"Pound","1,026","2","0","0","","0","2","30","10","18","2","0"
"Pulaski","8,978","27","1","10","","2","14","356","54","295","7","0"
"Purcellville","8,474","2","0","0","","1","1","36","2","34","0","1"
"Quantico","523","0","0","0","","0","0","3","1","1","1","0"
"Radford","16,810","91","0","11","","7","73","407","75","321","11","2"
"Rich Creek","755","2","0","0","","0","2","1","0","1","0","0"
"Richlands","5,652","12","0","1","","0","11","218","46","168","4","2"
"Richmond","212,830","1,327","37","43","","624","623","8,704","1,817","5,949","938","50"
"Roanoke","97,927","457","9","44","","142","262","4,444","628","3,636","180","21"
"Rocky Mount","4,827","23","0","8","","0","15","173","9","160","4","0"
"Rural Retreat","1,487","0","0","0","","0","0","9","0","9","0","0"
"Salem","25,066","24","2","3","","12","7","604","74","503","27","1"
"Saltville","2,043","8","0","1","","0","7","39","5","34","0","2"
"Shenandoah","2,350","2","0","0","","0","2","55","16","39","0","0"
"Smithfield","8,141","13","0","2","","2","9","128","17","102","9","2"
"South Boston","8,048","43","0","6","","8","29","384","65","309","10","3"
"South Hill","4,592","16","0","2","","7","7","127","9","116","2","0"
"Stanley","1,672","2","0","0","","0","2","37","10","25","2","0"
"Staunton","24,007","50","1","15","","5","29","598","71","510","17","7"
"Stephens City","1,888","0","0","0","","0","0","51","7","41","3","0"
"St. Paul","960","4","0","0","","0","4","50","9","40","1","1"
"Strasburg","6,516","9","0","4","","0","5","92","6","86","0","1"
"Suffolk","85,475","268","7","37","","64","160","2,582","500","1,980","102","24"
"Tappahannock","2,398","5","0","1","","0","4","123","9","113","1","0"
"Tazewell","4,507","7","0","0","","1","6","86","14","69","3","1"
"Timberville","2,569","0","0","0","","0","0","6","2","4","0","0"
"Victoria","1,687","0","0","0","","0","0","18","5","13","0","0"
"Vienna","16,335","9","0","0","","2","7","209","29","177","3","0"
"Vinton","8,104","34","0","1","","4","29","270","13","251","6","0"
"Virginia Beach","450,687","730","17","140","","304","269","11,226","1,407","9,374","445","99"
"Warrenton","9,860","13","0","2","","5","6","170","14","154","2","3"
"Warsaw","1,493","0","0","0","","0","0","6","0","5","1","0"
"Waverly","2,114","1","0","0","","0","1","24","6","17","1","0"
"Waynesboro","21,175","46","0","15","","8","23","688","101","553","34","0"
"Weber City","1,285","0","0","0","","0","0","11","2","8","1","0"
"West Point","3,311","2","0","0","","0","2","37","9","26","2","0"
"White Stone","346","0","0","0","","0","0","3","0","3","0","1"
"Williamsburg","15,565","22","1","4","","6","11","191","12","171","8","0"
"Winchester","27,163","89","1","25","","29","34","1,006","106","867","33","4"
"Windsor","2,631","5","0","0","","0","5","47","4","42","1","1"
"Wise","3,251","7","0","2","","0","5","79","10","66","3","1"
"Woodstock","5,193","16","1","1","","2","12","107","6","99","2","0"
"Wytheville","8,194","10","0","2","","1","7","234","69","159","6","0"
