"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alderson","1,184","0","0","0","","0","0","10","0","10","0","0"
"Barboursville","4,099","1","0","1","","0","0","289","16","270","3","0"
"Beech Bottom","514","0","0","0","","0","0","1","0","1","0","0"
"Benwood","1,389","2","0","0","","0","2","0","0","0","0","0"
"Bluefield","10,517","56","0","13","","8","35","289","73","197","19","5"
"Bridgeport","8,425","12","0","0","","0","12","201","18","180","3","0"
"Buckhannon","5,649","9","0","1","","0","8","245","33","204","8","0"
"Chapmanville","1,264","2","0","0","","0","2","40","2","34","4","0"
"Charles Town","5,421","10","0","0","","2","8","71","18","51","2","1"
"Clearview","554","0","0","0","","0","0","0","0","0","0","0"
"Dunbar","7,834","24","1","4","","6","13","161","45","108","8","1"
"Eleanor","1,559","2","0","0","","0","2","3","1","2","0","0"
"Elkins","7,183","68","0","1","","5","62","205","52","150","3","0"
"Gauley Bridge","609","1","0","0","","0","1","3","1","2","0","0"
"Glasgow","894","2","0","1","","0","1","23","6","15","2","0"
"Glen Dale","1,494","6","0","0","","0","6","13","5","7","1","0"
"Glenville","1,553","0","0","0","","0","0","3","0","3","0","0"
"Grafton","5,183","3","0","0","","0","3","9","2","7","0","0"
"Hamlin","1,136","15","0","0","","0","15","31","11","20","0","0"
"Harpers Ferry/Bolivar","1,339","0","0","0","","0","0","2","1","1","0","0"
"Harrisville","1,819","4","0","0","","0","4","6","1","5","0","0"
"Hinton","2,604","3","0","0","","1","2","70","32","36","2","1"
"Hurricane","6,382","3","0","3","","0","0","158","23","132","3","0"
"Kenova","3,119","7","0","2","","2","3","93","9","81","3","1"
"Keyser","5,307","9","0","3","","1","5","102","11","91","0","0"
"Lewisburg","3,981","8","0","1","","0","7","106","4","99","3","0"
"Marmet","1,489","3","0","0","","3","0","25","6","18","1","0"
"Martinsburg","17,589","70","1","8","","27","34","827","97","702","28","4"
"Mason","956","2","0","0","","1","1","7","1","6","0","0"
"Milton","2,525","4","0","1","","1","2","71","7","60","4","1"
"Moorefield","2,492","7","0","0","","0","7","20","2","17","1","0"
"Morgantown","31,406","94","0","18","","31","45","681","176","485","20","2"
"Mount Hope","1,398","0","0","0","","0","0","9","4","4","1","0"
"Nitro","7,137","11","0","1","","0","10","208","38","161","9","1"
"Oak Hill","7,709","27","2","2","","6","17","255","57","186","12","4"
"Oceana","1,355","40","0","0","","0","40","127","18","107","2","0"
"Parkersburg","31,207","127","0","21","","12","94","1,382","343","982","57","26"
"Philippi","2,944","22","0","2","","0","20","21","8","13","0","0"
"Point Pleasant","4,300","3","0","0","","0","3","86","18","64","4","0"
"Princeton","6,474","60","0","0","","2","58","333","74","253","6","2"
"Rainelle","1,492","0","0","0","","0","0","0","0","0","0","0"
"Ravenswood","3,852","0","0","0","","0","0","45","9","36","0","0"
"Reedsville","600","0","0","0","","0","0","1","0","1","0","0"
"Ripley","3,249","3","0","0","","0","3","5","0","5","0","1"
"Romney","1,806","3","0","0","","0","3","0","0","0","0","0"
"Ronceverte","1,778","2","0","0","","0","2","37","7","30","0","0"
"Shepherdstown","2,149","1","0","0","","0","1","14","2","12","0","0"
"Shinnston","2,192","2","0","0","","0","2","30","4","26","0","0"
"Sistersville","1,357","3","0","0","","1","2","11","5","6","0","0"
"Sophia","1,336","1","0","0","","1","0","45","6","38","1","0"
"South Charleston","13,308","80","1","2","","16","61","527","68","439","20","0"
"Spencer","2,238","2","0","2","","0","0","72","12","59","1","0"
"St. Albans","10,952","39","0","2","","7","30","359","59","278","22","3"
"Star City","1,904","7","0","0","","2","5","9","2","7","0","0"
"Summersville","3,569","22","0","0","","0","22","114","11","101","2","0"
"Vienna","10,664","10","0","0","","0","10","299","18","273","8","1"
"Welch","2,303","6","0","0","","0","6","1","0","1","0","0"
"Wellsburg","2,760","0","0","0","","0","0","32","16","14","2","0"
"West Liberty","1,538","0","0","0","","0","0","1","0","1","0","0"
"Weston","4,076","2","0","0","","0","2","7","1","6","0","0"
"White Hall","660","4","0","0","","1","3","7","1","5","1","0"
"White Sulphur Springs","2,467","1","0","0","","0","1","0","0","0","0","0"
"Williamson","3,069","8","1","2","","4","1","28","7","21","0","0"
"Winfield","2,339","4","0","0","","1","3","12","1","10","1","0"
