"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adams","1,924","7","0","3","","0","4","88","16","68","4","0"
"Albany","1,015","8","0","","0","0","8","46","11","34","1","0"
"Algoma","3,143","1","0","1","","0","0","83","1","81","1","0"
"Alma","759","0","0","","0","0","0","2","0","2","0","0"
"Altoona","7,018","8","1","","0","1","6","85","17","68","0","0"
"Amery","2,859","11","0","","0","0","11","36","6","27","3","0"
"Antigo","7,988","10","0","","0","0","10","419","77","329","13","0"
"Appleton","73,141","176","1","28","","14","133","1,304","186","1,088","30","15"
"Arcadia","2,950","3","0","","0","1","2","33","2","29","2","0"
"Ashland","8,097","32","1","","4","3","24","429","47","373","9","1"
"Ashwaubenon","17,145","14","0","","5","7","2","746","48","684","14","0"
"Athens","1,100","0","0","","0","0","0","7","1","6","0","0"
"Avoca","636","0","0","","0","0","0","18","2","16","0","0"
"Bangor","1,494","3","0","1","","0","2","11","0","11","0","0"
"Baraboo","12,047","25","0","","7","3","15","410","46","359","5","1"
"Barneveld","1,238","0","0","","0","0","0","18","3","13","2","0"
"Bayfield","488","1","0","","0","0","1","27","4","23","0","0"
"Beaver Dam","16,326","8","0","","0","1","7","575","104","470","1","2"
"Belleville","2,436","1","0","0","","0","1","30","2","28","0","0"
"Beloit","36,817","129","1","","16","36","76","1,195","320","830","45","9"
"Beloit Town","7,665","12","0","","2","2","8","159","45","107","7","6"
"Berlin","5,519","3","1","","0","2","0","135","5","127","3","0"
"Big Bend","1,299","1","0","","0","0","1","26","1","24","1","0"
"Black River Falls","3,571","2","1","","0","0","1","130","3","125","2","0"
"Blair","1,367","0","0","","0","0","0","18","2","15","1","0"
"Blanchardville","826","1","0","","0","0","1","7","2","5","0","0"
"Bloomer","3,544","1","0","","0","0","1","23","3","20","0","0"
"Bloomfield","6,319","2","0","","0","1","1","71","9","60","2","0"
"Blue Mounds","892","5","0","","1","0","4","14","6","8","0","0"
"Boscobel","3,216","13","0","","0","0","13","51","15","36","0","0"
"Brandon-Fairwater","1,234","0","0","","0","0","0","1","0","1","0","0"
"Brillion","3,193","0","0","0","","0","0","26","12","14","0","0"
"Brodhead","3,270","4","0","","0","1","3","90","3","85","2","0"
"Brookfield","37,996","30","0","","0","18","12","1,086","98","979","9","0"
"Brookfield Township","6,126","13","0","","0","2","11","187","12","168","7","0"
"Brown Deer","12,114","15","0","0","","3","12","384","32","340","12","2"
"Burlington","10,502","17","0","","1","0","16","243","25","218","0","1"
"Butler","1,838","9","0","","0","2","7","37","3","29","5","0"
"Caledonia","24,681","12","0","","1","4","7","306","83","217","6","0"
"Campbellsport","1,988","0","0","","0","0","0","9","1","8","0","0"
"Campbell Township","4,419","3","1","0","","0","2","87","28","57","2","0"
"Cashton","1,094","0","0","","0","0","0","0","0","0","0","0"
"Cedarburg","11,446","1","0","","0","1","0","130","10","119","1","0"
"Chenequa","598","0","0","","0","0","0","3","0","3","0","0"
"Chetek","2,203","4","0","","0","0","4","25","7","18","0","0"
"Chilton","3,975","2","0","0","","0","2","64","9","55","0","0"
"Chippewa Falls","13,676","26","0","","0","1","25","147","22","117","8","1"
"Cleveland","1,497","2","0","","0","0","2","15","1","13","1","0"
"Clinton","2,138","2","0","","0","1","1","16","0","15","1","0"
"Clintonville","4,485","3","0","","1","0","2","158","20","136","2","0"
"Colby-Abbotsford","4,117","1","0","","0","0","1","50","5","43","2","0"
"Columbus","5,017","4","0","","0","2","2","148","10","137","1","0"
"Cornell","1,473","0","0","","0","0","0","46","1","44","1","0"
"Cottage Grove","6,478","11","0","1","","1","9","95","10","83","2","0"
"Crandon","1,914","2","0","","0","0","2","15","3","11","1","0"
"Cross Plains3","3,671","0","0","0","","0","0","23","3","20","0","0"
"Cuba City","2,066","2","0","","0","0","2","25","2","23","0","2"
"Cudahy","18,362","39","0","","10","17","12","454","71","361","22","0"
"Cumberland","2,156","13","0","","0","0","13","40","9","30","1","1"
"Dane","1,067","0","0","","0","0","0","0","0","0","0","0"
"Darlington","2,439","1","0","","0","0","1","36","7","26","3","0"
"Deforest3","9,349","13","0","5","","0","8","78","5","72","1","0"
"Delafield","7,149","2","0","","0","0","2","175","15","160","0","0"
"Delavan","10,092","12","0","","2","3","7","309","31","270","8","0"
"Delavan Town","5,335","1","0","","0","0","1","88","21","61","6","0"
"Denmark","2,171","1","0","","0","0","1","12","5","7","0","0"
"De Pere","24,314","7","0","","1","3","3","283","41","239","3","0"
"Dodgeville","4,691","3","0","","0","0","3","57","18","39","0","0"
"Durand","1,896","2","0","","0","0","2","7","2","5","0","0"
"Eagle River","1,365","4","0","","1","0","3","77","18","55","4","0"
"East Troy","4,322","7","0","","4","1","2","83","7","73","3","2"
"Eau Claire","67,309","123","1","","22","14","86","1,570","235","1,287","48","7"
"Edgar","1,474","0","0","","0","0","0","5","2","3","0","0"
"Edgerton","5,515","4","0","","0","2","2","147","12","130","5","5"
"Eleva","682","0","0","","0","0","0","2","0","2","0","0"
"Elkhart Lake","959","1","0","","1","0","0","22","3","19","0","0"
"Elkhorn","10,084","9","0","","1","0","8","141","22","117","2","0"
"Elk Mound","875","2","0","","0","0","2","1","0","1","0","0"
"Ellsworth","3,211","6","0","","6","0","0","66","14","52","0","0"
"Elm Grove","5,942","1","0","","0","0","1","71","11","56","4","0"
"Elroy","1,424","2","0","","2","0","0","34","12","22","0","0"
"Endeavor","461","0","0","0","","0","0","2","0","2","0","0"
"Evansville","5,094","4","0","","0","1","3","83","18","63","2","0"
"Everest","17,093","14","0","","3","2","9","342","74","261","7","0"
"Fall Creek","1,339","0","0","","0","0","0","14","0","14","0","0"
"Fall River","1,689","3","0","","0","0","3","23","5","18","0","0"
"Fennimore","2,516","2","0","","0","1","1","57","5","52","0","0"
"Fitchburg","26,122","61","0","","5","14","42","444","79","348","17","0"
"Fond du Lac","43,042","154","1","31","","11","111","1,178","126","1,021","31","5"
"Fontana","1,700","7","0","","0","0","7","22","1","21","0","0"
"Fort Atkinson","12,493","12","0","","1","3","8","174","28","142","4","0"
"Fountain City","837","0","0","","0","0","0","43","0","42","1","0"
"Fox Lake","1,500","0","0","","0","0","0","10","4","6","0","0"
"Fox Point","6,744","1","0","0","","1","0","65","4","61","0","0"
"Fox Valley Metro","20,474","14","0","3","","1","10","185","28","156","1","0"
"Frederic","1,111","2","0","","0","0","2","9","1","8","0","0"
"Freedom","5,963","0","0","0","","0","0","37","23","14","0","0"
"Geneva Town","5,045","2","0","","0","0","2","82","19","63","0","0"
"Genoa City","3,065","2","0","","2","0","0","47","17","30","0","0"
"Germantown","19,796","13","0","","7","3","3","386","47","336","3","0"
"Gilman","408","0","0","","0","0","0","8","2","6","0","0"
"Glendale","12,947","35","1","","2","23","9","927","61","839","27","0"
"Grafton","11,519","1","0","","0","1","0","168","14","153","1","0"
"Grand Chute","21,616","23","0","1","","3","19","790","29","749","12","3"
"Grand Rapids","7,634","2","0","","0","1","1","43","10","32","1","0"
"Grantsburg","1,316","2","0","","0","0","2","25","5","18","2","0"
"Green Bay","105,107","500","2","52","","79","367","2,674","575","2,001","98","16"
"Greendale","14,417","14","0","","0","8","6","606","13","586","7","0"
"Greenfield","37,171","51","0","","7","23","21","1,272","129","1,119","24","0"
"Green Lake","970","0","0","","0","0","0","15","1","13","1","0"
"Hales Corners","7,762","10","0","","2","1","7","138","11","125","2","0"
"Hartford","14,248","10","1","","0","2","7","270","32","234","4","0"
"Hartland","9,196","6","0","","1","0","5","109","13","93","3","0"
"Hayward","2,311","5","0","0","","0","5","62","15","45","2","0"
"Hazel Green","1,254","1","0","","0","0","1","7","2","5","0","0"
"Highland","853","0","0","","0","0","0","7","1","6","0","0"
"Hobart-Lawrence","11,587","0","0","","0","0","0","76","22","49","5","0"
"Holmen","9,395","11","0","1","","0","10","131","21","106","4","1"
"Horicon","3,615","2","0","","1","0","1","71","4","65","2","0"
"Hortonville","2,713","0","0","","0","0","0","22","0","22","0","0"
"Hudson","13,123","12","0","2","","3","7","428","31","389","8","1"
"Independence","1,348","0","0","","0","0","0","1","0","1","0","0"
"Iron Ridge","917","1","0","","0","0","1","14","5","8","1","0"
"Iron River","1,135","2","0","","0","0","2","9","4","5","0","3"
"Jackson","6,773","5","0","","0","2","3","34","10","22","2","0"
"Janesville","63,603","166","0","","41","25","100","1,943","330","1,576","37","19"
"Jefferson","7,979","22","0","","4","2","16","241","6","230","5","1"
"Juneau","2,775","0","0","","0","0","0","50","4","46","0","0"
"Kaukauna","15,766","19","0","1","","0","18","169","29","134","6","0"
"Kenosha","100,418","274","5","","26","102","141","2,462","563","1,826","73","23"
"Kewaskum","4,044","2","0","","0","0","2","29","5","23","1","0"
"Kewaunee","2,940","0","0","0","","0","0","58","11","47","0","0"
"Kiel","3,684","4","0","","0","0","4","71","6","62","3","0"
"Kohler","2,103","0","0","","0","0","0","68","1","67","0","0"
"Kronenwetter","7,353","3","0","","2","0","1","60","7","50","3","0"
"La Crosse","51,741","107","1","20","","29","57","1,548","305","1,200","43","2"
"Ladysmith","3,248","7","0","","0","0","7","84","4","79","1","0"
"Lake Delton","2,932","13","0","","3","1","9","562","25","531","6","0"
"Lake Geneva","7,731","5","0","","1","1","3","299","31","263","5","0"
"Lake Hallie","6,561","7","0","","1","4","2","214","17","190","7","0"
"Lake Mills","5,808","3","0","","0","0","3","27","5","22","0","0"
"Lancaster","3,813","21","0","","1","0","20","47","8","39","0","0"
"Lodi","3,047","1","0","","0","0","1","45","3","42","0","0"
"Lomira","2,401","1","0","","1","0","0","72","7","65","0","0"
"Luxemburg","2,589","0","0","0","","0","0","13","1","11","1","0"
"Madison","242,523","884","5","76","","296","507","7,729","1,382","6,094","253","50"
"Manawa","1,336","3","0","","1","1","1","20","6","14","0","0"
"Manitowoc","33,288","75","1","9","","5","60","894","122","756","16","0"
"Marathon City","1,528","1","0","","0","0","1","8","4","4","0","0"
"Marinette","10,834","8","0","","3","1","4","324","38","270","16","2"
"Marion","1,239","4","0","","0","0","4","15","6","9","0","0"
"Markesan","1,458","2","0","","0","1","1","28","4","24","0","0"
"Marshall Village3","3,961","4","0","1","","0","3","33","3","30","0","0"
"Marshfield","18,900","12","0","","1","3","8","400","49","345","6","1"
"Mauston","4,428","20","1","","1","0","18","91","16","72","3","0"
"Mayville","5,076","1","0","","1","0","0","80","12","67","1","0"
"McFarland3","8,116","5","0","1","","2","2","115","24","86","5","0"
"Medford","4,286","13","0","","8","0","5","104","11","91","2","1"
"Menasha","17,565","31","0","","1","1","29","423","55","362","6","1"
"Menomonee Falls","35,859","14","0","","0","8","6","395","28","357","10","0"
"Menomonie","16,250","24","0","","3","2","19","441","60","370","11","1"
"Mequon","23,264","2","0","","0","2","0","146","22","119","5","1"
"Merrill","9,427","29","0","","12","0","17","217","39","171","7","1"
"Middleton","18,384","8","0","","2","3","3","340","50","283","7","0"
"Milton","5,551","9","0","","1","1","7","91","14","76","1","0"
