"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Afton","1,906","0","0","","0","0","0","25","3","22","0","0"
"Buffalo","4,639","20","0","","6","0","14","115","10","103","2","0"
"Casper","58,688","88","2","","7","15","64","2,036","294","1,657","85","6"
"Cheyenne","62,149","133","1","","12","12","108","2,065","279","1,698","88","4"
"Cody","9,736","14","0","","0","2","12","204","33","168","3","1"
"Diamondville","724","0","0","","0","0","0","0","0","0","0","0"
"Douglas","6,335","16","0","","1","0","15","201","21","176","4","1"
"Evanston","12,228","7","0","","2","3","2","396","26","362","8","0"
"Evansville","2,897","19","0","","0","0","19","30","7","21","2","0"
"Gillette","31,884","53","2","","6","0","45","1,008","153","821","34","8"
"Glenrock","2,587","1","0","","0","0","1","36","6","30","0","0"
"Green River","12,933","56","0","","7","1","48","156","28","120","8","1"
"Greybull","1,855","7","0","","0","0","7","6","1","5","0","0"
"Guernsey","1,178","2","0","","0","0","2","2","2","0","0","0"
"Hanna","823","1","0","","0","0","1","7","1","3","3","0"
"Hulett","393","2","0","","0","0","2","4","2","2","0","0"
"Jackson","9,918","62","0","","9","17","36","231","20","199","12","0"
"Kemmerer","2,631","3","0","","0","0","3","67","14","52","1","0"
"Lander","7,733","5","0","","0","0","5","285","16","261","8","0"
"Laramie","31,940","37","1","","10","3","23","670","70","562","38","2"
"Lusk","1,548","3","0","","0","1","2","4","2","2","0","0"
"Mills","3,486","28","0","","0","2","26","110","44","60","6","0"
"Moorcroft","1,026","1","0","","0","0","1","32","1","30","1","0"
"Newcastle","3,465","8","0","","3","0","5","84","16","66","2","0"
"Pine Bluffs","1,152","4","0","","0","0","4","21","11","10","0","0"
"Powell","6,304","22","0","","11","1","10","157","31","124","2","0"
"Rawlins","9,081","30","0","","2","1","27","235","39","185","11","1"
"Riverton","11,057","45","0","","4","5","36","563","41","498","24","0"
"Rock Springs","24,405","71","0","","10","4","57","678","99","551","28","1"
"Saratoga","1,656","4","0","","0","0","4","13","2","11","0","0"
"Sheridan","17,776","23","0","","3","3","17","400","78","300","22","3"
"Sundance","1,221","0","0","","0","0","0","11","2","7","2","0"
"Thermopolis","3,023","2","0","","0","0","2","71","14","54","3","0"
"Torrington","6,797","18","0","","1","0","17","121","33","85","3","0"
"Wheatland","3,644","11","0","","0","0","11","114","21","85","8","0"
"Worland","5,441","7","0","","0","0","7","47","2","45","0","0"
