"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Anchorage","301,306","2,605","12","392","","496","1,705","11,531","1,375","9,217","939","81"
"Bethel","6,431","56","0","22","","1","33","151","37","77","37","1"
"Bristol Bay Borough","945","0","0","0","","0","0","12","3","1","8","1"
"Cordova","2,293","8","0","1","","1","6","29","4","25","0","0"
"Craig","1,264","16","0","0","","1","15","20","1","19","0","0"
"Dillingham","2,416","44","0","11","","2","31","47","12","28","7","1"
"Fairbanks","32,477","214","4","39","","52","119","1,247","155","969","123","1"
"Haines","2,599","4","0","0","","0","4","43","12","25","6","0"
"Homer","5,378","32","0","0","","0","32","241","18","215","8","0"
"Juneau","32,988","189","1","23","","24","141","872","103","740","29","15"
"Kenai","7,533","39","0","18","","0","21","369","30","322","17","0"
"Ketchikan","8,246","29","0","8","","4","17","290","22","257","11","3"
"Kodiak","6,495","42","0","4","","2","36","270","14","234","22","1"
"Kotzebue","3,289","49","0","18","","3","28","143","30","86","27","3"
"Nome","3,844","48","0","4","","2","42","57","9","32","16","0"
"North Pole","2,235","11","0","0","","3","8","69","19","47","3","1"
"North Slope Borough","9,691","74","1","6","","3","64","111","32","60","19","3"
"Palmer","6,583","12","0","7","","1","4","166","22","130","14","0"
"Petersburg","2,912","6","0","2","","0","4","74","9","62","3","2"
"Seward","2,767","28","0","1","","0","27","28","7","20","1","0"
"Sitka","9,051","6","0","0","","0","6","239","37","195","7","0"
"Skagway","998","0","0","0","","0","0","18","2","16","0","0"
"Soldotna","4,431","18","0","1","","1","16","185","22","156","7","1"
"Unalaska","4,308","10","1","1","","1","7","45","1","36","8","0"
"Valdez","4,032","19","0","7","","0","12","94","3","80","11","0"
"Wasilla","8,807","51","1","2","","2","46","593","44","511","38","1"
"Wrangell","2,409","5","0","1","","0","4","24","5","16","3","0"
