"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Apache Junction","37,274","91","2","8","","17","64","1,221","404","748","69","14"
"Buckeye","58,126","29","1","4","","7","17","1,141","195","878","68",""
"Bullhead City","39,337","81","2","1","","12","66","1,603","391","1,098","114","5"
"Camp Verde","11,055","36","0","2","","1","33","273","76","172","25","5"
"Casa Grande","50,207","240","1","21","","53","165","1,795","361","1,366","68","27"
"Chandler","252,369","466","1","60","","111","294","5,643","954","4,461","228","97"
"Chino Valley","10,979","76","0","3","","3","70","294","57","217","20","3"
"Clarkdale","4,130","6","0","0","","0","6","42","12","29","1","2"
"Coolidge","11,841","49","0","5","","11","33","501","81","400","20","7"
"Eagar","4,917","5","0","0","","0","5","84","28","55","1","0"
"El Mirage","33,307","56","0","4","","13","39","1,015","244","701","70","8"
"Eloy","17,001","85","2","4","","8","71","498","127","343","28","7"
"Flagstaff","69,490","275","3","30","","46","196","3,020","215","2,722","83","11"
"Florence","25,068","32","1","0","","0","31","150","22","118","10","0"
"Fredonia","1,302","2","0","0","","0","2","10","4","4","2","0"
"Gilbert","235,430","209","0","27","","41","141","3,473","580","2,766","127","23"
"Globe","7,361","40","0","0","","2","38","391","106","284","1","1"
"Holbrook","4,982","39","0","0","","0","39","243","62","167","14","1"
"Jerome","449","3","0","0","","2","1","25","6","18","1","0"
"Kingman","28,526","73","1","6","","9","57","1,471","248","1,151","72","15"
"Lake Havasu City","52,892","88","1","14","","5","68","1,109","222","830","57","2"
"Mammoth","1,490","2","0","0","","0","2","8","2","6","0","0"
"Mesa","462,092","2,119","13","252","","469","1,385","12,940","2,358","9,744","838","85"
"Miami","1,787","5","0","0","","0","5","73","34","36","3","11"
"Nogales","20,382","48","0","0","","5","43","539","122","374","43","0"
"Page","7,328","71","2","10","","2","57","464","36","406","22","2"
"Patagonia","892","6","0","0","","3","3","10","1","8","1","0"
"Payson","15,238","55","1","2","","2","50","376","112","241","23","0"
"Peoria","164,722","244","2","36","","60","146","3,299","607","2,510","182","3"
"Phoenix","1,529,852","8,749","114","1,006","","2,952","4,677","56,977","14,316","35,461","7,200","313"
"Pima","2,487","2","0","1","","0","1","36","4","32","0","1"
"Pinetop-Lakeside","4,296","30","0","2","","2","26","130","25","102","3","0"
"Prescott","40,992","141","0","6","","14","121","1,229","179","1,004","46","5"
"Prescott Valley","40,035","88","1","7","","13","67","928","107","806","15","3"
"Quartzsite","3,635","9","0","0","","2","7","120","45","69","6","1"
"Sahuarita","27,207","9","0","2","","3","4","393","51","326","16","2"
"San Luis","32,059","50","0","2","","4","44","457","114","292","51","0"
"Snowflake-Taylor","9,683","47","0","0","","1","46","144","49","82","13","2"
"Somerton","15,145","25","0","0","","1","24","215","63","121","31","0"
"South Tucson","5,707","139","4","7","","40","88","1,025","101","907","17","3"
"Springerville","1,968","4","0","0","","1","3","47","13","34","0","0"
"St. Johns","3,508","17","0","0","","0","17","88","38","49","1","0"
"Surprise","125,049","137","4","9","","31","93","2,099","350","1,620","129","14"
"Tempe","169,812","799","5","103","","193","498","8,044","1,177","6,406","461","42"
"Thatcher","5,049","1","0","0","","0","1","106","16","90","0","0"
"Tolleson","6,807","39","2","2","","13","22","703","209","435","59","2"
"Wellton","2,914","1","0","0","","0","1","35","15","19","1","0"
"Wickenburg","6,657","16","0","2","","2","12","143","33","100","10","0"
"Williams","2,994","17","0","2","","2","13","112","26","84","2","0"
"Yuma","92,075","520","3","35","","70","412","3,334","855","2,166","313","38"
