"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alma","5,535","25","0","5","","2","18","290","60","223","7","1"
"Altus","742","6","0","0","","0","6","10","1","8","1","0"
"Arkadelphia","10,721","41","0","10","","0","31","312","68","235","9","1"
"Ashdown","4,552","7","0","1","","0","6","238","37","189","12","0"
"Ash Flat","1,072","1","0","0","","1","0","24","5","19","0","1"
"Atkins","3,049","2","0","2","","0","0","95","20","67","8","0"
"Austin","2,992","7","0","0","","1","6","42","14","26","2","0"
"Bald Knob","2,906","10","1","1","","1","7","112","20","90","2","0"
"Barling","4,762","39","0","5","","0","34","99","6","89","4","0"
"Bay","1,811","0","0","0","","0","0","23","8","14","1","0"
"Bearden","910","2","0","0","","0","2","11","5","6","0","0"
"Beebe","8,045","31","0","8","","1","22","374","61","296","17","1"
"Bella Vista","27,913","39","0","12","","0","27","167","31","134","2","1"
"Benton","33,758","127","0","21","","23","83","1,456","381","993","82","0"
"Berryville","5,488","22","0","9","","1","12","238","49","181","8","1"
"Blytheville","15,009","260","2","13","","67","178","1,254","518","697","39","0"
"Bono","2,157","4","0","1","","0","3","28","10","18","0","0"
"Booneville","3,961","10","0","4","","0","6","166","25","134","7","0"
"Bradford","757","3","0","0","","0","3","32","7","23","2","0"
"Brinkley","2,964","13","0","3","","2","8","77","23","53","1","1"
"Brookland","2,720","7","0","3","","1","3","33","12","21","0","0"
"Bull Shoals","1,962","3","0","1","","0","2","29","9","19","1","0"
"Cabot","25,819","54","0","19","","2","33","741","143","555","43","1"
"Caddo Valley","610","3","0","1","","0","2","26","6","20","0","0"
"Camden","11,552","72","4","9","","7","52","504","137","353","14","2"
"Cammack Village","758","0","0","0","","0","0","14","6","8","0","0"
"Caraway","1,265","0","0","0","","0","0","2","1","1","0","0"
"Carlisle","2,201","3","0","1","","0","2","56","23","32","1","0"
"Cave City","1,880","8","0","6","","0","2","41","6","33","2","0"
"Cave Springs","2,265","3","0","0","","0","3","27","8","19","0","0"
"Centerton","10,815","28","0","11","","1","16","96","16","79","1","0"
"Charleston","2,535","5","0","1","","0","4","23","10","12","1","0"
"Cherokee Village","4,639","10","0","5","","1","4","68","25","39","4","0"
"Clarendon","1,539","5","0","0","","0","5","19","9","9","1","0"
"Clarksville","9,359","15","0","9","","0","6","356","38","304","14","1"
"Clinton","2,557","3","0","0","","0","3","54","20","28","6","0"
"Conway","64,895","257","1","27","","62","167","3,008","501","2,347","160","3"
"Corning","3,196","13","0","2","","0","11","55","8","42","5","0"
"Cotter","949","4","0","0","","0","4","10","2","8","0","1"
"Crossett","5,339","28","0","3","","5","20","375","197","178","0","3"
"Damascus","385","0","0","0","","0","0","12","2","10","0","0"
"Danville","2,375","2","0","1","","0","1","13","4","9","0","0"
"Dardanelle","4,680","23","0","7","","3","13","166","48","114","4","1"
"Decatur","1,771","5","0","3","","0","2","58","11","46","1","0"
"De Queen","6,748","15","0","2","","1","12","151","44","100","7","4"
"Dermott","2,762","16","0","3","","0","13","38","23","12","3","0"
"Des Arc","1,636","2","0","1","","0","1","33","28","4","1","0"
"De Valls Bluff","582","0","0","0","","0","0","0","0","0","0","0"
"De Witt","3,247","26","1","2","","0","23","159","37","117","5","0"
"Diaz","1,281","2","0","0","","0","2","7","0","6","1","0"
"Dover","1,389","4","1","0","","0","3","39","9","30","0","0"
"Dumas","4,500","15","0","2","","5","8","101","46","48","7","0"
