"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Arvada","113,008","169","1","44","","32","92","2,660","344","2,162","154","12"
"Aspen","6,744","7","0","4","","0","3","286","19","261","6","0"
"Ault","1,587","3","0","0","","0","3","1","1","0","0","0"
"Aurora","350,948","1,448","11","274","","417","746","9,962","1,816","7,082","1,064","76"
"Avon","6,419","13","0","1","","2","10","167","12","149","6","3"
"Basalt","3,859","1","0","1","","0","0","78","6","65","7","0"
"Black Hawk","122","6","1","1","","0","4","229","3","222","4","0"
"Blue River","872","0","0","0","","0","0","2","1","0","1","0"
"Boulder","104,284","242","1","41","","28","172","2,777","481","2,146","150","28"
"Bow Mar","915","0","0","0","","0","0","6","2","4","0","0"
"Breckenridge","4,677","6","0","2","","0","4","352","11","333","8","0"
"Brighton","36,185","133","1","38","","19","75","1,145","141","919","85","6"
"Broomfield","60,693","31","0","15","","5","11","1,036","114","886","36","6"
"Brush","5,509","3","0","1","","0","2","32","18","9","5","0"
"Buena Vista","2,767","4","0","0","","0","4","35","2","30","3","0"
"Burlington","3,946","13","0","1","","1","11","72","11","58","3","0"
"Campo","107","0","0","0","","0","0","0","0","0","0","0"
"Canon City","16,291","71","4","11","","2","54","560","62","477","21","2"
"Castle Rock3","54,253","41","1","10","","3","27","","","362","12","4"
"Centennial","107,485","142","0","26","","14","102","1,298","233","995","70","15"
"Center","2,221","5","0","0","","1","4","45","12","31","2","1"
"Central City","689","3","0","1","","0","2","51","9","41","1","0"
"Cherry Hills Village","6,393","2","0","0","","0","2","85","26","58","1","0"
"Colorado Springs","444,949","2,039","20","412","","404","1,203","16,319","2,759","11,914","1,646","94"
"Columbine Valley","1,334","1","0","0","","0","1","8","3","5","0","0"
"Commerce City","50,754","199","1","50","","17","131","1,631","226","1,219","186","9"
"Cortez","8,588","17","0","4","","1","12","323","5","304","14","0"
"Craig","8,864","19","0","9","","0","10","221","41","174","6","3"
"Crested Butte","1,529","5","0","1","","0","4","15","1","12","2","0"
"Cripple Creek","1,163","19","0","1","","0","18","71","6","65","0","0"
"Dacono","4,425","1","0","0","","0","1","1","0","1","0","0"
"De Beque","496","0","0","0","","0","0","3","0","2","1","0"
"Del Norte","1,646","6","0","0","","2","4","20","6","12","2","0"
"Delta","8,860","9","0","5","","3","1","399","93","289","17","2"
"Denver","665,353","3,983","31","448","","1,091","2,413","22,352","4,555","14,363","3,434","138"
"Dillon","923","2","0","1","","1","0","14","3","11","0","0"
"Durango","17,710","48","0","13","","11","24","503","53","422","28","2"
"Eagle","6,527","6","0","4","","1","1","68","2","65","1","2"
"Eaton","4,716","3","0","1","","0","2","1","0","1","0","0"
"Elizabeth","1,377","1","0","0","","0","1","15","2","13","0","0"
"Englewood","31,813","63","0","8","","23","32","1,767","231","1,393","143","6"
"Erie","20,112","5","0","0","","1","4","123","15","104","4","2"
"Evans","20,284","60","1","4","","2","53","404","77","290","37","2"
"Federal Heights","12,096","53","0","8","","17","28","634","92","461","81","6"
"Firestone","11,418","6","0","2","","0","4","108","7","88","13","2"
"Florence","3,837","7","0","0","","0","7","53","7","39","7","0"
"Fort Collins","154,015","329","1","41","","36","251","3,782","489","3,142","151","24"
"Fort Lupton","7,756","4","0","1","","0","3","56","15","30","11","0"
"Fort Morgan","11,422","42","0","30","","1","11","287","40","233","14","3"
"Fountain","27,567","86","0","13","","9","64","690","115","535","40","2"
"Fowler","1,165","1","0","1","","0","0","6","1","5","0","0"
"Fraser/Winter Park","2,072","1","0","0","","0","1","56","3","51","2","0"
"Frederick","10,607","2","0","0","","0","2","48","1","46","1","0"
"Frisco","2,854","6","1","1","","0","4","73","7","65","1","1"
"Fruita","12,746","25","0","3","","2","20","216","43","164","9","4"
"Garden City","265","14","0","0","","2","12","39","2","36","1","0"
"Georgetown","1,026","0","0","0","","0","0","0","0","0","0","0"
