"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Ansonia","18,964","36","0","6","","18","12","372","62","280","30","2"
"Avon","18,441","2","0","1","","0","1","170","20","142","8","1"
"Berlin","20,767","11","0","3","","1","7","298","57","222","19","3"
"Bethel","19,425","0","0","0","","0","0","164","22","135","7","0"
"Bloomfield","20,718","39","0","6","","12","21","503","79","402","22","1"
"Branford","27,977","25","1","0","","8","16","661","54","584","23","1"
"Bridgeport","147,822","1,338","11","92","","546","689","4,285","1,129","2,402","754","32"
"Bristol","60,590","72","3","11","","35","23","1,513","335","1,079","99","5"
"Brookfield","16,957","3","0","0","","2","1","162","19","139","4","0"
"Canton","10,372","2","0","1","","1","0","72","11","61","0","0"
"Cheshire","29,120","6","1","0","","2","3","240","40","171","29","0"
"Clinton","13,164","18","0","7","","0","11","262","51","203","8","3"
"Coventry","12,403","9","0","6","","0","3","133","36","89","8","0"
"Cromwell","14,223","8","0","2","","1","5","294","26","262","6","0"
"Danbury","84,281","150","1","31","","64","54","1,352","230","1,007","115","3"
"Darien","21,473","5","0","2","","2","1","191","24","160","7","0"
"Derby","12,776","24","0","3","","9","12","331","72","238","21","1"
"East Hampton","12,902","3","0","1","","1","1","71","14","55","2","0"
"East Hartford","51,185","131","2","24","","55","50","1,220","283","800","137","7"
"East Haven","29,093","33","0","8","","11","14","717","110","506","101","4"
"Easton","7,645","0","0","0","","0","0","30","10","20","0","0"
"East Windsor","11,462","23","1","5","","11","6","400","50","317","33","0"
"Enfield","44,769","53","2","1","","22","28","760","131","588","41","8"
"Fairfield","61,146","33","0","4","","9","20","1,167","196","942","29","2"
"Farmington","25,678","20","0","6","","12","2","654","53","591","10","0"
"Glastonbury","34,850","10","0","1","","5","4","297","80","210","7","1"
"Granby","11,333","3","0","1","","0","2","90","6","83","1","1"
"Greenwich","62,676","18","0","2","","5","11","469","76","364","29","0"
"Groton","9,338","15","0","4","","1","10","157","9","136","12","0"
"Groton Long Point","517","0","0","0","","0","0","1","1","0","0","0"
"Groton Town","30,339","42","0","11","","7","24","564","62","466","36","4"
"Guilford","22,425","17","0","1","","1","15","339","20","312","7","1"
"Hamden","61,599","231","1","10","","56","164","1,355","257","1,021","77","0"
"Hartford","124,943","1,380","19","45","","502","814","5,280","888","3,642","750","45"
"Madison","18,302","2","0","1","","0","1","119","11","97","11","1"
"Manchester","58,204","111","2","11","","45","53","1,581","189","1,331","61","3"
"Meriden","60,352","181","0","17","","68","96","1,414","306","958","150","6"
"Middlebury","7,569","4","0","0","","2","2","56","9","45","2","0"
