"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Bethany Beach","1,138","2","0","1","","0","1","89","8","81","0","0"
"Bridgeville","2,190","18","0","1","","1","16","49","7","40","2","0"
"Camden","3,518","11","0","1","","1","9","311","11","297","3","0"
"Cheswold","1,433","4","0","0","","0","4","18","6","12","0","0"
"Clayton","3,065","8","0","1","","0","7","38","15","23","0","0"
"Dagsboro","852","0","0","0","","0","0","48","1","47","0","0"
"Delaware City","1,732","5","0","0","","1","4","60","30","28","2","1"
"Delmar","1,676","14","0","2","","7","5","68","8","59","1","0"
"Dewey Beach","362","11","0","0","","1","10","81","22","57","2","0"
"Dover","37,671","242","2","14","","64","162","1,874","74","1,736","64","0"
"Ellendale","403","0","0","0","","0","0","2","0","2","0","0"
"Elsmere","6,173","22","0","3","","4","15","125","31","80","14","0"
"Felton","1,377","4","0","1","","0","3","31","5","23","3","0"
"Fenwick Island","406","0","0","0","","0","0","14","2","12","0","0"
"Frankford","898","8","0","0","","0","8","12","4","7","1","0"
"Frederica","814","0","0","0","","0","0","6","0","6","0","0"
"Georgetown","6,847","60","0","6","","34","20","403","90","308","5","0"
"Greenwood","1,038","9","0","3","","1","5","39","10","28","1","0"
"Harrington","3,753","24","0","5","","4","15","137","22","102","13","0"
"Laurel","3,960","63","0","4","","16","43","231","64","162","5","0"
"Lewes","2,933","12","0","3","","3","6","84","21","61","2","1"
"Middletown","19,763","61","0","9","","14","38","470","58","401","11","0"
"Milford","10,262","81","0","8","","24","49","749","136","596","17","3"
"Millsboro","4,102","28","0","2","","7","19","202","20","176","6","0"
"Milton","2,750","19","0","5","","5","9","77","39","36","2","0"
"Newark","32,813","104","1","5","","33","65","745","100","613","32","8"
"New Castle","5,399","11","1","0","","5","5","258","20","223","15","0"
"Newport","1,058","6","0","1","","2","3","33","5","23","5","1"
"Ocean View","2,066","1","0","1","","0","0","34","16","17","1","0"
"Rehoboth Beach","1,416","6","0","0","","1","5","150","11","135","4","0"
"Seaford","7,419","67","0","5","","11","51","531","77","447","7","0"
"Selbyville","2,347","6","0","0","","3","3","97","39","56","2","0"
"Smyrna","11,170","62","0","9","","15","38","324","48","266","10","1"
"Wilmington","71,713","1,174","27","23","","397","727","3,765","900","2,530","335","2"
"Wyoming","1,429","2","0","0","","0","2","14","6","8","0","0"
