"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alachua","9,456","33","0","5","","7","21","226","54","162","10","0"
"Altamonte Springs","42,301","154","2","13","","27","112","1,349","178","1,095","76","0"
"Altha","538","0","0","0","","0","0","6","5","1","0","0"
"Apalachicola","2,266","3","0","0","","0","3","32","8","22","2","0"
"Apopka","46,572","169","0","5","","44","120","1,507","161","1,251","95","5"
"Arcadia","7,621","39","0","3","","6","30","198","65","126","7","0"
"Astatula","1,844","2","0","0","","0","2","20","12","4","4","0"
"Atlantic Beach","12,955","47","0","6","","13","28","315","70","229","16","0"
"Atlantis","2,069","6","0","0","","0","6","67","14","49","4","0"
"Auburndale","14,447","37","0","4","","12","21","785","219","548","18","1"
"Aventura","37,537","76","2","1","","33","40","1,979","79","1,852","48","0"
"Bal Harbour Village","2,636","2","0","0","","1","1","106","25","79","2","0"
"Bartow","18,167","121","1","7","","11","102","947","184","728","35","2"
"Bay Harbor Islands","5,907","5","0","0","","1","4","55","7","46","2","0"
"Belleair","3,949","1","0","0","","0","1","125","23","93","9","0"
"Belleair Beach","1,594","6","0","0","","0","6","21","3","16","2","0"
"Belleair Bluffs","2,070","0","0","0","","0","0","39","5","32","2","0"
"Belle Glade","17,927","248","3","8","","43","194","983","367","568","48","7"
"Belle Isle","6,507","13","0","2","","4","7","160","38","117","5","0"
"Belleview","4,600","9","0","1","","4","4","163","53","104","6","1"
"Biscayne Park","3,205","2","0","0","","1","1","34","11","22","1","0"
"Blountstown","2,546","3","0","0","","0","3","37","7","28","2","0"
"Boca Raton","90,496","167","0","16","","52","99","2,066","346","1,628","92","4"
"Bonifay","2,766","5","0","0","","0","5","45","15","27","3","0"
"Bowling Green","2,910","5","0","0","","0","5","95","24","67","4","0"
"Boynton Beach","71,801","378","4","6","","76","292","2,879","524","2,193","162","1"
"Bradenton","52,350","338","3","24","","71","240","2,009","416","1,515","78","6"
"Bradenton Beach","1,220","2","0","0","","0","2","13","2","10","1","0"
"Brooksville","7,708","44","4","2","","9","29","313","63","236","14","3"
"Bunnell","2,755","26","0","0","","1","25","73","20","45","8","1"
"Cape Coral","168,712","242","4","11","","41","186","3,271","679","2,440","152","4"
"Carrabelle","2,796","6","0","0","","0","6","69","19","49","1","3"
"Casselberry","26,645","133","1","9","","31","92","1,102","160","915","27","2"
"Cedar Key","701","7","0","0","","0","7","13","3","10","0","0"
"Center Hill","1,070","2","0","0","","0","2","2","2","0","0","0"
"Chattahoochee","3,048","13","0","1","","2","10","35","11","22","2","0"
"Chiefland","2,215","4","0","1","","0","3","274","122","149","3","0"
"Chipley","3,565","15","0","1","","2","12","117","9","106","2","0"
"Clearwater","110,075","641","7","56","","195","383","4,283","755","3,318","210","8"
"Clermont","30,337","68","0","3","","12","53","882","145","696","41","1"
"Clewiston","7,141","54","0","1","","12","41","348","50","288","10","0"
"Cocoa","17,289","313","2","38","","70","203","1,089","298","737","54","2"
"Cocoa Beach","11,347","96","1","7","","11","77","629","75","539","15","1"
"Coconut Creek","57,766","85","1","7","","21","56","1,268","250","948","70","1"
"Cooper City","35,676","42","0","6","","12","24","440","69","356","15","0"
"Coral Gables","50,316","76","0","5","","27","44","1,987","312","1,589","86","2"
"Coral Springs","127,939","203","1","22","","57","123","2,481","355","2,016","110","5"
"Crescent City","1,555","12","0","2","","2","8","60","24","34","2","0"
"Crestview","23,251","128","1","28","","28","71","740","158","549","33","1"
"Cross City","1,692","5","1","0","","1","3","53","7","46","0","0"
"Cutler Bay","44,080","127","0","4","","50","73","1,846","202","1,567","77","0"
"Dade City","6,624","34","0","6","","7","21","270","72","191","7","0"
"Dania","30,996","153","4","27","","41","81","1,191","221","848","122","3"
"Davenport","3,040","4","0","0","","1","3","71","31","37","3","0"
"Davie","98,010","257","4","26","","58","169","3,207","567","2,448","192","9"
"Daytona Beach","62,629","804","4","69","","153","578","3,974","628","2,992","354","4"
"Daytona Beach Shores","4,306","28","0","0","","0","28","171","25","137","9","0"
"Deerfield Beach","78,773","369","1","32","","104","232","2,073","502","1,429","142","3"
"De Funiak Springs","5,689","37","0","2","","4","31","311","75","234","2","2"
"Deland","28,551","143","1","1","","44","97","1,281","249","977","55","4"
"Delray Beach","64,917","432","5","30","","122","275","2,733","434","2,136","163","9"
"Doral","51,350","72","0","2","","11","59","2,070","180","1,740","150","0"
"Dunedin","35,779","96","1","5","","18","72","698","131","542","25","1"
"Dunnellon","1,762","9","0","0","","1","8","59","7","51","1","0"
"Eatonville","2,263","29","0","1","","3","25","120","41","64","15","0"
"Edgewater","20,986","43","0","0","","5","38","393","85","280","28","0"
"Edgewood","2,722","1","0","0","","0","1","65","23","41","1","0"
"El Portal","2,409","14","0","0","","7","7","94","34","51","9","0"
"Eustis","19,370","62","1","5","","16","40","699","121","550","28","1"
"Fellsmere","5,370","10","0","0","","3","7","95","28","65","2","0"
"Fernandina Beach","12,062","34","0","2","","6","26","274","59","213","2","0"
"Flagler Beach","4,694","8","0","1","","2","5","160","24","133","3","0"
"Florida City","12,158","337","1","9","","116","211","1,099","173","883","43","0"
"Fort Lauderdale","174,056","1,345","18","78","","618","631","8,933","1,942","6,317","674","31"
"Fort Myers","69,718","769","11","43","","173","542","2,176","368","1,680","128","6"
"Fort Pierce","43,347","460","12","26","","114","308","2,160","529","1,525","106","9"
"Fort Walton Beach","20,881","71","0","8","","19","44","693","96","560","37","0"
"Fruitland Park","4,289","22","0","0","","1","21","160","51","102","7","0"
"Gainesville","128,185","817","2","102","","150","563","4,580","594","3,688","298","19"
"Golden Beach","958","1","0","0","","0","1","10","5","5","0","0"
"Graceville","2,226","2","0","0","","0","2","27","13","13","1","0"
"Greenacres City","38,957","265","1","7","","70","187","1,523","347","1,081","95","3"
"Green Cove Springs","7,062","47","0","6","","6","35","204","32","166","6","2"
"Gretna","1,393","13","0","1","","0","12","34","21","12","1","0"
"Gulf Breeze","6,197","2","0","0","","1","1","140","33","104","3","0"
"Gulfport","12,199","35","1","1","","12","21","668","130","491","47","5"
"Gulf Stream","821","0","0","0","","0","0","13","2","11","0","0"
"Haines City","21,717","52","1","4","","13","34","658","115","523","20","0"
"Hallandale","39,000","240","1","7","","85","147","1,526","281","1,154","91","3"
"Havana","1,696","5","0","1","","1","3","30","6","23","1","0"
"Hialeah","235,446","782","6","44","","255","477","6,536","723","5,140","673","18"
"Hialeah Gardens","22,855","57","1","3","","19","34","834","100","679","55","1"
"Highland Beach","3,664","3","0","0","","0","3","34","4","30","0","0"
"High Springs","5,582","14","0","3","","0","11","119","28","89","2","0"
"Hillsboro Beach","1,981","0","0","0","","0","0","20","6","14","0","0"
"Holly Hill","11,686","76","1","9","","21","45","598","119","432","47","0"
"Hollywood","147,918","731","12","62","","257","400","6,385","1,428","4,483","474","4"
"Holmes Beach","4,107","6","0","0","","0","6","140","32","108","0","0"
"Homestead","64,938","862","3","29","","300","530","2,963","748","2,111","104","8"
"Howey-in-the-Hills","1,148","1","0","0","","0","1","7","4","3","0","0"
"Hypoluxo","2,673","3","0","0","","1","2","38","4","33","1","0"
"Indialantic","2,763","3","0","0","","1","2","69","11","58","0","0"
"Indian Creek Village","91","0","0","0","","0","0","0","0","0","0","0"
"Indian Harbour Beach","8,308","5","1","0","","1","3","128","21","105","2","0"
"Indian River Shores","4,050","0","0","0","","0","0","12","3","8","1","0"
"Indian Rocks Beach","4,196","12","0","2","","1","9","93","15","72","6","0"
"Indian Shores","3,600","6","0","1","","0","5","25","5","20","0","0"
"Interlachen","1,361","2","0","0","","0","2","37","8","28","1","1"
"Jacksonville","856,021","5,853","96","479","","1,419","3,859","33,732","6,806","24,945","1,981","92"
"Jacksonville Beach","21,935","135","0","29","","29","77","813","149","629","35","2"
"Jasper","4,163","5","0","1","","1","3","146","56","83","7","0"
"Jennings","867","1","0","0","","0","1","15","9","6","0","0"
"Juno Beach","3,307","2","0","0","","1","1","80","20","57","3","0"
"Jupiter","59,039","126","1","7","","40","78","1,049","167","836","46","5"
"Jupiter Inlet Colony","426","0","0","0","","0","0","0","0","0","0","0"
"Jupiter Island","858","0","0","0","","0","0","29","16","12","1","0"
"Kenneth City","5,031","13","0","0","","2","11","147","17","123","7","0"
"Key Biscayne","12,946","2","0","0","","0","2","210","8","191","11","0"
"Key Colony Beach","843","0","0","0","","0","0","12","3","9","0","0"
"Key West","25,772","203","0","15","","40","148","1,315","229","963","123","2"
"Kissimmee","66,623","445","2","45","","104","294","2,816","623","2,090","103","5"
"Lady Lake","14,323","26","0","1","","2","23","192","38","133","21","0"
"Lake Alfred","5,219","8","0","0","","2","6","117","36","76","5","0"
"Lake City","12,121","167","2","11","","37","117","946","131","787","28","1"
"Lake Clarke Shores","3,494","7","1","2","","1","3","52","24","24","4","0"
"Lake Hamilton","1,303","2","0","0","","1","1","100","26","60","14","2"
"Lake Helen","2,625","7","0","0","","0","7","57","7","37","13","0"
"Lakeland","101,428","453","8","73","","153","219","5,285","1,088","3,948","249","7"
"Lake Mary","15,067","31","0","5","","5","21","295","80","207","8","0"
"Lake Park","8,409","107","1","9","","32","65","793","89","665","39","0"
"Lake Placid","2,126","12","1","2","","6","3","73","16","57","0","0"
"Lake Wales","15,092","67","0","2","","20","45","669","189","453","27","1"
"Lake Worth","36,258","416","1","38","","157","220","1,985","597","1,258","130","11"
"Lantana","10,926","67","0","8","","26","33","538","89","429","20","1"
"Largo","78,502","338","4","42","","92","200","2,876","564","2,182","130","12"
"Lauderdale-by-the-Sea","6,385","20","0","3","","4","13","138","30","100","8","0"
"Lauderdale Lakes","34,403","266","3","26","","103","134","1,505","308","1,126","71","3"
"Lauderhill","70,506","461","1","23","","171","266","2,471","787","1,473","211","11"
"Lawtey","714","1","0","0","","0","1","7","2","5","0","0"
"Leesburg","21,315","133","0","20","","33","80","1,065","264","765","36","0"
"Lighthouse Point","10,943","10","0","2","","4","4","215","40","168","7","1"
"Live Oak","7,003","67","0","1","","16","50","225","124","91","10","1"
"Longboat Key","7,129","0","0","0","","0","0","87","21","65","1","0"
"Longwood","13,864","63","0","7","","7","49","398","104","274","20","0"
"Lynn Haven","19,565","50","0","4","","1","45","487","41","430","16","1"
"Madeira Beach","4,334","26","0","4","","3","19","184","28","147","9","0"
"Madison","2,939","40","1","2","","8","29","191","61","127","3","0"
"Maitland","16,643","31","0","10","","4","17","433","138","272","23","0"
"Manalapan","435","2","0","0","","0","2","16","3","13","0","0"
"Mangonia Park","1,951","65","3","8","","14","40","210","30","164","16","2"
"Marco Island","17,343","5","1","0","","1","3","118","20","92","6","0"
"Margate","55,982","126","0","1","","37","88","901","226","597","78","0"
"Marianna","9,842","62","0","2","","6","54","175","36","138","1","0"
"Mascotte","5,284","23","0","3","","3","17","117","62","47","8","0"
"Medley","843","4","0","1","","0","3","246","14","189","43","0"
"Melbourne","77,797","611","2","58","","119","432","3,102","460","2,533","109","27"
"Melbourne Beach","3,145","1","0","0","","0","1","37","19","16","2","0"
"Melbourne Village","669","0","0","0","","0","0","11","0","11","0","0"
"Mexico Beach","1,132","9","0","0","","0","9","38","6","31","1","0"
"Miami","421,996","4,473","81","110","","1,790","2,492","20,394","3,659","14,514","2,221","66"
"Miami Beach","91,771","893","5","54","","385","449","9,423","819","8,176","428","6"
