"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)2","Rape(legacydefinition)3","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson4"
"Abbeville","2,869","7","0","","3","1","3","17","6","11","0","0"
"Acworth","21,727","40","0","","2","14","24","610","52","531","27","0"
"Adairsville","4,733","10","0","","3","0","7","98","18","70","10","0"
"Adel","5,313","19","1","","4","4","10","215","62","145","8","3"
"Albany","75,858","775","9","","26","156","584","4,196","1,172","2,849","175","14"
"Alma","3,536","25","0","","0","10","15","249","52","195","2","0"
"Alpharetta","63,478","38","0","","3","21","14","1,254","150","1,070","34","0"
"Americus","16,200","190","4","","1","32","153","1,295","626","651","18","0"
"Aragon","1,235","5","0","","0","1","4","136","22","113","1",""
"Arcade","1,755","1","0","","0","0","1","31","5","21","5",""
"Athens-Clarke County","121,511","372","4","","38","125","205","3,792","760","2,845","187","26"
"Atlanta","454,363","5,577","93","","151","2,329","3,004","26,114","5,470","16,498","4,146","75"
"Auburn","7,202","16","0","","8","1","7","103","22","74","7","1"
"Baldwin","3,302","4","0","","1","2","1","43","2","41","0","0"
"Ball Ground","1,493","0","0","","0","0","0","17","1","16","0","0"
"Baxley","4,474","12","0","","1","3","8","199","45","147","7","0"
"Berlin","568","0","0","","0","0","0","0","0","0","0","0"
"Blackshear","3,569","23","1","","0","7","15","137","33","101","3","0"
"Blairsville","555","1","0","","0","1","0","18","3","12","3","0"
"Bloomingdale","2,739","2","0","","0","0","2","75","24","49","2","0"
"Blue Ridge","1,259","1","0","","0","0","1","110","34","75","1","0"
"Blythe","705","1","0","","0","1","0","13","1","12","0","0"
"Braselton","8,142","9","0","","4","3","2","110","21","85","4","0"
"Bremen","6,294","17","0","","1","1","15","166","29","129","8","0"
"Brookhaven","50,942","176","1","","6","105","64","1,348","253","980","115","4"
"Brooklet","1,393","1","0","","0","1","0","32","5","27","0","0"
"Brunswick","15,912","225","2","","6","58","159","1,202","325","836","41","6"
"Butler","1,920","2","0","","0","0","2","28","14","14","0","0"
"Byron","4,859","8","1","","0","2","5","141","26","106","9","0"
"Cairo","9,845","27","0","","1","14","12","370","72","283","15","0"
"Calhoun","15,956","36","1","","2","5","28","746","113","609","24","0"
"Camilla","5,070","13","1","","3","1","8","192","47","143","2","0"
"Canton","24,449","35","0","","2","9","24","507","72","408","27","0"
"Carrollton","25,315","110","1","","8","22","79","1,204","162","1,007","35","4"
"Cave Spring","1,149","0","0","","0","0","0","31","2","26","3","0"
"Centerville","7,663","19","0","","0","5","14","460","120","329","11","1"
"Chamblee","16,053","172","1","","0","97","74","1,090","178","797","115","0"
"Chatsworth","4,284","23","0","","1","0","22","155","14","126","15","0"
"Chattahoochee Hills","2,606","7","0","","0","0","7","68","22","45","1",""
"Claxton","2,358","7","0","","0","3","4","70","17","50","3","0"
"Clayton","2,255","15","0","","2","1","12","103","43","58","2",""
"Cleveland","3,741","13","0","","1","1","11","232","29","197","6","0"
"Climax","268","0","0","","0","0","0","0","0","0","0","0"
"College Park","14,780","318","9","","11","147","151","1,644","307","1,073","264","9"
"Columbus","206,714","1,101","22","","47","511","521","13,378","3,711","8,495","1,172","47"
"Commerce","6,553","16","0","","2","0","14","117","15","99","3","0"
"Conyers","15,713","106","2","","4","26","74","874","115","719","40","5"
"Coolidge","526","0","0","","0","0","0","6","3","3","0","0"
"Cordele","11,202","71","0","","4","21","46","684","155","508","21","0"
"Cornelia","4,193","22","0","","1","4","17","233","35","193","5","0"
"Covington","13,535","64","0","","6","19","39","929","141","740","48","0"
"Cumming","5,652","6","0","","0","1","5","395","64","322","9","0"
"Dallas","12,621","24","1","","1","9","13","360","67","277","16","1"
"Dalton","33,464","90","3","","14","15","58","1,242","203","979","60","6"
"Danielsville","572","4","0","","0","1","3","20","2","17","1",""
"Decatur","20,241","30","1","","0","18","11","623","94","482","47","0"
"Demorest","2,032","1","0","","1","0","0","16","1","14","1","0"
"Dillard","338","1","0","","1","0","0","3","1","2","0",""
"Doerun","786","4","0","","0","2","2","22","2","20","0","0"
"Donalsonville","2,829","4","0","","0","1","3","84","8","75","1","1"
"Douglas","11,924","108","0","","13","30","65","1,106","128","952","26","6"
"Douglasville","32,112","186","5","","5","35","141","2,055","174","1,790","91","5"
"Dublin","16,423","89","1","","2","27","59","911","237","644","30","0"
"Duluth","28,849","27","3","","0","6","18","597","93","483","21","0"
"Dunwoody","47,915","58","0","","3","25","30","2,186","276","1,799","111","0"
"East Ellijay","548","5","0","","1","1","3","106","4","100","2","0"
"Eastman","5,384","50","0","","3","8","39","441","85","343","13","0"
"East Point","35,929","464","6","","20","273","165","3,756","935","2,275","546","2"
"Eatonton","6,542","53","0","","8","24","21","254","47","203","4","0"
"Edison","1,477","1","0","","0","0","1","9","4","4","1",""
"Elberton","4,500","37","0","","0","7","30","320","50","262","8","0"
"Ellaville","1,867","5","0","","1","0","4","23","4","18","1","0"
"Ellijay","1,640","3","0","","0","0","3","61","13","46","2","0"
"Emerson","1,490","5","0","","0","1","4","86","10","73","3","1"
"Ephesus","414","0","0","","0","0","0","0","0","0","0","0"
"Eton","899","0","0","","0","0","0","16","1","14","1","0"
"Fairburn","13,851","52","1","","3","25","23","528","141","318","69","0"
"Fairmount","723","8","0","","0","0","8","11","1","7","3","0"
"Fayetteville","16,424","27","1","","1","11","14","462","39","409","14","0"
"Fitzgerald","9,073","45","1","","7","8","29","561","130","422","9","4"
"Flowery Branch","6,259","0","0","","0","0","0","76","6","65","5","0"
"Folkston","5,641","18","0","","0","3","15","63","20","40","3","0"
"Forest Park","18,855","116","1","","8","56","51","1,042","239","703","100","7"
"Forsyth","4,039","21","1","","3","2","15","227","18","200","9","0"
"Fort Oglethorpe","9,573","45","0","","0","8","37","808","50","742","16","0"
"Fort Valley","8,925","109","1","","2","9","97","366","132","225","9","0"
"Franklin","971","7","0","","1","0","6","28","4","24","0","0"
"Franklin Springs","1,116","1","0","","0","0","1","12","1","10","1","0"
"Gainesville","35,967","131","2","","16","33","80","1,492","214","1,202","76","2"
"Garden City","8,931","155","0","","3","44","108","524","210","292","22","1"
"Glenwood","730","1","0","","0","1","0","0","0","0","0","0"
"Gordon","2,017","0","0","","0","0","0","12","0","12","0","0"
"Grantville","3,142","2","0","","0","0","2","53","23","25","5","0"
"Greensboro","3,487","21","0","","0","3","18","112","9","99","4","0"
"Greenville","863","1","0","","0","0","1","22","4","14","4","0"
"Griffin","23,279","262","3","","17","41","201","1,552","266","1,237","49","1"
"Grovetown","12,676","4","0","","0","1","3","119","47","69","3","0"
"Guyton","1,720","2","0","","0","0","2","18","4","14","0","0"
"Hahira","2,850","3","0","","0","0","3","51","9","35","7","0"
"Hapeville","6,755","61","1","","10","27","23","498","70","365","63","1"
"Harlem","2,890","1","0","","1","0","0","36","6","28","2","0"
"Harrison","477","0","0","","0","0","0","0","0","0","0","0"
"Hartwell","4,517","17","0","","0","2","15","356","45","303","8","0"
"Hazlehurst","4,245","14","0","","1","1","12","214","50","160","4",""
"Helen","529","8","0","","0","0","8","78","18","58","2","0"
"Hiawassee","893","1","0","","0","0","1","27","8","19","0","0"
"Hinesville","34,525","162","1","","6","35","120","1,426","347","1,040","39","8"
"Hiram","3,684","5","0","","0","4","1","374","18","350","6","0"
"Hoboken","524","0","0","","0","0","0","5","0","5","0","0"
"Hogansville","3,092","8","0","","2","1","5","135","37","95","3","0"
"Holly Springs","9,925","10","0","","1","1","8","176","18","148","10","0"
"Homeland","866","0","0","","0","0","0","0","0","0","0","0"
"Homerville","2,444","27","0","","0","2","25","185","38","139","8","0"
"Jackson","4,902","7","0","","0","3","4","85","14","64","7","0"
"Jefferson","9,802","15","1","","2","2","10","161","31","125","5","0"
"Jesup","10,323","77","0","","8","13","56","782","98","673","11","0"
"Johns Creek","84,256","28","0","","3","8","17","594","92","490","12","1"
"Jonesboro","4,567","21","0","","1","7","13","176","31","104","41","0"
"Kennesaw","32,429","37","1","","2","11","23","508","77","405","26","0"
"Kingsland","16,309","54","0","","1","2","51","487","81","390","16","3"
"Lafayette","7,062","14","0","","1","2","11","355","57","291","7","1"
"LaGrange","30,679","124","3","","4","55","62","1,770","367","1,331","72","1"
"Lake City","2,634","44","3","","10","20","11","435","91","329","15","0"
"Lakeland","3,407","18","0","","3","3","12","80","31","40","9","0"
"Lake Park","734","3","0","","0","0","3","33","10","21","2","0"
"Lavonia","2,147","16","0","","0","1","15","76","13","60","3","0"
"Lilburn","12,610","40","1","","1","19","19","696","75","583","38","0"
"Lincolnton","1,499","7","0","","0","0","7","46","10","36","0","0"
"Lithonia","1,997","63","0","","0","13","50","452","93","274","85","0"
"Locust Grove","5,704","18","0","","2","1","15","361","32","321","8","0"
"Loganville","10,898","7","0","","1","1","5","243","29","203","11","0"
"Lumber City","1,255","1","0","","0","1","0","5","2","3","0","0"
"Madison","3,970","25","0","","2","2","21","224","24","197","3","0"
"Manchester","4,083","12","0","","0","1","11","157","39","114","4","0"
"Marietta","59,663","303","5","","8","139","151","2,654","366","2,080","208","2"
"Maysville","1,834","1","0","","0","0","1","14","0","14","0","0"
"McCaysville","1,061","9","0","","0","0","9","18","1","16","1","0"
"McDonough","23,001","54","0","","5","22","27","832","77","706","49","4"
"McIntyre","643","2","0","","0","0","2","19","5","12","2","0"
"McRae","6,141","24","0","","0","2","22","82","29","49","4","0"
"Meigs","1,031","11","0","","0","2","9","20","10","9","1","0"
"Midville","268","0","0","","0","0","0","0","0","0","0","0"
"Midway","2,064","6","0","","0","1","5","24","5","18","1","0"
"Milledgeville","19,519","65","0","","3","24","38","729","149","556","24","4"
"Milton","36,702","7","0","","1","0","6","365","53","312","0","0"
"Montezuma","3,251","24","0","","2","4","18","192","88","92","12","1"
"Morrow","6,745","27","0","","1","18","8","770","43","678","49","0"
"Moultrie","14,691","73","0","","5","29","39","997","165","806","26","0"
"Mountain City","1,057","0","0","","0","0","0","0","0","0","0","0"
"Mount Airy","1,280","1","0","","0","0","1","12","5","7","0","0"
"Mount Zion","1,720","1","0","","0","0","1","20","10","9","1","0"
"Nahunta","1,050","2","0","","0","1","1","16","8","8","0","0"
"Nashville","4,890","30","1","","3","7","19","225","63","160","2","0"
"Newnan","35,232","170","3","","4","25","138","1,032","184","797","51","3"
"Nicholls","3,373","4","0","","0","1","3","41","15","25","1","0"
"Norcross","16,363","96","1","","10","44","41","659","138","456","65","1"
"Norman Park","972","1","0","","0","0","1","24","7","17","0","0"
"Ocilla","3,485","16","0","","1","2","13","129","18","104","7","0"
"Oglethorpe","1,235","19","0","","0","2","17","85","25","59","1","0"
"Oxford","2,137","0","0","","0","0","0","51","7","43","1","0"
"Palmetto","4,846","13","1","","1","3","8","104","20","69","15","0"
"Patterson","747","0","0","","0","0","0","0","0","0","0","0"
"Peachtree City","34,989","10","0","","1","5","4","443","27","374","42","0"
"Pelham","3,897","11","0","","1","3","7","124","33","89","2","1"
"Pembroke","2,377","1","0","","0","0","1","48","19","29","0","0"
"Pine Mountain","1,343","7","0","","0","1","6","79","18","58","3","0"
"Pooler","21,707","40","0","","3","24","13","620","170","420","30","1"
"Porterdale","1,458","19","0","","3","0","16","32","8","23","1",""
"Port Wentworth","6,840","20","1","","1","1","17","108","22","64","22","0"
"Poulan","829","2","0","","1","0","1","23","9","14","0","0"
"Powder Springs","14,524","141","0","","1","21","119","635","164","443","28","0"
"Quitman","3,693","55","0","","2","7","46","236","64","164","8","1"
"Ray City","1,052","0","0","","0","0","0","17","3","14","0","0"
"Register","172","0","0","","0","0","0","0","0","0","0","0"
"Remerton","1,135","9","0","","2","3","4","92","19","68","5","0"
"Reynolds","1,045","0","0","","0","0","0","0","0","0","0","0"
"Ringgold","3,689","54","0","","0","2","52","516","37","455","24","0"
"Riverdale","15,607","69","2","","1","43","23","919","263","621","35","0"
"Rochelle","1,114","2","0","","0","2","0","35","9","26","0","0"
"Rockmart","4,159","29","0","","2","10","17","379","80","293","6","0"
"Roswell","95,387","110","3","","10","53","44","1,789","372","1,328","89","7"
"Sandersville","5,822","38","0","","4","12","22","303","39","255","9","0"
"Sandy Springs","101,184","159","6","","21","92","40","2,745","639","1,930","176","3"
"Sardis","965","9","0","","0","3","6","34","9","22","3","0"
"Savannah-Chatham Metropolitan","236,682","927","32","","65","459","371","8,507","1,681","6,071","755","31"
"Screven","772","1","0","","0","0","1","19","3","14","2","0"
"Senoia","3,855","0","0","","0","0","0","29","4","25","0","0"
"Shiloh","444","1","0","","0","0","1","1","1","0","0","0"
"Sky Valley","268","0","0","","0","0","0","4","1","3","0","0"
"Smyrna","53,965","155","2","","4","65","84","1,552","308","1,105","139","4"
"Snellville","19,480","34","0","","2","9","23","698","37","642","19","3"
"Social Circle","4,311","27","0","","0","2","25","112","38","71","3","0"
"Sparks","1,995","4","0","","0","1","3","64","18","44","2","0"
"Sparta","1,322","6","0","","0","1","5","49","15","32","2","0"
"Springfield","2,800","3","0","","0","1","2","68","27","39","2","0"
"Statesboro","30,298","82","4","","9","32","37","1,084","177","888","19","11"
"Statham","2,571","2","0","","0","0","2","83","19","53","11",""
"Summerville","4,402","1","0","","0","1","0","31","0","30","1","0"
"Suwanee","18,313","17","0","","1","2","14","465","93","362","10","0"
"Swainsboro","7,634","39","0","","1","4","34","383","106","270","7","0"
"Sylvania","2,577","13","0","","0","2","11","102","15","83","4","0"
"Talbotton","892","4","0","","0","0","4","5","2","3","0","0"
"Tallapoosa","3,137","30","0","","1","0","29","171","35","123","13","0"
"Tallulah Falls","167","0","0","","0","0","0","3","2","1","0","0"
"Temple","4,278","12","0","","1","2","9","150","28","111","11","1"
"Tennille","1,619","7","0","","0","2","5","59","19","38","2","0"
"Thomaston","9,066","40","0","","5","9","26","436","56","370","10",""
"Thomasville","18,752","73","1","","8","19","45","1,243","299","899","45","4"
"Thunderbolt","2,592","3","0","","0","1","2","85","14","68","3","0"
"Tifton","16,414","130","2","","15","50","63","1,060","198","829","33","10"
"Tignall","517","0","0","","0","0","0","0","0","0","0","0"
"Toccoa","8,346","42","1","","6","3","32","457","59","388","10","0"
"Toomsboro","456","0","0","","0","0","0","0","0","0","0","0"
"Trenton","2,252","0","0","","0","0","0","32","6","22","4","0"
"Trion","1,786","5","0","","0","2","3","66","15","51","0","0"
"Tunnel Hill","861","2","0","","0","0","2","14","1","13","0",""
"Tybee Island","3,056","7","0","","2","2","3","114","7","104","3","0"
"Tyrone","7,107","2","0","","1","1","0","94","23","67","4","1"
"Union City","20,691","263","6","","13","116","128","1,743","399","1,112","232","0"
"Uvalda","596","0","0","","0","0","0","1","0","1","0","0"
"Valdosta","56,862","184","7","","9","65","103","3,289","542","2,627","120","5"
"Vidalia","10,724","83","2","","3","27","51","730","149","560","21","1"
"Vienna","3,819","8","1","","1","2","4","99","13","80","6","0"
"Villa Rica","14,570","50","0","","7","11","32","719","69","622","28","0"
"Walthourville","4,102","28","0","","1","3","24","168","76","91","1","0"
"Warm Springs","411","0","0","","0","0","0","8","0","8","0","0"
"Warner Robins","73,418","328","2","","20","119","187","4,524","867","3,451","206","16"
"Warwick","414","5","0","","0","0","5","17","7","8","2","0"
"Watkinsville","2,910","0","0","","0","0","0","45","5","38","2","0"
"Waverly Hall","735","0","0","","0","0","0","3","1","2","0","0"
"Waycross","14,149","66","1","","5","27","33","1,007","130","860","17","3"
"Waynesboro","5,789","57","1","","3","18","35","334","80","233","21","0"
"West Point","3,763","30","1","","3","10","16","171","23","136","12","0"
"Whigham","475","0","0","","0","0","0","16","4","10","2","0"
"Willacoochee","1,369","1","0","","0","0","1","43","20","21","2","0"
"Winder","14,799","41","0","","0","10","31","609","94","470","45","1"
"Winterville","1,158","0","0","","0","0","0","9","2","6","1","0"
"Woodbury","905","4","0","","0","0","4","108","35","73","0","0"
"Woodstock","27,665","32","0","","5","6","21","648","51","587","10","0"
"Wrens","2,090","8","0","","0","2","6","89","15","71","3","0"
"Wrightsville","3,684","5","0","","0","0","5","41","22","17","2","0"
"Zebulon","1,153","1","0","","0","1","0","31","5","24","2","0"
