"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","1,944","1","0","0","","0","1","12","0","8","4","0"
"American Falls","4,351","6","0","0","","0","6","75","7","66","2","0"
"Bellevue","2,278","4","0","0","","0","4","14","3","10","1","0"
"Blackfoot","11,833","23","0","8","","1","14","314","74","229","11","1"
"Boise","216,260","641","4","123","","57","457","4,511","693","3,626","192","46"
"Bonners Ferry","2,454","2","0","1","","0","1","65","8","56","1","0"
"Buhl","4,235","9","0","1","","0","8","80","26","52","2","0"
"Caldwell","49,597","159","1","13","","8","137","1,379","246","1,037","96","13"
"Cascade","899","1","0","1","","0","0","16","2","14","0","1"
"Challis","1,081","1","0","0","","0","1","12","4","8","0","0"
"Chubbuck","14,159","41","0","7","","5","29","661","51","594","16","2"
"Coeur d'Alene","46,952","239","2","40","","22","175","1,822","334","1,347","141","23"
"Cottonwood","912","4","0","0","","1","3","6","2","4","0","0"
"Emmett","6,513","15","0","3","","0","12","73","13","58","2","1"
"Filer","2,622","0","0","0","","0","0","12","4","7","1","0"
"Fruitland","4,768","2","0","0","","1","1","55","19","35","1","0"
"Garden City","11,332","75","0","8","","3","64","430","58","349","23","4"
"Gooding","3,452","6","0","0","","1","5","93","26","59","8","0"
"Grangeville","3,117","2","0","0","","0","2","46","10","35","1","0"
"Hagerman","846","4","0","0","","0","4","3","0","2","1","0"
"Hailey","8,034","29","0","1","","0","28","58","23","29","6","1"
"Heyburn","3,189","3","0","1","","0","2","44","20","23","1","0"
"Homedale","2,608","5","0","1","","0","4","58","24","31","3","0"
"Idaho Falls","58,606","126","0","36","","7","83","1,502","239","1,164","99","6"
"Jerome","11,064","38","0","5","","1","32","229","73","143","13","3"
"Kamiah","1,327","3","0","1","","0","2","26","15","7","4","0"
"Kellogg","2,118","14","0","2","","1","11","64","23","37","4","1"
"Ketchum","2,705","6","0","0","","1","5","61","11","46","4","0"
"Kimberly","3,472","3","0","0","","0","3","27","13","13","1","0"
"Lewiston","32,521","59","1","10","","9","39","1,133","212","847","74","1"
"McCall","2,918","21","0","3","","0","18","84","15","68","1","0"
"Meridian","85,733","69","2","19","","1","47","1,187","189","969","29","12"
"Montpelier","2,532","9","0","1","","0","8","48","6","41","1","0"
"Moscow","24,705","12","0","1","","1","10","703","88","595","20","2"
"Mountain Home","13,695","47","0","14","","0","33","248","43","199","6","2"
"Nampa","87,735","266","3","50","","17","196","2,415","554","1,708","153","14"
"Orofino","3,096","5","0","0","","0","5","70","26","41","3","0"
"Osburn","1,544","4","0","0","","1","3","39","26","12","1","0"
"Parma","2,058","1","0","0","","0","1","20","10","9","1","1"
"Payette","7,417","28","1","2","","0","25","153","45","104","4","0"
"Pinehurst","1,619","1","0","0","","0","1","29","18","8","3","1"
"Ponderay","1,104","1","0","0","","0","1","149","66","83","0","1"
"Post Falls","29,776","51","2","5","","10","34","841","126","656","59","6"
"Preston","5,161","3","1","0","","0","2","64","18","45","1","0"
"Priest River","1,714","3","0","0","","0","3","40","8","30","2","0"
"Rathdrum","7,147","9","0","0","","1","8","140","50","86","4","1"
"Rexburg","26,773","9","0","7","","0","2","219","11","203","5","0"
"Rigby","4,061","1","0","0","","0","1","75","8","65","2","0"
"Rupert","5,633","19","0","3","","1","15","143","65","77","1","0"
"Salmon","3,006","11","0","1","","0","10","34","15","16","3","0"
"Sandpoint","7,629","15","0","1","","0","14","250","70","175","5","0"
"Shelley","4,389","1","0","1","","0","0","52","10","39","3","0"
"Shoshone","1,502","4","0","1","","0","3","12","4","8","0","1"
"Soda Springs","2,954","1","0","0","","0","1","26","11","14","1","0"
"Spirit Lake","2,016","3","0","0","","0","3","29","7","14","8","1"
"St. Anthony","3,446","6","0","1","","0","5","44","6","36","2","0"
"St. Maries","2,317","9","0","2","","0","7","26","4","20","2","0"
"Sun Valley","1,409","3","0","0","","0","3","12","5","7","0","0"
"Twin Falls","46,358","114","1","14","","21","78","1,459","288","1,112","59","3"
"Weiser","5,292","3","0","0","","0","3","99","27","68","4","1"
"Wendell","2,691","4","0","1","","0","3","27","8","16","3","0"
"Wilder","1,587","6","0","0","","2","4","22","5","15","2","0"
