"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Addison","37,480","65","0","12","","11","42","612","89","505","18","1"
"Albany","882","1","0","0","","1","0","7","3","4","0","0"
"Albers","1,179","0","0","0","","0","0","0","0","0","0","0"
"Aledo","3,641","3","0","0","","0","3","34","5","28","1","0"
"Algonquin","30,566","18","0","1","","3","14","447","29","413","5","7"
"Alsip","19,493","36","0","2","","15","19","567","92","412","63","4"
"Altamont","2,301","3","0","0","","0","3","35","10","25","0","0"
"Alton","27,157","137","2","16","","29","90","1,198","244","889","65","8"
"Amboy","2,369","6","0","0","","0","6","18","10","8","0","0"
"Anna","4,369","14","1","5","","0","8","187","28","151","8","0"
"Antioch","14,398","16","0","2","","1","13","225","21","198","6","2"
"Arlington Heights","76,200","43","0","4","","12","27","743","134","588","21","1"
"Arthur","2,286","1","0","0","","0","1","10","2","8","0","0"
"Ashland","1,300","0","0","0","","0","0","10","3","7","0","0"
"Athens","1,961","3","0","1","","0","2","11","1","10","0","0"
"Atwood","1,195","1","0","0","","0","1","12","2","10","0","0"
"Aurora","200,419","558","8","43","","108","399","2,982","509","2,356","117","19"
"Aviston","2,093","0","0","0","","0","0","8","0","8","0","0"
"Bannockburn","1,575","0","0","0","","0","0","10","0","10","0","0"
"Barrington","10,368","1","0","1","","0","0","106","11","92","3","0"
"Barrington Hills","4,237","0","0","0","","0","0","19","5","14","0","0"
"Bartlett","41,784","14","1","1","","3","9","236","15","216","5","6"
"Bartonville","6,473","22","0","6","","1","15","223","30","188","5","0"
"Batavia","26,445","36","0","6","","5","25","372","23","346","3","8"
"Beardstown","5,919","52","0","0","","0","52","41","10","30","1","0"
"Beecher","4,470","3","0","0","","0","3","46","3","38","5","0"
"Belgium","394","0","0","0","","0","0","0","0","0","0","0"
"Bellwood","19,181","115","2","6","","22","85","434","106","287","41","2"
"Benld","1,512","5","0","0","","0","5","39","10","29","0","0"
"Berkeley","5,243","15","1","3","","3","8","73","12","58","3","2"
"Berwyn","56,778","127","0","11","","57","59","1,163","262","822","79","5"
"Bethalto","9,410","24","1","15","","3","5","115","17","95","3","0"
