"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Alexandria","5,075","1","0","","0","1","0","109","20","83","6","0"
"Anderson4","55,545","190","1","59","","73","57","2,490","553","1,739","198","43"
"Angola","8,661","4","0","","1","2","1","367","18","344","5",""
"Auburn","12,797","8","0","","4","0","4","270","30","232","8","1"
"Aurora","3,731","7","0","","1","2","4","127","14","113","0","0"
"Avon","14,009","53","0","1","","5","47","617","38","558","21",""
"Bargersville","6,554","3","0","","0","0","3","134","18","116","0",""
"Bedford","13,372","15","0","","7","2","6","508","49","430","29","2"
"Beech Grove","14,536","25","0","","2","18","5","625","87","471","67","2"
"Berne","4,035","2","0","","1","1","0","32","4","24","4","0"
"Bloomington4","83,075","294","1","61","","81","151","2,466","487","1,854","125",""
"Bluffton","9,959","1","0","","1","0","0","349","45","294","10",""
"Boonville","6,198","39","0","","1","1","37","165","23","135","7","2"
"Bremen","4,619","27","0","","3","0","24","65","10","50","5",""
"Brownsburg","23,539","44","0","","6","4","34","360","40","296","24",""
"Brownstown","2,995","1","0","","0","0","1","103","13","85","5",""
"Carmel4","87,555","12","1","2","","6","3","816","72","689","55",""
"Cedar Lake","11,736","20","0","","1","3","16","222","37","174","11",""
"Charlestown","8,091","1","0","","0","1","0","229","31","192","6",""
"Clarksville","21,858","121","1","","6","28","86","1,752","112","1,596","44","0"
"Clinton","4,759","16","0","","2","0","14","101","28","69","4",""
"Columbia City","8,816","12","0","","2","1","9","143","17","123","3","0"
"Columbus","46,196","45","0","","12","20","13","2,001","204","1,630","167","5"
"Crawfordsville","16,017","202","0","2","","5","195","454","65","371","18",""
"Cumberland","5,386","17","0","","1","7","9","201","40","126","35",""
"Danville","9,519","25","0","","1","1","23","103","22","77","4","2"
"Decatur","9,419","5","0","","1","0","4","191","20","168","3","0"
"Delphi","2,887","5","0","","1","0","4","60","12","45","3","0"
"Dyer","16,244","16","0","","0","6","10","189","14","169","6","0"
"East Chicago","29,089","249","7","","19","90","133","1,222","301","809","112",""
"Edinburgh","4,538","13","0","0","","4","9","431","37","392","2","0"
"Elkhart","51,366","646","1","","20","79","546","2,283","615","1,484","184",""
"Elwood","8,493","12","1","","1","0","10","164","50","106","8",""
"Evansville","120,372","623","9","","69","223","322","6,883","1,087","5,250","546",""
"Fairmount","2,895","11","0","","0","0","11","53","23","30","0","0"
"Fishers4","85,597","18","2","2","","5","9","814","50","726","38","4"
"Fort Wayne","257,172","816","12","104","","347","353","8,352","1,765","6,223","364","45"
"Frankfort","16,205","20","0","","5","5","10","821","115","672","34",""
"Franklin","24,310","75","2","","2","6","65","952","83","857","12","1"
"Garrett","6,290","3","0","","2","0","1","188","36","142","10","0"
"Gary","78,013","712","37","","44","278","353","4,052","1,312","2,268","472","63"
"Gas City","6,075","17","0","","0","0","17","168","25","143","0","0"
"Goshen","32,337","36","0","","13","15","8","1,240","240","934","66","1"
"Greenfield","21,381","29","0","6","","2","21","363","55","295","13","0"
"Greensburg","11,800","31","0","","1","2","28","76","11","64","1",""
"Greenwood","54,345","191","0","2","","14","175","1,921","172","1,641","108","3"
"Griffith","16,552","42","1","1","","10","30","464","69","353","42","0"
"Hagerstown","1,754","5","0","1","","0","4","25","7","16","2","0"
"Hammond4","78,526","637","10","31","","178","418","2,841","530","1,993","318","26"
"Hartford City","6,053","1","0","","0","1","0","204","36","163","5",""
"Highland","23,179","15","0","","0","9","6","617","83","494","40","0"
"Hobart","28,389","83","0","","5","7","71","1,740","126","1,528","86","8"
"Indianapolis5","858,238","10,768","136","573","","3,808","6,251","41,394","12,125","24,090","5,179","271"
"Jasper","15,370","36","0","","0","0","36","145","16","120","9","1"
"Jeffersonville","46,117","267","1","","10","39","217","1,441","225","1,078","138",""
"Kendallville","9,904","27","0","","2","0","25","271","23","235","13","0"
"Kokomo","56,904","162","3","","22","42","95","2,074","501","1,515","58","2"
"Lafayette","70,749","351","2","43","","90","216","3,426","634","2,542","250","9"
"Lake Station","12,170","22","0","","3","9","10","616","74","491","51","3"
"La Porte","22,002","34","2","1","","14","17","747","121","600","26","3"
"Lawrenceburg","5,027","11","1","","1","3","6","138","18","118","2",""
"Ligonier","4,373","1","0","","0","0","1","12","2","7","3",""
"Linton","5,326","3","0","0","","1","2","207","29","168","10","1"
"Logansport","17,973","16","0","","9","3","4","829","94","693","42","0"
"Lowell","9,403","44","0","","0","0","44","82","9","70","3",""
"Marion","29,475","88","1","","11","37","39","1,253","193","976","84","0"
"Merrillville","35,714","119","4","","5","41","69","1,230","183","956","91",""
"Michigan City","31,508","100","3","","6","57","34","1,382","167","1,146","69","6"
"Mishawaka","47,933","106","0","","23","37","46","2,352","244","1,983","125",""
"Mooresville","9,636","5","0","0","","1","4","318","40","250","28",""
"Mount Vernon","6,566","0","0","","0","0","0","337","113","211","13",""
"Muncie4","70,347","277","2","37","","101","137","2,899","490","2,232","177","9"
"Munster","23,187","21","0","","0","11","10","386","24","355","7",""
"Nappanee","6,705","5","0","","3","2","0","115","16","92","7","0"
"New Albany","36,908","90","3","","5","42","40","2,075","320","1,575","180",""
"New Haven4","15,635","16","0","3","","6","7","331","41","260","30","0"
"New Whiteland","5,793","2","0","0","","0","2","38","9","27","2","0"
"North Judson","1,762","7","0","","0","0","7","55","10","41","4","0"
"North Liberty","1,911","1","0","","1","0","0","6","1","5","0","0"
"North Manchester","5,989","4","0","","0","2","2","76","7","67","2",""
"Peru","11,101","35","0","","6","3","26","356","62","280","14","0"
"Plainfield","30,727","55","0","7","","8","40","892","77","765","50",""
"Plymouth","10,036","14","1","5","","1","7","214","23","179","12","0"
"Portage","36,805","60","2","6","","7","45","786","99","631","56",""
"Porter4","4,899","4","0","0","","0","4","70","8","58","4","0"
"Portland","6,275","8","0","1","","0","7","167","9","149","9",""
"Rensselaer","5,874","20","0","","3","2","15","247","18","229","0","0"
"Rushville","6,173","5","0","","1","1","3","281","59","216","6",""
"Scottsburg","6,720","37","0","","5","6","26","258","34","210","14","0"
"Sellersburg","6,167","7","0","","1","2","4","114","16","93","5","0"
"Seymour","19,050","64","0","","7","8","49","951","131","751","69","5"
"Shelbyville","19,278","193","1","","7","4","181","559","78","417","64",""
"South Bend","100,853","691","17","98","","341","235","4,744","1,222","3,190","332","30"
"South Whitley","1,753","0","0","","0","0","0","22","3","18","1","1"
"Speedway","12,120","39","2","","2","24","11","620","81","483","56",""
"St. John","15,870","5","0","","0","0","5","101","26","72","3","0"
"Tell City","7,298","1","0","0","","0","1","140","19","118","3","0"
"Terre Haute","61,085","198","4","30","","51","113","3,012","758","1,989","265","48"
"Tipton","4,970","8","0","","0","3","5","94","18","72","4","2"
"Union City","3,496","7","0","","1","0","6","91","15","74","2",""
"Valparaiso","32,382","35","1","","0","7","27","619","55","526","38",""
"Walkerton","2,276","1","0","","0","0","1","16","6","7","3","1"
"Warsaw","14,160","54","0","","6","10","38","449","55","371","23","3"
"Washington","11,982","54","0","","20","1","33","624","113","457","54",""
"Waterloo","2,235","12","0","2","","0","10","68","13","44","11",""
"Westfield","34,214","36","0","3","","4","29","421","31","382","8","3"
"West Lafayette","31,192","32","0","","2","8","22","349","44","286","19","0"
"Whitestown","4,276","22","0","","0","0","22","119","10","103","6",""
"Whiting","4,866","2","0","","0","1","1","152","14","125","13",""
"Winchester","4,829","0","0","","0","0","0","230","43","179","8","1"
"Winona Lake","4,945","2","0","0","","0","2","53","11","42","0","0"
"Zionsville","25,574","6","0","","0","0","6","149","6","131","12",""
