"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adel","4,133","16","0","0","","0","16","91","46","42","3","0"
"Albia","3,800","1","0","0","","0","1","38","4","32","2","0"
"Algona","5,504","14","0","0","","0","14","35","11","19","5","0"
"Altoona","15,924","19","0","2","","3","14","476","60","403","13","1"
"Ames","62,514","75","0","23","","15","37","1,117","191","901","25","7"
"Anamosa","5,544","7","0","1","","0","6","78","16","60","2","1"
"Ankeny","53,099","58","0","11","","0","47","682","108","535","39","5"
"Atlantic","6,898","17","0","2","","0","15","98","16","81","1","1"
"Audubon","2,049","2","0","0","","0","2","32","14","17","1","0"
"Bettendorf","35,045","52","0","9","","3","40","461","76","374","11","5"
"Bloomfield","2,644","6","0","0","","0","6","10","5","5","0","0"
"Boone","12,627","63","0","11","","1","51","240","92","139","9","0"
"Buffalo","1,294","8","0","0","","0","8","11","3","7","1","0"
"Burlington","25,762","162","2","16","","29","115","871","201","626","44","9"
"Camanche","4,385","5","0","0","","0","5","49","10","37","2","1"
"Carlisle","3,970","21","0","3","","0","18","50","22","23","5","0"
"Carroll","9,988","13","0","0","","0","13","94","23","67","4","0"
"Carter Lake","3,737","31","0","3","","3","25","146","24","102","20","0"
"Cedar Falls","40,883","50","1","12","","7","30","786","115","646","25","1"
"Cedar Rapids","128,901","385","8","41","","128","208","4,953","933","3,740","280","10"
"Centerville","5,429","16","0","3","","0","13","225","69","145","11","4"
"Chariton","4,238","10","0","2","","0","8","126","28","88","10","0"
"Charles City","7,495","19","0","5","","0","14","114","13","98","3","0"
"Cherokee","5,163","15","0","1","","0","14","61","14","44","3","0"
"Clarinda","5,505","19","0","2","","0","17","157","34","116","7","0"
"Clear Lake","7,673","16","0","0","","1","15","255","69","175","11","0"
"Clinton","26,375","165","0","17","","22","126","1,218","229","919","70","10"
"Clive","16,881","19","1","2","","0","16","365","40","296","29","1"
"Coralville","20,392","21","0","6","","9","6","563","46","502","15","3"
"Council Bluffs","61,864","338","1","47","","72","218","4,108","744","2,906","458","27"
"Cresco","3,883","3","0","1","","0","2","57","14","40","3","0"
"Creston","7,904","21","1","0","","0","20","148","48","97","3","0"
"Davenport","102,715","636","2","100","","166","368","4,190","932","3,008","250","19"
"Decorah","8,079","1","0","0","","0","1","97","5","89","3","0"
"Des Moines","208,250","1,250","9","87","","267","887","8,841","1,888","6,083","870","17"
"De Witt","5,275","10","0","1","","0","9","74","32","38","4","0"
"Dubuque","58,421","145","0","27","","20","98","1,513","383","1,071","59","22"
"Dyersville","4,129","6","0","0","","0","6","46","5","37","4","1"
"Eagle Grove","3,472","7","0","1","","0","6","42","12","25","5","0"
"Eldridge","6,126","8","0","3","","0","5","21","4","15","2","0"
"Emmetsburg","3,791","22","0","0","","0","22","43","9","31","3","1"
"Estherville","6,073","22","1","2","","0","19","68","25","40","3","0"
"Evansdale","4,775","16","0","3","","1","12","126","68","52","6","1"
"Fairfield","9,451","9","0","2","","2","5","285","79","196","10","1"
"Forest City","3,969","12","0","4","","1","7","50","16","31","3","1"
"Fort Dodge","24,524","168","1","13","","14","140","1,221","187","986","48","11"
"Fort Madison","11,041","57","0","12","","0","45","215","45","159","11","3"
"Glenwood","5,271","21","0","3","","1","17","81","31","46","4","0"
"Grinnell","9,009","26","1","4","","0","21","232","59","169","4","6"
"Hawarden","2,553","2","0","1","","0","1","24","14","9","1","0"
"Hiawatha","7,177","5","0","0","","3","2","164","62","92","10","1"
"Humboldt","4,623","6","0","0","","1","5","27","6","19","2","1"
"Independence","5,970","2","0","0","","0","2","39","11","27","1","1"
"Indianola","15,183","80","0","13","","2","65","351","86","248","17","16"
"Iowa City","72,522","213","1","31","","51","130","1,756","269","1,411","76","6"
"Iowa Falls","5,212","5","0","3","","1","1","119","8","110","1","1"
