"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Abilene","6,617","14","0","5","","1","8","135","30","99","6","0"
"Andover","12,376","17","0","5","","0","12","279","38","228","13","0"
"Anthony","2,251","15","0","5","","0","10","58","19","39","0","0"
"Arkansas City","12,282","63","1","8","","3","51","478","98","361","19","3"
"Arma","1,466","9","0","2","","0","7","22","4","17","1","2"
"Atchison","10,908","38","0","5","","2","31","386","91","275","20","3"
"Atwood","1,235","2","0","1","","0","1","12","2","10","0","0"
"Basehor","4,958","8","0","1","","0","7","49","11","33","5","1"
"Baxter Springs","4,098","13","0","0","","0","13","131","25","101","5","2"
"Bel Aire","6,950","11","0","0","","2","9","73","21","45","7","4"
"Belleville","1,910","7","0","0","","0","7","61","34","24","3","0"
"Beloit","3,852","15","0","2","","0","13","43","12","27","4","0"
"Bonner Springs","7,518","26","0","2","","3","21","276","34","213","29","2"
"Bucklin","798","0","0","0","","0","0","0","0","0","0","0"
"Burlington","2,620","3","0","0","","0","3","48","7","40","1","0"
"Burrton","884","0","0","0","","0","0","7","2","5","0","0"
"Bushton","270","0","0","0","","0","0","0","0","0","0","0"
"Cheney","2,141","2","0","1","","0","1","25","2","18","5","0"
"Clay Center","4,213","9","0","2","","1","6","108","35","70","3","0"
"Clearwater","2,540","5","0","2","","0","3","42","9","31","2","0"
"Coffeyville","9,873","110","0","9","","11","90","743","202","511","30","3"
"Colby","5,417","26","0","1","","1","24","150","34","108","8","0"
"Columbus","3,203","8","0","1","","0","7","92","23","65","4","1"
"Concordia","5,229","33","0","6","","0","27","206","61","140","5","0"
"Council Grove","2,098","5","0","0","","0","5","37","9","27","1","0"
"Derby","23,195","22","0","5","","1","16","565","79","444","42","0"
"Dodge City","28,325","117","2","18","","8","89","773","148","579","46","5"
"Edwardsville","4,357","16","0","6","","0","10","114","20","79","15","0"
"El Dorado4","12,809","36","0","5","","2","29","","","252","28","2"
"Ellis","2,098","3","0","0","","0","3","19","2","16","1","1"
"Ellsworth","3,065","5","0","2","","0","3","38","10","26","2","0"
"Fairway","3,983","1","0","0","","0","1","45","5","35","5","0"
"Fort Scott","7,897","65","0","9","","1","55","365","95","254","16","2"
"Fredonia","2,369","13","0","1","","0","12","54","16","36","2","0"
"Frontenac","3,430","4","0","1","","0","3","58","24","25","9","0"
"Galena","2,973","7","0","3","","0","4","127","41","69","17","4"
"Garden City","27,010","169","2","23","","7","137","811","79","700","32","4"
"Garden Plain","870","0","0","0","","0","0","6","1","4","1","0"
"Garnett","3,281","15","0","1","","0","14","72","23","46","3","1"
"Girard","2,776","5","0","2","","0","3","45","15","26","4","0"
"Goddard","4,624","2","0","0","","0","2","68","6","56","6","1"
"Goodland","4,574","16","0","1","","0","15","100","21","75","4","1"
"Grandview Plaza","1,722","14","0","1","","2","11","34","5","28","1","0"
"Great Bend","15,876","80","0","8","","3","69","889","222","626","41","5"
"Halstead","2,081","2","0","0","","0","2","64","23","39","2","0"
"Haven","1,231","3","0","0","","0","3","17","5","12","0","0"
"Hays","21,167","57","1","9","","3","44","443","55","364","24","1"
"Haysville","11,046","28","0","6","","0","22","289","89","182","18","4"
"Herington","2,429","4","0","1","","0","3","56","18","34","4","0"
"Hesston","3,739","4","0","0","","0","4","60","14","41","5","0"
"Hiawatha","3,180","12","0","3","","0","9","111","18","91","2","1"
"Hoisington","2,680","8","0","2","","0","6","91","33","53","5","0"
"Holcomb","2,123","1","0","0","","1","0","30","6","23","1","0"
"Holton","3,264","7","0","1","","0","6","57","15","38","4","0"
"Horton","1,772","2","0","0","","0","2","34","11","20","3","0"
"Hugoton","3,994","2","0","2","","0","0","11","0","11","0","0"
"Inman","1,395","0","0","0","","0","0","11","4","7","0","1"
"Iola","5,590","13","0","3","","0","10","189","29","155","5","3"
"Junction City","25,786","129","2","17","","12","98","587","101","457","29","10"
"Kansas City","149,103","1,060","25","233","","254","548","7,316","1,663","4,697","956","61"
"Kingman","3,155","10","1","0","","1","8","51","17","32","2","0"
"Lansing","11,727","33","0","3","","0","30","126","29","87","10","1"
"Larned","4,042","16","0","2","","0","14","117","30","82","5","1"
"Leavenworth","36,018","248","2","23","","38","185","1,175","251","847","77","10"
"Leawood","33,266","23","0","2","","1","20","408","72","323","13","0"
"Lebo","909","0","0","0","","0","0","0","0","0","0","0"
"Lenexa","50,876","56","2","8","","6","40","807","84","631","92","1"
"Liberal","21,054","80","1","19","","8","52","586","102","459","25","6"
"Lindsborg","3,488","3","0","1","","0","2","65","16","47","2","1"
"Little River","547","0","0","0","","0","0","2","1","0","1","0"
"Louisburg","4,293","5","0","1","","1","3","47","7","34","6","1"
"Maize","3,915","7","0","1","","0","6","92","11","80","1","0"
"Marion","1,846","6","0","2","","0","4","22","9","13","0","0"
"Marysville","3,296","12","0","2","","0","10","103","21","68","14","0"
"McLouth","853","1","0","0","","0","1","20","3","17","0","0"
"McPherson4","13,369","27","0","7","","1","19","","","321","22","2"
"Medicine Lodge","2,051","7","0","1","","0","6","44","10","28","6","0"
"Minneapolis","2,014","0","0","0","","0","0","30","11","19","0","0"
"Mission Hills","3,602","0","0","0","","0","0","56","16","34","6","1"
"Moran","538","0","0","0","","0","0","0","0","0","0","0"
"Mulvane","6,322","7","0","2","","0","5","138","13","121","4","2"
"Neodesha","2,406","2","0","0","","0","2","51","10","41","0","0"
"North Newton","1,800","2","0","2","","0","0","7","1","5","1","1"
"Norton","2,876","3","0","1","","0","2","41","11","28","2","0"
"Oakley","2,089","3","0","0","","0","3","26","2","22","2","0"
"Oberlin","1,757","2","0","1","","0","1","7","2","5","0","0"
"Olathe","133,341","101","0","37","","15","49","1,746","199","1,388","159",""
"Osage City","2,888","2","0","0","","0","2","44","12","29","3","0"
"Osawatomie","4,369","15","0","3","","2","10","111","23","81","7","3"
"Oswego","1,765","4","0","0","","0","4","9","3","5","1","0"
"Ottawa","12,439","33","0","5","","0","28","381","66","286","29","4"
"Overland Park","183,108","327","6","127","","29","165","3,033","384","2,130","519","9"
"Oxford","1,014","4","0","0","","0","4","4","1","2","1","0"
"Paola","5,634","6","0","1","","1","4","179","23","148","8","2"
"Park City","7,535","12","0","2","","0","10","168","29","123","16","0"
"Peabody","1,142","0","0","0","","0","0","28","12","10","6","0"
"Pittsburg","20,431","53","0","7","","12","34","1,169","198","901","70","3"
"Plainville","1,903","4","0","1","","0","3","6","2","3","1","0"
"Prairie Village","21,999","9","0","1","","3","5","224","36","172","16","0"
"Pratt","7,026","12","0","1","","1","10","213","53","151","9","4"
"Rose Hill","3,944","6","0","2","","0","4","56","9","47","0","2"
"Russell","4,466","20","0","7","","0","13","62","16","39","7","0"
"Scott City","3,905","15","0","3","","0","12","33","10","19","4","0"
"Seneca","2,005","1","0","0","","0","1","12","3","8","1","0"
"Shawnee","64,834","103","0","21","","13","69","1,051","180","750","121","7"
"South Hutchinson","2,575","4","0","0","","0","4","71","11","59","1","0"
"Sterling","2,290","2","0","0","","0","2","54","35","19","0","1"
"St. John","1,255","6","0","0","","0","6","15","4","11","0","0"
"St. Marys","2,688","3","0","0","","1","2","28","8","19","1","1"
"Tonganoxie","5,202","7","0","0","","0","7","80","27","49","4","1"
"Topeka","127,673","651","6","66","","198","381","6,260","1,007","4,672","581","5"
"Ulysses","6,299","15","0","0","","0","15","93","36","50","7","0"
"Valley Center","7,056","6","0","2","","1","3","106","9","91","6","2"
"Victoria","1,240","0","0","0","","0","0","2","2","0","0","0"
"Wa Keeney","1,844","2","0","0","","0","2","16","4","12","0","0"
"Wamego","4,654","7","0","0","","1","6","66","8","54","4","0"
"Wathena","1,348","3","0","1","","0","2","30","8","19","3","1"
"Wellington","7,919","29","1","5","","0","23","301","83","199","19","1"
"Wellsville","1,829","2","0","0","","0","2","23","6","16","1","1"
"Westwood","2,081","0","0","0","","0","0","36","11","23","2","0"
"Winfield","12,330","23","0","6","","1","16","413","87","305","21","1"
