"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Adairville","889","1","0","0","","0","1","2","0","2","0","0"
"Albany","2,003","0","0","0","","0","0","0","0","0","0","0"
"Alexandria","8,768","6","0","1","","4","1","182","15","161","6","0"
"Anchorage","2,415","0","0","0","","0","0","33","10","20","3","0"
"Ashland","21,321","51","0","10","","18","23","1,074","160","881","33","5"
"Auburn","1,349","0","0","0","","0","0","17","1","15","1","0"
"Audubon Park","1,501","1","0","0","","1","0","62","16","43","3","0"
"Augusta","1,177","2","0","0","","0","2","29","5","24","0","0"
"Barbourville","3,152","0","0","0","","0","0","23","11","9","3","2"
"Bardstown","13,005","19","0","3","","6","10","354","99","244","11","0"
"Bardwell","706","0","0","0","","0","0","0","0","0","0","0"
"Beattyville","1,263","0","0","0","","0","0","4","4","0","0","0"
"Beaver Dam","3,566","2","0","0","","1","1","31","1","30","0","0"
"Bellefonte","881","0","0","0","","0","0","2","0","0","2","0"
"Bellevue","5,887","12","0","3","","5","4","188","35","143","10","0"
"Benham","486","0","0","0","","0","0","0","0","0","0","0"
"Benton","4,369","4","0","0","","2","2","87","28","58","1","1"
"Berea","14,571","11","0","5","","1","5","319","105","205","9","2"
"Bloomfield","1,042","0","0","0","","0","0","7","1","6","0","0"
"Bowling Green","62,117","201","1","49","","64","87","2,938","440","2,384","114","2"
"Brandenburg","2,933","4","0","0","","1","3","31","10","19","2","0"
"Brownsville","829","1","0","0","","0","1","5","0","4","1","0"
"Burkesville","1,525","0","0","0","","0","0","10","3","5","2","0"
"Burnside","831","2","0","0","","2","0","76","13","63","0","1"
"Cadiz","2,665","5","0","0","","3","2","90","20","67","3","0"
"Calvert City","2,512","1","0","0","","0","1","50","19","29","2","0"
"Campbellsville","10,840","18","0","6","","6","6","388","100","271","17","1"
"Carlisle","1,983","0","0","0","","0","0","29","11","16","2","0"
"Carrollton","4,009","7","0","1","","1","5","68","14","48","6","2"
"Catlettsburg","1,820","2","0","1","","0","1","45","9","35","1","0"
"Cave City","2,305","2","0","0","","0","2","35","13","21","1","0"
"Centertown","445","0","0","0","","0","0","1","0","1","0","0"
"Central City","5,882","9","0","5","","1","3","60","3","55","2","0"
"Clarkson","896","0","0","0","","0","0","12","7","5","0","0"
"Clay","1,165","0","0","0","","0","0","1","0","1","0","0"
"Clay City","1,066","1","0","0","","0","1","44","5","36","3","0"
"Clinton","1,343","3","0","0","","0","3","12","3","9","0","0"
"Cloverport","1,160","0","0","0","","0","0","0","0","0","0","0"
"Coal Run Village","1,644","1","0","0","","1","0","53","4","49","0","0"
"Cold Spring","6,191","5","0","2","","3","0","152","10","138","4","0"
"Columbia","4,526","3","0","1","","0","2","50","19","29","2","0"
"Corbin","7,380","19","0","4","","6","9","242","41","183","18","1"
"Covington","41,072","207","2","35","","97","73","1,680","427","1,138","115","10"
"Cumberland","2,157","4","0","0","","0","4","12","3","6","3","0"
"Cynthiana","6,334","17","0","2","","11","4","226","35","181","10","1"
"Danville","16,455","31","0","3","","18","10","434","97","326","11","1"
"Dawson Springs","2,752","1","0","0","","0","1","39","20","17","2","0"
"Dayton","5,377","13","0","3","","5","5","243","56","172","15","1"
"Dry Ridge","2,217","2","0","0","","0","2","17","3","13","1","0"
"Earlington","1,408","0","0","0","","0","0","0","0","0","0","0"
"Eddyville","2,642","0","0","0","","0","0","38","8","30","0","0"
"Edgewood","8,752","1","0","0","","1","0","147","11","130","6","0"
"Edmonton","1,578","1","0","0","","0","1","4","3","1","0","0"
"Elizabethtown","30,208","41","0","16","","8","17","1,069","154","886","29","1"
"Elkton","2,179","3","0","0","","2","1","25","7","16","2","0"
"Elsmere","8,497","16","0","3","","6","7","177","41","121","15","0"
"Eminence","2,517","1","0","0","","0","1","22","9","12","1","0"
"Erlanger","22,610","22","0","7","","9","6","522","74","411","37","0"
"Evarts","937","1","0","0","","1","0","16","6","10","0","0"
"Falmouth","2,138","0","0","0","","0","0","37","13","21","3","0"
"Ferguson","947","0","0","0","","0","0","4","0","4","0","0"
"Flatwoods","7,436","0","0","0","","0","0","37","15","16","6","0"
"Flemingsburg","2,699","1","0","0","","1","0","30","15","14","1","0"
"Florence","31,769","62","0","14","","34","14","1,480","163","1,271","46","5"
"Fort Mitchell","8,288","4","0","0","","4","0","124","20","99","5","0"
"Fort Thomas","16,228","6","0","0","","0","6","117","25","90","2","0"
"Fort Wright","5,781","3","0","0","","2","1","183","31","150","2","0"
"Frankfort","27,489","94","0","11","","42","41","1,022","202","763","57","5"
"Franklin","8,745","23","1","5","","8","9","297","58","231","8","1"
"Fulton","2,258","6","0","0","","2","4","78","14","62","2","0"
"Gamaliel","366","0","0","0","","0","0","0","0","0","0","0"
"Georgetown","31,280","62","0","13","","26","23","936","119","788","29","0"
"Glasgow","14,315","22","0","2","","7","13","456","72","363","21","0"
"Graymoor-Devondale","2,940","2","0","0","","0","2","30","11","17","2","0"
"Grayson","4,073","4","0","0","","1","3","88","34","49","5","0"
"Greensburg","2,158","2","0","1","","0","1","28","5","23","0","0"
"Greenup","1,167","0","0","0","","0","0","1","0","1","0","0"
"Greenville","4,408","5","0","1","","1","3","19","2","13","4","0"
