"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Abbeville4","12,489","129","1","11","","26","91","539","213","308","18","0"
"Addis","4,327","5","0","0","","0","5","3","0","3","0","0"
"Alexandria4","48,618","858","9","9","","170","670","3,761","1,073","2,484","204","0"
"Baker","13,811","25","0","4","","4","17","381","86","270","25","0"
"Baldwin","2,361","1","0","0","","1","0","62","5","57","0","0"
"Ball","4,017","1","0","0","","0","1","33","15","15","3","0"
"Bastrop4","10,857","141","2","7","","28","104","1,327","412","872","43","3"
"Baton Rouge","229,387","2,120","53","73","","852","1,142","10,270","2,772","6,986","512","153"
"Berwick4","4,815","6","0","0","","2","4","88","33","53","2",""
"Blanchard4","2,896","2","0","0","","0","2","32","3","27","2","0"
"Bogalusa4","11,960","106","4","12","","17","73","672","199","430","43","0"
"Bossier City4","67,469","433","5","31","","73","324","3,204","457","2,597","150","4"
"Broussard4","9,653","28","0","2","","12","14","350","155","192","3",""
"Brusly4","2,596","0","0","0","","0","0","1","1","0","0","0"
"Bunkie","4,070","48","1","1","","7","39","251","44","206","1","0"
"Carencro","8,466","36","0","0","","10","26","265","42","207","16","0"
"Clarence4","491","0","0","0","","0","0","0","0","0","0","0"
"Clinton4","1,585","1","0","0","","0","1","4","2","2","0","0"
"Cottonport4","1,957","11","0","1","","1","9","78","25","51","2","1"
"Covington4","9,496","42","0","8","","7","27","385","46","323","16","0"
"Denham Springs4","10,131","82","1","2","","10","69","785","169","615","1","1"
"De Quincy","3,165","3","1","0","","0","2","76","29","43","4","1"
"De Ridder4","10,830","30","1","1","","0","28","287","57","228","2","0"
"Epps4","839","0","0","0","","0","0","0","0","0","0","0"
"Erath4","2,113","17","0","2","","0","15","25","10","15","0","0"
"Eunice4","10,328","123","4","15","","17","87","660","224","424","12",""
"Farmerville4","3,802","28","0","1","","1","26","251","47","201","3","1"
"Ferriday5","3,437","","0","2","","4","","220","96","116","8","1"
"Fisher","230","1","1","0","","0","0","0","0","0","0","0"
"Florien","636","1","0","0","","0","1","0","0","0","0","0"
"Folsom4","747","0","0","0","","0","0","19","0","18","1","1"
"Franklin4","7,407","54","1","0","","7","46","316","97","216","3","1"
"Franklinton4","3,777","29","2","2","","5","20","132","36","92","4","0"
"French Settlement4","1,108","9","0","0","","0","9","17","7","10","0","0"
"Georgetown","320","0","0","0","","0","0","3","2","1","0","0"
"Golden Meadow4","2,064","4","0","0","","0","4","1","0","0","1","0"
"Gonzales","10,426","52","0","3","","13","36","712","91","594","27","0"
"Gramercy4","3,469","18","0","0","","0","18","91","9","79","3","0"
"Greenwood4","3,220","2","0","0","","1","1","158","29","122","7","0"
"Gretna4","17,818","42","1","3","","13","25","499","107","368","24","7"
"Hammond","20,416","240","1","7","","54","178","2,152","782","1,368","2","0"
"Harahan4","9,319","15","0","1","","2","12","143","22","110","11","2"
"Haughton4","3,410","5","0","1","","2","2","15","2","10","3","0"
