"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Ashland","1,251","1","0","","0","0","1","18","9","9","0","0"
"Auburn","22,973","28","0","8","","5","15","886","113","755","18","1"
"Augusta","18,717","78","0","18","","23","37","1,092","126","946","20","9"
"Baileyville","1,487","2","0","","1","0","1","6","2","4","0","0"
"Bangor","32,586","55","1","","4","22","28","1,678","182","1,474","22","7"
"Bar Harbor","5,334","1","0","1","","0","0","97","4","93","0","0"
"Bath","8,325","4","0","","0","1","3","195","26","166","3","3"
"Belfast","6,659","10","0","","4","2","4","180","27","150","3","1"
"Berwick","7,502","7","0","","3","0","4","107","35","68","4","2"
"Biddeford","21,304","104","2","","17","15","70","881","111","754","16","2"
"Boothbay Harbor","2,135","1","0","","0","0","1","24","2","22","0","0"
"Brewer","9,335","8","0","","1","4","3","247","27","218","2","0"
"Bridgton3","5,337","2","0","","0","1","1","176","41","128","7","0"
"Brownville","1,204","1","0","","0","0","1","8","0","8","0","0"
"Brunswick","20,354","19","0","","6","1","12","391","63","323","5","1"
"Bucksport","4,964","15","0","","1","1","13","69","18","50","1","0"
"Buxton","8,096","9","0","","2","3","4","121","27","85","9","0"
"Calais","3,030","6","0","","1","2","3","118","17","97","4","0"
"Camden","4,824","2","0","","0","2","0","59","4","53","2","0"
"Cape Elizabeth","9,151","6","0","","4","0","2","87","18","69","0","0"
"Caribou","7,899","4","0","","0","2","2","138","22","106","10","1"
"Carrabassett Valley","782","1","0","1","","0","0","31","3","28","0","0"
"Clinton","3,363","15","0","","5","1","9","40","6","28","6","1"
"Cumberland","7,441","1","0","","0","0","1","29","6","22","1","0"
"Damariscotta","2,208","5","0","","1","0","4","76","8","68","0","1"
"Dexter","3,828","2","0","","0","0","2","82","14","64","4","0"
"Dixfield","2,490","0","0","","0","0","0","36","8","28","0","0"
"Dover-Foxcroft","4,051","13","0","","2","0","11","84","10","72","2","0"
"East Millinocket","3,002","0","0","","0","0","0","52","7","44","1","0"
"Eastport","1,284","3","0","","1","0","2","9","5","3","1","0"
"Eliot","6,257","2","0","","0","0","2","18","5","13","0","2"
"Ellsworth","7,911","6","0","","1","2","3","338","41","290","7","0"
"Fairfield","6,623","9","0","","4","3","2","206","37","161","8","0"
"Falmouth","11,585","2","0","","1","0","1","124","20","103","1","0"
"Farmington","7,595","10","0","9","","0","1","154","13","140","1","0"
"Fort Fairfield","3,426","5","0","","0","0","5","63","19","41","3","1"
"Fort Kent","4,013","5","0","","1","0","4","9","2","7","0","0"
"Freeport","8,169","6","0","","2","0","4","160","18","138","4","0"
"Fryeburg","3,384","7","0","","0","1","6","38","7","29","2","1"
"Gardiner","5,669","7","1","","2","2","2","149","19","130","0","0"
"Gorham3","16,958","10","0","","1","1","8","200","61","128","11","0"
"Gouldsboro","1,746","1","1","","0","0","0","16","8","7","1","0"
"Greenville","1,608","3","0","","0","0","3","27","4","23","0","0"
"Hallowell","2,335","3","0","","0","1","2","43","4","39","0","0"
"Hampden","7,303","3","0","","1","0","2","81","14","66","1","0"
"Holden","3,078","1","0","","0","0","1","44","8","32","4","0"
"Houlton","5,974","10","0","","4","0","6","132","13","114","5","1"
"Islesboro","569","0","0","","0","0","0","5","5","0","0","0"
"Jay","4,813","2","0","","0","1","1","51","9","40","2","0"
"Kennebunk","11,095","6","0","","1","0","5","72","18","52","2","0"
"Kennebunkport","3,552","1","0","","0","0","1","29","1","28","0","0"
"Kittery","9,599","0","0","","0","0","0","152","6","138","8","0"
"Lewiston","36,402","84","2","21","","31","30","894","220","637","37","5"
"Limestone","2,245","4","0","","4","0","0","16","3","12","1","0"
"Lincoln","5,068","1","0","","1","0","0","110","13","97","0","1"
"Lisbon","8,881","10","0","5","","2","3","77","17","55","5","1"
"Livermore Falls","3,141","2","0","","0","0","2","78","25","52","1","0"
"Machias","2,146","7","0","","0","0","7","47","5","41","1","0"
"Madawaska","3,915","5","0","","0","0","5","39","2","34","3","0"
"Madison","4,742","1","0","1","","0","0","104","17","81","6","1"
"Mechanic Falls","3,009","2","0","","0","1","1","52","17","34","1","0"
"Mexico","2,611","18","0","","12","1","5","157","27","128","2","1"
"Milbridge","1,320","1","0","","0","0","1","16","5","11","0","0"
"Millinocket","4,401","2","0","","0","0","2","68","18","47","3","0"
"Milo","2,271","1","0","","0","0","1","56","8","46","2","0"
"Monmouth","4,068","0","0","0","","0","0","27","12","12","3","1"
"Mount Desert","2,074","0","0","","0","0","0","38","6","32","0","0"
"Newport","3,231","3","0","","1","0","2","75","5","69","1","1"
"North Berwick","4,630","4","0","","1","0","3","30","11","17","2","0"
"Norway","4,937","6","0","","1","0","5","103","19","81","3","1"
"Oakland","6,210","12","0","6","","0","6","65","10","51","4","0"
"Ogunquit","911","2","0","","0","0","2","30","3","26","1","0"
"Old Orchard Beach","8,705","10","0","7","","2","1","199","36","157","6","0"
"Old Town","7,692","7","0","","4","0","3","125","23","97","5","1"
"Orono","10,757","4","0","","0","1","3","129","25","99","5","1"
"Oxford","4,041","3","0","","3","0","0","208","12","195","1","0"
"Paris","5,116","5","0","","2","0","3","123","23","99","1","1"
"Phippsburg","2,223","0","0","","0","0","0","13","5","7","1","0"
"Pittsfield","4,135","4","0","","0","1","3","35","5","29","1","0"
"Portland","66,380","158","1","","20","64","73","2,134","246","1,834","54","13"
"Presque Isle","9,337","17","0","","3","1","13","209","16","180","13","0"
"Rangeley","1,176","0","0","","0","0","0","9","1","8","0","0"
"Richmond","3,367","0","0","","0","0","0","28","5","22","1","0"
"Rockland","7,190","5","0","","1","0","4","195","22","169","4","3"
"Rockport","3,320","1","0","","0","1","0","29","0","28","1","0"
"Rumford","5,705","13","0","","8","1","4","243","45","192","6","0"
"Sabattus","5,027","6","0","","2","0","4","51","12","36","3","0"
"Saco","18,974","38","4","11","","7","16","378","66","292","20","3"
"Sanford","20,848","77","0","","23","13","41","735","130","582","23","6"
"Scarborough","19,454","15","0","3","","4","8","370","48","316","6","0"
"Searsport","2,627","1","0","","1","0","0","39","10","28","1","0"
"Skowhegan","8,518","24","0","6","","8","10","475","66","390","19","1"
"South Berwick","7,305","9","0","","4","0","5","64","16","48","0","0"
"South Portland","25,327","39","0","5","","8","26","797","107","676","14","2"
"Southwest Harbor","1,780","0","0","","0","0","0","34","4","30","0","0"
"Swan's Island","332","0","0","","0","0","0","17","12","5","0","0"
"Thomaston","2,757","0","0","","0","0","0","159","10","148","1","0"
