"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","15,157","71","0","","9","27","35","496","59","428","9","1"
"Annapolis","38,803","194","1","","4","66","123","949","176","715","58","7"
"Baltimore","623,513","8,346","211","","245","3,677","4,213","29,420","6,926","18,008","4,486","213"
"Baltimore City Sheriff","","0","0","","0","0","0","0","0","0","0","0"
"Bel Air","10,338","30","0","","2","5","23","316","29","283","4","1"
"Berlin","4,580","3","0","","0","3","0","80","25","55","0","1"
"Berwyn Heights","3,233","12","0","","0","7","5","58","13","42","3","0"
"Bladensburg","9,498","85","1","","4","35","45","361","57","222","82","0"
"Boonsboro","3,474","2","0","","1","0","1","27","6","20","1","0"
"Bowie","57,188","76","1","","1","31","43","845","135","643","67","2"
"Brentwood","3,146","1","0","","0","0","1","5","2","2","1","0"
"Brunswick","6,111","30","0","","2","2","26","80","19","58","3","0"
"Cambridge","12,669","126","2","","6","21","97","776","141","611","24","5"
"Capitol Heights","4,508","15","0","","0","8","7","65","14","39","12","0"
"Centreville","4,533","12","0","","0","3","9","53","6","46","1","0"
"Chestertown","5,281","23","0","","1","4","18","130","41","85","4","0"
"Cheverly","6,396","27","2","","1","11","13","157","28","104","25","0"
"Chevy Chase Village","2,039","0","0","","0","0","0","29","8","21","0","0"
"Colmar Manor","1,447","3","0","","0","0","3","18","2","14","2","0"
"Cottage City","1,349","2","0","","0","0","2","36","4","23","9","0"
"Crisfield","2,689","1","0","","0","1","0","14","0","14","0","0"
"Cumberland","20,364","149","0","","11","23","115","1,306","292","997","17","16"
"Delmar","3,045","18","0","","1","6","11","90","20","69","1","0"
"Denton","4,347","7","0","","0","3","4","245","33","211","1","0"
"District Heights","6,053","22","1","","0","8","13","107","22","64","21","0"
"Easton","16,793","78","0","","6","11","61","520","80","432","8","0"
"Edmonston","1,498","13","0","","0","1","12","75","12","39","24","0"
"Elkton","15,770","229","0","","11","56","162","1,160","165","969","26","8"
"Fairmount Heights","1,548","0","0","","0","0","0","4","0","1","3","0"
"Federalsburg","2,685","48","0","","3","1","44","90","12","74","4","0"
"Forest Heights","2,534","6","0","","0","3","3","56","21","29","6","0"
"Frederick","67,257","289","1","","19","82","187","1,556","205","1,312","39","10"
"Frostburg","8,626","14","0","","0","3","11","195","50","139","6","3"
"Fruitland","5,183","15","0","","0","2","13","381","15","360","6","0"
"Glenarden","6,238","11","1","","0","4","6","67","10","46","11","2"
"Greenbelt","23,918","92","1","","10","55","26","790","130","576","84","0"
"Greensboro","1,859","2","0","","0","0","2","45","7","38","0","0"
"Hagerstown","40,781","265","1","","14","106","144","1,476","367","996","113","41"
"Hampstead","6,360","5","0","","1","0","4","66","15","49","2","2"
"Hancock","1,561","5","0","","0","1","4","13","6","6","1","0"
"Havre de Grace","13,625","34","0","","2","11","21","308","53","248","7","5"
"Hurlock","2,063","2","0","","1","0","1","56","7","48","1","2"
"Hyattsville","18,159","92","2","","8","59","23","1,173","123","987","63","0"
"Landover Hills","1,780","7","0","","0","3","4","43","4","36","3","0"
"La Plata","9,100","47","0","","1","9","37","329","24","297","8","2"
"Laurel","25,954","154","1","","4","56","93","914","115","713","86","0"
"Lonaconing","1,158","0","0","","0","0","0","0","0","0","0","0"
"Luke","64","0","0","","0","0","0","0","0","0","0","0"
"Manchester","4,816","1","0","","0","0","1","36","11","25","0","0"
"Morningside","2,070","8","0","","0","5","3","58","7","49","2","0"
"Mount Rainier","8,349","33","0","","0","26","7","299","41","188","70","0"
"New Carrollton","12,603","81","2","","2","13","64","309","47","229","33","0"
"North East","3,705","5","0","","0","4","1","114","20","92","2","3"
"Oakland","1,915","1","0","","0","0","1","23","0","23","0","0"
"Ocean City","7,089","88","1","","12","18","57","1,320","220","1,079","21","1"
"Ocean Pines","12,100","4","0","","1","0","3","104","32","72","0","0"
"Oxford","630","1","0","","0","0","1","2","0","2","0","0"
"Perryville","4,423","12","0","","3","2","7","103","18","84","1","1"
"Pocomoke City","4,163","59","0","","0","5","54","245","26","219","0","1"
"Princess Anne","3,245","36","0","","3","8","25","151","41","108","2","1"
"Ridgely","1,608","7","0","","0","1","6","35","6","29","0","2"
"Rising Sun","2,884","8","0","","0","1","7","38","5","33","0","1"
"Riverdale Park","7,192","47","0","","0","13","34","149","25","105","19","1"
"Rock Hall","1,306","2","0","","0","0","2","34","8","26","0","0"
"Salisbury","31,779","286","0","","17","71","198","1,835","311","1,478","46","11"
"Seat Pleasant","4,710","28","1","","0","8","19","125","24","76","25","0"
"Smithsburg","3,002","8","0","","0","1","7","17","5","12","0","0"
"Snow Hill","2,140","7","0","","0","1","6","80","30","47","3","0"
"St. Michaels","1,003","6","0","","1","2","3","41","8","33","0","0"
"Sykesville","4,447","2","0","","0","0","2","21","2","18","1","0"
"Takoma Park","17,967","64","1","","4","33","26","591","123","420","48","0"
"Taneytown","6,743","6","0","","0","3","3","74","17","54","3","2"
"Thurmont","6,463","3","0","","0","1","2","76","16","60","0","0"
"Trappe","1,048","2","0","","0","0","2","18","4","12","2","0"
"University Park","2,628","0","0","","0","0","0","48","10","37","1","0"
"Upper Marlboro","829","3","0","","0","1","2","14","2","11","1","0"
"Westminster","18,654","88","0","","0","16","72","745","101","630","14","4"
