"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Abington","16,200","28","0","4","","6","18","338","56","272","10","1"
"Acton","23,193","17","0","2","","0","15","179","27","147","5","0"
"Acushnet","10,392","23","0","3","","1","19","91","36","50","5","1"
"Adams","8,296","30","0","7","","1","22","120","37","78","5","3"
"Amherst","38,977","69","0","21","","7","41","284","95","171","18","4"
"Andover","34,882","16","0","4","","3","9","252","22","213","17","2"
"Arlington","44,439","63","0","9","","9","45","382","62","303","17","2"
"Ashburnham","6,190","10","0","2","","2","6","56","22","33","1","0"
"Ashland","17,333","15","0","1","","4","10","137","33","96","8","0"
"Athol","11,655","46","0","5","","3","38","191","57","131","3","0"
"Attleboro","44,084","107","0","12","","12","83","846","182","619","45","4"
"Auburn","16,392","41","1","4","","4","32","490","85","390","15","1"
"Avon","4,490","3","0","","0","1","2","132","19","112","1",""
"Ayer","7,938","28","0","6","","0","22","132","55","72","5","1"
"Barnstable","44,642","279","0","19","","28","232","1,080","223","793","64","8"
"Barre","5,473","22","0","3","","1","18","61","18","33","10","0"
"Becket","1,779","4","0","","0","0","4","24","14","10","0",""
"Bedford","14,179","6","1","1","","1","3","66","5","59","2","0"
"Belchertown","14,758","21","0","2","","3","16","157","34","119","4","1"
"Bellingham","16,801","30","0","1","","8","21","272","50","207","15","3"
"Belmont","25,550","16","0","6","","0","10","174","37","124","13","0"
"Berkley","6,559","5","0","1","","1","3","40","10","26","4","0"
"Bernardston","2,122","0","0","0","","0","0","18","11","5","2","0"
"Beverly","41,023","78","0","5","","8","65","472","58","397","17","2"
"Billerica","42,393","34","0","3","","2","29","387","64","297","26","5"
"Blackstone","9,118","5","0","1","","0","4","97","16","75","6","0"
"Bolton","5,128","9","0","1","","0","8","58","13","43","2","0"
"Boston","654,413","4,749","53","","280","1,680","2,736","17,269","2,680","13,077","1,512",""
"Bourne","19,781","62","1","8","","5","48","309","103","187","19","1"
"Boxborough","5,185","4","0","2","","0","2","27","6","20","1","0"
"Boxford","8,233","0","0","0","","0","0","18","1","16","1","0"
"Boylston","4,463","7","0","0","","0","7","40","25","14","1","0"
"Braintree","37,067","88","0","2","","13","73","802","97","675","30","1"
"Brewster","9,765","16","0","5","","0","11","115","38","75","2","0"
"Brimfield","3,731","2","0","0","","0","2","25","7","16","2","0"
"Brockton","94,427","992","12","64","","192","724","2,900","572","2,098","230","15"
"Brookline","59,413","166","0","1","","17","148","765","92","661","12","0"
"Burlington","25,765","37","0","7","","3","27","490","37","434","19","0"
"Cambridge","108,201","301","1","22","","90","188","2,607","291","2,187","129","5"
"Canton","22,441","59","0","7","","1","51","226","55","160","11","2"
"Carver","11,521","28","0","4","","4","20","137","23","104","10","0"
"Charlton","13,258","15","0","5","","0","10","100","40","51","9","1"
"Chatham","6,150","9","0","3","","0","6","120","22","94","4","0"
"Chelmsford","35,037","30","0","0","","7","23","565","39","513","13","1"
"Chelsea","38,396","427","4","21","","171","231","1,054","195","737","122","1"
"Chicopee","55,831","213","0","30","","59","124","1,477","455","921","101","3"
"Clinton","13,755","6","0","0","","0","6","50","7","42","1","0"
"Cohasset4","8,493","4","0","0","","0","4","","","80","2","1"
"Concord","19,753","10","0","1","","1","8","160","21","135","4","2"
"Dalton","6,717","11","0","2","","0","9","49","19","29","1","2"
"Danvers","27,809","36","0","5","","2","29","682","37","625","20","1"
"Dartmouth","34,703","71","1","10","","13","47","919","125","763","31","1"
"Dedham","25,495","17","0","5","","5","7","525","21","484","20","0"
"Deerfield","5,080","19","0","1","","1","17","58","19","37","2","1"
"Dennis","14,074","66","0","10","","4","52","361","114","237","10","2"
"Dighton","7,267","9","0","","2","0","7","23","7","13","3",""
"Douglas","8,687","17","0","2","","0","15","55","24","28","3","0"
"Dover","5,864","2","0","0","","0","2","27","3","22","2","0"
"Dracut","31,067","20","0","6","","3","11","485","69","395","21","0"
"Dudley","11,562","41","0","8","","0","33","75","29","42","4","0"
"Dunstable","3,396","3","0","0","","1","2","30","3","25","2","0"
"Duxbury","15,385","10","0","4","","2","4","88","13","74","1","0"
"East Bridgewater","14,203","20","0","7","","0","13","156","38","111","7","1"
"East Brookfield","2,189","6","0","1","","1","4","17","2","14","1","0"
"Eastham","4,940","14","0","0","","1","13","88","16","67","5","1"
"Easthampton","15,954","43","0","10","","3","30","167","36","127","4","0"
"Easton","23,928","25","0","5","","2","18","244","69","161","14","1"
"Edgartown","4,331","14","0","0","","0","14","95","12","76","7","0"
"Egremont","1,224","2","0","","0","1","1","13","6","7","0",""
"Erving","1,795","6","0","2","","0","4","34","6","27","1","0"
"Essex","3,640","0","0","","0","0","0","35","8","27","0",""
"Everett","43,368","172","0","10","","67","95","870","147","624","99","1"
"Fairhaven","16,157","65","0","8","","8","49","422","49","364","9","5"
"Fall River","88,915","1,036","1","80","","221","734","2,187","527","1,462","198","35"
"Falmouth","31,760","113","2","9","","13","89","760","386","347","27","5"
"Fitchburg","40,492","330","0","31","","65","234","1,161","301","783","77","16"
"Franklin","32,857","5","0","1","","2","2","105","41","61","3","0"
"Freetown","9,100","25","0","2","","2","21","133","37","82","14","4"
"Gardner","20,462","151","0","11","","15","125","605","175","408","22","2"
"Georgetown","8,559","1","0","0","","1","0","71","17","52","2","0"
"Grafton","18,301","34","0","1","","3","30","84","34","45","5","1"
"Granby","6,303","10","0","1","","0","9","44","12","27","5","0"
"Great Barrington","6,971","25","0","5","","2","18","78","21","55","2","1"
"Groton","11,260","1","0","0","","0","1","60","11","45","4","1"
"Hadley","5,277","25","0","5","","3","17","174","19","154","1","0"
"Halifax","7,648","12","0","4","","0","8","78","24","53","1","1"
"Hamilton","8,191","6","0","0","","0","6","58","7","48","3","0"
"Hampden","5,188","1","0","0","","1","0","51","8","40","3","0"
"Hanover","14,418","4","0","0","","1","3","189","14","171","4","0"
"Hanson","10,379","20","0","1","","0","19","74","19","50","5","0"
"Hardwick","3,008","9","0","1","","0","8","41","8","29","4","0"
"Harvard","6,597","6","0","2","","1","3","43","17","25","1","1"
"Harwich","12,224","30","0","10","","1","19","204","91","111","2","0"
"Hatfield","3,284","0","0","0","","0","0","14","3","10","1","1"
"Haverhill","62,552","436","0","19","","60","357","1,402","351","946","105","8"
"Hingham","22,940","17","0","3","","6","8","270","65","198","7","0"
"Holden","18,208","13","0","6","","1","6","100","36","58","6","3"
"Holliston","14,352","5","0","3","","0","2","62","23","38","1","2"
"Holyoke","40,336","390","3","31","","99","257","2,252","320","1,813","119","16"
"Hopedale","5,982","12","0","1","","0","11","35","10","24","1","1"
"Hopkinton","16,209","1","0","0","","0","1","43","1","41","1","0"
"Hull","10,370","32","0","7","","3","22","135","51","81","3","1"
"Ipswich","13,707","6","0","3","","0","3","114","15","95","4","1"
"Kingston","12,902","26","1","7","","0","18","171","23","143","5","3"
"Lakeville","11,287","14","0","1","","1","12","144","44","93","7","0"
"Lancaster","8,075","4","0","0","","2","2","69","20","47","2","0"
"Lawrence","78,169","855","6","","26","324","499","2,042","393","871","778",""
"Lee","5,914","8","0","1","","1","6","75","13","62","0","0"
"Leicester","11,342","27","0","2","","4","21","233","38","193","2","0"
