"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Akron","395","3","0","3","","0","0","10","6","4","0","0"
"Albion","8,516","71","1","12","","5","53","266","51","212","3","4"
"Allegan","5,059","24","0","7","","1","16","85","7","75","3","1"
"Allen Park","27,549","52","1","9","","11","31","555","88","407","60","3"
"Alma","9,260","22","0","8","","0","14","139","15","121","3","1"
"Almont","2,668","6","0","2","","0","4","71","8","60","3","0"
"Alpena","10,253","27","0","10","","1","16","236","22","209","5","1"
"Ann Arbor","117,768","194","0","56","","24","114","2,200","320","1,779","101","11"
"Armada","1,745","2","1","1","","0","0","16","1","15","0","0"
"Auburn Hills","21,859","55","0","8","","12","35","678","46","604","28","3"
"Augusta","906","1","0","0","","0","1","8","0","7","1","0"
"Bad Axe","3,038","16","0","13","","0","3","53","4","48","1","0"
"Bangor","1,860","9","0","0","","0","9","68","4","63","1","0"
"Baroda-Lake Township","3,784","4","0","1","","0","3","41","14","26","1","1"
"Barry Township","3,388","3","0","2","","0","1","38","17","21","0","0"
"Battle Creek","61,225","480","3","54","","66","357","2,350","770","1,477","103","16"
"Bay City","34,307","182","1","55","","19","107","1,003","272","695","36","4"
"Beaverton","1,062","4","0","0","","0","4","18","3","15","0","1"
"Belding","5,776","15","0","8","","0","7","197","20","171","6","4"
"Bellaire","1,079","0","0","0","","0","0","1","0","1","0","0"
"Belleville","3,857","8","0","1","","0","7","63","9","53","1","0"
"Benton Harbor","10,014","253","1","33","","80","139","539","175","341","23","4"
"Berkley","15,323","7","0","1","","1","5","137","13","119","5","0"
"Berrien Springs-Oronoko Township","9,138","13","0","5","","2","6","41","6","32","3","0"
"Beverly Hills","10,493","2","0","0","","1","1","86","11","69","6","0"
"Birch Run","1,500","5","0","1","","0","4","62","2","58","2","0"
"Birmingham","20,606","12","0","2","","3","7","206","26","169","11","1"
"Blackman Township","38,025","63","2","19","","15","27","1,113","117","982","14","2"
"Blissfield","3,265","4","0","0","","0","4","29","4","23","2","0"
"Bloomfield Hills","3,987","2","0","1","","0","1","44","7","36","1","0"
"Bloomfield Township","42,112","17","1","3","","7","6","330","67","248","15","2"
"Boyne City","3,770","4","0","1","","0","3","48","9","38","1","0"
"Breckenridge","1,311","4","0","4","","0","0","21","3","18","0","0"
"Bridgeport Township","10,247","52","1","5","","1","45","172","64","97","11","2"
"Bridgman","2,264","2","0","1","","1","0","24","4","17","3","0"
"Brighton","7,615","5","0","1","","1","3","145","7","134","4","0"
"Bronson","2,329","5","0","4","","0","1","56","5","50","1","0"
"Brown City","1,275","3","0","2","","0","1","21","2","18","1","0"
"Brownstown Township","30,577","44","0","12","","7","25","340","78","212","50","2"
"Buchanan","4,388","21","0","6","","0","15","177","15","158","4","0"
"Buena Vista Township","8,348","100","1","9","","12","78","231","87","121","23","0"
"Burr Oak","824","7","0","0","","0","7","6","1","5","0","0"
"Burton","28,996","135","0","23","","35","77","1,220","272","909","39","5"
"Cadillac","10,261","58","0","15","","3","40","339","52","279","8","1"
"Calumet","706","2","0","1","","0","1","19","2","17","0","0"
"Cambridge Township","5,687","5","0","3","","0","2","20","3","17","0","0"
"Canton Township","89,073","118","0","25","","13","80","1,327","184","1,069","74","12"
"Capac","1,856","1","0","0","","0","1","32","5","27","0","0"
"Caro","4,116","9","0","3","","0","6","149","16","130","3","3"
"Carrollton Township","5,927","14","0","2","","1","11","68","18","48","2","0"
"Caseville","751","2","0","1","","0","1","26","2","24","0","0"
"Cass City","2,359","7","0","5","","0","2","33","3","30","0","0"
"Cassopolis","1,744","2","0","2","","0","0","15","2","13","0","1"
"Center Line","8,318","33","0","2","","12","19","242","41","161","40","0"
"Central Lake","943","1","0","1","","0","0","6","0","6","0","0"
"Charlevoix","2,540","5","0","3","","1","1","128","10","117","1","0"
"Charlotte","9,046","19","0","9","","1","9","227","35","186","6","0"
"Cheboygan","4,772","12","0","4","","0","8","137","18","118","1","1"
