"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","5,433","18","0","","0","2","16","151","36","110","5","0"
"Ackerman","1,471","2","0","","0","0","2","23","8","13","2","1"
"Amory","7,122","7","1","","0","3","3","278","70","208","0","0"
"Batesville","7,456","27","1","2","","6","18","460","119","331","10","1"
"Biloxi","45,008","212","2","39","","96","75","2,689","822","1,725","142","10"
"Brandon","22,707","17","0","","2","3","12","204","60","137","7","1"
"Byhalia","1,291","3","0","","0","1","2","50","16","33","1","2"
"Byram","11,628","12","0","1","","4","7","227","46","163","18","0"
"D'Iberville","10,595","30","1","","7","8","14","729","54","654","21","2"
"Flora","1,899","4","0","","0","1","3","34","13","17","4","0"
"Florence","4,310","1","0","","0","1","0","26","10","16","0","0"
"Flowood","8,521","32","0","","5","3","24","348","64","272","12","0"
"Fulton","4,011","2","0","","1","1","0","67","9","58","0","0"
"Gautier","18,526","58","2","","1","7","48","559","153","370","36","8"
"Greenville","32,917","97","6","","14","67","10","2,353","812","1,453","88","60"
"Hattiesburg","47,930","125","11","","21","40","53","2,760","398","2,291","71","2"
"Holly Springs","7,528","119","3","","4","23","89","338","91","240","7","2"
"Horn Lake","26,766","30","3","0","","11","16","541","92","425","24","5"
"Indianola","10,175","126","1","","2","25","98","734","239","494","1","0"
"Iuka","3,007","5","0","","0","0","5","80","35","41","4","0"
"Jackson","172,376","1,593","61","","117","801","614","10,382","2,952","6,303","1,127","241"
"Laurel","19,080","52","4","","7","18","23","884","219","638","27","3"
"Leakesville","882","0","0","","0","0","0","12","2","9","1","0"
"Leland","4,290","13","0","","0","1","12","172","48","116","8","0"
"Long Beach","15,571","13","1","","0","3","9","321","57","261","3","0"
"Louisville","6,422","14","1","","1","4","8","31","12","19","0","0"
"Madison","25,572","15","1","","1","2","11","263","20","231","12","0"
"Magee","4,454","2","0","0","","0","2","67","23","39","5","0"
"McComb","12,731","46","0","","1","19","26","853","205","631","17","0"
"Meridian","40,873","240","9","28","","125","78","2,002","624","1,235","143","11"
"Natchez","15,446","64","4","","3","18","39","1,068","133","913","22","10"
"Ocean Springs","17,514","28","1","","1","6","20","623","119","484","20","1"
"Olive Branch","35,314","90","2","4","","27","57","948","295","618","35","7"
"Pascagoula","22,215","118","0","","29","38","51","1,472","254","1,179","39","6"
"Pass Christian","5,261","7","0","","3","1","3","164","55","102","7","0"
"Petal","10,898","2","0","","0","2","0","83","41","35","7","0"
"Philadelphia","7,422","49","6","5","","10","28","313","84","223","6","0"
"Picayune","10,792","74","0","","10","19","45","554","129","401","24","5"
"Ridgeland","24,511","50","2","","0","16","32","689","44","627","18","1"
"Starkville","24,990","43","1","5","","10","27","834","137","677","20","1"
"Summit","1,682","3","0","","0","1","2","49","15","30","4","0"
"Vicksburg","23,460","163","1","","16","31","115","1,523","369","1,093","61","10"
"West Point","11,202","60","1","","2","15","42","306","101","202","3","0"
