"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adrian","1,624","2","0","0","","0","2","40","12","26","2","0"
"Advance","1,340","0","0","0","","0","0","16","5","8","3","0"
"Alma","391","0","0","0","","0","0","0","0","0","0","0"
"Anderson","1,972","19","0","1","","0","18","91","16","67","8","0"
"Annapolis","345","0","0","0","","0","0","0","0","0","0","0"
"Appleton City","1,089","8","0","0","","0","8","45","13","31","1","0"
"Archie","1,188","1","0","0","","0","1","15","8","4","3","0"
"Arnold","21,207","30","0","3","","8","19","784","53","715","16","1"
"Ashland","3,850","19","0","0","","0","19","46","4","41","1","1"
"Aurora","7,493","92","0","5","","1","86","450","106","323","21","1"
"Auxvasse","983","3","0","0","","1","2","30","8","20","2","0"
"Ava","2,964","6","0","0","","0","6","109","8","95","6","0"
"Ballwin","30,517","8","0","5","","2","1","210","18","184","8","1"
"Battlefield","5,945","1","0","1","","0","0","94","24","67","3","0"
"Bella Villa","725","1","1","0","","0","0","6","2","3","1","0"
"Belle","1,534","7","0","0","","0","7","12","0","9","3","0"
"Bellefontaine Neighbors","10,815","48","1","1","","8","38","307","120","150","37","1"
"Bellerive","189","0","0","0","","0","0","4","1","3","0","0"
"Bellflower","376","0","0","0","","0","0","3","2","1","0","0"
"Bel-Nor","1,488","4","0","0","","0","4","48","20","21","7","0"
"Bel-Ridge","2,724","42","1","4","","7","30","115","51","57","7","0"
"Belton","23,182","84","1","27","","13","43","746","119","533","94","5"
"Berkeley","9,093","43","1","2","","21","19","466","199","235","32","6"
"Bertrand","803","3","0","0","","0","3","29","11","16","2","0"
"Bethany","3,182","6","0","5","","0","1","68","10","52","6","0"
"Beverly Hills","569","10","1","0","","3","6","30","15","13","2","0"
"Billings","1,066","1","0","1","","0","0","39","3","33","3","0"
"Birch Tree","668","4","0","1","","1","2","4","2","1","1","0"
"Bismarck","1,490","4","0","0","","0","4","23","7","15","1","0"
"Blackburn","250","0","0","0","","0","0","1","1","0","0","0"
"Bloomfield","1,894","5","0","0","","0","5","16","5","11","0","0"
"Blue Springs","53,440","84","2","17","","21","44","1,372","224","1,032","116","1"
"Bolivar","10,523","58","0","4","","4","50","522","96","404","22","0"
"Bonne Terre","7,310","6","0","1","","1","4","31","7","19","5","0"
"Boonville","8,388","17","0","0","","2","15","312","28","276","8","1"
"Bourbon","1,617","8","0","1","","0","7","34","10","23","1","0"
"Bowling Green","5,553","10","0","2","","1","7","116","12","101","3","0"
"Branson","11,168","74","1","7","","25","41","1,195","121","1,025","49","5"
"Branson West","453","4","0","0","","0","4","69","2","67","0","0"
"Breckenridge Hills","4,716","15","0","1","","3","11","110","42","56","12","0"
"Brentwood","8,027","10","0","1","","7","2","296","20","265","11","0"
"Bridgeton","11,721","73","0","6","","18","49","834","52","749","33","2"
"Brookfield","4,365","9","0","3","","1","5","125","30","92","3","0"
"Brunswick","831","5","0","0","","0","5","9","3","5","1","0"
"Bucklin","448","1","0","0","","0","1","15","9","3","3","0"
"Buckner","3,071","4","0","3","","1","0","53","11","39","3","0"
"Buffalo","3,064","12","0","0","","1","11","94","19","74","1","0"
"Butler","4,109","8","0","1","","0","7","183","37","143","3","1"
"Butterfield Village","466","0","0","0","","0","0","6","2","4","0","0"
"Byrnes Mill","2,789","0","0","0","","0","0","22","3","17","2","0"
"Cabool","2,122","1","0","0","","0","1","63","9","52","2","0"
"California","4,363","9","1","0","","3","5","44","10","32","2","1"
"Calverton Park","1,291","0","0","0","","0","0","20","17","3","0","0"
"Camdenton","3,827","19","1","0","","0","18","160","16","139","5","2"
"Cameron","9,851","38","0","9","","1","28","148","20","123","5","4"
"Campbell","1,967","1","0","0","","0","1","77","13","59","5","0"
"Canalou","316","1","0","0","","0","1","6","3","3","0","0"
"Canton","2,368","3","0","0","","0","3","36","11","22","3","0"
"Cape Girardeau","39,012","226","4","11","","66","145","1,793","336","1,389","68","4"
"Carl Junction","7,571","3","0","0","","0","3","139","42","88","9","2"
"Carrollton","3,682","10","0","4","","2","4","60","16","41","3","1"
"Carterville","1,835","7","0","0","","1","6","55","13","26","16","3"
"Carthage","14,185","27","0","6","","8","13","546","71","450","25","3"
"Caruthersville","6,003","82","1","8","","7","66","242","100","128","14","2"
"Cassville","3,275","11","0","0","","1","10","221","25","194","2","1"
"Center","504","0","0","0","","0","0","2","1","1","0","0"
"Centralia","4,188","10","0","1","","0","9","94","8","83","3","0"
"Chaffee","2,964","4","0","0","","0","4","26","5","20","1","0"
"Charlack","1,366","7","1","3","","3","0","43","13","26","4","1"
"Charleston","5,924","59","2","1","","12","44","142","27","110","5","3"
"Chesterfield","47,811","34","0","4","","5","25","730","42","677","11","2"
"Chillicothe","9,282","21","0","4","","0","17","179","32","143","4","1"
"Clarkton","1,261","11","0","0","","0","11","22","3","18","1","0"
"Claycomo","1,465","4","1","1","","0","2","50","8","33","9","1"
"Clayton","15,871","14","0","0","","4","10","265","72","182","11","2"
"Cleveland","656","0","0","0","","0","0","7","3","4","0","0"
"Clever","2,454","7","0","0","","0","7","8","6","2","0","0"
"Clinton","9,032","31","1","2","","5","23","517","118","374","25","0"
"Cole Camp","1,114","5","0","0","","0","5","29","6","21","2","0"
"Columbia","116,847","410","5","63","","116","226","3,988","750","3,069","169","26"
"Concordia","2,404","2","0","0","","0","2","30","9","20","1","0"
"Conway","788","2","0","0","","0","2","4","0","4","0","0"
"Cool Valley","1,192","10","0","1","","1","8","48","7","40","1","2"
"Corder","396","0","0","0","","0","0","3","3","0","0","0"
"Cottleville","3,836","1","0","0","","0","1","23","3","20","0","0"
