"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Baker","1,909","7","0","3","","0","4","10","2","7","1","0"
"Belgrade","7,677","19","0","12","","0","7","215","12","191","12","2"
"Billings","110,245","417","10","72","","54","281","4,935","631","3,746","558","12"
"Boulder","1,197","7","0","0","","0","7","17","1","16","0","0"
"Bozeman","40,525","74","0","31","","3","40","1,115","71","986","58","3"
"Bridger","733","0","0","0","","0","0","5","0","5","0","0"
"Colstrip","2,337","0","0","0","","0","0","9","0","9","0","0"
"Columbia Falls","4,824","4","0","0","","1","3","128","5","117","6","0"
"Columbus","2,013","2","0","0","","0","2","30","6","22","2","0"
"Conrad","2,607","5","0","4","","0","1","61","2","53","6","0"
"Cut Bank","3,014","7","0","1","","0","6","125","32","84","9","0"
"Deer Lodge","3,084","14","0","1","","0","13","116","4","103","9","0"
"Dillon","4,239","10","0","2","","0","8","35","1","32","2","0"
"East Helena","2,061","2","0","0","","1","1","17","1","14","2","0"
"Ennis","856","1","0","1","","0","0","5","0","3","2","0"
"Eureka","1,112","2","0","0","","0","2","7","0","6","1","0"
"Fort Benton","1,478","2","0","0","","0","2","23","5","18","0","0"
"Glasgow","3,406","5","0","2","","0","3","57","0","53","4","0"
"Glendive","5,479","12","0","3","","0","9","169","26","132","11","1"
"Great Falls","59,501","162","0","28","","21","113","2,561","314","2,130","117","6"
"Hamilton","4,604","23","1","3","","0","19","146","21","117","8","2"
"Havre","9,848","53","1","10","","1","41","355","30","307","18","4"
"Helena","29,928","158","1","36","","8","113","1,137","155","933","49","8"
"Hot Springs","553","2","0","0","","0","2","10","0","7","3","0"
"Joliet","662","1","0","0","","0","1","2","0","2","0","0"
"Kalispell","21,238","53","1","8","","6","38","983","108","833","42","6"
"Laurel","7,113","27","1","0","","2","24","133","11","116","6","0"
"Lewistown","5,900","23","0","3","","0","20","72","10","58","4","0"
"Libby","2,704","4","0","0","","0","4","81","7","73","1","2"
"Livingston","7,164","4","0","1","","0","3","62","6","52","4","1"
"Manhattan","1,581","3","0","0","","0","3","18","3","13","2","1"
"Miles City","8,707","22","0","0","","1","21","215","10","194","11","0"
"Missoula","69,674","222","2","48","","43","129","2,869","295","2,447","127","12"
"Plains","1,067","5","1","1","","0","3","21","3","17","1","0"
"Polson","4,630","20","0","3","","1","16","250","24","197","29","1"
"Red Lodge","2,217","6","0","1","","0","5","37","6","30","1","0"
"Ronan City","1,925","11","0","0","","0","11","48","6","36","6","1"
"Sidney","6,540","12","0","1","","1","10","80","15","52","13","0"
"Stevensville","1,895","2","0","0","","0","2","37","5","29","3","1"
"St. Ignatius","853","0","0","0","","0","0","10","0","9","1","0"
"Thompson Falls","1,342","3","0","2","","0","1","26","5","20","1","1"
"Troy","959","4","0","0","","0","4","34","9","24","1","1"
"West Yellowstone","1,334","2","0","0","","0","2","13","0","12","1","0"
"Whitefish","6,725","21","0","1","","0","20","223","22","189","12","1"
"Wolf Point","2,830","16","0","1","","1","14","103","11","84","8","1"
