"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alliance","8,502","26","0","6","","2","18","176","44","122","10","0"
"Ashland","2,526","3","0","","2","0","1","8","2","6","0","0"
"Aurora","4,460","8","0","2","","0","6","38","13","23","2","0"
"Beatrice","12,092","130","0","28","","6","96","405","71","325","9","0"
"Bennington","1,485","1","0","","0","0","1","9","2","5","2","0"
"Blair","7,986","12","0","8","","1","3","106","16","84","6","0"
"Bridgeport","1,517","1","0","","0","0","1","15","1","14","0","0"
"Central City","2,917","2","0","1","","0","1","50","4","45","1","0"
"Chadron","5,773","12","0","5","","0","7","108","7","95","6","0"
"Columbus","22,614","19","1","5","","5","8","385","49","316","20","1"
"Cozad","3,919","11","0","6","","0","5","60","16","40","4","0"
"Crete","7,171","12","0","","2","1","9","233","27","202","4","0"
"Falls City","4,192","0","0","","0","0","0","65","10","52","3","0"
"Fremont","26,322","58","0","22","","1","35","627","90","510","27","1"
"Gering","8,469","3","0","1","","0","2","166","33","127","6","0"
"Gothenburg","3,554","2","0","2","","0","0","75","7","62","6","0"
"Grand Island","50,999","131","0","","34","8","89","2,223","403","1,719","101","11"
"Hastings","25,070","73","1","25","","6","41","952","169","755","28","3"
"Holdrege","5,536","3","0","2","","1","0","128","39","85","4","0"
"Imperial","2,097","8","0","","2","0","6","8","0","8","0","0"
"Kearney","32,513","83","0","17","","6","60","674","88","566","20","6"
"Kimball","2,407","11","0","","0","0","11","10","4","6","0","0"
"Lexington","10,195","14","1","3","","1","9","286","39","233","14","2"
"Lincoln","271,208","918","7","","152","205","554","9,082","1,305","7,452","325","65"
"McCook","7,697","6","0","4","","0","2","237","19","205","13","1"
"Minden","3,002","4","0","1","","0","3","61","8","50","3","0"
"Mitchell","1,680","2","0","0","","0","2","7","0","7","0","0"
"Nebraska City","7,243","5","0","2","","1","2","276","150","118","8","1"
"Norfolk","24,588","42","0","18","","4","20","604","48","524","32","7"
"North Platte","24,490","82","0","8","","5","69","1,021","174","821","26","5"
"Ogallala","4,575","3","0","1","","0","2","118","14","98","6","0"
"Omaha","438,465","2,458","32","","180","723","1,523","19,053","2,997","12,910","3,146","37"
"O'Neill","3,697","4","0","","1","0","3","13","0","11","2","0"
"Plainview","1,210","0","0","","0","0","0","3","0","3","0","0"
"Ralston","7,586","20","0","6","","10","4","203","28","158","17","0"
"Scottsbluff","15,009","44","0","7","","5","32","554","107","429","18","3"
"Seward","7,155","6","0","1","","0","5","80","10","68","2","0"
"Sidney","6,853","24","0","1","","1","22","183","43","133","7","0"
"South Sioux City","13,436","21","0","","2","3","16","492","33","441","18","0"
"Superior","1,908","1","0","","0","0","1","24","3","21","0","0"
"Valentine","2,802","7","0","1","","0","6","23","2","20","1","0"
"Valley","2,033","1","0","","0","0","1","50","5","45","0","0"
"Wahoo","4,509","2","0","0","","0","2","86","17","64","5","0"
"Wilber","1,875","1","0","1","","0","0","13","0","12","1","0"
"York","8,012","2","0","","0","0","2","219","43","170","6","0"
