"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alexandria","1,613","0","0","0","","0","0","28","17","11","0","0"
"Alstead","1,930","0","0","0","","0","0","3","1","2","0","0"
"Alton","5,295","3","0","1","","1","1","75","13","62","0","0"
"Amherst","11,275","9","1","0","","2","6","189","17","171","1","2"
"Antrim","2,640","8","0","1","","1","6","38","11","26","1","0"
"Ashland","2,069","0","0","0","","0","0","39","5","33","1","0"
"Atkinson","6,844","0","0","0","","0","0","27","12","15","0","0"
"Auburn","5,216","2","0","0","","0","2","49","24","24","1","0"
"Barnstead","4,602","6","0","1","","0","5","69","27","40","2","0"
"Barrington","8,736","1","0","1","","0","0","129","22","101","6","0"
"Bedford","21,709","7","0","0","","4","3","330","35","287","8","3"
"Belmont","7,257","13","0","1","","0","12","198","32","159","7","0"
"Bennington","1,469","11","0","6","","4","1","34","10","24","0","1"
"Berlin","9,513","21","0","8","","1","12","143","35","102","6","2"
"Bethlehem","2,559","3","0","0","","0","3","28","5","22","1","0"
"Boscawen","3,900","2","0","1","","0","1","47","8","37","2","1"
"Bow","7,694","4","0","0","","1","3","71","19","50","2","0"
"Brentwood","4,751","2","1","0","","1","0","37","8","28","1","1"
"Bristol","3,063","10","0","1","","2","7","96","27","66","3","0"
"Campton","3,311","4","0","1","","1","2","48","19","28","1","0"
"Candia","3,937","4","0","0","","0","4","51","1","50","0","0"
"Canterbury","2,399","0","0","0","","0","0","22","0","22","0","0"
"Carroll","756","0","0","0","","0","0","28","7","21","0","1"
"Center Harbor","1,100","1","0","1","","0","0","22","4","17","1","0"
"Charlestown","4,950","4","0","1","","0","3","37","11","23","3","1"
"Chester","4,914","8","0","3","","0","5","23","13","8","2","0"
"Claremont","12,981","38","0","8","","5","25","351","41","304","6","2"
"Colebrook","2,218","3","0","3","","0","0","48","8","37","3","0"
"Concord","42,358","85","0","29","","14","42","969","140","794","35","9"
"Conway","10,002","27","0","12","","3","12","359","43","306","10","2"
"Danville","4,457","2","0","0","","1","1","21","5","16","0","0"
"Deerfield","4,384","6","0","3","","1","2","43","11","30","2","0"
"Deering","1,896","0","0","0","","0","0","21","4","15","2","0"
"Derry","33,329","54","0","14","","8","32","618","102","499","17","15"
"Dover","30,633","41","1","19","","8","13","461","53","400","8","7"
"Dublin","1,579","0","0","0","","0","0","13","4","8","1","0"
"Dunbarton","2,797","3","0","1","","0","2","37","18","17","2","0"
"Durham","15,571","12","0","3","","1","8","104","18","81","5","4"
"Effingham","1,560","4","0","3","","0","1","22","3","18","1","0"
"Enfield","4,566","4","0","1","","2","1","47","8","37","2","2"
"Epping","6,714","16","0","4","","2","10","187","17","163","7","0"
"Epsom","4,598","7","0","6","","0","1","48","14","34","0","0"
"Exeter","14,607","19","0","8","","5","6","116","18","95","3","1"
"Farmington","6,800","22","0","5","","1","16","132","27","97","8","2"
"Franconia","1,114","1","0","0","","0","1","26","1","24","1","0"
"Fremont","4,464","6","1","2","","0","3","42","9","32","1","1"
"Gilford","7,122","9","0","4","","1","4","186","15","165","6","1"
"Gilmanton","3,779","2","0","0","","0","2","31","15","15","1","0"
"Goffstown","17,835","22","0","2","","4","16","269","46","216","7","1"
"Grantham","2,948","0","0","0","","0","0","13","1","10","2","0"
"Hampstead","8,587","8","0","6","","0","2","50","10","33","7","1"
"Hampton","15,245","18","0","2","","1","15","293","37","245","11","2"
"Hampton Falls","2,308","2","0","1","","0","1","30","7","22","1","0"
"Hancock","1,639","1","0","0","","0","1","24","5","14","5","0"
"Hanover","11,337","23","0","19","","1","3","168","13","155","0","1"
"Haverhill","4,637","11","0","4","","0","7","94","16","74","4","0"
"Henniker","4,773","4","0","1","","0","3","35","4","29","2","0"
"Hillsborough","6,031","11","0","6","","0","5","100","23","71","6","0"
