"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen Township","18,215","14","0","","2","7","5","227","32","188","7","0"
"Absecon","8,399","30","0","","2","13","15","280","78","197","5","0"
"Allendale","6,760","4","0","","0","0","4","43","8","35","0","0"
"Allenhurst","492","0","0","","0","0","0","14","1","13","0","0"
"Allentown","1,812","3","0","","0","0","3","11","2","9","0","0"
"Alpha","2,316","0","0","","0","0","0","18","6","10","2","1"
"Alpine","1,905","0","0","","0","0","0","3","1","2","0","0"
"Andover Township","6,164","2","0","","0","0","2","28","10","17","1","1"
"Asbury Park","15,789","209","1","","13","85","110","814","169","624","21","3"
"Atlantic City","39,544","523","6","","15","302","200","2,450","282","2,104","64","0"
"Atlantic Highlands","4,346","6","0","","0","0","6","68","10","57","1","0"
"Audubon","8,774","8","1","","0","3","4","346","36","310","0","0"
"Audubon Park","1,018","0","0","","0","0","0","21","2","18","1","0"
"Avalon","1,304","1","0","","0","0","1","193","58","134","1","0"
"Avon-by-the-Sea","1,909","2","0","","0","0","2","43","1","40","2","0"
"Barnegat Light","578","0","0","","0","0","0","7","2","5","0","0"
"Barnegat Township","22,136","23","0","","1","2","20","200","63","135","2","0"
"Barrington","6,865","4","0","","3","1","0","70","20","49","1","0"
"Bay Head","998","1","0","","0","0","1","35","8","27","0","0"
"Bayonne","65,618","148","0","","4","51","93","803","115","633","55","0"
"Beach Haven","1,178","1","0","","0","1","0","93","15","77","1","0"
"Beachwood","11,198","8","0","","2","2","4","132","13","119","0","2"
"Bedminster Township","8,233","0","0","","0","0","0","36","12","24","0","1"
"Belleville","36,286","102","2","","7","60","33","831","131","533","167","2"
"Bellmawr","11,548","9","0","","0","6","3","209","59","140","10","0"
"Belmar","5,721","13","0","","2","3","8","209","27","178","4","0"
"Belvidere","2,622","1","0","","0","1","0","21","6","15","0","0"
"Bergenfield","27,326","11","0","","1","4","6","116","12","103","1","1"
"Berkeley Township","41,957","29","0","","2","4","23","595","132","451","12","8"
"Berlin","7,614","7","0","","0","3","4","151","29","115","7","1"
"Berlin Township","5,370","5","0","","0","3","2","214","28","186","0","2"
"Bernards Township","26,980","6","0","","4","1","1","141","33","104","4","1"
"Bernardsville","7,776","1","0","","0","0","1","56","6","50","0","0"
"Beverly","2,562","23","0","","0","9","14","53","20","32","1","1"
"Blairstown Township","5,848","1","0","","0","0","1","53","15","36","2","0"
"Bloomfield","47,715","98","0","","2","73","23","1,115","219","726","170","0"
"Bloomingdale","7,772","6","0","","0","2","4","32","14","18","0","0"
"Bogota","8,318","2","0","","0","0","2","44","9","34","1","0"
"Boonton","8,449","4","0","","0","1","3","79","9","65","5","0"
"Boonton Township","4,374","4","0","","0","0","4","25","4","21","0","0"
"Bordentown","3,912","1","0","","0","1","0","9","1","7","1","0"
"Bordentown Township","11,438","13","0","","3","3","7","153","36","109","8","0"
"Bound Brook","10,504","18","0","","0","7","11","214","44","162","8","0"
"Bradley Beach","4,270","3","0","","3","0","0","138","16","120","2","0"
"Branchburg Township","14,581","3","0","","0","0","3","65","17","47","1","0"
"Brick Township","75,995","89","1","","2","27","59","1,169","202","941","26","5"
"Bridgeton","25,243","258","7","","8","122","121","978","396","563","19","1"
