"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Alamogordo","31,546","93","2","","5","3","83","968","125","803","40","5"
"Albuquerque","558,874","4,934","30","","402","1,381","3,121","30,437","6,123","20,756","3,558","86"
"Angel Fire","1,168","2","0","","0","0","2","35","12","22","1",""
"Anthony","9,340","39","1","","1","1","36","131","38","73","20",""
"Artesia","11,519","153","0","","9","1","143","400","104","282","14",""
"Aztec","6,530","23","0","","3","0","20","154","35","112","7","1"
"Bayard","2,312","13","0","","2","0","11","25","5","17","3",""
"Belen","7,228","140","0","","3","5","132","517","136","349","32","3"
"Bernalillo","8,336","79","0","","5","8","66","383","94","265","24",""
"Bloomfield","7,724","29","0","","4","0","25","146","37","106","3",""
"Bosque Farms","3,871","22","0","","0","0","22","59","9","45","5",""
"Carlsbad","28,038","143","2","","27","13","101","1,227","262","833","132","8"
"Carrizozo","968","0","0","","0","0","0","11","4","7","0",""
"Cimarron","952","15","0","","0","0","15","21","16","5","0",""
"Clayton","2,850","0","0","","0","0","0","28","8","20","0",""
"Clovis","39,820","144","2","","29","22","91","2,317","512","1,696","109","33"
"Corrales","8,477","9","0","","1","1","7","112","43","62","7","1"
"Deming","14,548","155","0","","6","9","140","714","184","503","27","4"
"Dexter","1,270","2","0","","0","0","2","11","3","4","4",""
"Edgewood","3,787","4","0","","1","0","3","83","13","66","4",""
"Espanola","10,171","265","0","","5","37","223","625","347","244","34","3"
"Estancia","1,602","0","0","","0","0","0","15","5","9","1",""
"Eunice","3,103","7","0","","0","0","7","47","16","24","7",""
"Farmington","45,289","301","2","","56","52","191","1,521","307","1,116","98","14"
"Gallup","22,359","480","3","","25","78","374","2,365","364","1,893","108","2"
"Grants","9,264","53","0","","10","6","37","294","134","110","50","3"
"Hatch","1,592","1","0","","0","0","1","23","2","18","3","1"
"Hobbs","36,545","246","5","","37","24","180","1,582","315","1,174","93","2"
"Hurley","1,290","0","0","","0","0","0","10","6","4","0",""
"Jal","2,181","11","0","","1","1","9","29","9","19","1",""
"Las Cruces","102,113","295","7","","55","60","173","4,614","828","3,563","223","5"
"Las Vegas","13,603","131","1","","8","12","110","457","152","291","14","7"
"Logan","971","3","0","","0","0","3","14","3","10","1",""
"Lordsburg","2,639","12","0","","0","0","12","40","14","22","4","1"
"Los Alamos","17,703","42","0","","9","1","32","174","23","149","2","2"
"Los Lunas","15,378","124","2","","3","8","111","737","128","551","58",""
"Loving","1,412","7","0","","0","1","6","23","2","19","2",""
"Lovington","11,693","10","0","","2","1","7","40","12","25","3",""
"Magdalena","924","1","0","","0","0","1","24","10","14","0","1"
"Mesilla","1,895","1","0","","0","0","1","16","10","5","1",""
"Milan","3,243","18","0","","0","0","18","111","36","68","7",""
"Moriarty","1,818","1","0","","0","0","1","49","19","25","5","2"
"Peralta","3,605","30","0","","0","2","28","77","28","41","8",""
"Portales","12,524","23","0","","1","1","21","407","181","212","14","1"
"Questa","1,767","0","0","","0","0","0","8","1","7","0",""
"Raton","6,455","4","1","","0","3","0","213","116","87","10","2"
"Red River","483","4","0","","0","0","4","13","1","12","0",""
"Rio Rancho","92,965","175","1","","10","28","136","1,814","409","1,293","112","13"
"Roswell","48,636","372","8","","49","35","280","3,057","642","2,278","137","58"
"Ruidoso","7,949","24","0","","4","1","19","238","101","126","11","1"
"Ruidoso Downs","2,666","10","0","","1","0","9","181","28","148","5",""
"Santa Clara","1,677","1","0","","0","0","1","33","12","19","2","1"
"Santa Fe","70,438","244","3","","23","73","145","3,017","1,157","1,747","113","10"
"Santa Rosa","2,756","19","0","","0","0","19","52","14","35","3",""
"San Ysidro","197","1","0","","0","0","1","3","3","0","0",""
"Socorro","8,879","68","0","","1","4","63","473","122","335","16",""
"Springer","982","0","0","","0","0","0","0","0","0","0",""
"Sunland Park","15,270","16","0","","7","5","4","148","46","91","11","1"
"Taos","5,737","54","0","","3","6","45","611","194","399","18","3"
"Taos Ski Valley","69","0","0","","0","0","0","4","1","3","0",""
"Tatum","850","2","0","","0","0","2","14","6","7","1",""
"Tucumcari","5,100","36","0","","2","5","29","158","51","103","4",""
"Tularosa","2,934","1","0","","0","0","1","48","16","31","1",""
