"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","7,044","10","0","","1","4","5","350","43","292","15","3"
"Ahoskie","5,017","51","4","","2","9","36","328","91","228","9","1"
"Albemarle","16,033","94","1","","6","19","68","782","265","472","45","11"
"Andrews","1,751","4","0","","0","1","3","76","32","35","9","0"
"Angier","4,806","22","0","","2","3","17","115","56","52","7","0"
"Apex","43,411","28","0","","3","10","15","462","109","347","6","2"
"Archdale","11,588","16","0","","0","5","11","253","72","170","11","1"
"Asheboro","26,078","68","0","","1","31","36","1,560","290","1,220","50","3"
"Asheville","88,184","501","4","","43","194","260","4,277","841","3,164","272","17"
"Atlantic Beach","1,505","3","0","","1","0","2","141","39","94","8","1"
"Ayden","5,078","36","0","","3","4","29","167","48","113","6","1"
"Bailey","565","0","0","","0","0","0","39","6","32","1","1"
"Bald Head Island","169","0","0","","0","0","0","33","4","26","3","0"
"Banner Elk","1,078","1","0","","0","0","1","29","5","24","0","0"
"Beaufort","4,215","8","0","","2","0","6","145","27","115","3","0"
"Belhaven","1,594","4","0","","1","1","2","27","9","18","0","0"
"Belmont","10,453","22","0","","0","9","13","420","33","379","8","1"
"Benson","3,526","22","1","","4","8","9","161","32","125","4","0"
"Bessemer City","5,466","8","0","","1","3","4","125","33","86","6","0"
"Bethel","1,627","7","0","","0","1","6","38","2","34","2","0"
"Biltmore Forest","1,428","0","0","","0","0","0","10","3","7","0","0"
"Biscoe","1,686","9","0","","1","0","8","236","29","205","2","3"
"Black Mountain","8,138","3","1","","0","0","2","138","30","97","11","0"
"Blowing Rock","1,237","4","0","","0","0","4","28","6","20","2","0"
"Boiling Spring Lakes","5,672","11","0","","1","0","10","144","19","120","5","2"
"Boone","18,496","33","0","","10","5","18","349","54","278","17","4"
"Brevard","7,636","11","0","","1","2","8","227","41","179","7","2"
"Bunn","356","2","0","","0","0","2","30","4","26","0","0"
"Burgaw","4,093","9","0","","0","3","6","154","12","137","5","0"
"Burlington","51,627","352","3","","20","88","241","2,064","460","1,506","98","8"
"Burnsville","1,663","1","0","","0","0","1","66","11","52","3","0"
"Butner","7,722","30","1","","0","8","21","172","34","134","4","1"
