"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Belfield","1,025","0","0","0","","0","0","7","3","2","2","0"
"Berthold","493","0","0","0","","0","0","8","0","8","0","0"
"Beulah","3,352","2","0","0","","0","2","7","1","4","2","0"
"Bismarck","68,492","185","1","23","","14","147","1,705","211","1,382","112","2"
"Burlington","1,048","0","0","0","","0","0","4","1","3","0","0"
"Carrington","2,078","1","0","0","","1","0","10","0","9","1","0"
"Cavalier","1,252","1","0","0","","0","1","26","6","20","0","0"
"Devils Lake","7,286","19","0","8","","1","10","351","53","273","25","4"
"Dickinson","21,614","50","1","0","","1","48","646","67","503","76","2"
"Ellendale","1,361","4","0","1","","0","3","11","1","10","0","0"
"Fargo","115,686","410","4","80","","76","250","3,042","539","2,304","199","15"
"Fessenden","473","0","0","0","","0","0","0","0","0","0","0"
"Grafton","4,337","11","0","5","","0","6","121","23","90","8","0"
"Grand Forks","55,438","127","1","24","","15","87","1,545","246","1,208","91","6"
"Harvey","1,792","2","0","1","","0","1","32","5","26","1","1"
"Jamestown","15,440","40","0","9","","8","23","443","85","337","21","4"
"Kenmare","1,110","0","0","0","","0","0","4","1","1","2","0"
"Killdeer","1,043","7","0","3","","0","4","10","3","6","1","0"
"Kulm","346","0","0","0","","0","0","0","0","0","0","0"
"Lamoure","948","0","0","0","","0","0","1","0","1","0","0"
"Lincoln","3,288","3","0","1","","0","2","28","3","19","6","0"
"Lisbon","2,179","1","0","0","","0","1","32","6","26","0","0"
"Mandan","20,253","52","2","10","","4","36","609","59","507","43","3"
"Medora","134","0","0","0","","0","0","1","0","0","1","0"
"Minot","47,682","151","1","35","","18","97","1,207","223","867","117","2"
"Napoleon","777","0","0","0","","0","0","6","0","6","0","0"
"New Town","2,482","2","0","0","","2","0","7","2","4","1","0"
"Northwood","955","0","0","0","","0","0","5","2","3","0","0"
"Oakes","1,841","1","0","0","","0","1","0","0","0","0","0"
"Powers Lake","333","1","0","0","","0","1","8","2","6","0","0"
"Rolla","1,350","1","0","0","","1","0","13","2","11","0","0"
"Rugby","2,954","3","0","0","","0","3","39","4","30","5","0"
"Scranton","290","0","0","0","","0","0","0","0","0","0","0"
"Sherwood","259","1","0","0","","0","1","2","1","1","0","0"
"South Heart","374","0","0","0","","0","0","0","0","0","0","0"
"Stanley","2,244","1","0","0","","0","1","12","1","7","4","0"
"Steele","710","0","0","0","","0","0","3","1","2","0","0"
"Surrey","1,187","3","0","0","","0","3","13","4","9","0","0"
"Thompson","1,026","0","0","0","","0","0","5","1","4","0","0"
"Tioga","1,661","4","0","0","","0","4","27","3","18","6","0"
"Valley City","6,720","19","0","6","","2","11","129","24","96","9","4"
"Wahpeton","7,877","16","0","5","","1","10","150","18","130","2","4"
"Watford City","3,858","23","0","6","","0","17","119","22","82","15","0"
"West Fargo","30,970","56","0","6","","3","47","543","128","366","49","3"
"Williston","22,699","121","2","24","","7","88","1,194","124","848","222","6"
"Wishek","983","1","0","0","","0","1","0","0","0","0","0"
