"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Ada","5,790","6","0","1","","1","4","82","19","60","3","0"
"Akron","197,891","1,358","26","171","","435","726","9,061","2,871","5,611","579","67"
"Alliance","22,191","75","1","9","","19","46","946","176","749","21","8"
"Amberley Village","3,600","0","0","","0","0","0","43","2","39","2","0"
"Amelia","4,919","2","0","0","","2","0","33","7","26","0","0"
"American Township","12,351","2","0","0","","0","2","203","26","174","3","0"
"Amherst","12,133","3","0","1","","2","0","195","24","165","6","0"
"Ashland","20,293","15","1","11","","1","2","498","94","390","14","0"
"Ashville","4,113","2","0","0","","0","2","37","4","32","1","0"
"Athens","24,083","26","0","8","","1","17","360","46","311","3","2"
"Aurora4","15,586","9","0","1","","1","7","161","22","133","6","0"
"Austintown","35,997","63","1","16","","16","30","982","218","746","18","1"
"Baltimore","2,952","0","0","0","","0","0","22","4","17","1","0"
"Barberton","26,286","68","0","13","","14","41","1,004","173","793","38","3"
"Batavia","1,644","2","0","1","","0","1","61","3","57","1","0"
"Bath Township, Summit County","9,805","7","0","2","","0","5","113","15","97","1","0"
"Beachwood","11,812","12","0","1","","7","4","635","104","525","6","1"
"Beavercreek","45,835","24","0","6","","11","7","1,007","97","895","15","3"
"Beaver Township","6,551","3","0","1","","0","2","125","44","77","4","1"
"Bedford","12,831","24","0","","4","10","10","425","40","362","23","0"
"Bedford Heights","10,681","34","1","","3","15","15","257","59","154","44","0"
"Bellbrook","7,044","3","0","2","","1","0","71","8","63","0","0"
"Bellefontaine","13,156","29","0","12","","6","11","602","98","498","6","1"
"Bellville","1,880","1","0","0","","0","1","48","5","40","3","0"
"Belpre","6,429","5","0","1","","0","4","95","21","71","3","1"
"Berea","18,981","19","0","2","","10","7","194","34","143","17",""
"Bethel","2,762","7","1","0","","0","6","119","16","102","1","0"
"Beverly","1,295","1","0","0","","0","1","32","4","28","0","0"
"Bexley","13,543","15","1","4","","8","2","435","132","291","12","2"
"Blue Ash","12,146","7","0","3","","4","0","337","53","271","13","1"
"Bluffton","4,237","4","0","","1","1","2","36","8","27","1",""
"Boardman","40,047","65","1","15","","35","14","1,825","262","1,520","43","8"
"Boston Heights","1,295","1","0","0","","0","1","12","1","8","3","0"
"Bowling Green","32,145","39","0","16","","10","13","637","93","529","15","1"
"Brady Lake","462","0","0","0","","0","0","0","0","0","0","0"
"Brecksville","13,505","0","0","0","","0","0","65","15","48","2","0"
"Bridgeport","1,806","5","0","0","","2","3","17","4","12","1","2"
"Broadview Heights","19,318","23","0","0","","0","23","26","9","15","2","0"
"Brooklyn","10,964","29","1","","6","15","7","699","62","584","53","0"
"Brookville","5,862","4","0","","2","1","1","84","20","63","1","0"
"Brunswick","34,620","19","0","1","","2","16","306","39","249","18","1"
"Brunswick Hills Township","10,202","2","0","1","","0","1","52","14","34","4","1"
"Bucyrus","12,007","29","0","3","","7","19","748","149","586","13","2"
"Burton","1,462","0","0","","0","0","0","19","1","18","0","0"
"Butler Township","7,864","6","0","0","","2","4","371","10","353","8","0"
"Byesville","2,404","2","0","0","","0","2","15","3","11","1","0"
"Cambridge","10,476","50","1","","12","14","23","573","117","434","22","2"
"Canal Fulton","5,506","4","0","1","","0","3","96","24","70","2","0"
"Canfield","7,386","2","0","0","","0","2","82","12","70","0","0"
"Canton","72,391","730","8","91","","228","403","3,929","1,021","2,657","251","7"
"Cardington","2,051","3","0","0","","0","3","44","9","34","1","0"
"Carroll Township","2,121","1","0","1","","0","0","26","5","21","0","0"
"Celina","10,370","19","0","5","","1","13","383","54","322","7","0"
"Centerville","23,949","23","0","","3","5","15","377","84","270","23","1"
"Champion Township","9,447","14","0","7","","1","6","194","62","126","6","0"
"Chardon","5,193","4","0","","1","1","2","80","4","76","0",""
"Cheviot","8,313","17","0","2","","10","5","278","61","207","10","0"
"Chillicothe","21,896","79","0","6","","30","43","1,761","333","1,403","25","4"
"Cincinnati","297,671","2,695","60","228","","1,356","1,051","16,557","4,820","10,639","1,098","353"
"Circleville","13,469","32","0","15","","7","10","674","97","548","29","2"
"Clayton","13,209","7","0","2","","5","0","187","47","118","22",""
"Clay Township, Montgomery County","4,215","1","0","0","","0","1","41","18","20","3","0"
"Clearcreek Township","14,809","7","0","3","","0","4","92","21","69","2","0"
"Cleveland","388,655","5,186","63","482","","2,990","1,651","21,121","6,948","10,335","3,838","304"
"Cleveland Heights","45,207","106","2","","10","57","37","1,219","187","916","116","1"
"Clyde","6,277","3","0","1","","1","1","171","21","149","1","0"
"Coalton","470","0","0","0","","0","0","10","4","6","0","0"
"Coitsville Township","1,353","5","0","0","","1","4","31","15","10","6","0"
"Coldwater","4,454","1","0","0","","0","1","48","2","44","2","0"
"Colerain Township","58,813","107","2","8","","66","31","2,086","312","1,715","59","19"
"Columbiana","6,305","2","0","0","","0","2","79","11","66","2","0"
"Columbus","830,811","4,563","83","738","","2,098","1,644","35,334","9,066","23,328","2,940",""
"Conneaut","12,889","54","1","5","","5","43","292","78","202","12","0"
"Cortland","6,999","2","0","0","","0","2","78","13","63","2","2"
"Covington","2,606","1","0","1","","0","0","32","7","25","0","0"
"Creston","2,174","5","0","1","","2","2","19","3","16","0","1"
"Dayton","143,217","1,225","27","135","","535","528","7,963","2,976","4,397","590","84"
"Deer Park","5,693","5","0","2","","1","2","93","8","79","6","2"
"Defiance","16,772","31","2","11","","8","10","472","76","392","4","0"
"Delaware","36,853","64","0","25","","22","17","797","162","621","14","0"
"Delhi Township","29,621","16","1","3","","10","2","591","145","428","18","7"
"Delphos","7,034","3","0","","2","1","0","184","42","141","1",""
"Dover","12,862","6","0","1","","1","4","78","18","59","1","2"
"Dublin","44,163","8","0","0","","7","1","474","67","395","12","1"
"East Cleveland","17,448","134","2","10","","84","38","384","168","113","103","8"
"Eastlake","18,381","14","1","","1","6","6","440","35","385","20","1"
"East Palestine","4,601","6","0","3","","0","3","83","21","62","0","0"
"Elmwood Place","2,170","9","0","1","","4","4","73","24","46","3","0"
"Englewood","13,466","25","1","4","","9","11","478","35","432","11","3"
"Evendale","2,769","7","0","","1","2","4","347","22","318","7","1"
"Fairborn","33,276","48","0","15","","22","11","987","208","753","26","5"
"Fairfax","1,695","3","0","0","","3","0","357","8","349","0","0"
"Fairfield","42,654","98","1","13","","19","65","1,257","173","1,026","58","6"
"Fairfield Township","21,895","22","0","3","","9","10","741","82","645","14","1"
"Fairport Harbor","3,094","7","0","","1","0","6","101","28","70","3","0"
"Findlay","41,613","80","0","22","","17","41","1,476","296","1,150","30","2"
"Forest Park","18,724","57","1","11","","32","13","606","79","504","23","2"
"Fredericktown","2,478","2","0","0","","0","2","60","15","45","0","0"
"Fremont","16,377","24","3","","2","7","12","994","202","776","16","0"
"Gahanna","34,249","23","0","5","","16","2","645","101","538","6","5"
"Galion","10,215","19","0","3","","7","9","569","121","433","15","0"
"Gallipolis","3,643","17","0","9","","5","3","447","62","382","3","1"
"Garfield Heights","28,273","108","4","11","","42","51","893","249","641","3","8"
"Gates Mills","2,248","0","0","","0","0","0","15","8","7","0",""
"Georgetown","4,485","5","0","4","","1","0","186","30","155","1","1"
"Germantown","5,520","4","0","2","","0","2","52","9","43","0","3"
"German Township, Clark County","6,942","3","0","0","","2","1","129","19","107","3","0"
"Glouster","1,775","2","0","1","","1","0","71","12","56","3","0"
"Goshen Township, Clermont County","15,626","10","0","6","","2","2","252","55","187","10","1"
"Goshen Township, Mahoning County","3,138","11","0","2","","0","9","105","25","74","6","0"
"Grafton","5,895","3","0","0","","0","3","30","10","20","0","1"
"Grandview Heights","7,058","0","0","0","","0","0","100","32","65","3","0"
"Greenfield","4,608","7","0","2","","2","3","150","27","119","4","1"
"Greenhills","3,596","3","0","0","","2","1","32","7","25","0","0"
"Greenville","13,036","40","0","10","","9","21","328","63","258","7","23"
"Grove City","37,945","37","0","15","","18","4","1,411","153","1,215","43","2"
"Groveport","5,700","6","0","0","","0","6","176","16","153","7","0"
"Hamilton Township, Warren County","21,920","3","0","0","","0","3","151","21","126","4","1"
"Harrison","10,382","7","0","","1","6","0","240","24","205","11","1"
"Hartville","2,956","1","0","0","","0","1","50","5","43","2","0"
"Heath","10,485","21","1","4","","8","8","519","68","439","12","3"
"Highland Heights","8,316","5","0","","1","1","3","104","12","92","0","0"
"Hillsboro","6,598","7","0","4","","3","0","268","40","222","6","1"
"Hinckley Township","7,873","4","0","3","","0","1","49","18","28","3","1"
"Howland Township","17,008","28","0","1","","10","17","401","75","312","14","2"
"Hubbard","7,724","9","0","2","","2","5","148","32","108","8","2"
"Hubbard Township","5,513","9","0","2","","2","5","82","19","60","3","1"
"Huber Heights","38,137","75","0","18","","28","29","1,148","210","898","40","12"
"Hudson","22,526","4","0","2","","0","2","126","19","103","4","0"
"Independence","7,147","4","0","0","","1","3","130","5","125","0","0"
"Indian Hill","5,814","0","0","0","","0","0","50","16","33","1","0"
"Ironton","11,045","19","1","6","","5","7","319","91","215","13","1"
"Jackson","6,298","13","0","2","","5","6","268","34","225","9","1"
"Jackson Township, Mahoning County","2,059","1","0","0","","0","1","58","19","39","0","0"
"Jackson Township, Montgomery County","3,681","1","0","1","","0","0","29","7","20","2","1"
"Jackson Township, Stark County","40,645","47","0","3","","21","23","1,258","150","1,090","18","3"
"Johnstown","4,876","3","0","0","","0","3","117","19","96","2","0"
"Kent","32,582","76","0","2","","15","59","578","103","458","17","10"
"Kenton","8,184","9","0","2","","3","4","362","81","279","2","2"
"Kettering","55,778","53","0","16","","18","19","1,079","229","810","40","0"
"Kirtland","6,841","0","0","0","","0","0","43","12","30","1","0"
"Lakewood","50,923","66","2","6","","32","26","749","114","570","65","5"
"Lancaster","39,453","106","1","35","","16","54","1,727","245","1,434","48","16"
