"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Achille","513","0","0","0","","0","0","1","1","0","0","0"
"Ada","17,205","127","1","8","","6","112","982","245","682","55","5"
"Allen","932","0","0","0","","0","0","9","2","6","1","0"
"Altus","19,531","71","0","9","","9","53","607","196","395","16","0"
"Anadarko","6,808","32","1","5","","4","22","314","95","206","13","4"
"Antlers","2,356","12","0","1","","1","10","64","20","39","5","0"
"Apache","1,440","0","0","0","","0","0","17","5","12","0","0"
"Ardmore","25,109","419","2","29","","34","354","1,761","439","1,219","103","2"
"Arkoma","1,942","2","0","0","","0","2","17","6","9","2","0"
"Atoka","3,095","12","0","1","","1","10","118","33","80","5","2"
"Bartlesville","36,364","83","2","11","","9","61","918","201","680","37","8"
"Beaver","1,490","0","0","0","","0","0","8","4","4","0","0"
"Beggs","1,251","2","0","0","","0","2","23","10","8","5","0"
"Bethany","19,683","75","0","4","","15","56","550","159","317","74","5"
"Bixby","23,815","41","0","6","","9","26","329","84","221","24","2"
"Blackwell","6,912","13","0","5","","2","6","147","44","93","10","3"
"Blanchard","7,992","6","0","2","","0","4","61","15","38","8","0"
"Boise City","1,174","2","0","2","","0","0","21","1","18","2","0"
"Boley","1,189","0","0","0","","0","0","0","0","0","0","0"
"Bristow","4,234","15","1","3","","3","8","164","52","89","23","0"
"Broken Arrow","104,592","148","0","31","","43","74","1,716","369","1,236","111","12"
"Broken Bow","4,147","15","0","3","","1","11","196","43","141","12","3"
"Caddo","1,045","2","0","1","","0","1","17","11","4","2","1"
"Calera","2,249","10","0","0","","1","9","34","12","18","4","0"
"Caney","200","0","0","0","","0","0","10","5","5","0","0"
"Canton","612","1","0","1","","0","0","2","1","1","0","0"
"Carnegie","1,714","0","0","0","","0","0","13","8","5","0","0"
"Carney","653","0","0","0","","0","0","14","2","9","3","0"
"Cashion","831","0","0","0","","0","0","7","1","5","1","0"
"Catoosa","7,161","49","0","7","","7","35","232","52","144","36","2"
"Chandler","3,132","5","0","0","","0","5","65","12","48","5","0"
"Checotah","3,379","4","0","0","","1","3","100","14","79","7","0"
"Chelsea","1,958","3","0","1","","0","2","24","5","17","2","0"
"Cherokee","1,575","6","0","0","","0","6","5","1","2","2","0"
"Chickasha","16,458","89","2","14","","9","64","515","132","350","33","3"
"Choctaw","12,007","18","0","2","","4","12","154","47","94","13","2"
"Chouteau","2,089","0","0","0","","0","0","11","2","7","2","0"
"Claremore","19,139","42","0","9","","7","26","396","76","293","27","1"
"Clayton","790","0","0","0","","0","0","3","2","1","0","0"
"Clinton","9,647","24","0","3","","2","19","217","58","137","22","10"
"Coalgate","1,939","1","0","1","","0","0","7","0","7","0","0"
"Colbert","1,181","1","0","0","","0","1","11","4","5","2","0"
"Collinsville","6,251","7","0","4","","0","3","74","22","47","5","1"
"Comanche","1,646","0","0","0","","0","0","17","4","13","0","0"
"Cordell","2,925","10","0","4","","0","6","38","16","20","2","0"
"Coweta","9,610","18","0","6","","0","12","80","20","53","7","1"
"Crescent","1,513","0","0","0","","0","0","30","15","14","1","0"
"Cushing","7,904","16","1","0","","1","14","200","35","145","20","0"
"Davenport","813","4","0","1","","0","3","9","5","4","0","0"
"Davis","2,757","7","0","1","","0","6","108","42","55","11","0"
"Del City","22,144","170","2","21","","39","108","1,217","263","832","122","7"
"Depew","472","1","0","0","","0","1","3","2","1","0","0"
"Dewar","872","0","0","0","","0","0","2","1","0","1","0"
"Dewey","3,502","11","0","4","","1","6","55","13","42","0","2"
"Dibble","810","0","0","0","","0","0","0","0","0","0","0"
"Drumright","2,897","5","0","0","","0","5","54","16","32","6","0"
"Duncan","23,388","55","4","8","","10","33","1,267","329","896","42","7"
"Durant","17,132","69","0","8","","4","57","1,114","221","831","62","1"
"Edmond","88,383","81","1","12","","14","54","1,538","292","1,174","72","7"
"Elgin","2,903","0","0","0","","0","0","4","0","3","1","0"
"Elk City","12,856","11","0","2","","0","9","334","72","248","14","0"
"El Reno","18,123","48","2","8","","6","32","418","91","316","11","8"
"Enid","51,037","189","0","45","","24","120","2,045","486","1,460","99","5"
"Eufaula","2,957","6","0","0","","1","5","113","40","61","12","0"
"Fairfax","1,367","0","0","0","","0","0","9","3","6","0","0"
"Fairview","2,651","1","0","0","","0","1","66","17","47","2","0"
"Forest Park","1,057","1","1","0","","0","0","8","4","4","0","0"
"Fort Gibson","4,115","19","0","0","","0","19","40","14","24","2","0"
"Frederick","3,764","8","0","0","","2","6","115","31","75","9","1"
"Geary","1,292","5","0","0","","1","4","43","23","16","4","0"
"Glenpool","11,810","46","0","2","","1","43","236","43","188","5","0"
"Goodwell","1,365","1","0","0","","0","1","27","7","20","0","0"
"Grove","6,705","35","0","0","","1","34","171","20","149","2","0"
"Guthrie","11,081","24","0","4","","2","18","300","100","180","20","3"
"Guymon","12,462","36","0","3","","1","32","207","53","149","5","3"
"Haileyville","773","1","0","0","","0","1","4","3","1","0","0"
"Harrah","5,706","14","0","1","","0","13","139","33","96","10","1"
"Hartshorne","2,017","1","0","0","","0","1","61","23","33","5","0"
"Haskell","2,000","2","0","0","","0","2","5","2","2","1","0"
"Healdton","2,807","3","0","0","","0","3","37","11","23","3","0"
"Heavener","3,378","5","0","0","","0","5","70","19","47","4","0"
"Hennessey","2,168","1","0","0","","0","1","19","4","15","0","0"
"Henryetta","5,802","8","0","4","","1","3","190","63","114","13","3"
"Hinton","3,251","0","0","0","","0","0","13","4","9","0","0"
"Hobart","3,694","19","0","3","","1","15","109","47","58","4","1"
"Holdenville","5,799","5","0","2","","0","3","86","25","59","2","0"
"Hollis","2,017","7","0","0","","0","7","68","36","32","0","1"
"Hominy","3,550","4","0","0","","1","3","73","30","32","11","0"
"Hooker","2,083","3","0","0","","1","2","18","6","10","2","0"
"Howe","788","0","0","0","","0","0","4","0","3","1","0"
"Hulbert","596","4","0","1","","0","3","4","0","3","1","1"
"Hydro","960","2","0","0","","0","2","9","1","7","1","0"
"Jay","2,478","7","0","0","","1","6","58","17","37","4","1"
"Jones","2,884","4","0","0","","2","2","30","7","21","2","1"
"Kiefer","1,861","5","0","0","","0","5","32","11","19","2","0"
"Kingfisher","4,765","7","0","1","","0","6","86","12","71","3","0"
"Kingston","1,617","1","0","0","","0","1","1","0","1","0","0"
"Krebs","1,961","9","0","2","","1","6","72","24","43","5","1"
"Lahoma","638","0","0","0","","0","0","3","1","2","0","0"
"Lamont","418","0","0","0","","0","0","10","2","8","0","0"
"Lawton","96,966","893","11","75","","194","613","4,508","1,371","2,926","211","47"
"Lexington","2,187","6","0","1","","0","5","43","4","38","1","0"
"Lindsay","2,800","5","0","2","","0","3","50","14","33","3","1"
"Locust Grove","1,401","0","0","0","","0","0","6","1","5","0","0"
"Lone Grove","5,204","2","0","0","","1","1","78","19","49","10","0"
"Luther","1,460","0","0","0","","0","0","12","3","6","3","1"
"Madill","3,914","7","0","2","","0","5","80","7","69","4","0"
"Mangum","2,970","5","0","2","","0","3","29","10","17","2","0"
"Mannford","3,073","4","0","3","","0","1","44","8","30","6","0"
"Marietta","2,726","7","0","0","","0","7","83","26","52","5","1"
"Marlow","4,636","7","0","0","","2","5","110","22","83","5","0"
"McAlester","18,281","43","0","6","","4","33","938","234","657","47","2"
"McLoud","4,567","6","0","2","","2","2","53","9","29","15","1"
"Medicine Park","422","1","0","0","","0","1","8","2","6","0","0"
"Meeker","1,154","2","0","0","","0","2","40","7","30","3","0"
"Miami","13,805","53","0","6","","2","45","510","130","363","17","3"
"Midwest City","57,313","185","5","24","","44","112","2,593","576","1,773","244","6"
"Minco","1,659","2","0","1","","0","1","1","0","1","0","0"
"Moore","59,188","78","3","23","","28","24","1,525","329","1,080","116","0"
"Mooreland","1,285","1","0","0","","0","1","13","4","9","0","0"
"Morris","1,454","1","0","1","","0","0","16","8","8","0","0"
"Mounds","1,196","1","0","0","","0","1","16","5","9","2","0"
"Mountain View","785","2","0","0","","0","2","2","0","0","2","0"
"Muldrow","3,293","25","1","3","","0","21","80","15","54","11","0"
"Muskogee","38,759","332","3","17","","51","261","1,274","406","768","100","15"
"Mustang","19,511","43","0","1","","3","39","268","49","202","17","1"
"Newcastle","8,951","3","0","1","","0","2","219","49","129","41","1"
"Newkirk","2,261","2","0","0","","0","2","31","11","19","1","0"
"Nichols Hills","3,887","2","0","0","","2","0","52","11","39","2","0"
"Nicoma Park","2,473","2","0","0","","0","2","42","17","20","5","0"
"Ninnekah","1,027","0","0","0","","0","0","3","2","1","0","0"
"Noble","6,695","9","0","1","","0","8","163","44","109","10","2"
"Norman","119,956","192","3","54","","69","66","3,243","566","2,501","176","20"
"North Enid","905","0","0","0","","0","0","4","0","3","1","0"
"Oilton","1,015","0","0","0","","0","0","17","8","7","2","0"
"Okemah","3,334","6","0","1","","0","5","99","30","61","8","2"
"Oklahoma City","617,975","4,782","45","434","","1,126","3,177","27,258","6,638","17,111","3,509","96"
"Okmulgee","12,321","66","0","14","","9","43","440","78","344","18","7"
"Oologah","1,182","0","0","0","","0","0","6","3","2","1","0"
"Owasso","33,146","49","0","7","","5","37","477","68","380","29","2"
"Pauls Valley","6,012","21","0","3","","2","16","299","67","218","14","2"
"Pawhuska","3,661","14","0","2","","0","12","99","37","55","7","2"
"Pawnee","2,174","20","0","0","","1","19","24","11","9","4","3"
"Perkins","2,871","11","0","3","","1","7","58","12","43","3","0"
"Perry","5,043","18","0","4","","1","13","71","19","46","6","0"
"Piedmont","6,674","2","0","1","","1","0","44","7","34","3","0"
"Pocola","4,013","0","0","0","","0","0","18","5","5","8","0"
