"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Albany","51,889","42","2","","10","26","4","1,675","201","1,358","116","3"
"Ashland","20,869","26","0","3","","3","20","623","58","544","21","1"
"Astoria","9,527","25","0","","10","6","9","376","98","253","25","3"
"Aumsville","3,866","4","0","0","","0","4","60","11","45","4","1"
"Baker City","9,762","61","0","","1","4","56","304","48","251","5","1"
"Bandon","3,055","0","0","","0","0","0","38","8","27","3","0"
"Banks","1,880","2","0","","0","2","0","42","12","29","1",""
"Beaverton","94,416","127","0","","17","34","76","1,521","174","1,250","97",""
"Bend","82,418","114","0","16","","23","75","2,140","255","1,799","86","20"
"Boardman","3,416","11","0","7","","2","2","53","9","40","4","1"
"Brookings","6,386","6","0","","1","2","3","60","10","47","3",""
"Burns","2,711","2","0","0","","0","2","111","36","72","3","0"
"Canby","16,915","16","1","","3","3","9","263","33","216","14",""
"Cannon Beach","1,691","6","1","","1","1","3","55","13","42","0",""
"Central Point","17,705","28","0","4","","3","21","472","55","392","25","4"
"Clatskanie","1,745","0","0","","0","0","0","61","17","34","10","0"
"Coburg","1,038","0","0","","0","0","0","17","2","13","2",""
"Columbia City","1,955","0","0","0","","0","0","9","0","7","2","0"
"Condon","716","0","0","","0","0","0","0","0","0","0",""
"Coos Bay","15,939","52","0","","9","10","33","887","138","716","33",""
"Coquille","3,809","6","0","","0","0","6","38","12","23","3","0"
"Cornelius","12,229","18","0","","1","3","14","364","55","294","15",""
"Corvallis","55,541","72","0","16","","12","44","1,737","225","1,476","36","10"
"Cottage Grove","9,821","13","0","","0","2","11","574","46","500","28",""
"Dallas","14,852","26","0","3","","3","20","381","44","320","17","3"
"Eagle Point","8,717","26","0","6","","7","13","396","33","352","11","1"
"Enterprise","1,869","0","0","","0","0","0","25","6","18","1","0"
"Fairview","9,237","22","0","","3","5","14","242","29","181","32",""
"Florence","8,466","9","0","","1","2","6","371","49","310","12",""
"Forest Grove","22,748","76","0","","18","9","49","651","117","484","50",""
"Gaston","669","1","0","","1","0","0","19","0","17","2",""
"Gearhart4","1,494","1","0","0","","0","1","14","2","12","0","0"
"Gervais","2,569","11","0","0","","2","9","52","15","33","4","2"
"Gladstone","11,776","47","0","","13","2","32","308","40","244","24",""
"Gold Beach","2,257","1","0","","0","0","1","49","6","42","1",""
"Gresham","110,276","549","2","","47","215","285","5,161","915","3,500","746",""
"Hermiston4","17,183","38","0","6","","12","20","466","69","360","37",""
"Hillsboro","98,635","186","2","","40","58","86","2,205","246","1,825","134",""
"Hines4","1,497","0","0","0","","0","0","25","5","19","1",""
"Hubbard","3,202","2","0","1","","0","1","14","3","11","0","2"
"Independence","8,672","19","0","5","","4","10","187","15","158","14","0"
"Jacksonville","2,823","0","0","0","","0","0","42","10","30","2","1"
"John Day","1,697","1","0","","0","0","1","38","10","24","4",""
