"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Abington Township, Montgomery County","55,628","60","0","1","","28","31","1,127","134","961","32","6"
"Adamstown","1,846","0","0","0","","0","0","17","2","14","1","0"
"Adams Township, Butler County","12,912","5","1","0","","0","4","59","1","58","0","0"
"Akron","3,933","3","0","0","","1","2","35","5","29","1","0"
"Albion","1,485","3","0","0","","1","2","19","4","15","0","0"
"Alburtis","2,384","0","0","0","","0","0","16","2","13","1","0"
"Aldan","4,158","4","0","0","","2","2","115","21","94","0","0"
"Aleppo Township","1,914","0","0","0","","0","0","9","0","9","0","0"
"Aliquippa","9,288","59","1","2","","8","48","155","52","94","9","0"
"Allegheny Township, Blair County","6,638","37","0","0","","0","37","151","11","139","1","1"
"Allegheny Township, Westmoreland County","8,315","6","0","0","","3","3","89","8","81","0","0"
"Allentown","118,710","611","9","66","","312","224","3,821","940","2,608","273","13"
"Altoona","45,676","159","1","38","","32","88","890","208","658","24","10"
"Ambler","6,515","6","0","2","","2","2","74","4","63","7","0"
"Ambridge","6,931","103","0","1","","12","90","262","45","207","10","0"
"Amity Township","12,821","7","0","1","","2","4","129","21","103","5","0"
"Annville Township","4,852","13","0","0","","1","12","72","5","64","3","0"
"Apollo","1,612","3","0","0","","1","2","22","2","20","0","1"
"Archbald","7,103","8","0","0","","0","8","53","11","42","0","0"
"Armagh Township","3,830","3","0","1","","0","2","14","3","11","0","0"
"Arnold","5,053","27","0","0","","13","14","84","33","33","18","1"
"Ashland","2,769","6","0","1","","1","4","61","7","48","6","1"
"Ashville","215","0","0","0","","0","0","0","0","0","0","0"
"Aspinwall","2,791","0","0","0","","0","0","40","10","29","1","0"
"Aston Township","16,929","15","0","3","","2","10","238","25","203","10","2"
"Athens","3,327","4","0","2","","0","2","60","4","55","1","2"
"Athens Township","5,163","3","0","0","","0","3","157","10","146","1","5"
"Avalon","4,679","21","0","0","","3","18","74","16","57","1","0"
"Avis","1,536","0","0","0","","0","0","1","0","1","0","0"
"Avondale","1,431","0","0","0","","0","0","0","0","0","0","0"
"Avonmore Boro","987","0","0","0","","0","0","0","0","0","0","0"
"Baldwin Borough","19,822","14","0","0","","3","11","100","20","73","7","0"
"Baldwin Township","1,982","3","0","0","","0","3","29","4","25","0","0"
"Bally","1,107","0","0","0","","0","0","0","0","0","0","0"
"Bangor","5,227","38","0","0","","2","36","124","18","103","3","0"
"Barrett Township","4,095","4","0","0","","0","4","44","13","31","0","0"
"Beaver","4,456","4","0","0","","1","3","98","11","82","5","0"
"Beaver Falls","8,775","55","1","2","","13","39","408","48","345","15","0"
"Beaver Meadows","849","0","0","0","","0","0","5","3","2","0","0"
"Bedford","2,767","5","0","0","","0","5","39","5","30","4","0"
"Bedminster Township","7,032","3","0","0","","0","3","37","4","32","1","0"
"Bell Acres","1,402","1","0","0","","0","1","6","1","5","0","0"
"Bellefonte","6,234","3","0","0","","1","2","43","5","38","0","0"
"Bellevue","8,327","29","0","0","","12","17","261","52","204","5","0"
"Bellwood","1,795","0","0","0","","0","0","29","4","25","0","0"
"Ben Avon","1,779","0","0","0","","0","0","22","0","22","0","0"
"Ben Avon Heights","365","0","0","0","","0","0","6","0","6","0","0"
"Bensalem Township","60,506","81","2","10","","40","29","1,776","238","1,463","75","19"
"Benton Area","1,945","2","0","0","","0","2","20","3","17","0","0"
"Berlin","2,044","4","0","1","","0","3","12","1","11","0","0"
"Bern Township","6,907","8","0","0","","1","7","45","8","32","5","1"
"Berwick","10,308","24","0","5","","3","16","277","49","224","4","0"
"Bethel Park","32,408","25","0","0","","8","17","263","25","222","16","0"
"Bethel Township, Armstrong County","1,186","0","0","0","","0","0","0","0","0","0","0"
"Bethel Township, Berks County","4,123","5","0","0","","0","5","23","5","17","1","0"
"Bethel Township, Delaware County","9,143","7","0","2","","0","5","100","14","86","0","0"
"Bethlehem","75,024","211","1","28","","83","99","1,823","298","1,429","96","11"
"Bethlehem Township","23,873","13","0","1","","6","6","386","52","327","7","1"
"Biglerville","1,199","0","0","0","","0","0","10","0","8","2","0"
"Birdsboro","5,166","4","0","0","","1","3","63","15","46","2","0"
"Birmingham Township","4,242","1","0","0","","0","1","13","3","9","1","0"
"Blacklick Township","1,966","0","0","0","","0","0","0","0","0","0","0"
"Blair Township","4,547","0","0","0","","0","0","70","11","58","1","0"
"Blakely","6,514","3","0","0","","1","2","102","16","85","1","1"
"Blawnox","1,427","1","0","0","","0","1","5","2","3","0","0"
"Blossburg","1,544","3","0","0","","0","3","6","1","5","0","0"
"Blythe Township","913","0","0","0","","0","0","1","1","0","0","0"
"Bonneauville","1,813","1","0","0","","0","1","15","1","14","0","0"
"Boyertown","4,041","4","0","0","","3","1","86","9","72","5","1"
"Brackenridge","3,236","4","0","0","","1","3","66","9","57","0","0"
"Braddock Hills","1,875","5","0","0","","1","4","34","5","29","0","0"
