"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Barrington","16,351","4","0","1","","0","3","210","39","164","7","1"
"Bristol","22,333","12","0","1","","0","11","223","23","193","7","0"
"Burrillville","16,198","14","0","2","","0","12","135","22","105","8","2"
"Central Falls","19,498","134","2","15","","37","80","605","216","337","52","7"
"Charlestown","7,798","5","0","2","","1","2","87","22","63","2","1"
"Coventry","35,053","25","0","4","","1","20","500","93","385","22","3"
"Cranston","80,905","106","1","19","","22","64","1,595","266","1,227","102","4"
"Cumberland","34,309","18","0","3","","6","9","408","101","297","10","2"
"East Greenwich","13,178","4","0","2","","1","1","157","17","133","7","1"
"East Providence","47,351","52","1","12","","5","34","649","109","491","49","6"
"Foster","4,684","11","0","4","","0","7","32","14","16","2","0"
"Glocester","9,916","4","0","0","","0","4","44","19","23","2","0"
"Hopkinton","8,127","4","0","1","","1","2","120","32","86","2","2"
"Jamestown","5,508","2","0","0","","0","2","48","10","36","2","0"
"Johnston","29,216","42","0","4","","3","35","382","82","260","40","2"
"Lincoln","21,425","12","0","2","","4","6","440","66","341","33","1"
"Little Compton","3,518","1","0","0","","0","1","51","12","38","1","0"
"Middletown","16,216","19","0","6","","2","11","302","32","261","9","2"
"Narragansett","15,724","5","0","0","","1","4","203","36","154","13","1"
"Newport","23,959","95","0","15","","12","68","976","148","792","36","13"
"New Shoreham","1,043","0","0","","0","0","0","29","3","26","0","0"
"North Kingstown","26,211","29","0","10","","3","16","310","50","252","8","2"
"North Providence","32,396","49","1","8","","6","34","427","91","303","33","3"
"North Smithfield","12,276","3","0","0","","0","3","203","21","176","6","1"
"Pawtucket","71,443","208","2","42","","51","113","2,119","561","1,306","252","18"
"Portsmouth","17,449","13","0","5","","1","7","184","35","142","7","0"
"Providence","178,640","927","18","90","","289","530","6,827","1,666","4,366","795","24"
"Richmond","7,618","5","0","3","","0","2","75","11","58","6","0"
"Scituate","10,497","3","0","0","","0","3","54","15","37","2","0"
"Smithfield","21,482","6","0","2","","0","4","210","32","172","6","1"
"South Kingstown","30,726","14","0","5","","1","8","280","73","199","8","5"
"Tiverton","15,931","19","0","2","","3","14","275","51","211","13","1"
"Warren","10,567","16","0","1","","3","12","218","37","168","13","2"
"Warwick","82,123","84","0","25","","10","49","1,866","190","1,611","65","12"
"Westerly","22,711","25","0","6","","2","17","591","97","477","17","7"
"West Greenwich","6,122","8","0","2","","2","4","68","12","55","1","0"
"West Warwick","28,934","61","0","11","","11","39","385","97","259","29","8"
"Woonsocket","41,140","219","0","27","","48","144","1,117","370","660","87","22"
