"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aiken","30,458","110","1","14","","25","70","1,517","243","1,217","57","3"
"Allendale","3,218","31","2","1","","5","23","119","50","66","3","2"
"Anderson","27,130","263","3","22","","51","187","2,157","447","1,546","164","7"
"Andrews","2,844","9","0","0","","1","8","189","42","143","4","0"
"Bamberg","3,489","24","0","0","","3","21","120","27","87","6","1"
"Barnwell","4,676","55","0","1","","17","37","270","56","210","4","0"
"Batesburg-Leesville","5,435","52","0","1","","6","45","327","64","257","6","0"
"Beaufort","13,090","97","0","5","","27","65","903","155","716","32","2"
"Belton","4,276","12","0","2","","4","6","189","41","126","22","0"
"Bennettsville","8,811","111","0","2","","16","93","374","62","305","7","2"
"Bishopville","3,291","51","0","2","","9","40","205","41","161","3","1"
"Blacksburg","1,875","11","0","1","","1","9","129","19","98","12","2"
"Blackville","2,332","17","0","2","","3","12","114","45","60","9","0"
"Bluffton","13,755","33","1","4","","9","19","461","79","360","22","3"
"Burnettown","2,761","4","0","0","","0","4","43","15","22","6","0"
"Camden","7,003","56","0","2","","7","47","484","53","417","14","0"
"Cayce","12,939","95","0","9","","13","73","685","104","519","62","0"
"Central","5,185","10","0","4","","1","5","231","21","201","9","0"
"Chapin","1,533","0","0","0","","0","0","59","7","52","0","0"
"Charleston","129,867","270","8","25","","70","167","2,971","350","2,442","179","6"
"Cheraw","5,834","42","2","2","","7","31","384","54","316","14","0"
"Chesnee","892","3","0","0","","0","3","29","6","21","2","1"
"Chester","5,529","58","2","2","","10","44","312","90","210","12","0"
"Chesterfield","1,458","13","0","0","","2","11","52","8","44","0","0"
"Clemson","14,357","26","2","1","","3","20","497","91","341","65","0"
"Clinton","8,561","71","0","1","","4","66","400","93","295","12","0"
"Clio","699","7","1","1","","4","1","28","16","12","0","0"
"Columbia","134,124","1,004","8","71","","320","605","7,191","1,102","5,416","673","11"
"Cottageville","737","3","0","0","","1","2","18","5","10","3","0"
"Coward","750","3","0","0","","0","3","18","4","13","1","0"
"Cowpens","2,230","4","0","0","","0","4","42","11","30","1","0"
"Darlington","6,223","80","1","4","","11","64","517","56","450","11","2"
"Dillon","6,671","94","2","3","","16","73","689","141","537","11","4"
"Duncan","3,290","3","0","1","","0","2","83","9","66","8","0"
"Edgefield","4,707","4","0","2","","2","0","54","12","41","1","0"
"Edisto Beach","414","2","0","0","","1","1","78","7","63","8","0"
"Ehrhardt","526","0","0","0","","0","0","14","3","11","0","0"
"Elgin","1,407","13","0","0","","9","4","51","10","41","0","0"
"Estill","1,968","38","0","2","","1","35","81","40","38","3","0"
"Florence","37,951","332","2","18","","60","252","2,800","481","2,196","123","23"
"Folly Beach","2,730","12","0","3","","1","8","87","16","63","8","0"
