"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","27,629","78","0","11","","5","62","546","114","404","28","4"
"Alcester","799","2","0","0","","0","2","2","1","0","1","0"
"Avon","581","0","0","0","","0","0","0","0","0","0","0"
"Belle Fourche","5,755","14","0","2","","0","12","74","14","56","4","1"
"Beresford","2,038","0","0","0","","0","0","29","3","22","4","0"
"Box Elder","9,432","27","1","5","","0","21","124","32","85","7","0"
"Brandon","9,678","1","0","0","","0","1","25","2","22","1","0"
"Brookings","23,145","28","0","3","","0","25","353","48","300","5","0"
"Burke","601","0","0","0","","0","0","0","0","0","0","0"
"Canton","3,321","5","0","1","","0","4","23","7","14","2","0"
"Centerville","887","0","0","0","","0","0","5","2","2","1","0"
"Chamberlain","2,457","21","0","4","","1","16","113","26","83","4","0"
"Deadwood","1,292","4","0","0","","0","4","28","2","24","2","1"
"Eagle Butte","1,357","0","0","0","","0","0","5","3","2","0","0"
"Estelline","757","0","0","0","","0","0","4","1","3","0","0"
"Faith","438","0","0","0","","0","0","0","0","0","0","0"
"Flandreau","2,291","12","0","1","","0","11","29","6","20","3","1"
"Freeman","1,252","1","0","0","","0","1","4","2","2","0","0"
"Gettysburg","1,210","0","0","0","","0","0","10","8","2","0","0"
"Hermosa","407","0","0","0","","0","0","0","0","0","0","0"
"Hot Springs","3,478","3","0","0","","0","3","24","8","14","2","0"
"Hoven","417","0","0","0","","0","0","0","0","0","0","0"
"Huron","13,225","51","0","19","","4","28","321","45","266","10","5"
"Irene","416","0","0","0","","0","0","0","0","0","0","0"
"Jefferson","539","0","0","0","","0","0","1","1","0","0","0"
"Kadoka","699","3","0","0","","0","3","4","2","1","1","0"
"Kimball","715","0","0","0","","0","0","0","0","0","0","0"
"Lead","3,105","10","0","0","","0","10","27","4","23","0","0"
"Lennox","2,264","1","0","1","","0","0","9","2","6","1","0"
"Leola","450","0","0","0","","0","0","0","0","0","0","0"
"Madison","7,057","10","0","7","","0","3","94","15","75","4","0"
"Martin","1,073","8","0","1","","0","7","32","9","20","3","0"
"Menno","582","0","0","0","","0","0","0","0","0","0","0"
"Miller","1,454","0","0","0","","0","0","8","2","5","1","0"
"Mitchell","15,600","68","1","14","","2","51","577","58","489","30","3"
"Mobridge","3,539","8","0","3","","0","5","82","2","72","8","0"
"North Sioux City","2,503","1","0","0","","0","1","41","6","32","3","0"
"Parkston","1,460","0","0","0","","0","0","3","1","0","2","0"
"Philip","759","0","0","0","","0","0","3","3","0","0","0"
"Pierre","14,061","49","0","11","","1","37","437","38","365","34","0"
"Rapid City","71,481","426","4","59","","53","310","2,704","426","2,076","202","3"
"Rosholt","431","0","0","0","","0","0","0","0","0","0","0"
"Scotland","830","0","0","0","","0","0","0","0","0","0","0"
"Selby","652","0","0","0","","0","0","3","1","2","0","0"
"Sioux Falls","167,339","740","4","149","","88","499","4,938","846","3,777","315","25"
"Sisseton","2,451","11","0","0","","1","10","28","3","22","3","0"
"Spearfish","11,246","24","0","5","","0","19","318","34","278","6","2"
"Springfield","1,978","0","0","0","","0","0","0","0","0","0","0"
"Sturgis","6,950","7","0","0","","1","6","164","20","135","9","0"
"Summerset","2,085","2","0","1","","0","1","21","1","19","1","3"
"Tea","4,583","4","0","2","","0","2","49","8","37","4","0"
"Tripp","620","0","0","0","","0","0","3","1","1","1","0"
"Tyndall","1,064","0","0","0","","0","0","0","0","0","0","0"
"Vermillion","10,723","33","0","3","","2","28","235","26","198","11","0"
"Viborg","777","0","0","0","","0","0","1","1","0","0","0"
"Wagner","1,574","2","0","1","","0","1","24","3","19","2","0"
"Watertown","22,118","58","0","14","","2","42","490","92","376","22","3"
"Whitewood","942","0","0","0","","0","0","0","0","0","0","0"
"Winner","2,835","5","0","1","","0","4","24","4","18","2","0"
"Worthing","943","0","0","0","","0","0","1","0","1","0","0"
"Yankton","14,622","55","1","22","","3","29","443","47","389","7","1"
