"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adamsville","2,263","4","1","0","","0","3","39","8","29","2","0"
"Alamo","2,487","22","0","0","","0","22","52","6","42","4","0"
"Alcoa","8,689","64","0","9","","10","45","516","51","451","14","0"
"Alexandria","992","5","0","0","","0","5","19","5","12","2","2"
"Algood","3,577","10","0","1","","1","8","111","17","92","2","1"
"Ardmore","1,203","0","0","0","","0","0","21","6","12","3","0"
"Ashland City","4,664","21","0","1","","2","18","160","22","125","13","0"
"Athens","13,640","157","1","4","","31","121","950","179","722","49","2"
"Atoka","8,926","14","0","2","","0","12","91","21","64","6","0"
"Baileyton","429","1","0","0","","0","1","16","0","16","0","0"
"Baneberry","507","0","0","0","","0","0","1","0","1","0","0"
"Bartlett","58,529","157","0","17","","24","116","993","161","760","72","2"
"Baxter","1,397","7","0","0","","0","7","55","9","40","6","0"
"Bean Station","3,071","13","0","1","","3","9","115","13","92","10","0"
"Belle Meade","3,005","0","0","0","","0","0","32","10","21","1","0"
"Bells","2,446","6","0","0","","1","5","47","13","32","2","0"
"Benton","1,316","1","0","0","","0","1","49","5","43","1","0"
"Berry Hill","556","7","1","1","","3","2","70","4","65","1","0"
"Big Sandy","546","1","0","0","","0","1","10","1","9","0","1"
"Blaine","1,856","1","0","0","","0","1","26","9","16","1","0"
"Bluff City","1,729","11","1","1","","0","9","37","16","20","1","1"
"Bolivar","5,199","69","1","0","","9","59","205","57","143","5","1"
"Bradford","1,016","6","0","0","","0","6","14","4","9","1","0"
"Brentwood","40,757","19","1","4","","5","9","355","71","278","6","0"
"Brighton","2,961","7","0","0","","0","7","42","9","25","8","0"
"Bristol","26,603","122","0","5","","7","110","967","149","761","57","1"
"Brownsville","9,957","144","3","6","","13","122","462","112","311","39","6"
"Bruceton","1,457","9","0","1","","0","8","21","4","16","1","0"
"Burns","1,451","7","0","2","","2","3","19","6","11","2","0"
"Calhoun","495","1","0","0","","0","1","7","1","5","1","0"
"Camden","3,630","16","0","2","","0","14","136","30","100","6","0"
"Carthage","2,272","11","0","1","","1","9","71","24","43","4","1"
"Caryville","2,248","9","0","1","","0","8","77","13","58","6","0"
"Celina","1,488","11","0","0","","0","11","28","8","19","1","0"
"Centerville","3,591","5","0","0","","0","5","82","21","60","1","0"
"Chapel Hill","1,468","0","0","0","","0","0","27","7","17","3","0"
"Charleston","668","1","0","0","","0","1","9","5","3","1","0"
"Chattanooga","174,449","1,699","27","106","","348","1,218","10,968","2,089","7,862","1,017","14"
"Church Hill","6,782","20","0","0","","1","19","114","10","98","6","1"
"Clarksburg","385","0","0","0","","0","0","5","1","2","2","0"
"Clarksville","144,639","967","10","65","","100","792","4,272","973","3,114","185","23"
"Cleveland","43,135","370","1","20","","28","321","2,583","481","1,955","147","5"
"Clifton","2,661","1","0","0","","0","1","11","8","3","0","0"
"Clinton","9,924","52","1","0","","4","47","361","49","293","19","5"
"Collegedale","9,889","7","0","2","","1","4","202","38","154","10","3"
"Collierville","47,757","73","0","10","","9","54","778","73","680","25","5"
"Collinwood","993","1","0","0","","0","1","5","0","2","3","0"
"Columbia","35,760","222","2","18","","43","159","1,227","223","955","49","4"
"Cookeville","31,257","125","2","8","","20","95","1,402","237","1,097","68","3"
"Coopertown","4,352","6","0","1","","0","5","44","14","20","10","0"
"Copperhill","337","2","0","0","","0","2","2","0","2","0","0"
"Cornersville","1,208","1","0","0","","0","1","12","7","3","2","0"
"Covington","9,060","172","0","0","","15","157","624","136","460","28","3"
"Cowan","1,712","7","0","0","","0","7","13","1","10","2","0"
"Cross Plains","1,720","11","0","1","","0","10","49","11","34","4","0"
"Crossville","11,339","96","0","3","","8","85","970","144","762","64","2"
"Crump","1,415","6","0","0","","0","6","13","5","8","0","0"
"Cumberland City","310","1","0","0","","0","1","6","0","5","1","0"
"Dandridge","2,861","19","0","3","","1","15","69","7","57","5","3"
"Dayton","7,446","21","0","0","","3","18","365","77","279","9","1"
"Decatur","1,565","8","0","1","","0","7","46","8","30","8","0"
"Decaturville","869","2","0","0","","0","2","17","6","11","0","0"
"Decherd","2,468","16","0","2","","0","14","68","7","60","1","0"
"Dickson","15,022","110","0","20","","7","83","812","104","681","27","3"
"Dover","1,438","2","1","0","","0","1","14","2","12","0","0"
"Dresden","2,910","3","0","0","","1","2","55","15","37","3","0"
"Dunlap","5,112","18","0","3","","2","13","209","47","142","20","0"
"Dyer","2,285","8","1","0","","0","7","33","10","23","0","0"
"Dyersburg","16,970","216","2","12","","19","183","1,373","269","1,072","32","5"
"Eagleville","624","0","0","0","","0","0","7","0","7","0","0"
"East Ridge","21,478","163","0","19","","32","112","1,012","203","694","115","3"
"Elizabethton","14,375","59","0","8","","4","47","834","93","727","14","0"
"Elkton","559","0","0","0","","0","0","0","0","0","0","0"
"Englewood","1,525","5","0","0","","0","5","63","12","47","4","1"
"Erin","1,316","7","0","0","","0","7","26","4","21","1","0"
"Erwin","6,069","16","0","1","","1","14","95","9","81","5","0"
"Estill Springs","2,043","19","0","0","","0","19","36","9","27","0","0"
"Ethridge","462","3","0","0","","0","3","13","3","10","0","0"
"Etowah","3,499","8","0","0","","1","7","140","25","105","10","0"
"Fairview","8,160","29","0","3","","2","24","86","10","75","1","0"
"Fayetteville","7,201","70","0","5","","12","53","372","57","304","11","3"
"Franklin","70,485","99","0","19","","5","75","990","103","868","19","7"
"Friendship","673","3","0","0","","0","3","8","2","6","0","0"
"Gadsden","466","4","0","0","","0","4","7","1","5","1","0"
"Gainesboro","959","1","0","0","","0","1","12","0","12","0","0"
"Gallatin","32,756","104","1","15","","9","79","466","50","402","14","4"
"Gallaway","665","2","0","1","","0","1","11","3","8","0","0"
"Gates","647","6","0","0","","2","4","5","1","4","0","0"
"Gatlinburg","4,130","31","0","6","","2","23","321","93","208","20","1"
"Germantown","39,495","31","0","0","","6","25","439","63","373","3","3"
"Gibson","380","2","0","0","","0","2","11","4","7","0","0"
"Gleason","1,405","2","0","0","","0","2","20","3","16","1","0"
"Goodlettsville","17,034","59","1","2","","16","40","696","64","610","22","0"
"Gordonsville","1,196","5","0","1","","2","2","15","3","11","1","0"
"Grand Junction","304","2","0","0","","0","2","12","2","9","1","1"
"Graysville","1,510","10","0","1","","0","9","16","9","3","4","0"
"Greenbrier","6,694","25","0","3","","0","22","98","22","70","6","0"
"Greeneville","15,011","83","2","3","","8","70","656","100","534","22","2"
"Greenfield","2,125","3","0","1","","0","2","26","6","17","3","0"
"Halls","2,237","11","1","2","","0","8","40","16","20","4","0"
"Harriman","6,234","40","0","5","","4","31","264","65","178","21","1"
"Henderson","6,528","23","0","0","","3","20","142","45","87","10","0"
"Hendersonville","54,728","98","0","4","","4","90","752","102","627","23","3"
"Henning","938","10","0","0","","0","10","53","20","31","2","0"
"Henry","464","3","0","0","","0","3","10","5","5","0","0"
"Hohenwald","3,690","19","0","1","","0","18","128","23","97","8","1"
"Hollow Rock","708","2","0","0","","0","2","9","4","3","2","0"
