"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Abernathy","2,801","6","0","3","","0","3","36","15","19","2","0"
"Abilene","120,686","571","7","93","","128","343","5,344","1,095","3,887","362","28"
"Addison","16,061","67","0","8","","15","44","686","83","541","62","2"
"Alamo","19,054","145","1","6","","13","125","1,244","160","992","92","2"
"Alamo Heights","7,673","5","0","1","","1","3","257","44","210","3","1"
"Alice","19,689","143","1","8","","6","128","1,029","245","740","44","11"
"Allen","93,889","73","0","23","","19","31","1,128","151","915","62","3"
"Alpine","6,058","7","1","0","","0","6","49","20","27","2","2"
"Alton","15,311","10","0","1","","4","5","253","45","186","22","1"
"Alvarado","3,821","18","0","5","","3","10","95","16","73","6","0"
"Alvin","25,252","67","1","21","","17","28","697","100","559","38","0"
"Amarillo","197,724","1,344","7","228","","283","826","9,343","1,834","6,659","850","36"
"Andrews","13,153","80","1","13","","4","62","310","54","223","33","1"
"Angleton","19,020","52","1","13","","4","34","421","80","321","20","3"
"Anna","9,851","4","0","0","","0","4","140","30","100","10","0"
"Anson","2,325","9","1","2","","3","3","58","25","29","4","0"
"Anthony","5,365","13","0","1","","3","9","152","11","135","6","1"
"Aransas Pass","8,367","37","0","0","","8","29","444","154","270","20","3"
"Arcola","1,637","3","2","0","","0","1","17","1","14","2","0"
"Argyle","3,644","1","0","1","","0","0","19","9","9","1","0"
"Arlington","382,976","1,854","13","206","","493","1,142","13,462","2,470","10,086","906","26"
"Arp","986","0","0","0","","0","0","7","3","4","0","0"
"Athens","12,823","44","1","14","","6","23","541","147","370","24","0"
"Atlanta","5,624","22","0","7","","2","13","272","77","187","8","0"
"Aubrey","2,742","8","0","2","","0","6","37","6","31","0","0"
"Austin","903,924","3,581","32","571","","873","2,105","37,444","5,733","29,423","2,288","95"
"Azle","11,426","39","1","0","","8","30","424","85","324","15","4"
"Baird","1,498","5","1","0","","1","3","34","16","18","0","1"
"Balch Springs","25,305","233","2","15","","30","186","1,079","212","721","146","0"
"Balcones Heights","2,873","21","0","3","","3","15","450","19","403","28","0"
"Ballinger","3,669","12","0","5","","0","7","121","48","72","1","1"
"Bangs","1,585","5","0","2","","0","3","9","2","7","0","0"
"Bastrop","7,635","37","0","2","","12","23","441","30","387","24","3"
"Bay City","17,480","55","0","6","","13","36","726","171","540","15","5"
"Bayou Vista","1,564","0","0","0","","0","0","35","7","25","3","0"
