"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"American Fork/Cedar Hills","38,412","21","0","","5","4","12","821","87","721","13","0"
"Blanding","3,631","6","0","","2","0","4","89","18","68","3","1"
"Bluffdale","8,596","7","0","2","","0","5","128","38","78","12","0"
"Bountiful","43,115","33","0","13","","2","18","835","114","648","73","3"
"Brigham City","18,579","27","0","6","","1","20","462","76","345","41","3"
"Cedar City","29,221","78","1","","12","6","59","767","124","609","34","0"
"Centerfield","1,378","1","0","","0","0","1","2","0","2","0","0"
"Centerville","16,953","24","0","14","","1","9","317","34","271","12","2"
"Clearfield","30,535","39","1","16","","8","14","645","97","520","28","7"
"Clinton","21,029","9","0","1","","1","7","230","25","194","11","1"
"Cottonwood Heights","34,439","42","0","","6","9","27","759","116","596","47","1"
"Draper","46,032","55","0","16","","8","31","1,066","148","848","70","5"
"East Carbon","1,254","0","0","","0","0","0","31","14","17","0","0"
"Enoch","6,051","13","0","","2","0","11","72","24","43","5","1"
"Ephraim","6,506","3","0","","0","0","3","69","16","51","2","0"
"Fairview","1,257","1","0","","1","0","0","6","2","4","0","0"
"Farmington","22,471","16","0","9","","1","6","276","33","223","20","2"
"Fountain Green","1,079","1","0","","0","0","1","12","0","10","2","0"
"Grantsville","9,790","13","0","3","","2","8","73","29","29","15","2"
"Helper","2,164","0","0","0","","0","0","48","18","29","1","1"
"Hurricane","14,781","15","0","4","","1","10","207","27","168","12","1"
"Kamas","1,947","0","0","","0","0","0","27","6","21","0","0"
"La Verkin","4,186","9","0","","1","1","7","75","16","52","7","0"
"Lehi","56,080","38","0","","19","5","14","711","144","527","40","1"
"Lindon","10,734","8","1","3","","2","2","218","24","187","7","0"
"Lone Peak","27,524","7","0","","2","0","5","187","36","141","10","0"
"Mapleton","8,970","3","0","","1","0","2","90","14","73","3","0"
"Moab","5,133","10","0","2","","0","8","176","15","147","14","1"
"Monticello","1,973","1","0","","1","0","0","26","6","19","1","0"
"Moroni","1,435","1","0","","0","0","1","10","3","7","0","0"
"Mount Pleasant","3,284","2","0","","1","0","1","54","7","42","5","0"
"Naples","2,113","0","0","0","","0","0","29","7","18","4","2"
"Nephi","5,459","2","0","","0","2","0","178","32","139","7","0"
"North Ogden","18,176","15","0","11","","0","4","183","25","147","11","4"
"North Park","14,255","7","0","","6","0","1","254","25","225","4","0"
"North Salt Lake","17,170","14","0","6","","0","8","430","77","292","61","3"
"Ogden","84,557","444","4","83","","113","244","3,645","531","2,844","270","13"
"Orem","92,409","40","0","","9","15","16","1,952","162","1,693","97","3"
"Parowan","2,837","5","0","","0","0","5","62","21","35","6","0"
"Payson","19,338","15","0","","3","4","8","482","67","399","16","0"
"Perry","4,532","4","0","0","","0","4","72","7","65","0","1"
"Pleasant Grove","35,317","15","6","7","","0","2","242","35","193","14","0"
"Price","8,436","14","0","5","","0","9","426","89","329","8","0"
"Richfield","7,555","6","0","","0","1","5","285","36","238","11","0"
"Riverdale","8,587","18","0","8","","4","6","469","22","433","14","1"
"Roosevelt","6,935","57","0","45","","1","11","246","32","186","28","0"
"Roy","37,923","42","2","28","","2","10","760","104","614","42","3"
"Salem","7,052","6","0","","2","0","4","69","12","55","2","0"
"Salina","2,506","3","0","","2","0","1","92","15","74","3","0"
"Salt Lake City","192,368","1,447","7","219","","450","771","16,228","1,726","12,717","1,785","100"
"Sandy","90,860","153","2","17","","37","97","2,543","426","1,946","171","7"
"Santa Clara/Ivins","14,179","10","0","2","","1","7","89","25","58","6","0"
"Santaquin/Genola","11,407","4","0","","0","0","4","89","27","59","3","0"
"Saratoga Springs","24,125","13","0","3","","0","10","182","18","156","8","0"
"Smithfield","10,672","4","0","","1","0","3","45","17","27","1","0"
"South Jordan","61,601","48","0","12","","19","17","1,370","151","1,146","73","1"
"South Ogden","16,843","24","0","9","","4","11","294","52","220","22","0"
"South Salt Lake","24,962","217","7","47","","44","119","1,678","226","1,174","278","2"
"Spanish Fork","37,444","8","4","1","","1","2","486","73","397","16","1"
"Springdale","552","8","0","","1","0","7","30","9","20","1","0"
"Springville","31,593","34","0","","10","2","22","616","60","542","14","1"
"St. George","77,838","112","0","28","","19","65","1,506","310","1,086","110","5"
"Stockton","616","0","0","","0","0","0","8","4","3","1","0"
"Sunset","5,138","4","0","0","","0","4","98","10","84","4","0"
"Syracuse","26,104","13","2","4","","1","6","257","26","227","4","3"
"Tooele","32,502","97","1","34","","20","42","1,359","244","963","152","15"
"Tremonton","7,965","16","0","4","","0","12","242","44","187","11","1"
"Vernal","10,705","18","0","8","","4","6","439","30","397","12","1"
"Washington","22,727","26","0","10","","4","12","502","56","432","14","2"
"West Bountiful","5,398","6","0","5","","0","1","117","9","106","2","0"
"Willard","1,758","1","0","1","","0","0","30","8","13","9","1"
