"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Barre","8,897","17","0","3","","4","10","209","25","179","5","0"
"Barre Town","7,902","4","0","0","","2","2","79","21","58","0","0"
"Bennington","15,465","33","0","6","","4","23","372","68","294","10","1"
"Berlin","2,843","4","0","1","","2","1","116","8","105","3","1"
"Brandon","3,883","3","0","0","","0","3","55","9","46","0","1"
"Brattleboro","11,737","40","0","5","","9","26","434","51","374","9","0"
"Chester","3,091","5","0","1","","0","4","13","2","9","2","0"
"Colchester","17,346","8","0","0","","1","7","126","28","98","0","0"
"Dover","1,111","4","0","0","","0","4","85","14","71","0","1"
"Essex","20,755","6","0","0","","2","4","347","52","289","6","1"
"Fair Haven","2,659","3","0","0","","0","3","31","4","27","0","0"
"Hardwick","2,963","5","0","1","","0","4","26","4","22","0","0"
"Hartford","9,781","13","0","5","","0","8","148","26","119","3","1"
"Hinesburg","4,506","2","0","0","","0","2","24","2","22","0","0"
"Manchester","4,335","2","0","1","","0","1","65","22","43","0","2"
"Milton","10,623","7","0","1","","0","6","145","27","118","0","1"
"Montpelier","7,732","11","0","3","","1","7","163","15","148","0","1"
"Newport","4,505","10","0","5","","0","5","118","24","90","4","0"
"Northfield","6,144","5","0","0","","1","4","40","15","25","0","0"
"Randolph","4,752","1","0","0","","0","1","38","9","28","1","0"
"Richmond","4,107","3","0","0","","0","3","25","3","21","1","0"
"Rutland","16,044","56","0","5","","13","38","624","111","504","9","2"
"Shelburne","7,601","3","1","0","","0","2","32","3","29","0","1"
"South Burlington","18,779","20","0","3","","3","14","532","21","511","0","0"
"Springfield","9,233","9","0","3","","0","6","142","26","114","2","1"
"St. Albans","6,864","28","0","4","","3","21","290","32","258","0","0"
"Stowe","4,433","3","1","0","","0","2","113","26","87","0","0"
"Swanton","6,415","10","0","1","","1","8","39","15","23","1","0"
"Waterbury","5,130","0","0","0","","0","0","18","1","17","0","0"
"Weathersfield","2,787","1","0","0","","0","1","45","10","34","1","0"
"Williston","9,089","7","0","1","","1","5","181","25","155","1","0"
"Wilmington","1,844","0","0","0","","0","0","47","17","29","1","0"
"Windsor","3,470","3","0","0","","0","3","29","9","19","1","0"
"Winhall","762","0","0","0","","0","0","0","0","0","0","0"
"Winooski","7,232","18","0","0","","2","16","102","12","90","0","0"
