"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Abingdon","8,209","14","0","2","","4","8","150","17","128","5","0"
"Alexandria","151,065","276","4","22","","142","108","2,960","259","2,438","263","11"
"Altavista","3,499","7","0","0","","1","6","64","7","51","6","0"
"Amherst","2,216","2","0","2","","0","0","20","4","15","1","1"
"Appalachia","1,720","5","0","0","","0","5","65","22","39","4","3"
"Ashland","7,303","19","0","2","","2","15","272","13","247","12","0"
"Bedford","5,882","12","0","6","","3","3","353","25","317","11","3"
"Berryville","4,304","1","0","0","","1","0","56","35","17","4","2"
"Big Stone Gap","5,533","11","0","3","","1","7","194","25","165","4","0"
"Blacksburg","43,842","33","2","15","","3","13","393","67","311","15","1"
"Blackstone","3,564","16","0","0","","4","12","99","9","89","1","0"
"Bowling Green","1,144","0","0","0","","0","0","0","0","0","0","0"
"Boykins","548","0","0","0","","0","0","12","0","12","0","0"
"Bridgewater","5,938","1","0","1","","0","0","14","0","11","3","0"
"Bristol","17,225","54","1","5","","8","40","482","50","413","19","1"
"Broadway","3,787","0","0","0","","0","0","13","5","7","1","0"
"Brookneal","1,123","1","0","0","","0","1","13","3","10","0","0"
"Burkeville","425","3","0","0","","0","3","19","0","19","0","0"
"Cape Charles","985","0","0","0","","0","0","27","1","25","1","0"
"Charlottesville","44,574","191","5","16","","39","131","1,356","173","1,100","83","1"
"Chase City","2,319","10","0","0","","2","8","69","10","55","4","0"
"Chatham","1,495","0","0","0","","0","0","7","0","5","2","0"
"Chesapeake","232,489","991","10","63","","179","739","6,391","1,008","5,094","289","19"
"Chilhowie","1,749","2","0","0","","0","2","18","6","12","0","0"
"Chincoteague","2,926","3","0","0","","1","2","41","2","39","0","0"
"Christiansburg","21,663","21","0","8","","3","10","458","42","407","9","1"
"Clintwood","1,355","3","0","0","","0","3","24","2","22","0","0"
"Coeburn","2,108","8","0","3","","2","3","71","13","56","2","0"
"Colonial Beach","3,574","7","0","3","","0","4","74","10","58","6","0"
"Colonial Heights","17,706","36","0","6","","14","16","867","80","773","14","10"
"Covington","5,786","10","0","4","","0","6","111","14","94","3","2"
"Crewe","2,290","19","0","1","","1","17","64","5","56","3","0"
"Culpeper","17,259","42","1","8","","13","20","475","17","449","9","2"
"Damascus","815","2","0","0","","0","2","23","2","21","0","0"
"Danville","42,936","193","3","25","","58","107","1,761","388","1,314","59","11"
"Dayton","1,576","0","0","0","","0","0","14","3","11","0","0"
"Dublin","2,484","3","0","0","","2","1","38","8","29","1","0"
"Dumfries","5,212","4","0","1","","1","2","119","12","96","11","0"
"Edinburg","1,063","1","0","1","","0","0","5","1","4","0","0"
"Elkton","2,792","5","0","1","","0","4","44","10","32","2","0"
"Emporia","5,511","29","2","3","","5","19","274","30","239","5","2"
"Exmore","1,444","3","0","1","","1","1","45","4","38","3","0"
"Fairfax City","24,345","18","0","2","","8","8","416","29","366","21","1"
"Falls Church","13,794","18","0","3","","8","7","220","16","196","8","2"
"Farmville","8,043","18","0","7","","4","7","214","22","188","4","2"
"Franklin","8,651","28","2","3","","9","14","394","72","313","9","1"
"Fredericksburg","29,158","131","0","13","","24","94","1,199","77","1,085","37","8"
"Front Royal","15,009","23","0","16","","4","3","420","19","383","18","1"
"Gate City","1,991","1","0","0","","0","1","44","5","37","2","2"
"Glade Spring","1,464","2","0","0","","0","2","13","1","10","2","0"
"Glen Lyn","113","0","0","0","","0","0","6","1","5","0","0"
"Gordonsville","1,569","1","0","1","","0","0","21","5","16","0","0"
"Gretna","1,245","3","1","0","","0","2","13","5","8","0","0"
"Grottoes","2,742","3","0","0","","0","3","7","2","4","1","0"
