"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Aberdeen","16,243","103","1","10","","21","71","941","244","636","61","3"
"Airway Heights","6,502","6","0","1","","5","0","326","55","226","45","0"
"Algona","3,116","1","0","1","","0","0","84","29","44","11","0"
"Anacortes","16,119","23","0","7","","1","15","413","64","333","16","0"
"Arlington","18,836","34","1","","6","7","20","1,108","165","838","105","0"
"Asotin","1,290","1","0","0","","0","1","21","2","19","0","0"
"Auburn","76,020","299","1","38","","105","155","4,578","846","3,116","616","32"
"Bainbridge Island","23,228","9","0","2","","2","5","339","77","251","11","1"
"Battle Ground","18,449","23","0","5","","3","15","325","50","253","22","5"
"Bellevue","135,449","144","2","","25","65","52","4,606","630","3,662","314","14"
"Bellingham","83,048","220","1","55","","64","100","4,699","726","3,808","165","2"
"Bingen","734","2","0","0","","1","1","13","1","9","3","2"
"Black Diamond","4,325","1","0","1","","0","0","46","15","29","2","0"
"Blaine","4,964","2","0","1","","0","1","163","15","144","4","2"
"Bonney Lake","18,519","20","0","6","","7","7","511","119","353","39","1"
"Bothell","36,087","26","0","6","","6","14","1,096","159","827","110","5"
"Bremerton","39,359","209","0","39","","39","131","1,810","345","1,311","154","12"
"Brewster","2,354","5","0","1","","0","4","116","92","19","5","0"
"Brier","6,425","5","0","0","","1","4","75","30","42","3","1"
"Buckley","4,964","7","0","0","","5","2","152","30","106","16","1"
"Burien","50,284","257","2","","38","81","136","2,375","606","1,276","493","13"
"Burlington","8,524","12","0","5","","5","2","715","75","611","29","3"
"Camas","21,275","16","0","4","","3","9","295","52","228","15","3"
"Castle Rock","2,139","1","0","0","","0","1","41","9","29","3","0"
"Centralia","16,677","81","0","10","","18","53","696","128","528","40","6"
"Chehalis","7,271","11","0","1","","3","7","555","64","466","25","1"
"Cheney","11,387","28","0","12","","4","12","293","61","214","18","0"
"Chewelah","2,590","2","0","0","","0","2","95","21","70","4","0"
"Clarkston","7,382","35","1","2","","5","27","441","76","352","13","4"
"Cle Elum","2,748","5","1","2","","0","2","127","19","103","5","1"
"Clyde Hill","3,198","2","0","1","","0","1","41","11","29","1","0"
"Colfax","2,856","3","0","0","","0","3","70","22","44","4","0"
"College Place","9,012","4","0","0","","1","3","230","36","178","16","1"
"Colton","427","0","0","0","","0","0","0","0","0","0","0"
"Colville","4,666","5","0","0","","0","5","114","11","94","9","0"
"Connell","5,746","9","1","2","","0","6","39","11","25","3","1"
"Cosmopolis","1,588","0","0","0","","0","0","49","3","46","0","0"
"Coulee Dam","1,098","0","0","0","","0","0","13","0","8","5","0"
"Coupeville","1,853","2","0","0","","0","2","24","8","15","1","0"
"Covington","19,146","41","0","","11","10","20","734","160","517","57","10"
"Des Moines","30,926","121","1","9","","59","52","1,153","235","672","246","7"
"Dupont","9,537","5","0","0","","0","5","48","17","28","3","2"
"Duvall","7,658","1","0","0","","0","1","74","10","62","2","0"
"East Wenatchee","13,539","15","0","1","","4","10","373","45","312","16","2"
"Eatonville","2,824","1","1","0","","0","0","63","17","40","6","0"
"Edgewood","9,645","24","0","3","","4","17","212","85","117","10","0"
"Edmonds","40,972","55","1","","8","12","34","1,176","279","782","115","4"
"Ellensburg","18,382","25","0","6","","3","16","633","93","516","24","3"
"Elma","3,012","9","0","2","","1","6","123","37","79","7","0"
"Enumclaw","11,571","18","0","5","","2","11","361","62","263","36","0"
"Ephrata","8,024","13","1","3","","6","3","364","49","292","23","0"
"Everett","105,911","364","2","","43","135","184","6,947","1,198","4,660","1,089","18"
"Everson","2,570","1","0","0","","1","0","57","8","45","4","1"
"Federal Way","93,551","360","4","71","","135","150","5,569","834","3,887","848","13"
"Ferndale","12,568","27","0","6","","3","18","363","68","288","7","1"
"Fife","9,479","105","0","11","","16","78","664","117","436","111","1"
"Fircrest","6,644","11","0","0","","5","6","155","54","89","12","1"
"Forks","3,726","18","0","4","","2","12","78","23","53","2","2"
"Gig Harbor","7,978","17","0","6","","7","4","488","63","382","43","0"
"Goldendale","3,463","6","0","0","","0","6","138","34","97","7","0"
"Grand Coulee","1,041","8","0","1","","3","4","64","24","31","9","0"
"Grandview","11,172","14","1","2","","2","9","246","78","151","17","0"
"Granger","3,366","2","0","0","","1","1","54","9","36","9","0"
"Ilwaco","897","1","0","0","","0","1","15","2","9","4","0"
"Issaquah","34,372","18","0","6","","8","4","1,079","70","920","89","2"
"Kalama","2,305","2","0","0","","0","2","36","7","28","1","0"
"Kelso","11,783","32","0","9","","3","20","670","107","517","46","4"
"Kenmore","21,886","19","0","","4","4","11","302","92","177","33","0"
"Kennewick","77,381","190","5","34","","41","110","2,419","465","1,808","146","13"
"Kent","125,837","360","3","65","","160","132","6,243","1,019","4,243","981","19"
"Kettle Falls","1,595","0","0","0","","0","0","35","9","20","6","0"
"Kirkland","85,352","84","1","29","","15","39","2,017","271","1,562","184","8"
"Kittitas","1,426","3","0","1","","0","2","12","3","9","0","1"
"La Center","3,093","0","0","0","","0","0","31","2","27","2","0"
"Lacey","45,525","80","1","11","","15","53","1,404","215","1,103","86","7"
"Lake Forest Park","13,209","9","0","1","","3","5","338","98","197","43","0"
"Lake Stevens","30,387","50","0","24","","4","22","779","127","576","76","4"
"Lakewood","59,313","380","1","42","","88","249","2,465","644","1,604","217","15"
"Liberty Lake","8,436","4","0","0","","2","2","139","25","110","4","0"
"Long Beach","1,332","6","0","1","","0","5","42","5","36","1","0"
"Longview","36,459","133","0","31","","27","75","2,305","496","1,669","140","16"
"Lynden","13,127","8","0","3","","1","4","140","17","120","3","0"
"Lynnwood","36,630","100","0","","7","52","41","2,554","287","2,073","194","5"
"Mabton","2,305","10","0","0","","1","9","41","7","23","11","0"
"Maple Valley","25,331","13","0","","1","0","12","366","88","255","23","3"
"Marysville","64,063","112","4","","14","26","68","2,785","454","2,003","328","16"
"Mattawa","4,483","4","0","1","","0","3","30","2","16","12","0"
"Medina","3,158","0","0","0","","0","0","70","8","53","9","0"
"Mercer Island","24,446","6","0","1","","1","4","373","68","292","13","1"
"Mill Creek","18,970","24","0","3","","6","15","441","49","335","57","2"
"Milton","7,268","18","0","0","","5","13","188","34","134","20","0"
"Monroe","17,826","62","0","4","","11","47","698","64","563","71","6"
"Montesano","3,858","5","0","1","","0","4","73","14","55","4","0"
"Morton","1,116","2","0","1","","0","1","33","7","24","2","0"
"Moses Lake","21,580","99","1","20","","21","57","1,456","281","1,050","125","8"
"Mossyrock","742","0","0","0","","0","0","18","12","5","1","0"
"Mountlake Terrace","20,871","40","1","3","","18","18","709","138","438","133","1"
"Mount Vernon","32,805","85","1","16","","21","47","1,505","223","1,178","104","4"
"Moxee","3,791","1","0","0","","0","1","26","7","18","1","0"
"Mukilteo","21,002","26","0","","5","8","13","546","105","382","59","0"
"Napavine","1,784","1","0","1","","0","0","32","4","23","5","0"
"Newcastle","11,235","7","0","","0","5","2","343","81","216","46","1"
"Normandy Park","6,610","6","1","0","","1","4","135","34","92","9","0"
"North Bend","6,340","12","1","1","","5","5","252","33","207","12","1"
"Oak Harbor","22,123","37","1","5","","4","27","380","83","284","13","1"
"Oakville","658","5","0","0","","1","4","25","7","16","2","0"
"Ocean Shores","5,622","7","0","1","","2","4","130","35","88","7","2"
"Odessa","867","0","0","0","","0","0","0","0","0","0","0"
"Olympia","48,763","198","0","19","","47","132","2,170","390","1,629","151","10"
"Omak","4,776","14","0","3","","1","10","271","47","195","29","0"
"Oroville","1,673","4","0","1","","1","2","109","42","65","2","0"
"Orting","7,093","8","1","2","","1","4","182","34","134","14","3"
"Othello","7,693","39","0","5","","7","27","374","54","256","64","0"
"Pacific","7,142","9","0","1","","1","7","157","22","90","45","0"
"Pasco","69,115","176","4","25","","30","117","1,481","306","1,053","122","17"
"Port Angeles","19,220","99","1","17","","17","64","843","168","617","58","7"
"Port Orchard","13,145","79","0","10","","7","62","847","132","644","71","1"
"Port Townsend","9,231","58","0","9","","4","45","347","95","241","11","3"
"Poulsbo","9,566","15","0","4","","3","8","245","28","208","9","0"
"Prosser","5,809","21","0","1","","1","19","135","24","94","17","0"
"Pullman","31,810","50","0","10","","3","37","400","108","280","12","1"
"Puyallup","39,016","109","0","22","","45","42","2,780","400","2,097","283","11"
"Quincy","7,355","28","0","2","","2","24","390","144","221","25","2"
"Raymond","2,765","3","0","2","","0","1","60","15","42","3","0"
"Reardan","553","0","0","0","","0","0","6","1","5","0","0"
"Redmond","58,311","30","1","7","","8","14","1,745","241","1,422","82","2"
"Renton","98,240","229","5","23","","84","117","5,207","734","3,651","822","11"
"Republic","1,086","2","0","1","","0","1","13","2","9","2","1"
"Richland","53,445","90","0","11","","13","66","1,209","169","991","49","5"
"Ridgefield","5,856","4","0","1","","0","3","59","2","54","3","0"
"Ritzville","1,681","0","0","0","","0","0","54","15","36","3","0"
"Roy","807","0","0","0","","0","0","7","1","5","1","0"
"Royal City","2,184","6","0","1","","3","2","34","4","21","9","0"
"Ruston","771","5","0","4","","0","1","21","6","12","3","0"
"Sammamish","51,016","8","1","","3","1","3","386","131","232","23","6"
"SeaTac","28,102","179","1","","30","87","61","1,503","333","806","364","10"
"Seattle","663,410","4,001","26","154","","1,567","2,254","40,649","7,099","28,036","5,514","79"
"Sedro Woolley","10,659","17","1","4","","2","10","479","122","329","28","0"
"Selah","7,447","2","0","1","","1","0","91","18","68","5","0"
"Sequim","6,682","8","0","0","","2","6","368","59","300","9","1"
"Shelton","9,724","39","0","8","","9","22","815","159","618","38","2"
"Shoreline","55,206","94","1","","26","33","34","1,684","461","984","239","7"
"Snohomish","9,459","24","0","4","","6","14","567","88","419","60","1"
"Snoqualmie","12,359","10","0","1","","1","8","154","14","134","6","1"
"South Bend","1,586","0","0","0","","0","0","6","3","1","2","0"
"Spokane","211,025","1,156","10","","117","416","613","18,062","3,365","12,455","2,242","56"
"Spokane Valley","91,382","297","3","","38","86","170","5,245","1,000","3,780","465","14"
"Stanwood","6,665","14","0","","3","4","7","205","32","156","17","2"
"Steilacoom","6,157","6","0","0","","0","6","102","42","51","9","1"
"Sultan","4,772","15","0","","3","3","9","167","39","110","18","0"
"Sumas","1,342","1","0","1","","0","0","29","7","21","1","0"
"Sumner","9,627","39","0","2","","14","23","593","120","391","82","0"
"Sunnyside","16,105","21","0","1","","6","14","457","74","329","54","3"
"Tacoma","204,722","1,625","12","134","","510","969","12,721","3,127","7,521","2,073","67"
"Tenino","1,712","4","0","1","","0","3","29","6","21","2","0"
"Tieton","1,242","0","0","0","","0","0","25","9","12","4","0"
"Tonasket","1,017","3","0","0","","0","3","21","3","17","1","0"
"Toppenish","9,024","21","0","0","","10","11","362","89","187","86","1"
"Tukwila","19,921","163","1","11","","78","73","3,302","343","2,524","435","7"
"Tumwater","18,800","58","0","7","","13","38","670","167","450","53","4"
"Twisp","943","1","0","0","","0","1","31","4","27","0","0"
"Union Gap","6,010","20","0","1","","2","17","501","45","426","30","0"
"University Place","32,270","68","2","13","","21","32","712","220","431","61","4"
"Vancouver","168,688","577","6","89","","151","331","5,259","821","3,617","821","47"
"Walla Walla","31,833","104","1","21","","12","70","1,560","268","1,198","94","19"
"Wapato","5,059","8","0","1","","2","5","119","26","66","27","0"
"Warden","2,736","2","0","1","","0","1","48","6","32","10","1"
"Washougal","14,904","19","0","5","","4","10","380","64","296","20","1"
"Wenatchee","32,820","63","0","12","","15","36","1,156","184","914","58","5"
"Westport","2,017","1","0","0","","0","1","79","17","58","4","0"
"West Richland","13,272","15","0","5","","0","10","216","55","154","7","0"
"White Salmon","2,322","3","0","1","","0","2","31","2","27","2","0"
"Wilbur","844","0","0","0","","0","0","7","2","2","3","0"
"Winlock","1,308","0","0","0","","0","0","51","7","41","3","0"
"Winthrop","420","0","0","0","","0","0","14","6","7","1","0"
"Woodinville","11,408","8","0","","4","1","3","438","92","317","29","4"
"Woodland","5,557","16","0","3","","1","12","177","15","146","16","0"
"Woodway","1,347","0","0","0","","0","0","29","13","15","1","0"
"Yakima","93,667","408","2","39","","115","252","4,616","1,087","2,808","721","39"
"Yarrow Point","1,056","0","0","0","","0","0","10","0","9","1","0"
"Yelm","7,836","29","0","8","","4","17","320","43","261","16","3"
"Zillah","3,119","0","0","0","","0","0","69","14","46","9","0"
