"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson3"
"Albany","1,017","5","0","","0","0","5","13","2","11","0","0"
"Algoma4","3,116","1","0","0","","0","1","","21","","0","0"
"Alma","758","0","0","","0","0","0","0","0","0","0","0"
"Altoona","7,141","5","0","","1","0","4","80","11","64","5","0"
"Amery","2,844","5","0","","0","0","5","33","8","24","1","0"
"Antigo","7,952","7","0","","0","1","6","405","55","342","8","0"
"Appleton","73,841","197","0","23","","21","153","1,381","168","1,190","23","17"
"Arcadia","2,982","2","0","","0","1","1","26","3","22","1","0"
"Ashland","8,107","31","0","","0","4","27","361","45","311","5","1"
"Athens","1,100","2","0","","2","0","0","3","1","2","0","0"
"Avoca","631","0","0","","0","0","0","6","4","2","0","0"
"Balsam Lake","967","4","0","","2","0","2","19","4","13","2","0"
"Bangor","1,490","0","0","0","","0","0","11","1","10","0","0"
"Baraboo","12,112","9","0","","2","0","7","344","24","313","7","0"
"Barneveld","1,238","5","0","","0","0","5","14","0","13","1","0"
"Barron","3,359","6","0","","0","0","6","8","3","5","0","0"
"Bayfield","487","3","0","","1","0","2","25","5","20","0","0"
"Bayside","4,425","1","0","","0","1","0","36","5","31","0","0"
"Beaver Dam","16,384","8","0","","0","3","5","440","70","370","0","1"
"Belleville","2,436","1","0","0","","0","1","17","1","15","1","0"
"Beloit","36,872","148","8","","15","53","72","1,239","229","967","43","5"
"Beloit Town","7,641","6","0","","1","1","4","110","26","78","6","0"
"Berlin","5,468","3","2","","0","0","1","168","28","136","4","0"
"Big Bend","1,303","0","0","","0","0","0","18","6","10","2","0"
"Black River Falls","3,610","3","0","","1","1","1","149","16","125","8","0"
"Blair","1,382","2","0","","0","1","1","9","1","7","1","0"
"Blanchardville","823","0","0","","0","0","0","19","7","12","0","0"
"Bloomer","3,541","3","0","","0","0","3","39","8","29","2","0"
"Bloomfield","6,281","6","0","","1","0","5","71","2","67","2","0"
"Blue Mounds","897","2","0","","0","1","1","13","0","13","0","0"
"Boscobel","3,192","5","0","","0","0","5","47","28","17","2","0"
"Brandon-Fairwater","1,228","0","0","","0","0","0","4","0","4","0","0"
"Brillion","3,171","1","0","0","","0","1","23","4","18","1","0"
"Brodhead","3,290","0","0","","0","0","0","56","5","51","0",""
"Brookfield","38,019","20","0","","0","10","10","1,012","79","917","16","0"
"Brookfield Township","6,133","5","0","","0","2","3","166","21","138","7","0"
"Brown Deer","12,126","20","0","1","","7","12","525","38","463","24","0"
"Brownsville","570","1","0","","0","1","0","11","0","11","0","0"
"Burlington","10,522","5","0","","0","2","3","216","22","192","2","0"
"Butler","1,838","7","0","","0","1","6","40","4","30","6","0"
"Caledonia","24,746","41","0","","11","4","26","277","54","215","8","0"
"Campbellsport","1,983","0","0","","0","0","0","3","0","3","0","0"
"Campbell Township","4,450","3","0","0","","0","3","47","5","39","3","0"
"Cashton","1,089","0","0","","0","0","0","0","0","0","0","0"
"Cedarburg","11,493","0","0","","0","0","0","104","1","99","4","0"
"Chenequa","600","0","0","","0","0","0","5","0","5","0","0"
"Chetek","2,208","2","0","","0","0","2","18","7","11","0","0"
"Chilton","3,948","5","0","2","","0","3","18","1","17","0","0"
"Chippewa Falls","13,733","28","0","","7","0","21","143","24","108","11","0"
"Cleveland","1,484","0","0","","0","0","0","9","1","8","0","0"
"Clinton","2,131","0","0","","0","0","0","40","7","33","0","0"
"Clintonville","4,497","6","0","","2","0","4","134","18","113","3","0"
"Colby-Abbotsford","4,120","0","0","","0","0","0","48","6","42","0","0"
"Cornell","1,461","2","0","","0","0","2","36","3","32","1","0"
"Cottage Grove","6,546","3","0","0","","0","3","84","5","78","1","0"
"Crandon","1,888","1","0","","0","0","1","23","4","16","3","0"
"Cross Plains","3,686","0","0","0","","0","0","24","0","24","0","0"
"Cumberland","2,148","1","0","","0","0","1","21","2","17","2","0"
"Dane","1,083","0","0","","0","0","0","0","0","0","0","0"
"Darlington","2,396","12","0","","3","1","8","33","7","24","2","0"
"Deforest","9,482","13","0","3","","0","10","103","7","93","3","1"
"Delafield","7,172","2","0","","0","0","2","203","13","189","1","0"
"Delavan","10,044","11","1","","2","1","7","283","32","241","10","0"
"Delavan Town","5,331","0","0","","0","0","0","80","15","65","0","1"
"Denmark","2,179","0","0","","0","0","0","2","0","2","0","0"
"Dodgeville","4,670","6","0","","1","0","5","59","8","49","2","0"
"Durand","1,867","1","0","","0","0","1","6","3","3","0","0"
"Eagle River","1,332","3","0","","1","0","2","97","8","85","4","0"
"Eagle Village","1,957","0","0","","0","0","0","12","3","9","0","0"
"East Troy","4,298","6","0","","4","0","2","70","5","64","1","0"
"Eau Claire","67,937","110","1","","21","16","72","1,727","287","1,368","72","4"
"Edgar","1,474","0","0","","0","0","0","1","1","0","0","0"
"Edgerton","5,535","6","0","","1","2","3","129","21","106","2","1"
"Eleva","688","0","0","","0","0","0","2","1","1","0","0"
"Elkhart Lake","960","0","0","","0","0","0","12","1","11","0","0"
"Elkhorn","9,936","7","0","","3","1","3","136","16","115","5","0"
"Elk Mound","873","1","0","","0","0","1","4","3","0","1","0"
"Ellsworth","3,234","4","0","","3","0","1","76","12","62","2","0"
"Elm Grove","5,953","1","0","","0","1","0","55","8","47","0","0"
"Elroy","1,403","0","0","","0","0","0","30","6","24","0","0"
"Endeavor","463","0","0","0","","0","0","5","1","3","1","0"
"Evansville","5,148","2","0","","0","1","1","89","20","69","0","1"
"Everest","17,100","3","0","","0","0","3","335","57","277","1","0"
"Fall Creek","1,324","0","0","","0","0","0","4","3","1","0","0"
"Fall River","1,688","2","0","","1","0","1","9","4","5","0",""
"Fennimore4","2,484","0","0","","0","0","0","","5","","0","0"
"Fitchburg","26,677","75","2","","5","17","51","412","63","330","19","0"
"Fond du Lac","42,953","141","1","30","","12","98","1,203","100","1,075","28","2"
"Fontana","1,697","0","0","","0","0","0","24","4","20","0","0"
"Fort Atkinson","12,506","13","0","","1","2","10","182","24","155","3","0"
"Fountain City","842","0","0","","0","0","0","0","0","0","0","0"
"Fox Lake","1,482","1","0","","1","0","0","11","2","9","0","1"
"Fox Point","6,697","8","1","3","","3","1","80","8","63","9","0"
"Fox Valley Metro","20,650","25","0","1","","2","22","180","32","146","2","1"
"Franklin","36,519","16","0","","3","10","3","765","63","680","22",""
"Frederic","1,105","0","0","","0","0","0","5","2","3","0","0"
"Freedom","5,997","0","0","0","","0","0","23","14","8","1","0"
"Geneva Town","5,043","2","0","","0","0","2","87","6","81","0","0"
"Genoa City","3,045","0","0","","0","0","0","28","8","19","1","0"
"Gilman","403","0","0","","0","0","0","5","1","4","0",""
"Glendale","12,929","29","1","","0","22","6","832","45","727","60","0"
"Grafton","11,536","10","0","","1","0","9","136","7","129","0","0"
"Grand Chute","22,156","20","0","0","","2","18","903","59","829","15","1"
"Grand Rapids","7,587","3","0","","0","1","2","35","9","26","0","0"
"Grantsburg","1,312","1","0","","0","0","1","21","5","15","1","0"
"Green Bay","104,979","520","3","51","","63","403","2,310","406","1,819","85","12"
"Greendale","14,413","9","0","","2","4","3","505","2","494","9","0"
"Greenfield","37,257","54","1","","4","38","11","959","141","771","47","0"
"Green Lake","992","1","0","","0","0","1","15","5","8","2","0"
"Hales Corners","7,771","3","0","","0","1","2","125","8","113","4","0"
"Hartford","14,256","6","0","","0","3","3","245","30","208","7","0"
"Hartland","9,210","7","0","","0","0","7","80","8","70","2","0"
"Hayward","2,310","5","0","0","","0","5","32","3","28","1","0"
"Hazel Green","1,248","1","0","","0","0","1","7","2","5","0","0"
"Highland","850","0","0","","0","0","0","8","4","3","1","0"
"Hobart-Lawrence","12,408","3","0","","1","0","2","85","20","61","4","0"
"Holmen","9,506","11","0","0","","0","11","96","24","70","2","2"
"Horicon","3,592","0","0","","0","0","0","51","2","47","2","0"
"Hortonville","2,714","0","0","","0","0","0","28","8","20","0","0"
"Hudson","13,292","18","0","0","","3","15","461","23","428","10","0"
"Hurley","1,520","6","0","","0","0","6","45","4","36","5","0"
"Independence","1,370","0","0","","0","0","0","5","1","4","0",""
"Iron Ridge","907","0","0","","0","0","0","11","1","9","1","0"
"Iron River","1,144","1","0","","0","0","1","10","4","6","0","0"
"Jackson","6,739","7","0","","0","0","7","22","3","14","5","0"
"Janesville","63,885","162","1","","23","28","110","2,076","303","1,726","47","12"
"Jefferson","7,987","17","0","","4","0","13","248","8","236","4","0"
"Juneau","2,695","1","0","","0","0","1","41","5","36","0","0"
"Kaukauna","15,786","22","0","4","","0","18","191","24","164","3","0"
"Kenosha","100,025","286","5","","33","107","141","2,413","547","1,768","98","13"
"Kewaskum","4,068","1","0","","0","0","1","31","2","29","0","0"
"Kewaunee","2,914","5","0","4","","1","0","18","1","17","0","0"
"Kiel","3,809","7","0","","0","0","7","45","3","42","0","0"
"Kohler","2,106","0","0","","0","0","0","73","2","70","1","0"
"Kronenwetter","7,416","3","0","","0","0","3","43","9","30","4","0"
"La Crosse","51,564","102","0","20","","28","54","1,522","224","1,258","40","9"
"Ladysmith","3,279","3","0","","0","0","3","74","11","60","3","0"
"Lake Delton","2,939","23","0","","1","2","20","491","26","460","5","0"
"Lake Geneva","7,726","7","0","","2","0","5","282","28","250","4","0"
"Lake Hallie","6,625","10","0","","1","0","9","234","27","199","8","1"
"Lancaster","3,795","14","0","","0","0","14","59","8","50","1","0"
"Luxemburg","2,568","0","0","0","","0","0","11","1","10","0","0"
"Madison","245,788","846","7","83","","226","530","6,978","1,129","5,603","246",""
"Manawa","1,327","1","0","","0","0","1","7","2","5","0","0"
"Manitowoc","33,250","74","0","8","","7","59","929","148","769","12","1"
"Marinette","10,926","9","0","","3","2","4","315","45","253","17","0"
"Marion","1,243","1","0","","0","0","1","13","2","11","0","0"
"Markesan","1,430","1","0","","0","0","1","16","0","16","0","0"
"Marshall Village","3,937","5","0","1","","0","4","19","8","10","1","0"
"Marshfield","18,668","8","0","","0","2","6","342","37","304","1","2"
"Mauston","4,464","18","0","","2","1","15","101","18","77","6","0"
"Mayville","5,034","2","0","","2","0","0","62","7","54","1","1"
"McFarland","8,183","7","0","0","","1","6","128","19","107","2","1"
"Medford","4,372","13","0","","6","0","7","77","8","67","2","0"
"Menasha","17,639","37","0","","5","4","28","379","42","328","9","3"
"Menomonee Falls","35,997","8","0","","0","6","2","443","46","385","12","0"
"Menomonie","16,123","41","0","","7","2","32","415","55","347","13","0"
"Mequon","23,389","8","0","","2","0","6","148","32","110","6","0"
"Middleton","18,647","12","0","","1","7","4","285","35","238","12","0"
"Milton","5,568","10","0","","1","2","7","61","12","47","2","0"
"Milwaukee","600,374","8,864","90","395","","3,520","4,859","27,499","5,929","14,917","6,653","276"
"Mineral Point","2,483","1","0","","0","0","1","27","2","25","0","0"
"Minocqua","4,464","18","0","3","","1","14","87","11","74","2","0"
"Mishicot","1,416","1","0","","0","0","1","11","0","10","1",""
"Mondovi","2,699","9","0","","0","0","9","54","6","44","4",""
"Monona","7,789","14","0","","0","6","8","679","31","644","4","0"
"Monroe","10,835","18","0","","1","3","14","265","17","238","10","0"
"Montello","1,465","0","0","0","","0","0","21","3","18","0","0"
"Mosinee","4,063","4","0","","1","0","3","53","4","48","1","0"
"Mount Pleasant","26,231","15","1","","2","12","0","795","70","706","19","1"
"Mukwonago","7,527","3","0","","0","1","2","185","24","160","1","1"
"Mukwonago Town","8,090","6","0","","0","0","6","25","4","21","0","0"
"Muskego","24,654","7","0","2","","0","5","213","69","139","5","0"
"Neenah","25,992","38","0","","3","4","31","477","73","394","10","3"
"Neillsville","2,437","1","0","","0","0","1","36","0","36","0","0"
"Neshkoro","430","0","0","0","","0","0","6","1","5","0","0"
"New Glarus","2,154","0","0","","0","0","0","32","2","28","2","0"
"New Holstein","3,215","6","0","2","","0","4","45","9","34","2","0"
"New Lisbon","2,526","7","0","","1","0","6","20","0","20","0","0"
"New London","7,255","22","0","1","","0","21","131","12","115","4","2"
"New Richmond","8,671","13","0","2","","3","8","194","21","170","3","0"
"Niagara","1,603","0","0","","0","0","0","14","8","6","0","0"
"North Fond du Lac","5,051","7","0","2","","0","5","65","8","57","0","0"
"North Hudson","3,804","0","0","","0","0","0","16","5","10","1","0"
"North Prairie","2,148","0","0","","0","0","0","6","2","4","0","0"
"Oak Creek","35,138","45","1","","10","12","22","971","64","872","35","1"
"Oconomowoc Town","8,653","0","0","","0","0","0","22","3","19","0","0"
"Oconto","4,484","6","0","","0","0","6","125","17","102","6","0"
"Omro","3,561","2","0","","0","0","2","45","2","42","1","0"
"Onalaska","18,437","6","0","0","","3","3","402","16","381","5","0"
"Oregon","9,788","9","0","0","","0","9","68","3","64","1","0"
"Osceola","2,520","11","0","","2","0","9","24","2","21","1","0"
"Oshkosh","66,962","154","0","","10","23","121","1,432","263","1,137","32","4"
"Osseo","1,722","3","0","","0","0","3","35","6","29","0","0"
