"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Afton","1,961","3","0","1","","0","2","40","7","32","1","0"
"Buffalo","4,651","9","0","0","","0","9","127","18","103","6","0"
"Casper","60,771","84","2","4","","11","67","1,632","238","1,329","65","8"
"Cheyenne","63,155","89","2","6","","13","68","1,795","246","1,465","84","3"
"Cody","9,906","15","0","4","","0","11","188","32","152","4","1"
"Diamondville","733","0","0","0","","0","0","0","0","0","0","0"
"Douglas","6,561","27","0","3","","0","24","200","25","167","8","0"
"Evanston","12,277","9","0","0","","0","9","360","21","324","15","0"
"Evansville","2,910","22","0","2","","0","20","43","4","38","1","0"
"Gillette","32,281","51","0","6","","1","44","957","100","830","27","6"
"Glenrock","2,654","5","0","0","","0","5","28","1","22","5","0"
"Green River","12,839","31","0","0","","0","31","162","23","125","14","1"
"Greybull","1,895","7","0","0","","0","7","16","10","6","0","0"
"Hanna","825","1","0","0","","0","1","4","2","2","0","0"
"Jackson","10,269","49","0","8","","2","39","218","15","192","11","0"
"Kemmerer","2,714","5","0","0","","0","5","39","7","31","1","1"
"Lander","7,788","2","0","0","","0","2","248","27","214","7","1"
"Laramie","32,037","48","1","10","","5","32","705","60","622","23","3"
"Lovell","2,439","3","0","1","","0","2","18","7","10","1","0"
"Mills","3,597","5","0","0","","0","5","93","23","66","4","0"
"Moorcroft","1,027","3","0","0","","0","3","17","4","13","0","0"
"Newcastle","3,522","6","0","1","","0","5","71","12","57","2","0"
"Pine Bluffs","1,159","3","0","0","","0","3","20","8","12","0","0"
"Powell","6,516","17","0","4","","1","12","169","28","135","6","1"
"Rawlins","9,160","26","0","1","","0","25","199","15","166","18","1"
"Riverton","11,056","31","0","6","","3","22","448","30","399","19","0"
"Rock Springs","24,431","67","1","20","","5","41","540","71","432","37","3"
"Saratoga","1,667","2","0","0","","0","2","8","0","4","4","0"
"Sheridan","17,920","39","1","3","","1","34","404","69","314","21","3"
"Sundance","1,230","1","0","0","","0","1","23","3","18","2","0"
"Thermopolis","3,047","1","0","1","","0","0","22","5","16","1","3"
"Torrington","6,842","21","0","1","","0","20","107","29","73","5","0"
"Wheatland","3,657","7","0","2","","0","5","110","32","66","12","0"
"Worland","5,447","3","0","1","","0","2","54","0","54","0","0"
